game,2017,8,20171029,201710290nwe,sdg,"Los Angeles Chargers",13,nwe,"New England Patriots",21
player,201710290nwe,sdg,EkelAu00,rec,1,,,,,
player,201710290nwe,sdg,EkelAu00,rec_yds,13,,,,,
player,201710290nwe,sdg,EkelAu00,rec_td,0,,,,,
player,201710290nwe,sdg,EkelAu00,rec_long,13,,,,,
player,201710290nwe,sdg,EkelAu00,fumbles,0,,,,,
player,201710290nwe,sdg,EkelAu00,fumbles_lost,0,,,,,
player,201710290nwe,sdg,OlivBr01,pass_cmp,0,,,,,
player,201710290nwe,sdg,OlivBr01,pass_att,0,,,,,
player,201710290nwe,sdg,OlivBr01,pass_yds,0,,,,,
player,201710290nwe,sdg,OlivBr01,pass_td,0,,,,,
player,201710290nwe,sdg,OlivBr01,pass_int,0,,,,,
player,201710290nwe,sdg,OlivBr01,pass_sacked,0,,,,,
player,201710290nwe,sdg,OlivBr01,pass_sacked_yds,0,,,,,
player,201710290nwe,sdg,OlivBr01,pass_long,0,,,,,
player,201710290nwe,sdg,OlivBr01,pass_rating,,,,,,
player,201710290nwe,sdg,OlivBr01,rush_att,3,,,,,
player,201710290nwe,sdg,OlivBr01,rush_yds,3,,,,,
player,201710290nwe,sdg,OlivBr01,rush_td,0,,,,,
player,201710290nwe,sdg,OlivBr01,rush_long,2,,,,,
player,201710290nwe,sdg,OlivBr01,targets,0,,,,,
player,201710290nwe,sdg,OlivBr01,rec,0,,,,,
player,201710290nwe,sdg,OlivBr01,rec_yds,0,,,,,
player,201710290nwe,sdg,OlivBr01,rec_td,0,,,,,
player,201710290nwe,sdg,OlivBr01,rec_long,0,,,,,
player,201710290nwe,sdg,OlivBr01,fumbles,0,,,,,
player,201710290nwe,sdg,OlivBr01,fumbles_lost,0,,,,,
player,201710290nwe,sdg,AlleKe00,pass_cmp,0,,,,,
player,201710290nwe,sdg,AlleKe00,pass_att,0,,,,,
player,201710290nwe,sdg,AlleKe00,pass_yds,0,,,,,
player,201710290nwe,sdg,AlleKe00,pass_td,0,,,,,
player,201710290nwe,sdg,AlleKe00,pass_int,0,,,,,
player,201710290nwe,sdg,AlleKe00,pass_sacked,0,,,,,
player,201710290nwe,sdg,AlleKe00,pass_sacked_yds,0,,,,,
player,201710290nwe,sdg,AlleKe00,pass_long,0,,,,,
player,201710290nwe,sdg,AlleKe00,pass_rating,,,,,,
player,201710290nwe,sdg,AlleKe00,rush_att,0,,,,,
player,201710290nwe,sdg,AlleKe00,rush_yds,0,,,,,
player,201710290nwe,sdg,AlleKe00,rush_td,0,,,,,
player,201710290nwe,sdg,AlleKe00,rush_long,0,,,,,
player,201710290nwe,sdg,AlleKe00,targets,5,,,,,
player,201710290nwe,sdg,AlleKe00,rec,4,,,,,
player,201710290nwe,sdg,AlleKe00,rec_yds,61,,,,,
player,201710290nwe,sdg,AlleKe00,rec_td,0,,,,,
player,201710290nwe,sdg,AlleKe00,rec_long,18,,,,,
player,201710290nwe,sdg,AlleKe00,fumbles,0,,,,,
player,201710290nwe,sdg,AlleKe00,fumbles_lost,0,,,,,
player,201710290nwe,sdg,GateAn00,pass_cmp,0,,,,,
player,201710290nwe,sdg,GateAn00,pass_att,0,,,,,
player,201710290nwe,sdg,GateAn00,pass_yds,0,,,,,
player,201710290nwe,sdg,GateAn00,pass_td,0,,,,,
player,201710290nwe,sdg,GateAn00,pass_int,0,,,,,
player,201710290nwe,sdg,GateAn00,pass_sacked,0,,,,,
player,201710290nwe,sdg,GateAn00,pass_sacked_yds,0,,,,,
player,201710290nwe,sdg,GateAn00,pass_long,0,,,,,
player,201710290nwe,sdg,GateAn00,pass_rating,,,,,,
player,201710290nwe,sdg,GateAn00,rush_att,0,,,,,
player,201710290nwe,sdg,GateAn00,rush_yds,0,,,,,
player,201710290nwe,sdg,GateAn00,rush_td,0,,,,,
player,201710290nwe,sdg,GateAn00,rush_long,0,,,,,
player,201710290nwe,sdg,GateAn00,targets,2,,,,,
player,201710290nwe,sdg,GateAn00,rec,2,,,,,
player,201710290nwe,sdg,GateAn00,rec_yds,25,,,,,
player,201710290nwe,sdg,GateAn00,rec_td,0,,,,,
player,201710290nwe,sdg,GateAn00,rec_long,16,,,,,
player,201710290nwe,sdg,GateAn00,fumbles,0,,,,,
player,201710290nwe,sdg,GateAn00,fumbles_lost,0,,,,,
player,201710290nwe,sdg,WillTy00,pass_cmp,0,,,,,
player,201710290nwe,sdg,WillTy00,pass_att,0,,,,,
player,201710290nwe,sdg,WillTy00,pass_yds,0,,,,,
player,201710290nwe,sdg,WillTy00,pass_td,0,,,,,
player,201710290nwe,sdg,WillTy00,pass_int,0,,,,,
player,201710290nwe,sdg,WillTy00,pass_sacked,0,,,,,
player,201710290nwe,sdg,WillTy00,pass_sacked_yds,0,,,,,
player,201710290nwe,sdg,WillTy00,pass_long,0,,,,,
player,201710290nwe,sdg,WillTy00,pass_rating,,,,,,
player,201710290nwe,sdg,WillTy00,rush_att,0,,,,,
player,201710290nwe,sdg,WillTy00,rush_yds,0,,,,,
player,201710290nwe,sdg,WillTy00,rush_td,0,,,,,
player,201710290nwe,sdg,WillTy00,rush_long,0,,,,,
player,201710290nwe,sdg,WillTy00,targets,6,,,,,
player,201710290nwe,sdg,WillTy00,rec,1,,,,,
player,201710290nwe,sdg,WillTy00,rec_yds,24,,,,,
player,201710290nwe,sdg,WillTy00,rec_td,0,,,,,
player,201710290nwe,sdg,WillTy00,rec_long,24,,,,,
player,201710290nwe,sdg,WillTy00,fumbles,0,,,,,
player,201710290nwe,sdg,WillTy00,fumbles_lost,0,,,,,
player,201710290nwe,sdg,HenrHu00,pass_cmp,0,,,,,
player,201710290nwe,sdg,HenrHu00,pass_att,0,,,,,
player,201710290nwe,sdg,HenrHu00,pass_yds,0,,,,,
player,201710290nwe,sdg,HenrHu00,pass_td,0,,,,,
player,201710290nwe,sdg,HenrHu00,pass_int,0,,,,,
player,201710290nwe,sdg,HenrHu00,pass_sacked,0,,,,,
player,201710290nwe,sdg,HenrHu00,pass_sacked_yds,0,,,,,
player,201710290nwe,sdg,HenrHu00,pass_long,0,,,,,
player,201710290nwe,sdg,HenrHu00,pass_rating,,,,,,
player,201710290nwe,sdg,HenrHu00,rush_att,0,,,,,
player,201710290nwe,sdg,HenrHu00,rush_yds,0,,,,,
player,201710290nwe,sdg,HenrHu00,rush_td,0,,,,,
player,201710290nwe,sdg,HenrHu00,rush_long,0,,,,,
player,201710290nwe,sdg,HenrHu00,targets,2,,,,,
player,201710290nwe,sdg,HenrHu00,rec,2,,,,,
player,201710290nwe,sdg,HenrHu00,rec_yds,11,,,,,
player,201710290nwe,sdg,HenrHu00,rec_td,0,,,,,
player,201710290nwe,sdg,HenrHu00,rec_long,7,,,,,
player,201710290nwe,sdg,HenrHu00,fumbles,0,,,,,
player,201710290nwe,sdg,HenrHu00,fumbles_lost,0,,,,,
player,201710290nwe,sdg,WillMi07,pass_cmp,0,,,,,
player,201710290nwe,sdg,WillMi07,pass_att,0,,,,,
player,201710290nwe,sdg,WillMi07,pass_yds,0,,,,,
player,201710290nwe,sdg,WillMi07,pass_td,0,,,,,
player,201710290nwe,sdg,WillMi07,pass_int,0,,,,,
player,201710290nwe,sdg,WillMi07,pass_sacked,0,,,,,
player,201710290nwe,sdg,WillMi07,pass_sacked_yds,0,,,,,
player,201710290nwe,sdg,WillMi07,pass_long,0,,,,,
player,201710290nwe,sdg,WillMi07,pass_rating,,,,,,
player,201710290nwe,sdg,WillMi07,rush_att,0,,,,,
player,201710290nwe,sdg,WillMi07,rush_yds,0,,,,,
player,201710290nwe,sdg,WillMi07,rush_td,0,,,,,
player,201710290nwe,sdg,WillMi07,rush_long,0,,,,,
player,201710290nwe,sdg,WillMi07,targets,2,,,,,
player,201710290nwe,sdg,WillMi07,rec,1,,,,,
player,201710290nwe,sdg,WillMi07,rec_yds,7,,,,,
player,201710290nwe,sdg,WillMi07,rec_td,0,,,,,
player,201710290nwe,sdg,WillMi07,rec_long,7,,,,,
player,201710290nwe,sdg,WillMi07,fumbles,0,,,,,
player,201710290nwe,sdg,WillMi07,fumbles_lost,0,,,,,
player,201710290nwe,nwe,BradTo00,pass_cmp,32,,,,,
player,201710290nwe,nwe,BradTo00,pass_att,47,,,,,
player,201710290nwe,nwe,BradTo00,pass_yds,333,,,,,
player,201710290nwe,nwe,BradTo00,pass_td,1,,,,,
player,201710290nwe,nwe,BradTo00,pass_int,0,,,,,
player,201710290nwe,nwe,BradTo00,pass_sacked,3,,,,,
player,201710290nwe,nwe,BradTo00,pass_sacked_yds,16,,,,,
player,201710290nwe,nwe,BradTo00,pass_long,27,,,,,
player,201710290nwe,nwe,BradTo00,pass_rating,95.4,,,,,
player,201710290nwe,nwe,BradTo00,rush_att,1,,,,,
player,201710290nwe,nwe,BradTo00,rush_yds,2,,,,,
player,201710290nwe,nwe,BradTo00,rush_td,0,,,,,
player,201710290nwe,nwe,BradTo00,rush_long,2,,,,,
player,201710290nwe,nwe,BradTo00,targets,0,,,,,
player,201710290nwe,nwe,BradTo00,rec,0,,,,,
player,201710290nwe,nwe,BradTo00,rec_yds,0,,,,,
player,201710290nwe,nwe,BradTo00,rec_td,0,,,,,
player,201710290nwe,nwe,BradTo00,rec_long,0,,,,,
player,201710290nwe,nwe,BradTo00,fumbles,0,,,,,
player,201710290nwe,nwe,BradTo00,fumbles_lost,0,,,,,
player,201710290nwe,nwe,LewiDi00,pass_cmp,0,,,,,
player,201710290nwe,nwe,LewiDi00,pass_att,0,,,,,
player,201710290nwe,nwe,LewiDi00,pass_yds,0,,,,,
player,201710290nwe,nwe,LewiDi00,pass_td,0,,,,,
player,201710290nwe,nwe,LewiDi00,pass_int,0,,,,,
player,201710290nwe,nwe,LewiDi00,pass_sacked,0,,,,,
player,201710290nwe,nwe,LewiDi00,pass_sacked_yds,0,,,,,
player,201710290nwe,nwe,LewiDi00,pass_long,0,,,,,
player,201710290nwe,nwe,LewiDi00,pass_rating,,,,,,
player,201710290nwe,nwe,LewiDi00,rush_att,15,,,,,
player,201710290nwe,nwe,LewiDi00,rush_yds,44,,,,,
player,201710290nwe,nwe,LewiDi00,rush_td,0,,,,,
player,201710290nwe,nwe,LewiDi00,rush_long,10,,,,,
player,201710290nwe,nwe,LewiDi00,targets,2,,,,,
player,201710290nwe,nwe,LewiDi00,rec,2,,,,,
player,201710290nwe,nwe,LewiDi00,rec_yds,10,,,,,
player,201710290nwe,nwe,LewiDi00,rec_td,0,,,,,
player,201710290nwe,nwe,LewiDi00,rec_long,11,,,,,
player,201710290nwe,nwe,LewiDi00,fumbles,0,,,,,
player,201710290nwe,nwe,LewiDi00,fumbles_lost,0,,,,,
player,201710290nwe,nwe,GillMi00,pass_cmp,0,,,,,
player,201710290nwe,nwe,GillMi00,pass_att,0,,,,,
player,201710290nwe,nwe,GillMi00,pass_yds,0,,,,,
player,201710290nwe,nwe,GillMi00,pass_td,0,,,,,
player,201710290nwe,nwe,GillMi00,pass_int,0,,,,,
player,201710290nwe,nwe,GillMi00,pass_sacked,0,,,,,
player,201710290nwe,nwe,GillMi00,pass_sacked_yds,0,,,,,
player,201710290nwe,nwe,GillMi00,pass_long,0,,,,,
player,201710290nwe,nwe,GillMi00,pass_rating,,,,,,
player,201710290nwe,nwe,GillMi00,rush_att,11,,,,,
player,201710290nwe,nwe,GillMi00,rush_yds,34,,,,,
player,201710290nwe,nwe,GillMi00,rush_td,0,,,,,
player,201710290nwe,nwe,GillMi00,rush_long,9,,,,,
player,201710290nwe,nwe,GillMi00,targets,0,,,,,
