game,2017,13,20171203,201712030sea,phi,"Philadelphia Eagles",10,sea,"Seattle Seahawks",24
team,201712030sea,phi,First Downs,25,,,,,,
team,201712030sea,sea,First Downs,20,,,,,,
team,201712030sea,phi,Rush-Yds-TDs,26-98-0,,,,,,
team,201712030sea,sea,Rush-Yds-TDs,25-101-0,,,,,,
team,201712030sea,phi,Cmp-Att-Yd-TD-INT,29-45-348-1-1,,,,,,
team,201712030sea,sea,Cmp-Att-Yd-TD-INT,20-31-227-3-0,,,,,,
team,201712030sea,phi,Sacked-Yards,3-21,,,,,,
team,201712030sea,sea,Sacked-Yards,2-18,,,,,,
team,201712030sea,phi,Net Pass Yards,327,,,,,,
team,201712030sea,sea,Net Pass Yards,209,,,,,,
team,201712030sea,phi,Total Yards,425,,,,,,
team,201712030sea,sea,Total Yards,310,,,,,,
team,201712030sea,phi,Fumbles-Lost,2-1,,,,,,
team,201712030sea,sea,Fumbles-Lost,0-0,,,,,,
team,201712030sea,phi,Turnovers,2,,,,,,
team,201712030sea,sea,Turnovers,0,,,,,,
team,201712030sea,phi,Penalties-Yards,7-64,,,,,,
team,201712030sea,sea,Penalties-Yards,5-46,,,,,,
team,201712030sea,phi,Third Down Conv.,8-16,,,,,,
team,201712030sea,sea,Third Down Conv.,6-12,,,,,,
team,201712030sea,phi,Fourth Down Conv.,2-4,,,,,,
team,201712030sea,sea,Fourth Down Conv.,0-0,,,,,,
team,201712030sea,phi,Time of Possession,31:54,,,,,,
team,201712030sea,sea,Time of Possession,28:06,,,,,,
player,201712030sea,phi,WentCa00,pass_cmp,29,,,,,
player,201712030sea,phi,WentCa00,pass_att,45,,,,,
player,201712030sea,phi,WentCa00,pass_yds,348,,,,,
player,201712030sea,phi,WentCa00,pass_td,1,,,,,
player,201712030sea,phi,WentCa00,pass_int,1,,,,,
player,201712030sea,phi,WentCa00,pass_sacked,3,,,,,
player,201712030sea,phi,WentCa00,pass_sacked_yds,21,,,,,
player,201712030sea,phi,WentCa00,pass_long,51,,,,,
player,201712030sea,phi,WentCa00,pass_rating,86.2,,,,,
player,201712030sea,phi,WentCa00,rush_att,6,,,,,
player,201712030sea,phi,WentCa00,rush_yds,30,,,,,
player,201712030sea,phi,WentCa00,rush_td,0,,,,,
player,201712030sea,phi,WentCa00,rush_long,12,,,,,
player,201712030sea,phi,WentCa00,targets,0,,,,,
player,201712030sea,phi,WentCa00,rec,0,,,,,
player,201712030sea,phi,WentCa00,rec_yds,0,,,,,
player,201712030sea,phi,WentCa00,rec_td,0,,,,,
player,201712030sea,phi,WentCa00,rec_long,0,,,,,
player,201712030sea,phi,WentCa00,fumbles,2,,,,,
player,201712030sea,phi,WentCa00,fumbles_lost,1,,,,,
player,201712030sea,phi,AjayJa00,pass_cmp,0,,,,,
player,201712030sea,phi,AjayJa00,pass_att,0,,,,,
player,201712030sea,phi,AjayJa00,pass_yds,0,,,,,
player,201712030sea,phi,AjayJa00,pass_td,0,,,,,
player,201712030sea,phi,AjayJa00,pass_int,0,,,,,
player,201712030sea,phi,AjayJa00,pass_sacked,0,,,,,
player,201712030sea,phi,AjayJa00,pass_sacked_yds,0,,,,,
player,201712030sea,phi,AjayJa00,pass_long,0,,,,,
player,201712030sea,phi,AjayJa00,pass_rating,,,,,,
player,201712030sea,phi,AjayJa00,rush_att,9,,,,,
player,201712030sea,phi,AjayJa00,rush_yds,35,,,,,
player,201712030sea,phi,AjayJa00,rush_td,0,,,,,
player,201712030sea,phi,AjayJa00,rush_long,11,,,,,
player,201712030sea,phi,AjayJa00,targets,4,,,,,
player,201712030sea,phi,AjayJa00,rec,3,,,,,
player,201712030sea,phi,AjayJa00,rec_yds,11,,,,,
player,201712030sea,phi,AjayJa00,rec_td,0,,,,,
player,201712030sea,phi,AjayJa00,rec_long,11,,,,,
player,201712030sea,phi,AjayJa00,fumbles,0,,,,,
player,201712030sea,phi,AjayJa00,fumbles_lost,0,,,,,
player,201712030sea,phi,BlouLe00,pass_cmp,0,,,,,
player,201712030sea,phi,BlouLe00,pass_att,0,,,,,
player,201712030sea,phi,BlouLe00,pass_yds,0,,,,,
player,201712030sea,phi,BlouLe00,pass_td,0,,,,,
player,201712030sea,phi,BlouLe00,pass_int,0,,,,,
player,201712030sea,phi,BlouLe00,pass_sacked,0,,,,,
player,201712030sea,phi,BlouLe00,pass_sacked_yds,0,,,,,
player,201712030sea,phi,BlouLe00,pass_long,0,,,,,
player,201712030sea,phi,BlouLe00,pass_rating,,,,,,
player,201712030sea,phi,BlouLe00,rush_att,8,,,,,
player,201712030sea,phi,BlouLe00,rush_yds,26,,,,,
player,201712030sea,phi,BlouLe00,rush_td,0,,,,,
player,201712030sea,phi,BlouLe00,rush_long,11,,,,,
player,201712030sea,phi,BlouLe00,targets,0,,,,,
player,201712030sea,phi,BlouLe00,rec,0,,,,,
player,201712030sea,phi,BlouLe00,rec_yds,0,,,,,
player,201712030sea,phi,BlouLe00,rec_td,0,,,,,
player,201712030sea,phi,BlouLe00,rec_long,0,,,,,
player,201712030sea,phi,BlouLe00,fumbles,0,,,,,
player,201712030sea,phi,BlouLe00,fumbles_lost,0,,,,,
player,201712030sea,phi,ClemCo00,pass_cmp,0,,,,,
player,201712030sea,phi,ClemCo00,pass_att,0,,,,,
player,201712030sea,phi,ClemCo00,pass_yds,0,,,,,
player,201712030sea,phi,ClemCo00,pass_td,0,,,,,
player,201712030sea,phi,ClemCo00,pass_int,0,,,,,
player,201712030sea,phi,ClemCo00,pass_sacked,0,,,,,
player,201712030sea,phi,ClemCo00,pass_sacked_yds,0,,,,,
player,201712030sea,phi,ClemCo00,pass_long,0,,,,,
player,201712030sea,phi,ClemCo00,pass_rating,,,,,,
player,201712030sea,phi,ClemCo00,rush_att,3,,,,,
player,201712030sea,phi,ClemCo00,rush_yds,7,,,,,
player,201712030sea,phi,ClemCo00,rush_td,0,,,,,
player,201712030sea,phi,ClemCo00,rush_long,8,,,,,
