game,2017,6,20171015,201710150rav,chi,"Chicago Bears",27,rav,"Baltimore Ravens",24
team,201710150rav,chi,First Downs,18,,,,,,
team,201710150rav,rav,First Downs,16,,,,,,
team,201710150rav,chi,Rush-Yds-TDs,54-231-0,,,,,,
team,201710150rav,rav,Rush-Yds-TDs,26-125-0,,,,,,
team,201710150rav,chi,Cmp-Att-Yd-TD-INT,9-17-134-2-0,,,,,,
team,201710150rav,rav,Cmp-Att-Yd-TD-INT,24-41-180-0-2,,,,,,
team,201710150rav,chi,Sacked-Yards,4-23,,,,,,
team,201710150rav,rav,Sacked-Yards,3-14,,,,,,
team,201710150rav,chi,Net Pass Yards,111,,,,,,
team,201710150rav,rav,Net Pass Yards,166,,,,,,
team,201710150rav,chi,Total Yards,342,,,,,,
team,201710150rav,rav,Total Yards,291,,,,,,
team,201710150rav,chi,Fumbles-Lost,4-2,,,,,,
team,201710150rav,rav,Fumbles-Lost,1-1,,,,,,
team,201710150rav,chi,Turnovers,2,,,,,,
team,201710150rav,rav,Turnovers,3,,,,,,
team,201710150rav,chi,Penalties-Yards,5-44,,,,,,
team,201710150rav,rav,Penalties-Yards,8-69,,,,,,
team,201710150rav,chi,Third Down Conv.,5-17,,,,,,
team,201710150rav,rav,Third Down Conv.,3-18,,,,,,
team,201710150rav,chi,Fourth Down Conv.,0-0,,,,,,
team,201710150rav,rav,Fourth Down Conv.,1-1,,,,,,
team,201710150rav,chi,Time of Possession,36:45,,,,,,
team,201710150rav,rav,Time of Possession,31:09,,,,,,
player,201710150rav,chi,TrubMi00,pass_cmp,8,,,,,
player,201710150rav,chi,TrubMi00,pass_att,16,,,,,
player,201710150rav,chi,TrubMi00,pass_yds,113,,,,,
player,201710150rav,chi,TrubMi00,pass_td,1,,,,,
player,201710150rav,chi,TrubMi00,pass_int,0,,,,,
player,201710150rav,chi,TrubMi00,pass_sacked,4,,,,,
player,201710150rav,chi,TrubMi00,pass_sacked_yds,23,,,,,
player,201710150rav,chi,TrubMi00,pass_long,27,,,,,
player,201710150rav,chi,TrubMi00,pass_rating,94.0,,,,,
player,201710150rav,chi,TrubMi00,rush_att,4,,,,,
player,201710150rav,chi,TrubMi00,rush_yds,32,,,,,
player,201710150rav,chi,TrubMi00,rush_td,0,,,,,
player,201710150rav,chi,TrubMi00,rush_long,19,,,,,
player,201710150rav,chi,TrubMi00,targets,0,,,,,
player,201710150rav,chi,TrubMi00,rec,0,,,,,
player,201710150rav,chi,TrubMi00,rec_yds,0,,,,,
player,201710150rav,chi,TrubMi00,rec_td,0,,,,,
player,201710150rav,chi,TrubMi00,rec_long,0,,,,,
player,201710150rav,chi,TrubMi00,fumbles,2,,,,,
player,201710150rav,chi,TrubMi00,fumbles_lost,1,,,,,
player,201710150rav,chi,CoheTa00,pass_cmp,1,,,,,
player,201710150rav,chi,CoheTa00,pass_att,1,,,,,
player,201710150rav,chi,CoheTa00,pass_yds,21,,,,,
player,201710150rav,chi,CoheTa00,pass_td,1,,,,,
player,201710150rav,chi,CoheTa00,pass_int,0,,,,,
player,201710150rav,chi,CoheTa00,pass_sacked,0,,,,,
player,201710150rav,chi,CoheTa00,pass_sacked_yds,0,,,,,
player,201710150rav,chi,CoheTa00,pass_long,21,,,,,
player,201710150rav,chi,CoheTa00,pass_rating,158.3,,,,,
player,201710150rav,chi,CoheTa00,rush_att,14,,,,,
player,201710150rav,chi,CoheTa00,rush_yds,32,,,,,
player,201710150rav,chi,CoheTa00,rush_td,0,,,,,
player,201710150rav,chi,CoheTa00,rush_long,9,,,,,
player,201710150rav,chi,CoheTa00,targets,3,,,,,
player,201710150rav,chi,CoheTa00,rec,1,,,,,
player,201710150rav,chi,CoheTa00,rec_yds,14,,,,,
player,201710150rav,chi,CoheTa00,rec_td,0,,,,,
player,201710150rav,chi,CoheTa00,rec_long,14,,,,,
player,201710150rav,chi,CoheTa00,fumbles,1,,,,,
player,201710150rav,chi,CoheTa00,fumbles_lost,1,,,,,
player,201710150rav,chi,HowaJo00,pass_cmp,0,,,,,
player,201710150rav,chi,HowaJo00,pass_att,0,,,,,
player,201710150rav,chi,HowaJo00,pass_yds,0,,,,,
player,201710150rav,chi,HowaJo00,pass_td,0,,,,,
player,201710150rav,chi,HowaJo00,pass_int,0,,,,,
player,201710150rav,chi,HowaJo00,pass_sacked,0,,,,,
player,201710150rav,chi,HowaJo00,pass_sacked_yds,0,,,,,
player,201710150rav,chi,HowaJo00,pass_long,0,,,,,
player,201710150rav,chi,HowaJo00,pass_rating,,,,,,
player,201710150rav,chi,HowaJo00,rush_att,36,,,,,
player,201710150rav,chi,HowaJo00,rush_yds,167,,,,,
player,201710150rav,chi,HowaJo00,rush_td,0,,,,,
player,201710150rav,chi,HowaJo00,rush_long,53,,,,,
player,201710150rav,chi,HowaJo00,targets,1,,,,,
player,201710150rav,chi,HowaJo00,rec,1,,,,,
player,201710150rav,chi,HowaJo00,rec_yds,9,,,,,
player,201710150rav,chi,HowaJo00,rec_td,0,,,,,
