game,2017,11,20171119,201711190mia,tam,"Tampa Bay Buccaneers",30,mia,"Miami Dolphins",20
team,201711190mia,tam,First Downs,19,,,,,,
team,201711190mia,mia,First Downs,18,,,,,,
team,201711190mia,tam,Rush-Yds-TDs,24-53-0,,,,,,
team,201711190mia,mia,Rush-Yds-TDs,19-83-0,,,,,,
team,201711190mia,tam,Cmp-Att-Yd-TD-INT,22-37-275-2-0,,,,,,
team,201711190mia,mia,Cmp-Att-Yd-TD-INT,23-40-365-2-3,,,,,,
team,201711190mia,tam,Sacked-Yards,1-7,,,,,,
team,201711190mia,mia,Sacked-Yards,1-0,,,,,,
team,201711190mia,tam,Net Pass Yards,268,,,,,,
team,201711190mia,mia,Net Pass Yards,365,,,,,,
team,201711190mia,tam,Total Yards,321,,,,,,
team,201711190mia,mia,Total Yards,448,,,,,,
team,201711190mia,tam,Fumbles-Lost,0-0,,,,,,
team,201711190mia,mia,Fumbles-Lost,4-2,,,,,,
team,201711190mia,tam,Turnovers,0,,,,,,
team,201711190mia,mia,Turnovers,5,,,,,,
team,201711190mia,tam,Penalties-Yards,9-82,,,,,,
team,201711190mia,mia,Penalties-Yards,17-123,,,,,,
team,201711190mia,tam,Third Down Conv.,3-13,,,,,,
team,201711190mia,mia,Third Down Conv.,6-13,,,,,,
team,201711190mia,tam,Fourth Down Conv.,0-0,,,,,,
team,201711190mia,mia,Fourth Down Conv.,0-1,,,,,,
team,201711190mia,tam,Time of Possession,31:49,,,,,,
team,201711190mia,mia,Time of Possession,28:11,,,,,,
player,201711190mia,tam,FitzRy00,pass_cmp,22,,,,,
player,201711190mia,tam,FitzRy00,pass_att,37,,,,,
player,201711190mia,tam,FitzRy00,pass_yds,275,,,,,
player,201711190mia,tam,FitzRy00,pass_td,2,,,,,
player,201711190mia,tam,FitzRy00,pass_int,0,,,,,
player,201711190mia,tam,FitzRy00,pass_sacked,1,,,,,
player,201711190mia,tam,FitzRy00,pass_sacked_yds,7,,,,,
player,201711190mia,tam,FitzRy00,pass_long,29,,,,,
player,201711190mia,tam,FitzRy00,pass_rating,100.6,,,,,
player,201711190mia,tam,FitzRy00,rush_att,3,,,,,
player,201711190mia,tam,FitzRy00,rush_yds,9,,,,,
player,201711190mia,tam,FitzRy00,rush_td,0,,,,,
player,201711190mia,tam,FitzRy00,rush_long,6,,,,,
player,201711190mia,tam,FitzRy00,targets,0,,,,,
player,201711190mia,tam,FitzRy00,rec,0,,,,,
player,201711190mia,tam,FitzRy00,rec_yds,0,,,,,
player,201711190mia,tam,FitzRy00,rec_td,0,,,,,
player,201711190mia,tam,FitzRy00,rec_long,0,,,,,
player,201711190mia,tam,FitzRy00,fumbles,0,,,,,
player,201711190mia,tam,FitzRy00,fumbles_lost,0,,,,,
player,201711190mia,tam,MartDo00,pass_cmp,0,,,,,
player,201711190mia,tam,MartDo00,pass_att,0,,,,,
player,201711190mia,tam,MartDo00,pass_yds,0,,,,,
player,201711190mia,tam,MartDo00,pass_td,0,,,,,
player,201711190mia,tam,MartDo00,pass_int,0,,,,,
player,201711190mia,tam,MartDo00,pass_sacked,0,,,,,
player,201711190mia,tam,MartDo00,pass_sacked_yds,0,,,,,
player,201711190mia,tam,MartDo00,pass_long,0,,,,,
player,201711190mia,tam,MartDo00,pass_rating,,,,,,
player,201711190mia,tam,MartDo00,rush_att,19,,,,,
player,201711190mia,tam,MartDo00,rush_yds,38,,,,,
player,201711190mia,tam,MartDo00,rush_td,0,,,,,
player,201711190mia,tam,MartDo00,rush_long,13,,,,,
player,201711190mia,tam,MartDo00,targets,3,,,,,
player,201711190mia,tam,MartDo00,rec,2,,,,,
player,201711190mia,tam,MartDo00,rec_yds,6,,,,,
player,201711190mia,tam,MartDo00,rec_td,0,,,,,
player,201711190mia,tam,MartDo00,rec_long,9,,,,,
player,201711190mia,tam,MartDo00,fumbles,0,,,,,
player,201711190mia,tam,MartDo00,fumbles_lost,0,,,,,
player,201711190mia,tam,SimsCh00,pass_cmp,0,,,,,
player,201711190mia,tam,SimsCh00,pass_att,0,,,,,
player,201711190mia,tam,SimsCh00,pass_yds,0,,,,,
player,201711190mia,tam,SimsCh00,pass_td,0,,,,,
player,201711190mia,tam,SimsCh00,pass_int,0,,,,,
player,201711190mia,tam,SimsCh00,pass_sacked,0,,,,,
player,201711190mia,tam,SimsCh00,pass_sacked_yds,0,,,,,
player,201711190mia,tam,SimsCh00,pass_long,0,,,,,
player,201711190mia,tam,SimsCh00,pass_rating,,,,,,
player,201711190mia,tam,SimsCh00,rush_att,1,,,,,
player,201711190mia,tam,SimsCh00,rush_yds,3,,,,,
player,201711190mia,tam,SimsCh00,rush_td,0,,,,,
player,201711190mia,tam,SimsCh00,rush_long,3,,,,,
player,201711190mia,tam,SimsCh00,targets,5,,,,,
player,201711190mia,tam,SimsCh00,rec,3,,,,,
player,201711190mia,tam,SimsCh00,rec_yds,25,,,,,
player,201711190mia,tam,SimsCh00,rec_td,0,,,,,
player,201711190mia,tam,SimsCh00,rec_long,15,,,,,
player,201711190mia,tam,SimsCh00,fumbles,0,,,,,
player,201711190mia,tam,SimsCh00,fumbles_lost,0,,,,,
player,201711190mia,tam,RodgJa00,pass_cmp,0,,,,,
player,201711190mia,tam,RodgJa00,pass_att,0,,,,,
player,201711190mia,tam,RodgJa00,pass_yds,0,,,,,
player,201711190mia,tam,RodgJa00,pass_td,0,,,,,
player,201711190mia,tam,RodgJa00,pass_int,0,,,,,
player,201711190mia,tam,RodgJa00,pass_sacked,0,,,,,
player,201711190mia,tam,RodgJa00,pass_sacked_yds,0,,,,,
player,201711190mia,tam,RodgJa00,pass_long,0,,,,,
player,201711190mia,tam,RodgJa00,pass_rating,,,,,,
player,201711190mia,tam,RodgJa00,rush_att,1,,,,,
player,201711190mia,tam,RodgJa00,rush_yds,3,,,,,
player,201711190mia,tam,RodgJa00,rush_td,0,,,,,
player,201711190mia,tam,RodgJa00,rush_long,3,,,,,
player,201711190mia,tam,RodgJa00,targets,0,,,,,
player,201711190mia,tam,RodgJa00,rec,0,,,,,
player,201711190mia,tam,RodgJa00,rec_yds,0,,,,,
player,201711190mia,tam,RodgJa00,rec_td,0,,,,,
player,201711190mia,tam,RodgJa00,rec_long,0,,,,,
player,201711190mia,tam,RodgJa00,fumbles,0,,,,,
player,201711190mia,tam,RodgJa00,fumbles_lost,0,,,,,
player,201711190mia,tam,EvanMi00,pass_cmp,0,,,,,
player,201711190mia,tam,EvanMi00,pass_att,0,,,,,
player,201711190mia,tam,EvanMi00,pass_yds,0,,,,,
player,201711190mia,tam,EvanMi00,pass_td,0,,,,,
player,201711190mia,tam,EvanMi00,pass_int,0,,,,,
player,201711190mia,tam,EvanMi00,pass_sacked,0,,,,,
player,201711190mia,tam,EvanMi00,pass_sacked_yds,0,,,,,
player,201711190mia,tam,EvanMi00,pass_long,0,,,,,
player,201711190mia,tam,EvanMi00,pass_rating,,,,,,
player,201711190mia,tam,EvanMi00,rush_att,0,,,,,
player,201711190mia,tam,EvanMi00,rush_yds,0,,,,,
player,201711190mia,tam,EvanMi00,rush_td,0,,,,,
player,201711190mia,tam,EvanMi00,rush_long,0,,,,,
player,201711190mia,tam,EvanMi00,targets,10,,,,,
player,201711190mia,tam,EvanMi00,rec,5,,,,,
player,201711190mia,tam,EvanMi00,rec_yds,92,,,,,
player,201711190mia,tam,EvanMi00,rec_td,0,,,,,
player,201711190mia,tam,EvanMi00,rec_long,29,,,,,
player,201711190mia,tam,EvanMi00,fumbles,0,,,,,
player,201711190mia,tam,EvanMi00,fumbles_lost,0,,,,,
player,201711190mia,tam,HowaO.00,pass_cmp,0,,,,,
player,201711190mia,tam,HowaO.00,pass_att,0,,,,,
player,201711190mia,tam,HowaO.00,pass_yds,0,,,,,
player,201711190mia,tam,HowaO.00,pass_td,0,,,,,
player,201711190mia,tam,HowaO.00,pass_int,0,,,,,
player,201711190mia,tam,HowaO.00,pass_sacked,0,,,,,
player,201711190mia,tam,HowaO.00,pass_sacked_yds,0,,,,,
player,201711190mia,tam,HowaO.00,pass_long,0,,,,,
player,201711190mia,tam,HowaO.00,pass_rating,,,,,,
player,201711190mia,tam,HowaO.00,rush_att,0,,,,,
player,201711190mia,tam,HowaO.00,rush_yds,0,,,,,
player,201711190mia,tam,HowaO.00,rush_td,0,,,,,
player,201711190mia,tam,HowaO.00,rush_long,0,,,,,
player,201711190mia,tam,HowaO.00,targets,4,,,,,
player,201711190mia,tam,HowaO.00,rec,3,,,,,
player,201711190mia,tam,HowaO.00,rec_yds,52,,,,,
player,201711190mia,tam,HowaO.00,rec_td,1,,,,,
player,201711190mia,tam,HowaO.00,rec_long,24,,,,,
player,201711190mia,tam,HowaO.00,fumbles,0,,,,,
player,201711190mia,tam,HowaO.00,fumbles_lost,0,,,,,
player,201711190mia,tam,GodwCh00,pass_cmp,0,,,,,
player,201711190mia,tam,GodwCh00,pass_att,0,,,,,
player,201711190mia,tam,GodwCh00,pass_yds,0,,,,,
player,201711190mia,tam,GodwCh00,pass_td,0,,,,,
player,201711190mia,tam,GodwCh00,pass_int,0,,,,,
player,201711190mia,tam,GodwCh00,pass_sacked,0,,,,,
player,201711190mia,tam,GodwCh00,pass_sacked_yds,0,,,,,
player,201711190mia,tam,GodwCh00,pass_long,0,,,,,
player,201711190mia,tam,GodwCh00,pass_rating,,,,,,
player,201711190mia,tam,GodwCh00,rush_att,0,,,,,
player,201711190mia,tam,GodwCh00,rush_yds,0,,,,,
player,201711190mia,tam,GodwCh00,rush_td,0,,,,,
player,201711190mia,tam,GodwCh00,rush_long,0,,,,,
player,201711190mia,tam,GodwCh00,targets,2,,,,,
player,201711190mia,tam,GodwCh00,rec,2,,,,,
player,201711190mia,tam,GodwCh00,rec_yds,38,,,,,
player,201711190mia,tam,GodwCh00,rec_td,0,,,,,
player,201711190mia,tam,GodwCh00,rec_long,24,,,,,
player,201711190mia,tam,GodwCh00,fumbles,0,,,,,
player,201711190mia,tam,GodwCh00,fumbles_lost,0,,,,,
player,201711190mia,tam,JackDe00,pass_cmp,0,,,,,
player,201711190mia,tam,JackDe00,pass_att,0,,,,,
player,201711190mia,tam,JackDe00,pass_yds,0,,,,,
player,201711190mia,tam,JackDe00,pass_td,0,,,,,
player,201711190mia,tam,JackDe00,pass_int,0,,,,,
player,201711190mia,tam,JackDe00,pass_sacked,0,,,,,
player,201711190mia,tam,JackDe00,pass_sacked_yds,0,,,,,
player,201711190mia,tam,JackDe00,pass_long,0,,,,,
player,201711190mia,tam,JackDe00,pass_rating,,,,,,
player,201711190mia,tam,JackDe00,rush_att,0,,,,,
player,201711190mia,tam,JackDe00,rush_yds,0,,,,,
player,201711190mia,tam,JackDe00,rush_td,0,,,,,
player,201711190mia,tam,JackDe00,rush_long,0,,,,,
player,201711190mia,tam,JackDe00,targets,3,,,,,
player,201711190mia,tam,JackDe00,rec,2,,,,,
player,201711190mia,tam,JackDe00,rec_yds,28,,,,,
player,201711190mia,tam,JackDe00,rec_td,1,,,,,
player,201711190mia,tam,JackDe00,rec_long,24,,,,,
player,201711190mia,tam,JackDe00,fumbles,0,,,,,
player,201711190mia,tam,JackDe00,fumbles_lost,0,,,,,
player,201711190mia,tam,BratCa00,pass_cmp,0,,,,,
player,201711190mia,tam,BratCa00,pass_att,0,,,,,
player,201711190mia,tam,BratCa00,pass_yds,0,,,,,
player,201711190mia,tam,BratCa00,pass_td,0,,,,,
player,201711190mia,tam,BratCa00,pass_int,0,,,,,
player,201711190mia,tam,BratCa00,pass_sacked,0,,,,,
player,201711190mia,tam,BratCa00,pass_sacked_yds,0,,,,,
player,201711190mia,tam,BratCa00,pass_long,0,,,,,
player,201711190mia,tam,BratCa00,pass_rating,,,,,,
player,201711190mia,tam,BratCa00,rush_att,0,,,,,
player,201711190mia,tam,BratCa00,rush_yds,0,,,,,
player,201711190mia,tam,BratCa00,rush_td,0,,,,,
player,201711190mia,tam,BratCa00,rush_long,0,,,,,
player,201711190mia,tam,BratCa00,targets,3,,,,,
player,201711190mia,tam,BratCa00,rec,1,,,,,
player,201711190mia,tam,BratCa00,rec_yds,12,,,,,
player,201711190mia,tam,BratCa00,rec_td,0,,,,,
player,201711190mia,tam,BratCa00,rec_long,12,,,,,
player,201711190mia,tam,BratCa00,fumbles,0,,,,,
player,201711190mia,tam,BratCa00,fumbles_lost,0,,,,,
player,201711190mia,tam,BarbPe01,pass_cmp,0,,,,,
player,201711190mia,tam,BarbPe01,pass_att,0,,,,,
player,201711190mia,tam,BarbPe01,pass_yds,0,,,,,
player,201711190mia,tam,BarbPe01,pass_td,0,,,,,
player,201711190mia,tam,BarbPe01,pass_int,0,,,,,
player,201711190mia,tam,BarbPe01,pass_sacked,0,,,,,
player,201711190mia,tam,BarbPe01,pass_sacked_yds,0,,,,,
player,201711190mia,tam,BarbPe01,pass_long,0,,,,,
player,201711190mia,tam,BarbPe01,pass_rating,,,,,,
player,201711190mia,tam,BarbPe01,rush_att,0,,,,,
player,201711190mia,tam,BarbPe01,rush_yds,0,,,,,
player,201711190mia,tam,BarbPe01,rush_td,0,,,,,
player,201711190mia,tam,BarbPe01,rush_long,0,,,,,
player,201711190mia,tam,BarbPe01,targets,2,,,,,
player,201711190mia,tam,BarbPe01,rec,2,,,,,
player,201711190mia,tam,BarbPe01,rec_yds,11,,,,,
player,201711190mia,tam,BarbPe01,rec_td,0,,,,,
player,201711190mia,tam,BarbPe01,rec_long,6,,,,,
player,201711190mia,tam,BarbPe01,fumbles,0,,,,,
player,201711190mia,tam,BarbPe01,fumbles_lost,0,,,,,
player,201711190mia,tam,HumpAd00,pass_cmp,0,,,,,
player,201711190mia,tam,HumpAd00,pass_att,0,,,,,
player,201711190mia,tam,HumpAd00,pass_yds,0,,,,,
player,201711190mia,tam,HumpAd00,pass_td,0,,,,,
player,201711190mia,tam,HumpAd00,pass_int,0,,,,,
player,201711190mia,tam,HumpAd00,pass_sacked,0,,,,,
player,201711190mia,tam,HumpAd00,pass_sacked_yds,0,,,,,
player,201711190mia,tam,HumpAd00,pass_long,0,,,,,
player,201711190mia,tam,HumpAd00,pass_rating,,,,,,
player,201711190mia,tam,HumpAd00,rush_att,0,,,,,
player,201711190mia,tam,HumpAd00,rush_yds,0,,,,,
player,201711190mia,tam,HumpAd00,rush_td,0,,,,,
player,201711190mia,tam,HumpAd00,rush_long,0,,,,,
player,201711190mia,tam,HumpAd00,targets,4,,,,,
player,201711190mia,tam,HumpAd00,rec,2,,,,,
player,201711190mia,tam,HumpAd00,rec_yds,11,,,,,
player,201711190mia,tam,HumpAd00,rec_td,0,,,,,
player,201711190mia,tam,HumpAd00,rec_long,8,,,,,
player,201711190mia,tam,HumpAd00,fumbles,0,,,,,
player,201711190mia,tam,HumpAd00,fumbles_lost,0,,,,,
player,201711190mia,mia,MoorMa01,pass_cmp,17,,,,,
player,201711190mia,mia,MoorMa01,pass_att,28,,,,,
player,201711190mia,mia,MoorMa01,pass_yds,282,,,,,
player,201711190mia,mia,MoorMa01,pass_td,1,,,,,
player,201711190mia,mia,MoorMa01,pass_int,0,,,,,
player,201711190mia,mia,MoorMa01,pass_sacked,1,,,,,
player,201711190mia,mia,MoorMa01,pass_sacked_yds,0,,,,,
player,201711190mia,mia,MoorMa01,pass_long,61,,,,,
player,201711190mia,mia,MoorMa01,pass_rating,106.5,,,,,
player,201711190mia,mia,MoorMa01,rush_att,1,,,,,
player,201711190mia,mia,MoorMa01,rush_yds,0,,,,,
player,201711190mia,mia,MoorMa01,rush_td,0,,,,,
player,201711190mia,mia,MoorMa01,rush_long,0,,,,,
player,201711190mia,mia,MoorMa01,targets,0,,,,,
player,201711190mia,mia,MoorMa01,rec,0,,,,,
player,201711190mia,mia,MoorMa01,rec_yds,0,,,,,
player,201711190mia,mia,MoorMa01,rec_td,0,,,,,
player,201711190mia,mia,MoorMa01,rec_long,0,,,,,
player,201711190mia,mia,MoorMa01,fumbles,0,,,,,
player,201711190mia,mia,MoorMa01,fumbles_lost,0,,,,,
player,201711190mia,mia,CutlJa00,pass_cmp,6,,,,,
player,201711190mia,mia,CutlJa00,pass_att,12,,,,,
player,201711190mia,mia,CutlJa00,pass_yds,83,,,,,
player,201711190mia,mia,CutlJa00,pass_td,1,,,,,
player,201711190mia,mia,CutlJa00,pass_int,3,,,,,
player,201711190mia,mia,CutlJa00,pass_sacked,0,,,,,
player,201711190mia,mia,CutlJa00,pass_sacked_yds,0,,,,,
player,201711190mia,mia,CutlJa00,pass_long,26,,,,,
player,201711190mia,mia,CutlJa00,pass_rating,60.8,,,,,
player,201711190mia,mia,CutlJa00,rush_att,1,,,,,
