game,2017,10,20171112,201711120was,min,"Minnesota Vikings",38,was,"Washington Redskins",30
team,201711120was,min,First Downs,21,,,,,,
team,201711120was,was,First Downs,24,,,,,,
team,201711120was,min,Rush-Yds-TDs,31-102-1,,,,,,
team,201711120was,was,Rush-Yds-TDs,27-81-2,,,,,,
team,201711120was,min,Cmp-Att-Yd-TD-INT,21-29-304-4-2,,,,,,
team,201711120was,was,Cmp-Att-Yd-TD-INT,26-45-327-1-1,,,,,,
team,201711120was,min,Sacked-Yards,0-0,,,,,,
team,201711120was,was,Sacked-Yards,1-14,,,,,,
team,201711120was,min,Net Pass Yards,304,,,,,,
team,201711120was,was,Net Pass Yards,313,,,,,,
team,201711120was,min,Total Yards,406,,,,,,
team,201711120was,was,Total Yards,394,,,,,,
team,201711120was,min,Fumbles-Lost,0-0,,,,,,
team,201711120was,was,Fumbles-Lost,1-0,,,,,,
team,201711120was,min,Turnovers,2,,,,,,
team,201711120was,was,Turnovers,1,,,,,,
team,201711120was,min,Penalties-Yards,3-40,,,,,,
team,201711120was,was,Penalties-Yards,2-15,,,,,,
team,201711120was,min,Third Down Conv.,8-12,,,,,,
team,201711120was,was,Third Down Conv.,5-14,,,,,,
team,201711120was,min,Fourth Down Conv.,0-0,,,,,,
team,201711120was,was,Fourth Down Conv.,3-5,,,,,,
team,201711120was,min,Time of Possession,28:54,,,,,,
team,201711120was,was,Time of Possession,31:06,,,,,,
player,201711120was,min,KeenCa00,pass_cmp,21,,,,,
player,201711120was,min,KeenCa00,pass_att,29,,,,,
player,201711120was,min,KeenCa00,pass_yds,304,,,,,
player,201711120was,min,KeenCa00,pass_td,4,,,,,
player,201711120was,min,KeenCa00,pass_int,2,,,,,
player,201711120was,min,KeenCa00,pass_sacked,0,,,,,
player,201711120was,min,KeenCa00,pass_sacked_yds,0,,,,,
player,201711120was,min,KeenCa00,pass_long,51,,,,,
player,201711120was,min,KeenCa00,pass_rating,117.0,,,,,
player,201711120was,min,KeenCa00,rush_att,3,,,,,
player,201711120was,min,KeenCa00,rush_yds,-1,,,,,
player,201711120was,min,KeenCa00,rush_td,0,,,,,
player,201711120was,min,KeenCa00,rush_long,1,,,,,
player,201711120was,min,KeenCa00,targets,0,,,,,
player,201711120was,min,KeenCa00,rec,0,,,,,
player,201711120was,min,KeenCa00,rec_yds,0,,,,,
player,201711120was,min,KeenCa00,rec_td,0,,,,,
player,201711120was,min,KeenCa00,rec_long,0,,,,,
player,201711120was,min,KeenCa00,fumbles,0,,,,,
player,201711120was,min,KeenCa00,fumbles_lost,0,,,,,
player,201711120was,min,MurrLa00,pass_cmp,0,,,,,
player,201711120was,min,MurrLa00,pass_att,0,,,,,
player,201711120was,min,MurrLa00,pass_yds,0,,,,,
player,201711120was,min,MurrLa00,pass_td,0,,,,,
player,201711120was,min,MurrLa00,pass_int,0,,,,,
player,201711120was,min,MurrLa00,pass_sacked,0,,,,,
player,201711120was,min,MurrLa00,pass_sacked_yds,0,,,,,
player,201711120was,min,MurrLa00,pass_long,0,,,,,
player,201711120was,min,MurrLa00,pass_rating,,,,,,
player,201711120was,min,MurrLa00,rush_att,17,,,,,
player,201711120was,min,MurrLa00,rush_yds,68,,,,,
player,201711120was,min,MurrLa00,rush_td,1,,,,,
player,201711120was,min,MurrLa00,rush_long,14,,,,,
player,201711120was,min,MurrLa00,targets,0,,,,,
player,201711120was,min,MurrLa00,rec,0,,,,,
player,201711120was,min,MurrLa00,rec_yds,0,,,,,
player,201711120was,min,MurrLa00,rec_td,0,,,,,
player,201711120was,min,MurrLa00,rec_long,0,,,,,
player,201711120was,min,MurrLa00,fumbles,0,,,,,
player,201711120was,min,MurrLa00,fumbles_lost,0,,,,,
player,201711120was,min,McKiJe00,pass_cmp,0,,,,,
player,201711120was,min,McKiJe00,pass_att,0,,,,,
player,201711120was,min,McKiJe00,pass_yds,0,,,,,
player,201711120was,min,McKiJe00,pass_td,0,,,,,
player,201711120was,min,McKiJe00,pass_int,0,,,,,
player,201711120was,min,McKiJe00,pass_sacked,0,,,,,
player,201711120was,min,McKiJe00,pass_sacked_yds,0,,,,,
player,201711120was,min,McKiJe00,pass_long,0,,,,,
player,201711120was,min,McKiJe00,pass_rating,,,,,,
player,201711120was,min,McKiJe00,rush_att,10,,,,,
player,201711120was,min,McKiJe00,rush_yds,32,,,,,
player,201711120was,min,McKiJe00,rush_td,0,,,,,
player,201711120was,min,McKiJe00,rush_long,10,,,,,
player,201711120was,min,McKiJe00,targets,2,,,,,
player,201711120was,min,McKiJe00,rec,2,,,,,
player,201711120was,min,McKiJe00,rec_yds,15,,,,,
player,201711120was,min,McKiJe00,rec_td,0,,,,,
player,201711120was,min,McKiJe00,rec_long,9,,,,,
player,201711120was,min,McKiJe00,fumbles,0,,,,,
player,201711120was,min,McKiJe00,fumbles_lost,0,,,,,
player,201711120was,min,HamxC.00,pass_cmp,0,,,,,
player,201711120was,min,HamxC.00,pass_att,0,,,,,
player,201711120was,min,HamxC.00,pass_yds,0,,,,,
player,201711120was,min,HamxC.00,pass_td,0,,,,,
player,201711120was,min,HamxC.00,pass_int,0,,,,,
player,201711120was,min,HamxC.00,pass_sacked,0,,,,,
player,201711120was,min,HamxC.00,pass_sacked_yds,0,,,,,
player,201711120was,min,HamxC.00,pass_long,0,,,,,
player,201711120was,min,HamxC.00,pass_rating,,,,,,
player,201711120was,min,HamxC.00,rush_att,1,,,,,
player,201711120was,min,HamxC.00,rush_yds,3,,,,,
player,201711120was,min,HamxC.00,rush_td,0,,,,,
player,201711120was,min,HamxC.00,rush_long,3,,,,,
player,201711120was,min,HamxC.00,targets,0,,,,,
player,201711120was,min,HamxC.00,rec,0,,,,,
player,201711120was,min,HamxC.00,rec_yds,0,,,,,
player,201711120was,min,HamxC.00,rec_td,0,,,,,
player,201711120was,min,HamxC.00,rec_long,0,,,,,
player,201711120was,min,HamxC.00,fumbles,0,,,,,
player,201711120was,min,HamxC.00,fumbles_lost,0,,,,,
player,201711120was,min,ThieAd00,pass_cmp,0,,,,,
player,201711120was,min,ThieAd00,pass_att,0,,,,,
player,201711120was,min,ThieAd00,pass_yds,0,,,,,
player,201711120was,min,ThieAd00,pass_td,0,,,,,
player,201711120was,min,ThieAd00,pass_int,0,,,,,
player,201711120was,min,ThieAd00,pass_sacked,0,,,,,
player,201711120was,min,ThieAd00,pass_sacked_yds,0,,,,,
player,201711120was,min,ThieAd00,pass_long,0,,,,,
player,201711120was,min,ThieAd00,pass_rating,,,,,,
player,201711120was,min,ThieAd00,rush_att,0,,,,,
player,201711120was,min,ThieAd00,rush_yds,0,,,,,
player,201711120was,min,ThieAd00,rush_td,0,,,,,
player,201711120was,min,ThieAd00,rush_long,0,,,,,
player,201711120was,min,ThieAd00,targets,12,,,,,
player,201711120was,min,ThieAd00,rec,8,,,,,
player,201711120was,min,ThieAd00,rec_yds,166,,,,,
player,201711120was,min,ThieAd00,rec_td,1,,,,,
player,201711120was,min,ThieAd00,rec_long,49,,,,,
player,201711120was,min,ThieAd00,fumbles,0,,,,,
player,201711120was,min,ThieAd00,fumbles_lost,0,,,,,
player,201711120was,min,DiggSt00,pass_cmp,0,,,,,
player,201711120was,min,DiggSt00,pass_att,0,,,,,
player,201711120was,min,DiggSt00,pass_yds,0,,,,,
player,201711120was,min,DiggSt00,pass_td,0,,,,,
player,201711120was,min,DiggSt00,pass_int,0,,,,,
player,201711120was,min,DiggSt00,pass_sacked,0,,,,,
player,201711120was,min,DiggSt00,pass_sacked_yds,0,,,,,
player,201711120was,min,DiggSt00,pass_long,0,,,,,
player,201711120was,min,DiggSt00,pass_rating,,,,,,
player,201711120was,min,DiggSt00,rush_att,0,,,,,
player,201711120was,min,DiggSt00,rush_yds,0,,,,,
player,201711120was,min,DiggSt00,rush_td,0,,,,,
player,201711120was,min,DiggSt00,rush_long,0,,,,,
player,201711120was,min,DiggSt00,targets,5,,,,,
player,201711120was,min,DiggSt00,rec,4,,,,,
player,201711120was,min,DiggSt00,rec_yds,78,,,,,
player,201711120was,min,DiggSt00,rec_td,1,,,,,
player,201711120was,min,DiggSt00,rec_long,51,,,,,
player,201711120was,min,DiggSt00,fumbles,0,,,,,
player,201711120was,min,DiggSt00,fumbles_lost,0,,,,,
player,201711120was,min,RudoKy00,pass_cmp,0,,,,,
player,201711120was,min,RudoKy00,pass_att,0,,,,,
player,201711120was,min,RudoKy00,pass_yds,0,,,,,
player,201711120was,min,RudoKy00,pass_td,0,,,,,
player,201711120was,min,RudoKy00,pass_int,0,,,,,
player,201711120was,min,RudoKy00,pass_sacked,0,,,,,
player,201711120was,min,RudoKy00,pass_sacked_yds,0,,,,,
player,201711120was,min,RudoKy00,pass_long,0,,,,,
player,201711120was,min,RudoKy00,pass_rating,,,,,,
player,201711120was,min,RudoKy00,rush_att,0,,,,,
player,201711120was,min,RudoKy00,rush_yds,0,,,,,
player,201711120was,min,RudoKy00,rush_td,0,,,,,
player,201711120was,min,RudoKy00,rush_long,0,,,,,
player,201711120was,min,RudoKy00,targets,7,,,,,
player,201711120was,min,RudoKy00,rec,5,,,,,
player,201711120was,min,RudoKy00,rec_yds,37,,,,,
player,201711120was,min,RudoKy00,rec_td,0,,,,,
player,201711120was,min,RudoKy00,rec_long,12,,,,,
player,201711120was,min,RudoKy00,fumbles,0,,,,,
player,201711120was,min,RudoKy00,fumbles_lost,0,,,,,
player,201711120was,min,WrigJa02,pass_cmp,0,,,,,
player,201711120was,min,WrigJa02,pass_att,0,,,,,
player,201711120was,min,WrigJa02,pass_yds,0,,,,,
player,201711120was,min,WrigJa02,pass_td,0,,,,,
player,201711120was,min,WrigJa02,pass_int,0,,,,,
player,201711120was,min,WrigJa02,pass_sacked,0,,,,,
