game,2017,9,20171105,201711050dal,kan,"Kansas City Chiefs",17,dal,"Dallas Cowboys",28
team,201711050dal,kan,First Downs,17,,,,,,
team,201711050dal,dal,First Downs,24,,,,,,
team,201711050dal,kan,Rush-Yds-TDs,19-68-0,,,,,,
team,201711050dal,dal,Rush-Yds-TDs,31-131-2,,,,,,
team,201711050dal,kan,Cmp-Att-Yd-TD-INT,25-34-263-2-1,,,,,,
team,201711050dal,dal,Cmp-Att-Yd-TD-INT,21-33-249-2-0,,,,,,
team,201711050dal,kan,Sacked-Yards,2-8,,,,,,
team,201711050dal,dal,Sacked-Yards,1-5,,,,,,
team,201711050dal,kan,Net Pass Yards,255,,,,,,
team,201711050dal,dal,Net Pass Yards,244,,,,,,
team,201711050dal,kan,Total Yards,323,,,,,,
team,201711050dal,dal,Total Yards,375,,,,,,
team,201711050dal,kan,Fumbles-Lost,0-0,,,,,,
team,201711050dal,dal,Fumbles-Lost,0-0,,,,,,
team,201711050dal,kan,Turnovers,1,,,,,,
team,201711050dal,dal,Turnovers,0,,,,,,
team,201711050dal,kan,Penalties-Yards,8-52,,,,,,
team,201711050dal,dal,Penalties-Yards,5-65,,,,,,
team,201711050dal,kan,Third Down Conv.,4-11,,,,,,
team,201711050dal,dal,Third Down Conv.,7-12,,,,,,
team,201711050dal,kan,Fourth Down Conv.,0-1,,,,,,
team,201711050dal,dal,Fourth Down Conv.,0-0,,,,,,
team,201711050dal,kan,Time of Possession,28:43,,,,,,
team,201711050dal,dal,Time of Possession,31:17,,,,,,
player,201711050dal,kan,SmitAl03,pass_cmp,25,,,,,
player,201711050dal,kan,SmitAl03,pass_att,34,,,,,
player,201711050dal,kan,SmitAl03,pass_yds,263,,,,,
player,201711050dal,kan,SmitAl03,pass_td,2,,,,,
player,201711050dal,kan,SmitAl03,pass_int,1,,,,,
player,201711050dal,kan,SmitAl03,pass_sacked,2,,,,,
player,201711050dal,kan,SmitAl03,pass_sacked_yds,8,,,,,
player,201711050dal,kan,SmitAl03,pass_long,56,,,,,
player,201711050dal,kan,SmitAl03,pass_rating,102.9,,,,,
player,201711050dal,kan,SmitAl03,rush_att,5,,,,,
player,201711050dal,kan,SmitAl03,rush_yds,19,,,,,
player,201711050dal,kan,SmitAl03,rush_td,0,,,,,
player,201711050dal,kan,SmitAl03,rush_long,8,,,,,
player,201711050dal,kan,SmitAl03,targets,0,,,,,
player,201711050dal,kan,SmitAl03,rec,0,,,,,
player,201711050dal,kan,SmitAl03,rec_yds,0,,,,,
player,201711050dal,kan,SmitAl03,rec_td,0,,,,,
player,201711050dal,kan,SmitAl03,rec_long,0,,,,,
player,201711050dal,kan,SmitAl03,fumbles,0,,,,,
player,201711050dal,kan,SmitAl03,fumbles_lost,0,,,,,
player,201711050dal,kan,HuntKa00,pass_cmp,0,,,,,
player,201711050dal,kan,HuntKa00,pass_att,0,,,,,
player,201711050dal,kan,HuntKa00,pass_yds,0,,,,,
player,201711050dal,kan,HuntKa00,pass_td,0,,,,,
player,201711050dal,kan,HuntKa00,pass_int,0,,,,,
player,201711050dal,kan,HuntKa00,pass_sacked,0,,,,,
player,201711050dal,kan,HuntKa00,pass_sacked_yds,0,,,,,
player,201711050dal,kan,HuntKa00,pass_long,0,,,,,
player,201711050dal,kan,HuntKa00,pass_rating,,,,,,
player,201711050dal,kan,HuntKa00,rush_att,9,,,,,
player,201711050dal,kan,HuntKa00,rush_yds,37,,,,,
player,201711050dal,kan,HuntKa00,rush_td,0,,,,,
player,201711050dal,kan,HuntKa00,rush_long,19,,,,,
player,201711050dal,kan,HuntKa00,targets,5,,,,,
player,201711050dal,kan,HuntKa00,rec,4,,,,,
player,201711050dal,kan,HuntKa00,rec_yds,24,,,,,
player,201711050dal,kan,HuntKa00,rec_td,0,,,,,
player,201711050dal,kan,HuntKa00,rec_long,11,,,,,
player,201711050dal,kan,HuntKa00,fumbles,0,,,,,
player,201711050dal,kan,HuntKa00,fumbles_lost,0,,,,,
player,201711050dal,kan,HillTy00,pass_cmp,0,,,,,
player,201711050dal,kan,HillTy00,pass_att,0,,,,,
player,201711050dal,kan,HillTy00,pass_yds,0,,,,,
player,201711050dal,kan,HillTy00,pass_td,0,,,,,
player,201711050dal,kan,HillTy00,pass_int,0,,,,,
player,201711050dal,kan,HillTy00,pass_sacked,0,,,,,
player,201711050dal,kan,HillTy00,pass_sacked_yds,0,,,,,
player,201711050dal,kan,HillTy00,pass_long,0,,,,,
player,201711050dal,kan,HillTy00,pass_rating,,,,,,
player,201711050dal,kan,HillTy00,rush_att,4,,,,,
player,201711050dal,kan,HillTy00,rush_yds,9,,,,,
player,201711050dal,kan,HillTy00,rush_td,0,,,,,
player,201711050dal,kan,HillTy00,rush_long,12,,,,,
player,201711050dal,kan,HillTy00,targets,4,,,,,
player,201711050dal,kan,HillTy00,rec,2,,,,,
player,201711050dal,kan,HillTy00,rec_yds,64,,,,,
player,201711050dal,kan,HillTy00,rec_td,1,,,,,
player,201711050dal,kan,HillTy00,rec_long,56,,,,,
player,201711050dal,kan,HillTy00,fumbles,0,,,,,
player,201711050dal,kan,HillTy00,fumbles_lost,0,,,,,
player,201711050dal,kan,WestCh01,pass_cmp,0,,,,,
player,201711050dal,kan,WestCh01,pass_att,0,,,,,
player,201711050dal,kan,WestCh01,pass_yds,0,,,,,
player,201711050dal,kan,WestCh01,pass_td,0,,,,,
player,201711050dal,kan,WestCh01,pass_int,0,,,,,
player,201711050dal,kan,WestCh01,pass_sacked,0,,,,,
player,201711050dal,kan,WestCh01,pass_sacked_yds,0,,,,,
player,201711050dal,kan,WestCh01,pass_long,0,,,,,
player,201711050dal,kan,WestCh01,pass_rating,,,,,,
player,201711050dal,kan,WestCh01,rush_att,1,,,,,
player,201711050dal,kan,WestCh01,rush_yds,3,,,,,
player,201711050dal,kan,WestCh01,rush_td,0,,,,,
player,201711050dal,kan,WestCh01,rush_long,3,,,,,
player,201711050dal,kan,WestCh01,targets,6,,,,,
player,201711050dal,kan,WestCh01,rec,5,,,,,
player,201711050dal,kan,WestCh01,rec_yds,30,,,,,
player,201711050dal,kan,WestCh01,rec_td,0,,,,,
player,201711050dal,kan,WestCh01,rec_long,12,,,,,
player,201711050dal,kan,WestCh01,fumbles,0,,,,,
player,201711050dal,kan,WestCh01,fumbles_lost,0,,,,,
player,201711050dal,kan,KelcTr00,pass_cmp,0,,,,,
player,201711050dal,kan,KelcTr00,pass_att,0,,,,,
player,201711050dal,kan,KelcTr00,pass_yds,0,,,,,
player,201711050dal,kan,KelcTr00,pass_td,0,,,,,
player,201711050dal,kan,KelcTr00,pass_int,0,,,,,
player,201711050dal,kan,KelcTr00,pass_sacked,0,,,,,
player,201711050dal,kan,KelcTr00,pass_sacked_yds,0,,,,,
player,201711050dal,kan,KelcTr00,pass_long,0,,,,,
player,201711050dal,kan,KelcTr00,pass_rating,,,,,,
player,201711050dal,kan,KelcTr00,rush_att,0,,,,,
player,201711050dal,kan,KelcTr00,rush_yds,0,,,,,
player,201711050dal,kan,KelcTr00,rush_td,0,,,,,
player,201711050dal,kan,KelcTr00,rush_long,0,,,,,
player,201711050dal,kan,KelcTr00,targets,9,,,,,
player,201711050dal,kan,KelcTr00,rec,7,,,,,
player,201711050dal,kan,KelcTr00,rec_yds,73,,,,,
player,201711050dal,kan,KelcTr00,rec_td,1,,,,,
player,201711050dal,kan,KelcTr00,rec_long,22,,,,,
player,201711050dal,kan,KelcTr00,fumbles,0,,,,,
player,201711050dal,kan,KelcTr00,fumbles_lost,0,,,,,
player,201711050dal,kan,ThomDe05,pass_cmp,0,,,,,
player,201711050dal,kan,ThomDe05,pass_att,0,,,,,
player,201711050dal,kan,ThomDe05,pass_yds,0,,,,,
player,201711050dal,kan,ThomDe05,pass_td,0,,,,,
player,201711050dal,kan,ThomDe05,pass_int,0,,,,,
player,201711050dal,kan,ThomDe05,pass_sacked,0,,,,,
player,201711050dal,kan,ThomDe05,pass_sacked_yds,0,,,,,
player,201711050dal,kan,ThomDe05,pass_long,0,,,,,
player,201711050dal,kan,ThomDe05,pass_rating,,,,,,
player,201711050dal,kan,ThomDe05,rush_att,0,,,,,
player,201711050dal,kan,ThomDe05,rush_yds,0,,,,,
player,201711050dal,kan,ThomDe05,rush_td,0,,,,,
player,201711050dal,kan,ThomDe05,rush_long,0,,,,,
player,201711050dal,kan,ThomDe05,targets,3,,,,,
player,201711050dal,kan,ThomDe05,rec,3,,,,,
player,201711050dal,kan,ThomDe05,rec_yds,41,,,,,
player,201711050dal,kan,ThomDe05,rec_td,0,,,,,
player,201711050dal,kan,ThomDe05,rec_long,22,,,,,
player,201711050dal,kan,ThomDe05,fumbles,0,,,,,
player,201711050dal,kan,ThomDe05,fumbles_lost,0,,,,,
player,201711050dal,kan,RobiDe01,pass_cmp,0,,,,,
player,201711050dal,kan,RobiDe01,pass_att,0,,,,,
player,201711050dal,kan,RobiDe01,pass_yds,0,,,,,
player,201711050dal,kan,RobiDe01,pass_td,0,,,,,
player,201711050dal,kan,RobiDe01,pass_int,0,,,,,
player,201711050dal,kan,RobiDe01,pass_sacked,0,,,,,
player,201711050dal,kan,RobiDe01,pass_sacked_yds,0,,,,,
player,201711050dal,kan,RobiDe01,pass_long,0,,,,,
player,201711050dal,kan,RobiDe01,pass_rating,,,,,,
player,201711050dal,kan,RobiDe01,rush_att,0,,,,,
player,201711050dal,kan,RobiDe01,rush_yds,0,,,,,
player,201711050dal,kan,RobiDe01,rush_td,0,,,,,
player,201711050dal,kan,RobiDe01,rush_long,0,,,,,
player,201711050dal,kan,RobiDe01,targets,2,,,,,
player,201711050dal,kan,RobiDe01,rec,2,,,,,
player,201711050dal,kan,RobiDe01,rec_yds,18,,,,,
player,201711050dal,kan,RobiDe01,rec_td,0,,,,,
player,201711050dal,kan,RobiDe01,rec_long,10,,,,,
player,201711050dal,kan,RobiDe01,fumbles,0,,,,,
player,201711050dal,kan,RobiDe01,fumbles_lost,0,,,,,
player,201711050dal,kan,ChesJe00,pass_cmp,0,,,,,
player,201711050dal,kan,ChesJe00,pass_att,0,,,,,
player,201711050dal,kan,ChesJe00,pass_yds,0,,,,,
player,201711050dal,kan,ChesJe00,pass_td,0,,,,,
player,201711050dal,kan,ChesJe00,pass_int,0,,,,,
player,201711050dal,kan,ChesJe00,pass_sacked,0,,,,,
player,201711050dal,kan,ChesJe00,pass_sacked_yds,0,,,,,
player,201711050dal,kan,ChesJe00,pass_long,0,,,,,
player,201711050dal,kan,ChesJe00,pass_rating,,,,,,
player,201711050dal,kan,ChesJe00,rush_att,0,,,,,
player,201711050dal,kan,ChesJe00,rush_yds,0,,,,,
player,201711050dal,kan,ChesJe00,rush_td,0,,,,,
player,201711050dal,kan,ChesJe00,rush_long,0,,,,,
player,201711050dal,kan,ChesJe00,targets,1,,,,,
player,201711050dal,kan,ChesJe00,rec,1,,,,,
player,201711050dal,kan,ChesJe00,rec_yds,10,,,,,
player,201711050dal,kan,ChesJe00,rec_td,0,,,,,
player,201711050dal,kan,ChesJe00,rec_long,10,,,,,
player,201711050dal,kan,ChesJe00,fumbles,0,,,,,
player,201711050dal,kan,ChesJe00,fumbles_lost,0,,,,,
player,201711050dal,kan,TravRo00,pass_cmp,0,,,,,
player,201711050dal,kan,TravRo00,pass_att,0,,,,,
player,201711050dal,kan,TravRo00,pass_yds,0,,,,,
player,201711050dal,kan,TravRo00,pass_td,0,,,,,
player,201711050dal,kan,TravRo00,pass_int,0,,,,,
player,201711050dal,kan,TravRo00,pass_sacked,0,,,,,
player,201711050dal,kan,TravRo00,pass_sacked_yds,0,,,,,
player,201711050dal,kan,TravRo00,pass_long,0,,,,,
player,201711050dal,kan,TravRo00,pass_rating,,,,,,
player,201711050dal,kan,TravRo00,rush_att,0,,,,,
player,201711050dal,kan,TravRo00,rush_yds,0,,,,,
player,201711050dal,kan,TravRo00,rush_td,0,,,,,
player,201711050dal,kan,TravRo00,rush_long,0,,,,,
player,201711050dal,kan,TravRo00,targets,2,,,,,
player,201711050dal,kan,TravRo00,rec,1,,,,,
player,201711050dal,kan,TravRo00,rec_yds,3,,,,,
player,201711050dal,kan,TravRo00,rec_td,0,,,,,
player,201711050dal,kan,TravRo00,rec_long,3,,,,,
player,201711050dal,kan,TravRo00,fumbles,0,,,,,
player,201711050dal,kan,TravRo00,fumbles_lost,0,,,,,
player,201711050dal,kan,HarrDe03,pass_cmp,0,,,,,
player,201711050dal,kan,HarrDe03,pass_att,0,,,,,
player,201711050dal,kan,HarrDe03,pass_yds,0,,,,,
player,201711050dal,kan,HarrDe03,pass_td,0,,,,,
player,201711050dal,kan,HarrDe03,pass_int,0,,,,,
player,201711050dal,kan,HarrDe03,pass_sacked,0,,,,,
player,201711050dal,kan,HarrDe03,pass_sacked_yds,0,,,,,
player,201711050dal,kan,HarrDe03,pass_long,0,,,,,
player,201711050dal,kan,HarrDe03,pass_rating,,,,,,
player,201711050dal,kan,HarrDe03,rush_att,0,,,,,
player,201711050dal,kan,HarrDe03,rush_yds,0,,,,,
player,201711050dal,kan,HarrDe03,rush_td,0,,,,,
player,201711050dal,kan,HarrDe03,rush_long,0,,,,,
player,201711050dal,kan,HarrDe03,targets,1,,,,,
player,201711050dal,kan,HarrDe03,rec,0,,,,,
player,201711050dal,kan,HarrDe03,rec_yds,0,,,,,
player,201711050dal,kan,HarrDe03,rec_td,0,,,,,
player,201711050dal,kan,HarrDe03,rec_long,0,,,,,
player,201711050dal,kan,HarrDe03,fumbles,0,,,,,
player,201711050dal,kan,HarrDe03,fumbles_lost,0,,,,,
player,201711050dal,dal,PresDa01,pass_cmp,21,,,,,
player,201711050dal,dal,PresDa01,pass_att,33,,,,,
player,201711050dal,dal,PresDa01,pass_yds,249,,,,,
player,201711050dal,dal,PresDa01,pass_td,2,,,,,
player,201711050dal,dal,PresDa01,pass_int,0,,,,,
player,201711050dal,dal,PresDa01,pass_sacked,1,,,,,
player,201711050dal,dal,PresDa01,pass_sacked_yds,5,,,,,
player,201711050dal,dal,PresDa01,pass_long,56,,,,,
player,201711050dal,dal,PresDa01,pass_rating,106.8,,,,,
player,201711050dal,dal,PresDa01,rush_att,3,,,,,
player,201711050dal,dal,PresDa01,rush_yds,27,,,,,
player,201711050dal,dal,PresDa01,rush_td,1,,,,,
player,201711050dal,dal,PresDa01,rush_long,13,,,,,
player,201711050dal,dal,PresDa01,targets,0,,,,,
player,201711050dal,dal,PresDa01,rec,0,,,,,
player,201711050dal,dal,PresDa01,rec_yds,0,,,,,
player,201711050dal,dal,PresDa01,rec_td,0,,,,,
player,201711050dal,dal,PresDa01,rec_long,0,,,,,
player,201711050dal,dal,PresDa01,fumbles,0,,,,,
player,201711050dal,dal,PresDa01,fumbles_lost,0,,,,,
player,201711050dal,dal,ElliEz00,pass_cmp,0,,,,,
player,201711050dal,dal,ElliEz00,pass_att,0,,,,,
player,201711050dal,dal,ElliEz00,pass_yds,0,,,,,
player,201711050dal,dal,ElliEz00,pass_td,0,,,,,
player,201711050dal,dal,ElliEz00,pass_int,0,,,,,
player,201711050dal,dal,ElliEz00,pass_sacked,0,,,,,
player,201711050dal,dal,ElliEz00,pass_sacked_yds,0,,,,,
player,201711050dal,dal,ElliEz00,pass_long,0,,,,,
player,201711050dal,dal,ElliEz00,pass_rating,,,,,,
player,201711050dal,dal,ElliEz00,rush_att,27,,,,,
player,201711050dal,dal,ElliEz00,rush_yds,93,,,,,
player,201711050dal,dal,ElliEz00,rush_td,1,,,,,
player,201711050dal,dal,ElliEz00,rush_long,11,,,,,
player,201711050dal,dal,ElliEz00,targets,0,,,,,
player,201711050dal,dal,ElliEz00,rec,0,,,,,
player,201711050dal,dal,ElliEz00,rec_yds,0,,,,,
player,201711050dal,dal,ElliEz00,rec_td,0,,,,,
player,201711050dal,dal,ElliEz00,rec_long,0,,,,,
player,201711050dal,dal,ElliEz00,fumbles,0,,,,,
player,201711050dal,dal,ElliEz00,fumbles_lost,0,,,,,
player,201711050dal,dal,MorrAl00,pass_cmp,0,,,,,
player,201711050dal,dal,MorrAl00,pass_att,0,,,,,
player,201711050dal,dal,MorrAl00,pass_yds,0,,,,,
player,201711050dal,dal,MorrAl00,pass_td,0,,,,,
player,201711050dal,dal,MorrAl00,pass_int,0,,,,,
player,201711050dal,dal,MorrAl00,pass_sacked,0,,,,,
player,201711050dal,dal,MorrAl00,pass_sacked_yds,0,,,,,
player,201711050dal,dal,MorrAl00,pass_long,0,,,,,
player,201711050dal,dal,MorrAl00,pass_rating,,,,,,
player,201711050dal,dal,MorrAl00,rush_att,1,,,,,
player,201711050dal,dal,MorrAl00,rush_yds,11,,,,,
player,201711050dal,dal,MorrAl00,rush_td,0,,,,,
player,201711050dal,dal,MorrAl00,rush_long,11,,,,,
player,201711050dal,dal,MorrAl00,targets,0,,,,,
player,201711050dal,dal,MorrAl00,rec,0,,,,,
player,201711050dal,dal,MorrAl00,rec_yds,0,,,,,
player,201711050dal,dal,MorrAl00,rec_td,0,,,,,
player,201711050dal,dal,MorrAl00,rec_long,0,,,,,
player,201711050dal,dal,MorrAl00,fumbles,0,,,,,
player,201711050dal,dal,MorrAl00,fumbles_lost,0,,,,,
player,201711050dal,dal,WillTe01,pass_cmp,0,,,,,
player,201711050dal,dal,WillTe01,pass_att,0,,,,,
player,201711050dal,dal,WillTe01,pass_yds,0,,,,,
player,201711050dal,dal,WillTe01,pass_td,0,,,,,
player,201711050dal,dal,WillTe01,pass_int,0,,,,,
player,201711050dal,dal,WillTe01,pass_sacked,0,,,,,
player,201711050dal,dal,WillTe01,pass_sacked_yds,0,,,,,
player,201711050dal,dal,WillTe01,pass_long,0,,,,,
player,201711050dal,dal,WillTe01,pass_rating,,,,,,
player,201711050dal,dal,WillTe01,rush_att,0,,,,,
player,201711050dal,dal,WillTe01,rush_yds,0,,,,,
player,201711050dal,dal,WillTe01,rush_td,0,,,,,
player,201711050dal,dal,WillTe01,rush_long,0,,,,,
player,201711050dal,dal,WillTe01,targets,9,,,,,
player,201711050dal,dal,WillTe01,rec,9,,,,,
player,201711050dal,dal,WillTe01,rec_yds,141,,,,,
player,201711050dal,dal,WillTe01,rec_td,0,,,,,
player,201711050dal,dal,WillTe01,rec_long,56,,,,,
player,201711050dal,dal,WillTe01,fumbles,0,,,,,
player,201711050dal,dal,WillTe01,fumbles_lost,0,,,,,
player,201711050dal,dal,BryaDe01,pass_cmp,0,,,,,
player,201711050dal,dal,BryaDe01,pass_att,0,,,,,
player,201711050dal,dal,BryaDe01,pass_yds,0,,,,,
player,201711050dal,dal,BryaDe01,pass_td,0,,,,,
player,201711050dal,dal,BryaDe01,pass_int,0,,,,,
player,201711050dal,dal,BryaDe01,pass_sacked,0,,,,,
player,201711050dal,dal,BryaDe01,pass_sacked_yds,0,,,,,
player,201711050dal,dal,BryaDe01,pass_long,0,,,,,
player,201711050dal,dal,BryaDe01,pass_rating,,,,,,
player,201711050dal,dal,BryaDe01,rush_att,0,,,,,
player,201711050dal,dal,BryaDe01,rush_yds,0,,,,,
player,201711050dal,dal,BryaDe01,rush_td,0,,,,,
player,201711050dal,dal,BryaDe01,rush_long,0,,,,,
player,201711050dal,dal,BryaDe01,targets,11,,,,,
player,201711050dal,dal,BryaDe01,rec,6,,,,,
player,201711050dal,dal,BryaDe01,rec_yds,73,,,,,
player,201711050dal,dal,BryaDe01,rec_td,0,,,,,
player,201711050dal,dal,BryaDe01,rec_long,21,,,,,
player,201711050dal,dal,BryaDe01,fumbles,0,,,,,
player,201711050dal,dal,BryaDe01,fumbles_lost,0,,,,,
player,201711050dal,dal,BeasCo00,pass_cmp,0,,,,,
player,201711050dal,dal,BeasCo00,pass_att,0,,,,,
player,201711050dal,dal,BeasCo00,pass_yds,0,,,,,
player,201711050dal,dal,BeasCo00,pass_td,0,,,,,
player,201711050dal,dal,BeasCo00,pass_int,0,,,,,
player,201711050dal,dal,BeasCo00,pass_sacked,0,,,,,
player,201711050dal,dal,BeasCo00,pass_sacked_yds,0,,,,,
player,201711050dal,dal,BeasCo00,pass_long,0,,,,,
player,201711050dal,dal,BeasCo00,pass_rating,,,,,,
player,201711050dal,dal,BeasCo00,rush_att,0,,,,,
player,201711050dal,dal,BeasCo00,rush_yds,0,,,,,
player,201711050dal,dal,BeasCo00,rush_td,0,,,,,
player,201711050dal,dal,BeasCo00,rush_long,0,,,,,
player,201711050dal,dal,BeasCo00,targets,6,,,,,
player,201711050dal,dal,BeasCo00,rec,4,,,,,
player,201711050dal,dal,BeasCo00,rec_yds,24,,,,,
player,201711050dal,dal,BeasCo00,rec_td,2,,,,,
player,201711050dal,dal,BeasCo00,rec_long,7,,,,,
player,201711050dal,dal,BeasCo00,fumbles,0,,,,,
player,201711050dal,dal,BeasCo00,fumbles_lost,0,,,,,
player,201711050dal,dal,ButlBr00,pass_cmp,0,,,,,
player,201711050dal,dal,ButlBr00,pass_att,0,,,,,
player,201711050dal,dal,ButlBr00,pass_yds,0,,,,,
player,201711050dal,dal,ButlBr00,pass_td,0,,,,,
player,201711050dal,dal,ButlBr00,pass_int,0,,,,,
player,201711050dal,dal,ButlBr00,pass_sacked,0,,,,,
player,201711050dal,dal,ButlBr00,pass_sacked_yds,0,,,,,
player,201711050dal,dal,ButlBr00,pass_long,0,,,,,
player,201711050dal,dal,ButlBr00,pass_rating,,,,,,
player,201711050dal,dal,ButlBr00,rush_att,0,,,,,
player,201711050dal,dal,ButlBr00,rush_yds,0,,,,,
player,201711050dal,dal,ButlBr00,rush_td,0,,,,,
player,201711050dal,dal,ButlBr00,rush_long,0,,,,,
player,201711050dal,dal,ButlBr00,targets,3,,,,,
player,201711050dal,dal,ButlBr00,rec,1,,,,,
player,201711050dal,dal,ButlBr00,rec_yds,6,,,,,
player,201711050dal,dal,ButlBr00,rec_td,0,,,,,
player,201711050dal,dal,ButlBr00,rec_long,6,,,,,
player,201711050dal,dal,ButlBr00,fumbles,0,,,,,
player,201711050dal,dal,ButlBr00,fumbles_lost,0,,,,,
player,201711050dal,dal,WittJa00,pass_cmp,0,,,,,
player,201711050dal,dal,WittJa00,pass_att,0,,,,,
player,201711050dal,dal,WittJa00,pass_yds,0,,,,,
player,201711050dal,dal,WittJa00,pass_td,0,,,,,
player,201711050dal,dal,WittJa00,pass_int,0,,,,,
player,201711050dal,dal,WittJa00,pass_sacked,0,,,,,
player,201711050dal,dal,WittJa00,pass_sacked_yds,0,,,,,
player,201711050dal,dal,WittJa00,pass_long,0,,,,,
player,201711050dal,dal,WittJa00,pass_rating,,,,,,
player,201711050dal,dal,WittJa00,rush_att,0,,,,,
player,201711050dal,dal,WittJa00,rush_yds,0,,,,,
player,201711050dal,dal,WittJa00,rush_td,0,,,,,
player,201711050dal,dal,WittJa00,rush_long,0,,,,,
player,201711050dal,dal,WittJa00,targets,1,,,,,
player,201711050dal,dal,WittJa00,rec,1,,,,,
player,201711050dal,dal,WittJa00,rec_yds,5,,,,,
player,201711050dal,dal,WittJa00,rec_td,0,,,,,
player,201711050dal,dal,WittJa00,rec_long,5,,,,,
player,201711050dal,dal,WittJa00,fumbles,0,,,,,
player,201711050dal,dal,WittJa00,fumbles_lost,0,,,,,
player,201711050dal,dal,HannJa00,pass_cmp,0,,,,,
player,201711050dal,dal,HannJa00,pass_att,0,,,,,
player,201711050dal,dal,HannJa00,pass_yds,0,,,,,
player,201711050dal,dal,HannJa00,pass_td,0,,,,,
player,201711050dal,dal,HannJa00,pass_int,0,,,,,
player,201711050dal,dal,HannJa00,pass_sacked,0,,,,,
player,201711050dal,dal,HannJa00,pass_sacked_yds,0,,,,,
