game,2017,10,20171112,201711120ram,htx,"Houston Texans",7,ram,"Los Angeles Rams",33
team,201711120ram,htx,First Downs,17,,,,,,
team,201711120ram,ram,First Downs,19,,,,,,
team,201711120ram,htx,Rush-Yds-TDs,25-89-0,,,,,,
team,201711120ram,ram,Rush-Yds-TDs,25-104-0,,,,,,
team,201711120ram,htx,Cmp-Att-Yd-TD-INT,18-36-221-1-2,,,,,,
team,201711120ram,ram,Cmp-Att-Yd-TD-INT,26-38-361-3-0,,,,,,
team,201711120ram,htx,Sacked-Yards,3-27,,,,,,
team,201711120ram,ram,Sacked-Yards,3-22,,,,,,
team,201711120ram,htx,Net Pass Yards,194,,,,,,
team,201711120ram,ram,Net Pass Yards,339,,,,,,
team,201711120ram,htx,Total Yards,283,,,,,,
team,201711120ram,ram,Total Yards,443,,,,,,
team,201711120ram,htx,Fumbles-Lost,2-2,,,,,,
team,201711120ram,ram,Fumbles-Lost,0-0,,,,,,
team,201711120ram,htx,Turnovers,4,,,,,,
team,201711120ram,ram,Turnovers,0,,,,,,
team,201711120ram,htx,Penalties-Yards,8-60,,,,,,
team,201711120ram,ram,Penalties-Yards,10-86,,,,,,
team,201711120ram,htx,Third Down Conv.,4-12,,,,,,
team,201711120ram,ram,Third Down Conv.,6-16,,,,,,
team,201711120ram,htx,Fourth Down Conv.,0-1,,,,,,
team,201711120ram,ram,Fourth Down Conv.,0-1,,,,,,
team,201711120ram,htx,Time of Possession,28:29,,,,,,
team,201711120ram,ram,Time of Possession,31:31,,,,,,
player,201711120ram,htx,SavaTo00,pass_cmp,18,,,,,
player,201711120ram,htx,SavaTo00,pass_att,36,,,,,
player,201711120ram,htx,SavaTo00,pass_yds,221,,,,,
player,201711120ram,htx,SavaTo00,pass_td,1,,,,,
player,201711120ram,htx,SavaTo00,pass_int,2,,,,,
player,201711120ram,htx,SavaTo00,pass_sacked,3,,,,,
player,201711120ram,htx,SavaTo00,pass_sacked_yds,27,,,,,
player,201711120ram,htx,SavaTo00,pass_long,36,,,,,
player,201711120ram,htx,SavaTo00,pass_rating,55.4,,,,,
player,201711120ram,htx,SavaTo00,rush_att,2,,,,,
player,201711120ram,htx,SavaTo00,rush_yds,0,,,,,
player,201711120ram,htx,SavaTo00,rush_td,0,,,,,
player,201711120ram,htx,SavaTo00,rush_long,1,,,,,
player,201711120ram,htx,SavaTo00,targets,0,,,,,
player,201711120ram,htx,SavaTo00,rec,0,,,,,
player,201711120ram,htx,SavaTo00,rec_yds,0,,,,,
player,201711120ram,htx,SavaTo00,rec_td,0,,,,,
player,201711120ram,htx,SavaTo00,rec_long,0,,,,,
player,201711120ram,htx,SavaTo00,fumbles,2,,,,,
player,201711120ram,htx,SavaTo00,fumbles_lost,2,,,,,
player,201711120ram,htx,MillLa01,pass_cmp,0,,,,,
player,201711120ram,htx,MillLa01,pass_att,0,,,,,
player,201711120ram,htx,MillLa01,pass_yds,0,,,,,
player,201711120ram,htx,MillLa01,pass_td,0,,,,,
player,201711120ram,htx,MillLa01,pass_int,0,,,,,
player,201711120ram,htx,MillLa01,pass_sacked,0,,,,,
player,201711120ram,htx,MillLa01,pass_sacked_yds,0,,,,,
player,201711120ram,htx,MillLa01,pass_long,0,,,,,
player,201711120ram,htx,MillLa01,pass_rating,,,,,,
player,201711120ram,htx,MillLa01,rush_att,11,,,,,
player,201711120ram,htx,MillLa01,rush_yds,60,,,,,
player,201711120ram,htx,MillLa01,rush_td,0,,,,,
player,201711120ram,htx,MillLa01,rush_long,21,,,,,
player,201711120ram,htx,MillLa01,targets,1,,,,,
player,201711120ram,htx,MillLa01,rec,1,,,,,
player,201711120ram,htx,MillLa01,rec_yds,14,,,,,
player,201711120ram,htx,MillLa01,rec_td,0,,,,,
player,201711120ram,htx,MillLa01,rec_long,14,,,,,
player,201711120ram,htx,MillLa01,fumbles,0,,,,,
player,201711120ram,htx,MillLa01,fumbles_lost,0,,,,,
player,201711120ram,htx,ForeDO00,pass_cmp,0,,,,,
player,201711120ram,htx,ForeDO00,pass_att,0,,,,,
