game,2017,10,20171109,201711090crd,sea,"Seattle Seahawks",22,crd,"Arizona Cardinals",16
player,201711090crd,sea,ProsC.00,fumbles,0,,,,,
player,201711090crd,sea,ProsC.00,fumbles_lost,0,,,,,
player,201711090crd,sea,BaldDo00,pass_cmp,0,,,,,
player,201711090crd,sea,BaldDo00,pass_att,0,,,,,
player,201711090crd,sea,BaldDo00,pass_yds,0,,,,,
player,201711090crd,sea,BaldDo00,pass_td,0,,,,,
player,201711090crd,sea,BaldDo00,pass_int,0,,,,,
player,201711090crd,sea,BaldDo00,pass_sacked,0,,,,,
player,201711090crd,sea,BaldDo00,pass_sacked_yds,0,,,,,
player,201711090crd,sea,BaldDo00,pass_long,0,,,,,
player,201711090crd,sea,BaldDo00,pass_rating,,,,,,
player,201711090crd,sea,BaldDo00,rush_att,0,,,,,
player,201711090crd,sea,BaldDo00,rush_yds,0,,,,,
player,201711090crd,sea,BaldDo00,rush_td,0,,,,,
player,201711090crd,sea,BaldDo00,rush_long,0,,,,,
player,201711090crd,sea,BaldDo00,targets,6,,,,,
player,201711090crd,sea,BaldDo00,rec,5,,,,,
player,201711090crd,sea,BaldDo00,rec_yds,95,,,,,
player,201711090crd,sea,BaldDo00,rec_td,0,,,,,
player,201711090crd,sea,BaldDo00,rec_long,54,,,,,
player,201711090crd,sea,BaldDo00,fumbles,0,,,,,
player,201711090crd,sea,BaldDo00,fumbles_lost,0,,,,,
player,201711090crd,sea,RichPa01,pass_cmp,0,,,,,
player,201711090crd,sea,RichPa01,pass_att,0,,,,,
player,201711090crd,sea,RichPa01,pass_yds,0,,,,,
player,201711090crd,sea,RichPa01,pass_td,0,,,,,
player,201711090crd,sea,RichPa01,pass_int,0,,,,,
player,201711090crd,sea,RichPa01,pass_sacked,0,,,,,
player,201711090crd,sea,RichPa01,pass_sacked_yds,0,,,,,
player,201711090crd,sea,RichPa01,pass_long,0,,,,,
player,201711090crd,sea,RichPa01,pass_rating,,,,,,
player,201711090crd,sea,RichPa01,rush_att,0,,,,,
player,201711090crd,sea,RichPa01,rush_yds,0,,,,,
player,201711090crd,sea,RichPa01,rush_td,0,,,,,
player,201711090crd,sea,RichPa01,rush_long,0,,,,,
player,201711090crd,sea,RichPa01,targets,2,,,,,
player,201711090crd,sea,RichPa01,rec,1,,,,,
player,201711090crd,sea,RichPa01,rec_yds,43,,,,,
player,201711090crd,sea,RichPa01,rec_td,0,,,,,
player,201711090crd,sea,RichPa01,rec_long,43,,,,,
player,201711090crd,sea,RichPa01,fumbles,0,,,,,
player,201711090crd,sea,RichPa01,fumbles_lost,0,,,,,
player,201711090crd,sea,GrahJi00,pass_cmp,0,,,,,
player,201711090crd,sea,GrahJi00,pass_att,0,,,,,
player,201711090crd,sea,GrahJi00,pass_yds,0,,,,,
