game,2017,5,20171008,201710080dal,gnb,"Green Bay Packers",35,dal,"Dallas Cowboys",31
team,201710080dal,gnb,First Downs,25,,,,,,
team,201710080dal,dal,First Downs,26,,,,,,
team,201710080dal,gnb,Rush-Yds-TDs,25-160-1,,,,,,
team,201710080dal,dal,Rush-Yds-TDs,35-163-1,,,,,,
team,201710080dal,gnb,Cmp-Att-Yd-TD-INT,19-29-221-3-0,,,,,,
team,201710080dal,dal,Cmp-Att-Yd-TD-INT,25-36-251-3-1,,,,,,
team,201710080dal,gnb,Sacked-Yards,4-39,,,,,,
team,201710080dal,dal,Sacked-Yards,1-6,,,,,,
team,201710080dal,gnb,Net Pass Yards,182,,,,,,
team,201710080dal,dal,Net Pass Yards,245,,,,,,
team,201710080dal,gnb,Total Yards,342,,,,,,
team,201710080dal,dal,Total Yards,408,,,,,,
team,201710080dal,gnb,Fumbles-Lost,1-1,,,,,,
team,201710080dal,dal,Fumbles-Lost,3-2,,,,,,
team,201710080dal,gnb,Turnovers,1,,,,,,
team,201710080dal,dal,Turnovers,3,,,,,,
team,201710080dal,gnb,Penalties-Yards,6-38,,,,,,
team,201710080dal,dal,Penalties-Yards,7-70,,,,,,
team,201710080dal,gnb,Third Down Conv.,3-7,,,,,,
team,201710080dal,dal,Third Down Conv.,7-12,,,,,,
team,201710080dal,gnb,Fourth Down Conv.,1-1,,,,,,
team,201710080dal,dal,Fourth Down Conv.,3-3,,,,,,
team,201710080dal,gnb,Time of Possession,24:54,,,,,,
team,201710080dal,dal,Time of Possession,35:06,,,,,,
player,201710080dal,gnb,RodgAa00,pass_cmp,19,,,,,
player,201710080dal,gnb,RodgAa00,pass_att,29,,,,,
player,201710080dal,gnb,RodgAa00,pass_yds,221,,,,,
player,201710080dal,gnb,RodgAa00,pass_td,3,,,,,
player,201710080dal,gnb,RodgAa00,pass_int,0,,,,,
player,201710080dal,gnb,RodgAa00,pass_sacked,4,,,,,
player,201710080dal,gnb,RodgAa00,pass_sacked_yds,39,,,,,
player,201710080dal,gnb,RodgAa00,pass_long,33,,,,,
player,201710080dal,gnb,RodgAa00,pass_rating,122.9,,,,,
player,201710080dal,gnb,RodgAa00,rush_att,4,,,,,
player,201710080dal,gnb,RodgAa00,rush_yds,32,,,,,
player,201710080dal,gnb,RodgAa00,rush_td,0,,,,,
player,201710080dal,gnb,RodgAa00,rush_long,18,,,,,
player,201710080dal,gnb,RodgAa00,targets,0,,,,,
player,201710080dal,gnb,RodgAa00,rec,0,,,,,
player,201710080dal,gnb,RodgAa00,rec_yds,0,,,,,
player,201710080dal,gnb,RodgAa00,rec_td,0,,,,,
player,201710080dal,gnb,RodgAa00,rec_long,0,,,,,
player,201710080dal,gnb,RodgAa00,fumbles,0,,,,,
player,201710080dal,gnb,RodgAa00,fumbles_lost,0,,,,,
player,201710080dal,gnb,JoneAa00,pass_cmp,0,,,,,
player,201710080dal,gnb,JoneAa00,pass_att,0,,,,,
player,201710080dal,gnb,JoneAa00,pass_yds,0,,,,,
player,201710080dal,gnb,JoneAa00,pass_td,0,,,,,
player,201710080dal,gnb,JoneAa00,pass_int,0,,,,,
player,201710080dal,gnb,JoneAa00,pass_sacked,0,,,,,
player,201710080dal,gnb,JoneAa00,pass_sacked_yds,0,,,,,
