game,2017,13,20171203,201712030gnb,tam,"Tampa Bay Buccaneers",20,gnb,"Green Bay Packers",26
team,201712030gnb,tam,First Downs,25,,,,,,
team,201712030gnb,gnb,First Downs,16,,,,,,
team,201712030gnb,tam,Rush-Yds-TDs,35-165-0,,,,,,
team,201712030gnb,gnb,Rush-Yds-TDs,29-199-2,,,,,,
team,201712030gnb,tam,Cmp-Att-Yd-TD-INT,21-32-270-2-0,,,,,,
team,201712030gnb,gnb,Cmp-Att-Yd-TD-INT,13-22-84-0-1,,,,,,
team,201712030gnb,tam,Sacked-Yards,7-40,,,,,,
team,201712030gnb,gnb,Sacked-Yards,2-7,,,,,,
team,201712030gnb,tam,Net Pass Yards,230,,,,,,
team,201712030gnb,gnb,Net Pass Yards,77,,,,,,
team,201712030gnb,tam,Total Yards,395,,,,,,
team,201712030gnb,gnb,Total Yards,276,,,,,,
team,201712030gnb,tam,Fumbles-Lost,3-1,,,,,,
team,201712030gnb,gnb,Fumbles-Lost,0-0,,,,,,
team,201712030gnb,tam,Turnovers,1,,,,,,
team,201712030gnb,gnb,Turnovers,1,,,,,,
team,201712030gnb,tam,Penalties-Yards,8-74,,,,,,
team,201712030gnb,gnb,Penalties-Yards,7-47,,,,,,
team,201712030gnb,tam,Third Down Conv.,9-16,,,,,,
team,201712030gnb,gnb,Third Down Conv.,5-12,,,,,,
team,201712030gnb,tam,Fourth Down Conv.,0-0,,,,,,
team,201712030gnb,gnb,Fourth Down Conv.,0-0,,,,,,
team,201712030gnb,tam,Time of Possession,37:17,,,,,,
team,201712030gnb,gnb,Time of Possession,26:44,,,,,,
player,201712030gnb,tam,WinsJa00,pass_cmp,21,,,,,
player,201712030gnb,tam,WinsJa00,pass_att,32,,,,,
player,201712030gnb,tam,WinsJa00,pass_yds,270,,,,,
player,201712030gnb,tam,WinsJa00,pass_td,2,,,,,
player,201712030gnb,tam,WinsJa00,pass_int,0,,,,,
player,201712030gnb,tam,WinsJa00,pass_sacked,7,,,,,
player,201712030gnb,tam,WinsJa00,pass_sacked_yds,40,,,,,
player,201712030gnb,tam,WinsJa00,pass_long,34,,,,,
player,201712030gnb,tam,WinsJa00,pass_rating,112.8,,,,,
player,201712030gnb,tam,WinsJa00,rush_att,5,,,,,
player,201712030gnb,tam,WinsJa00,rush_yds,18,,,,,
player,201712030gnb,tam,WinsJa00,rush_td,0,,,,,
player,201712030gnb,tam,WinsJa00,rush_long,15,,,,,
player,201712030gnb,tam,WinsJa00,targets,0,,,,,
player,201712030gnb,tam,WinsJa00,rec,0,,,,,
player,201712030gnb,tam,WinsJa00,rec_yds,0,,,,,
