game,2017,6,20171015,201710150min,gnb,"Green Bay Packers",10,min,"Minnesota Vikings",23
team,201710150min,gnb,First Downs,14,,,,,,
team,201710150min,min,First Downs,24,,,,,,
team,201710150min,gnb,Rush-Yds-TDs,24-72-0,,,,,,
team,201710150min,min,Rush-Yds-TDs,32-112-1,,,,,,
team,201710150min,gnb,Cmp-Att-Yd-TD-INT,20-37-175-1-3,,,,,,
team,201710150min,min,Cmp-Att-Yd-TD-INT,24-38-239-1-1,,,,,,
team,201710150min,gnb,Sacked-Yards,4-20,,,,,,
team,201710150min,min,Sacked-Yards,0-0,,,,,,
team,201710150min,gnb,Net Pass Yards,155,,,,,,
team,201710150min,min,Net Pass Yards,239,,,,,,
team,201710150min,gnb,Total Yards,227,,,,,,
team,201710150min,min,Total Yards,351,,,,,,
team,201710150min,gnb,Fumbles-Lost,2-0,,,,,,
team,201710150min,min,Fumbles-Lost,2-1,,,,,,
team,201710150min,gnb,Turnovers,3,,,,,,
team,201710150min,min,Turnovers,2,,,,,,
team,201710150min,gnb,Penalties-Yards,8-92,,,,,,
team,201710150min,min,Penalties-Yards,7-65,,,,,,
team,201710150min,gnb,Third Down Conv.,4-17,,,,,,
team,201710150min,min,Third Down Conv.,4-12,,,,,,
team,201710150min,gnb,Fourth Down Conv.,2-3,,,,,,
team,201710150min,min,Fourth Down Conv.,0-1,,,,,,
team,201710150min,gnb,Time of Possession,27:51,,,,,,
team,201710150min,min,Time of Possession,32:09,,,,,,
player,201710150min,gnb,HundBr00,pass_cmp,18,,,,,
player,201710150min,gnb,HundBr00,pass_att,33,,,,,
player,201710150min,gnb,HundBr00,pass_yds,157,,,,,
player,201710150min,gnb,HundBr00,pass_td,1,,,,,
player,201710150min,gnb,HundBr00,pass_int,3,,,,,
player,201710150min,gnb,HundBr00,pass_sacked,4,,,,,
player,201710150min,gnb,HundBr00,pass_sacked_yds,20,,,,,
player,201710150min,gnb,HundBr00,pass_long,26,,,,,
player,201710150min,gnb,HundBr00,pass_rating,39.6,,,,,
player,201710150min,gnb,HundBr00,rush_att,1,,,,,
player,201710150min,gnb,HundBr00,rush_yds,3,,,,,
player,201710150min,gnb,HundBr00,rush_td,0,,,,,
player,201710150min,gnb,HundBr00,rush_long,3,,,,,
player,201710150min,gnb,HundBr00,targets,0,,,,,
player,201710150min,gnb,HundBr00,rec,0,,,,,
player,201710150min,gnb,HundBr00,rec_yds,0,,,,,
player,201710150min,gnb,HundBr00,rec_td,0,,,,,
player,201710150min,gnb,HundBr00,rec_long,0,,,,,
player,201710150min,gnb,HundBr00,fumbles,1,,,,,
player,201710150min,gnb,HundBr00,fumbles_lost,0,,,,,
player,201710150min,gnb,RodgAa00,pass_cmp,2,,,,,
player,201710150min,gnb,RodgAa00,pass_att,4,,,,,
player,201710150min,gnb,RodgAa00,pass_yds,18,,,,,
player,201710150min,gnb,RodgAa00,pass_td,0,,,,,
player,201710150min,gnb,RodgAa00,pass_int,0,,,,,
player,201710150min,gnb,RodgAa00,pass_sacked,0,,,,,
player,201710150min,gnb,RodgAa00,pass_sacked_yds,0,,,,,
player,201710150min,gnb,RodgAa00,pass_long,10,,,,,
player,201710150min,gnb,RodgAa00,pass_rating,62.5,,,,,
player,201710150min,gnb,RodgAa00,rush_att,0,,,,,
