game,2017,15,20171217,201712170was,crd,"Arizona Cardinals",15,was,"Washington Redskins",20
team,201712170was,crd,First Downs,19,,,,,,
team,201712170was,was,First Downs,14,,,,,,
team,201712170was,crd,Rush-Yds-TDs,34-141-0,,,,,,
team,201712170was,was,Rush-Yds-TDs,20-31-0,,,,,,
team,201712170was,crd,Cmp-Att-Yd-TD-INT,16-41-189-0-1,,,,,,
team,201712170was,was,Cmp-Att-Yd-TD-INT,18-26-196-2-0,,,,,,
team,201712170was,crd,Sacked-Yards,5-44,,,,,,
team,201712170was,was,Sacked-Yards,1-9,,,,,,
team,201712170was,crd,Net Pass Yards,145,,,,,,
team,201712170was,was,Net Pass Yards,187,,,,,,
team,201712170was,crd,Total Yards,286,,,,,,
team,201712170was,was,Total Yards,218,,,,,,
team,201712170was,crd,Fumbles-Lost,3-1,,,,,,
team,201712170was,was,Fumbles-Lost,1-1,,,,,,
team,201712170was,crd,Turnovers,2,,,,,,
team,201712170was,was,Turnovers,1,,,,,,
team,201712170was,crd,Penalties-Yards,8-71,,,,,,
team,201712170was,was,Penalties-Yards,7-82,,,,,,
team,201712170was,crd,Third Down Conv.,4-19,,,,,,
team,201712170was,was,Third Down Conv.,1-9,,,,,,
team,201712170was,crd,Fourth Down Conv.,2-3,,,,,,
team,201712170was,was,Fourth Down Conv.,0-0,,,,,,
team,201712170was,crd,Time of Possession,36:16,,,,,,
team,201712170was,was,Time of Possession,23:44,,,,,,
player,201712170was,crd,GabbBl00,pass_cmp,16,,,,,
player,201712170was,crd,GabbBl00,pass_att,41,,,,,
player,201712170was,crd,GabbBl00,pass_yds,189,,,,,
player,201712170was,crd,GabbBl00,pass_td,0,,,,,
player,201712170was,crd,GabbBl00,pass_int,1,,,,,
player,201712170was,crd,GabbBl00,pass_sacked,5,,,,,
player,201712170was,crd,GabbBl00,pass_sacked_yds,44,,,,,
player,201712170was,crd,GabbBl00,pass_long,46,,,,,
player,201712170was,crd,GabbBl00,pass_rating,43.6,,,,,
player,201712170was,crd,GabbBl00,rush_att,6,,,,,
player,201712170was,crd,GabbBl00,rush_yds,28,,,,,
player,201712170was,crd,GabbBl00,rush_td,0,,,,,
player,201712170was,crd,GabbBl00,rush_long,10,,,,,
player,201712170was,crd,GabbBl00,targets,0,,,,,
player,201712170was,crd,GabbBl00,rec,0,,,,,
player,201712170was,crd,GabbBl00,rec_yds,0,,,,,
player,201712170was,crd,GabbBl00,rec_td,0,,,,,
player,201712170was,crd,GabbBl00,rec_long,0,,,,,
player,201712170was,crd,GabbBl00,fumbles,3,,,,,
player,201712170was,crd,GabbBl00,fumbles_lost,1,,,,,
player,201712170was,crd,WillKe05,pass_cmp,0,,,,,
player,201712170was,crd,WillKe05,pass_att,0,,,,,
player,201712170was,crd,WillKe05,pass_yds,0,,,,,
player,201712170was,crd,WillKe05,pass_td,0,,,,,
player,201712170was,crd,WillKe05,pass_int,0,,,,,
player,201712170was,crd,WillKe05,pass_sacked,0,,,,,
player,201712170was,crd,WillKe05,pass_sacked_yds,0,,,,,
player,201712170was,crd,WillKe05,pass_long,0,,,,,
player,201712170was,crd,WillKe05,pass_rating,,,,,,
player,201712170was,crd,WillKe05,rush_att,17,,,,,
player,201712170was,crd,WillKe05,rush_yds,61,,,,,
player,201712170was,crd,WillKe05,rush_td,0,,,,,
player,201712170was,crd,WillKe05,rush_long,12,,,,,
player,201712170was,crd,WillKe05,targets,1,,,,,
player,201712170was,crd,WillKe05,rec,0,,,,,
player,201712170was,crd,WillKe05,rec_yds,0,,,,,
player,201712170was,crd,WillKe05,rec_td,0,,,,,
player,201712170was,crd,WillKe05,rec_long,0,,,,,
player,201712170was,crd,WillKe05,fumbles,0,,,,,
player,201712170was,crd,WillKe05,fumbles_lost,0,,,,,
player,201712170was,crd,PennEl00,pass_cmp,0,,,,,
player,201712170was,crd,PennEl00,pass_att,0,,,,,
player,201712170was,crd,PennEl00,pass_yds,0,,,,,
player,201712170was,crd,PennEl00,pass_td,0,,,,,
player,201712170was,crd,PennEl00,pass_int,0,,,,,
player,201712170was,crd,PennEl00,pass_sacked,0,,,,,
player,201712170was,crd,PennEl00,pass_sacked_yds,0,,,,,
player,201712170was,crd,PennEl00,pass_long,0,,,,,
player,201712170was,crd,PennEl00,pass_rating,,,,,,
player,201712170was,crd,PennEl00,rush_att,10,,,,,
player,201712170was,crd,PennEl00,rush_yds,45,,,,,
player,201712170was,crd,PennEl00,rush_td,0,,,,,
player,201712170was,crd,PennEl00,rush_long,14,,,,,
player,201712170was,crd,PennEl00,targets,1,,,,,
player,201712170was,crd,PennEl00,rec,0,,,,,
player,201712170was,crd,PennEl00,rec_yds,0,,,,,
player,201712170was,crd,PennEl00,rec_td,0,,,,,
player,201712170was,crd,PennEl00,rec_long,0,,,,,
player,201712170was,crd,PennEl00,fumbles,0,,,,,
player,201712170was,crd,PennEl00,fumbles_lost,0,,,,,
player,201712170was,crd,NelsJJ00,pass_cmp,0,,,,,
player,201712170was,crd,NelsJJ00,pass_att,0,,,,,
player,201712170was,crd,NelsJJ00,pass_yds,0,,,,,
player,201712170was,crd,NelsJJ00,pass_td,0,,,,,
player,201712170was,crd,NelsJJ00,pass_int,0,,,,,
player,201712170was,crd,NelsJJ00,pass_sacked,0,,,,,
player,201712170was,crd,NelsJJ00,pass_sacked_yds,0,,,,,
player,201712170was,crd,NelsJJ00,pass_long,0,,,,,
player,201712170was,crd,NelsJJ00,pass_rating,,,,,,
player,201712170was,crd,NelsJJ00,rush_att,1,,,,,
player,201712170was,crd,NelsJJ00,rush_yds,7,,,,,
player,201712170was,crd,NelsJJ00,rush_td,0,,,,,
player,201712170was,crd,NelsJJ00,rush_long,7,,,,,
player,201712170was,crd,NelsJJ00,targets,3,,,,,
player,201712170was,crd,NelsJJ00,rec,1,,,,,
player,201712170was,crd,NelsJJ00,rec_yds,46,,,,,
player,201712170was,crd,NelsJJ00,rec_td,0,,,,,
player,201712170was,crd,NelsJJ00,rec_long,46,,,,,
player,201712170was,crd,NelsJJ00,fumbles,0,,,,,
player,201712170was,crd,NelsJJ00,fumbles_lost,0,,,,,
player,201712170was,crd,FitzLa00,pass_cmp,0,,,,,
player,201712170was,crd,FitzLa00,pass_att,0,,,,,
player,201712170was,crd,FitzLa00,pass_yds,0,,,,,
player,201712170was,crd,FitzLa00,pass_td,0,,,,,
player,201712170was,crd,FitzLa00,pass_int,0,,,,,
player,201712170was,crd,FitzLa00,pass_sacked,0,,,,,
player,201712170was,crd,FitzLa00,pass_sacked_yds,0,,,,,
player,201712170was,crd,FitzLa00,pass_long,0,,,,,
player,201712170was,crd,FitzLa00,pass_rating,,,,,,
player,201712170was,crd,FitzLa00,rush_att,0,,,,,
player,201712170was,crd,FitzLa00,rush_yds,0,,,,,
player,201712170was,crd,FitzLa00,rush_td,0,,,,,
player,201712170was,crd,FitzLa00,rush_long,0,,,,,
player,201712170was,crd,FitzLa00,targets,10,,,,,
player,201712170was,crd,FitzLa00,rec,5,,,,,
player,201712170was,crd,FitzLa00,rec_yds,60,,,,,
player,201712170was,crd,FitzLa00,rec_td,0,,,,,
player,201712170was,crd,FitzLa00,rec_long,25,,,,,
player,201712170was,crd,FitzLa00,fumbles,0,,,,,
player,201712170was,crd,FitzLa00,fumbles_lost,0,,,,,
player,201712170was,crd,NiklTr00,pass_cmp,0,,,,,
player,201712170was,crd,NiklTr00,pass_att,0,,,,,
player,201712170was,crd,NiklTr00,pass_yds,0,,,,,
player,201712170was,crd,NiklTr00,pass_td,0,,,,,
player,201712170was,crd,NiklTr00,pass_int,0,,,,,
player,201712170was,crd,NiklTr00,pass_sacked,0,,,,,
player,201712170was,crd,NiklTr00,pass_sacked_yds,0,,,,,
player,201712170was,crd,NiklTr00,pass_long,0,,,,,
player,201712170was,crd,NiklTr00,pass_rating,,,,,,
player,201712170was,crd,NiklTr00,rush_att,0,,,,,
player,201712170was,crd,NiklTr00,rush_yds,0,,,,,
player,201712170was,crd,NiklTr00,rush_td,0,,,,,
player,201712170was,crd,NiklTr00,rush_long,0,,,,,
player,201712170was,crd,NiklTr00,targets,6,,,,,
player,201712170was,crd,NiklTr00,rec,3,,,,,
player,201712170was,crd,NiklTr00,rec_yds,41,,,,,
player,201712170was,crd,NiklTr00,rec_td,0,,,,,
player,201712170was,crd,NiklTr00,rec_long,21,,,,,
player,201712170was,crd,NiklTr00,fumbles,0,,,,,
player,201712170was,crd,NiklTr00,fumbles_lost,0,,,,,
player,201712170was,crd,FostD.01,pass_cmp,0,,,,,
player,201712170was,crd,FostD.01,pass_att,0,,,,,
player,201712170was,crd,FostD.01,pass_yds,0,,,,,
player,201712170was,crd,FostD.01,pass_td,0,,,,,
player,201712170was,crd,FostD.01,pass_int,0,,,,,
player,201712170was,crd,FostD.01,pass_sacked,0,,,,,
player,201712170was,crd,FostD.01,pass_sacked_yds,0,,,,,
player,201712170was,crd,FostD.01,pass_long,0,,,,,
player,201712170was,crd,FostD.01,pass_rating,,,,,,
player,201712170was,crd,FostD.01,rush_att,0,,,,,
player,201712170was,crd,FostD.01,rush_yds,0,,,,,
player,201712170was,crd,FostD.01,rush_td,0,,,,,
player,201712170was,crd,FostD.01,rush_long,0,,,,,
player,201712170was,crd,FostD.01,targets,9,,,,,
player,201712170was,crd,FostD.01,rec,4,,,,,
player,201712170was,crd,FostD.01,rec_yds,22,,,,,
player,201712170was,crd,FostD.01,rec_td,0,,,,,
player,201712170was,crd,FostD.01,rec_long,8,,,,,
player,201712170was,crd,FostD.01,fumbles,0,,,,,
player,201712170was,crd,FostD.01,fumbles_lost,0,,,,,
player,201712170was,crd,SealRi00,pass_cmp,0,,,,,
player,201712170was,crd,SealRi00,pass_att,0,,,,,
player,201712170was,crd,SealRi00,pass_yds,0,,,,,
player,201712170was,crd,SealRi00,pass_td,0,,,,,
player,201712170was,crd,SealRi00,pass_int,0,,,,,
player,201712170was,crd,SealRi00,pass_sacked,0,,,,,
player,201712170was,crd,SealRi00,pass_sacked_yds,0,,,,,
