game,2017,14,20171210,201712100kan,rai,"Oakland Raiders",15,kan,"Kansas City Chiefs",26
team,201712100kan,rai,First Downs,15,,,,,,
team,201712100kan,kan,First Downs,23,,,,,,
team,201712100kan,rai,Rush-Yds-TDs,11-70-1,,,,,,
team,201712100kan,kan,Rush-Yds-TDs,33-165-2,,,,,,
team,201712100kan,rai,Cmp-Att-Yd-TD-INT,24-41-211-1-2,,,,,,
team,201712100kan,kan,Cmp-Att-Yd-TD-INT,20-34-268-0-1,,,,,,
team,201712100kan,rai,Sacked-Yards,3-13,,,,,,
team,201712100kan,kan,Sacked-Yards,4-25,,,,,,
team,201712100kan,rai,Net Pass Yards,198,,,,,,
team,201712100kan,kan,Net Pass Yards,243,,,,,,
team,201712100kan,rai,Total Yards,268,,,,,,
team,201712100kan,kan,Total Yards,408,,,,,,
team,201712100kan,rai,Fumbles-Lost,1-1,,,,,,
team,201712100kan,kan,Fumbles-Lost,0-0,,,,,,
team,201712100kan,rai,Turnovers,3,,,,,,
team,201712100kan,kan,Turnovers,1,,,,,,
team,201712100kan,rai,Penalties-Yards,7-39,,,,,,
team,201712100kan,kan,Penalties-Yards,7-69,,,,,,
team,201712100kan,rai,Third Down Conv.,5-13,,,,,,
team,201712100kan,kan,Third Down Conv.,5-13,,,,,,
team,201712100kan,rai,Fourth Down Conv.,1-1,,,,,,
team,201712100kan,kan,Fourth Down Conv.,0-0,,,,,,
team,201712100kan,rai,Time of Possession,23:20,,,,,,
team,201712100kan,kan,Time of Possession,36:40,,,,,,
player,201712100kan,rai,CarrDe02,pass_cmp,24,,,,,
player,201712100kan,rai,CarrDe02,pass_att,41,,,,,
player,201712100kan,rai,CarrDe02,pass_yds,211,,,,,
player,201712100kan,rai,CarrDe02,pass_td,1,,,,,
player,201712100kan,rai,CarrDe02,pass_int,2,,,,,
player,201712100kan,rai,CarrDe02,pass_sacked,3,,,,,
player,201712100kan,rai,CarrDe02,pass_sacked_yds,13,,,,,
player,201712100kan,rai,CarrDe02,pass_long,29,,,,,
player,201712100kan,rai,CarrDe02,pass_rating,60.1,,,,,
player,201712100kan,rai,CarrDe02,rush_att,0,,,,,
player,201712100kan,rai,CarrDe02,rush_yds,0,,,,,
player,201712100kan,rai,CarrDe02,rush_td,0,,,,,
player,201712100kan,rai,CarrDe02,rush_long,0,,,,,
player,201712100kan,rai,CarrDe02,targets,0,,,,,
player,201712100kan,rai,CarrDe02,rec,0,,,,,
player,201712100kan,rai,CarrDe02,rec_yds,0,,,,,
player,201712100kan,rai,CarrDe02,rec_td,0,,,,,
player,201712100kan,rai,CarrDe02,rec_long,0,,,,,
player,201712100kan,rai,CarrDe02,fumbles,0,,,,,
player,201712100kan,rai,CarrDe02,fumbles_lost,0,,,,,
player,201712100kan,rai,LyncMa00,pass_cmp,0,,,,,
player,201712100kan,rai,LyncMa00,pass_att,0,,,,,
player,201712100kan,rai,LyncMa00,pass_yds,0,,,,,
player,201712100kan,rai,LyncMa00,pass_td,0,,,,,
player,201712100kan,rai,LyncMa00,pass_int,0,,,,,
player,201712100kan,rai,LyncMa00,pass_sacked,0,,,,,
player,201712100kan,rai,LyncMa00,pass_sacked_yds,0,,,,,
player,201712100kan,rai,LyncMa00,pass_long,0,,,,,
player,201712100kan,rai,LyncMa00,pass_rating,,,,,,
player,201712100kan,rai,LyncMa00,rush_att,7,,,,,
player,201712100kan,rai,LyncMa00,rush_yds,61,,,,,
player,201712100kan,rai,LyncMa00,rush_td,1,,,,,
player,201712100kan,rai,LyncMa00,rush_long,27,,,,,
player,201712100kan,rai,LyncMa00,targets,2,,,,,
player,201712100kan,rai,LyncMa00,rec,1,,,,,
player,201712100kan,rai,LyncMa00,rec_yds,3,,,,,
