game,2017,13,20171203,201712030oti,htx,"Houston Texans",13,oti,"Tennessee Titans",24
player,201712030oti,htx,AndeSt01,pass_cmp,0,,,,,
player,201712030oti,htx,AndeSt01,pass_att,0,,,,,
player,201712030oti,htx,AndeSt01,pass_yds,0,,,,,
player,201712030oti,htx,AndeSt01,pass_td,0,,,,,
player,201712030oti,htx,AndeSt01,pass_int,0,,,,,
player,201712030oti,htx,AndeSt01,pass_sacked,0,,,,,
player,201712030oti,htx,AndeSt01,pass_sacked_yds,0,,,,,
player,201712030oti,htx,AndeSt01,pass_long,0,,,,,
player,201712030oti,htx,AndeSt01,pass_rating,,,,,,
player,201712030oti,htx,AndeSt01,rush_att,0,,,,,
player,201712030oti,htx,AndeSt01,rush_yds,0,,,,,
player,201712030oti,htx,AndeSt01,rush_td,0,,,,,
player,201712030oti,htx,AndeSt01,rush_long,0,,,,,
player,201712030oti,htx,AndeSt01,targets,12,,,,,
player,201712030oti,htx,AndeSt01,rec,5,,,,,
player,201712030oti,htx,AndeSt01,rec_yds,79,,,,,
player,201712030oti,htx,AndeSt01,rec_td,1,,,,,
player,201712030oti,htx,AndeSt01,rec_long,25,,,,,
player,201712030oti,htx,AndeSt01,fumbles,0,,,,,
player,201712030oti,htx,AndeSt01,fumbles_lost,0,,,,,
player,201712030oti,htx,MillBr03,pass_cmp,0,,,,,
player,201712030oti,htx,MillBr03,pass_att,0,,,,,
player,201712030oti,htx,MillBr03,pass_yds,0,,,,,
player,201712030oti,htx,MillBr03,pass_td,0,,,,,
player,201712030oti,htx,MillBr03,pass_int,0,,,,,
player,201712030oti,htx,MillBr03,pass_sacked,0,,,,,
player,201712030oti,htx,MillBr03,pass_sacked_yds,0,,,,,
player,201712030oti,htx,MillBr03,pass_long,0,,,,,
player,201712030oti,htx,MillBr03,pass_rating,,,,,,
player,201712030oti,htx,MillBr03,rush_att,0,,,,,
player,201712030oti,htx,MillBr03,rush_yds,0,,,,,
player,201712030oti,htx,MillBr03,rush_td,0,,,,,
player,201712030oti,htx,MillBr03,rush_long,0,,,,,
player,201712030oti,htx,MillBr03,targets,4,,,,,
player,201712030oti,htx,MillBr03,rec,4,,,,,
player,201712030oti,htx,MillBr03,rec_yds,71,,,,,
player,201712030oti,htx,MillBr03,rec_td,0,,,,,
player,201712030oti,htx,MillBr03,rec_long,57,,,,,
player,201712030oti,htx,MillBr03,fumbles,0,,,,,
player,201712030oti,htx,MillBr03,fumbles_lost,0,,,,,
player,201712030oti,htx,FiedC.00,pass_cmp,0,,,,,
player,201712030oti,htx,FiedC.00,pass_att,0,,,,,
player,201712030oti,htx,FiedC.00,pass_yds,0,,,,,
player,201712030oti,htx,FiedC.00,pass_td,0,,,,,
player,201712030oti,htx,FiedC.00,pass_int,0,,,,,
player,201712030oti,htx,FiedC.00,pass_sacked,0,,,,,
player,201712030oti,htx,FiedC.00,pass_sacked_yds,0,,,,,
player,201712030oti,htx,FiedC.00,pass_long,0,,,,,
player,201712030oti,htx,FiedC.00,pass_rating,,,,,,
player,201712030oti,htx,FiedC.00,rush_att,0,,,,,
player,201712030oti,htx,FiedC.00,rush_yds,0,,,,,
player,201712030oti,htx,FiedC.00,rush_td,0,,,,,
player,201712030oti,htx,FiedC.00,rush_long,0,,,,,
player,201712030oti,htx,FiedC.00,targets,3,,,,,
player,201712030oti,htx,FiedC.00,rec,2,,,,,
player,201712030oti,htx,FiedC.00,rec_yds,16,,,,,
player,201712030oti,htx,FiedC.00,rec_td,0,,,,,
player,201712030oti,htx,FiedC.00,rec_long,9,,,,,
player,201712030oti,htx,FiedC.00,fumbles,0,,,,,
player,201712030oti,htx,FiedC.00,fumbles_lost,0,,,,,
player,201712030oti,htx,ThomCh05,pass_cmp,0,,,,,
player,201712030oti,htx,ThomCh05,pass_att,0,,,,,
player,201712030oti,htx,ThomCh05,pass_yds,0,,,,,
player,201712030oti,htx,ThomCh05,pass_td,0,,,,,
player,201712030oti,htx,ThomCh05,pass_int,0,,,,,
player,201712030oti,htx,ThomCh05,pass_sacked,0,,,,,
player,201712030oti,htx,ThomCh05,pass_sacked_yds,0,,,,,
player,201712030oti,htx,ThomCh05,pass_long,0,,,,,
player,201712030oti,htx,ThomCh05,pass_rating,,,,,,
player,201712030oti,htx,ThomCh05,rush_att,0,,,,,
player,201712030oti,htx,ThomCh05,rush_yds,0,,,,,
player,201712030oti,htx,ThomCh05,rush_td,0,,,,,
player,201712030oti,htx,ThomCh05,rush_long,0,,,,,
player,201712030oti,htx,ThomCh05,targets,2,,,,,
player,201712030oti,htx,ThomCh05,rec,1,,,,,
player,201712030oti,htx,ThomCh05,rec_yds,11,,,,,
player,201712030oti,htx,ThomCh05,rec_td,0,,,,,
player,201712030oti,htx,ThomCh05,rec_long,11,,,,,
player,201712030oti,htx,ThomCh05,fumbles,1,,,,,
player,201712030oti,htx,ThomCh05,fumbles_lost,0,,,,,
player,201712030oti,htx,ElliBr00,pass_cmp,0,,,,,
player,201712030oti,htx,ElliBr00,pass_att,0,,,,,
player,201712030oti,htx,ElliBr00,pass_yds,0,,,,,
player,201712030oti,htx,ElliBr00,pass_td,0,,,,,
player,201712030oti,htx,ElliBr00,pass_int,0,,,,,
player,201712030oti,htx,ElliBr00,pass_sacked,0,,,,,
player,201712030oti,htx,ElliBr00,pass_sacked_yds,0,,,,,
player,201712030oti,htx,ElliBr00,pass_long,0,,,,,
player,201712030oti,htx,ElliBr00,pass_rating,,,,,,
player,201712030oti,htx,ElliBr00,rush_att,0,,,,,
player,201712030oti,htx,ElliBr00,rush_yds,0,,,,,
player,201712030oti,htx,ElliBr00,rush_td,0,,,,,
player,201712030oti,htx,ElliBr00,rush_long,0,,,,,
