game,2017,3,20170924,201709240was,rai,"Oakland Raiders",10,was,"Washington Redskins",27
team,201709240was,rai,First Downs,7,,,,,,
team,201709240was,was,First Downs,18,,,,,,
team,201709240was,rai,Rush-Yds-TDs,13-32-0,,,,,,
team,201709240was,was,Rush-Yds-TDs,34-116-0,,,,,,
team,201709240was,rai,Cmp-Att-Yd-TD-INT,19-31-118-1-2,,,,,,
team,201709240was,was,Cmp-Att-Yd-TD-INT,25-30-365-3-0,,,,,,
team,201709240was,rai,Sacked-Yards,4-22,,,,,,
team,201709240was,was,Sacked-Yards,1-9,,,,,,
team,201709240was,rai,Net Pass Yards,96,,,,,,
team,201709240was,was,Net Pass Yards,356,,,,,,
team,201709240was,rai,Total Yards,128,,,,,,
team,201709240was,was,Total Yards,472,,,,,,
team,201709240was,rai,Fumbles-Lost,1-1,,,,,,
team,201709240was,was,Fumbles-Lost,2-2,,,,,,
team,201709240was,rai,Turnovers,3,,,,,,
team,201709240was,was,Turnovers,2,,,,,,
team,201709240was,rai,Penalties-Yards,4-35,,,,,,
team,201709240was,was,Penalties-Yards,10-77,,,,,,
team,201709240was,rai,Third Down Conv.,0-11,,,,,,
team,201709240was,was,Third Down Conv.,7-15,,,,,,
team,201709240was,rai,Fourth Down Conv.,1-2,,,,,,
team,201709240was,was,Fourth Down Conv.,0-0,,,,,,
team,201709240was,rai,Time of Possession,21:54,,,,,,
team,201709240was,was,Time of Possession,38:06,,,,,,
player,201709240was,rai,CarrDe02,pass_cmp,19,,,,,
player,201709240was,rai,CarrDe02,pass_att,31,,,,,
player,201709240was,rai,CarrDe02,pass_yds,118,,,,,
player,201709240was,rai,CarrDe02,pass_td,1,,,,,
player,201709240was,rai,CarrDe02,pass_int,2,,,,,
player,201709240was,rai,CarrDe02,pass_sacked,4,,,,,
player,201709240was,rai,CarrDe02,pass_sacked_yds,22,,,,,
player,201709240was,rai,CarrDe02,pass_long,21,,,,,
player,201709240was,rai,CarrDe02,pass_rating,52.9,,,,,
player,201709240was,rai,CarrDe02,rush_att,2,,,,,
player,201709240was,rai,CarrDe02,rush_yds,5,,,,,
player,201709240was,rai,CarrDe02,rush_td,0,,,,,
player,201709240was,rai,CarrDe02,rush_long,6,,,,,
player,201709240was,rai,CarrDe02,targets,0,,,,,
player,201709240was,rai,CarrDe02,rec,0,,,,,
player,201709240was,rai,CarrDe02,rec_yds,0,,,,,
player,201709240was,rai,CarrDe02,rec_td,0,,,,,
player,201709240was,rai,CarrDe02,rec_long,0,,,,,
player,201709240was,rai,CarrDe02,fumbles,0,,,,,
player,201709240was,rai,CarrDe02,fumbles_lost,0,,,,,
player,201709240was,rai,LyncMa00,pass_cmp,0,,,,,
player,201709240was,rai,LyncMa00,pass_att,0,,,,,
player,201709240was,rai,LyncMa00,pass_yds,0,,,,,
player,201709240was,rai,LyncMa00,pass_td,0,,,,,
player,201709240was,rai,LyncMa00,pass_int,0,,,,,
player,201709240was,rai,LyncMa00,pass_sacked,0,,,,,
player,201709240was,rai,LyncMa00,pass_sacked_yds,0,,,,,
player,201709240was,rai,LyncMa00,pass_long,0,,,,,
player,201709240was,rai,LyncMa00,pass_rating,,,,,,
player,201709240was,rai,LyncMa00,rush_att,6,,,,,
player,201709240was,rai,LyncMa00,rush_yds,18,,,,,
player,201709240was,rai,LyncMa00,rush_td,0,,,,,
player,201709240was,rai,LyncMa00,rush_long,5,,,,,
player,201709240was,rai,LyncMa00,targets,1,,,,,
player,201709240was,rai,LyncMa00,rec,1,,,,,
player,201709240was,rai,LyncMa00,rec_yds,8,,,,,
player,201709240was,rai,LyncMa00,rec_td,0,,,,,
player,201709240was,rai,LyncMa00,rec_long,8,,,,,
player,201709240was,rai,LyncMa00,fumbles,0,,,,,
player,201709240was,rai,LyncMa00,fumbles_lost,0,,,,,
player,201709240was,rai,PattCo00,pass_cmp,0,,,,,
player,201709240was,rai,PattCo00,pass_att,0,,,,,
player,201709240was,rai,PattCo00,pass_yds,0,,,,,
player,201709240was,rai,PattCo00,pass_td,0,,,,,
player,201709240was,rai,PattCo00,pass_int,0,,,,,
player,201709240was,rai,PattCo00,pass_sacked,0,,,,,
player,201709240was,rai,PattCo00,pass_sacked_yds,0,,,,,
player,201709240was,rai,PattCo00,pass_long,0,,,,,
player,201709240was,rai,PattCo00,pass_rating,,,,,,
player,201709240was,rai,PattCo00,rush_att,2,,,,,
player,201709240was,rai,PattCo00,rush_yds,5,,,,,
player,201709240was,rai,PattCo00,rush_td,0,,,,,
player,201709240was,rai,PattCo00,rush_long,8,,,,,
player,201709240was,rai,PattCo00,targets,2,,,,,
player,201709240was,rai,PattCo00,rec,1,,,,,
player,201709240was,rai,PattCo00,rec_yds,7,,,,,
player,201709240was,rai,PattCo00,rec_td,0,,,,,
player,201709240was,rai,PattCo00,rec_long,7,,,,,
player,201709240was,rai,PattCo00,fumbles,0,,,,,
player,201709240was,rai,PattCo00,fumbles_lost,0,,,,,
player,201709240was,rai,RichJa01,pass_cmp,0,,,,,
