game,2017,10,20171113,201711130car,mia,"Miami Dolphins",21,car,"Carolina Panthers",45
team,201711130car,mia,First Downs,17,,,,,,
team,201711130car,car,First Downs,30,,,,,,
team,201711130car,mia,Rush-Yds-TDs,17-100-1,,,,,,
team,201711130car,car,Rush-Yds-TDs,36-294-2,,,,,,
team,201711130car,mia,Cmp-Att-Yd-TD-INT,22-37-213-2-1,,,,,,
team,201711130car,car,Cmp-Att-Yd-TD-INT,21-35-254-4-0,,,,,,
team,201711130car,mia,Sacked-Yards,0-0,,,,,,
team,201711130car,car,Sacked-Yards,0-0,,,,,,
team,201711130car,mia,Net Pass Yards,213,,,,,,
team,201711130car,car,Net Pass Yards,254,,,,,,
team,201711130car,mia,Total Yards,313,,,,,,
team,201711130car,car,Total Yards,548,,,,,,
team,201711130car,mia,Fumbles-Lost,0-0,,,,,,
team,201711130car,car,Fumbles-Lost,0-0,,,,,,
team,201711130car,mia,Turnovers,1,,,,,,
team,201711130car,car,Turnovers,0,,,,,,
team,201711130car,mia,Penalties-Yards,7-57,,,,,,
team,201711130car,car,Penalties-Yards,6-37,,,,,,
team,201711130car,mia,Third Down Conv.,7-12,,,,,,
team,201711130car,car,Third Down Conv.,11-14,,,,,,
team,201711130car,mia,Fourth Down Conv.,0-1,,,,,,
team,201711130car,car,Fourth Down Conv.,0-0,,,,,,
team,201711130car,mia,Time of Possession,24:21,,,,,,
team,201711130car,car,Time of Possession,35:39,,,,,,
player,201711130car,mia,CutlJa00,pass_cmp,22,,,,,
player,201711130car,mia,CutlJa00,pass_att,37,,,,,
player,201711130car,mia,CutlJa00,pass_yds,213,,,,,
player,201711130car,mia,CutlJa00,pass_td,2,,,,,
player,201711130car,mia,CutlJa00,pass_int,1,,,,,
player,201711130car,mia,CutlJa00,pass_sacked,0,,,,,
player,201711130car,mia,CutlJa00,pass_sacked_yds,0,,,,,
player,201711130car,mia,CutlJa00,pass_long,24,,,,,
player,201711130car,mia,CutlJa00,pass_rating,82.4,,,,,
player,201711130car,mia,CutlJa00,rush_att,1,,,,,
player,201711130car,mia,CutlJa00,rush_yds,-1,,,,,
player,201711130car,mia,CutlJa00,rush_td,0,,,,,
player,201711130car,mia,CutlJa00,rush_long,-1,,,,,
player,201711130car,mia,CutlJa00,targets,0,,,,,
player,201711130car,mia,CutlJa00,rec,0,,,,,
player,201711130car,mia,CutlJa00,rec_yds,0,,,,,
player,201711130car,mia,CutlJa00,rec_td,0,,,,,
player,201711130car,mia,CutlJa00,rec_long,0,,,,,
player,201711130car,mia,CutlJa00,fumbles,0,,,,,
player,201711130car,mia,CutlJa00,fumbles_lost,0,,,,,
player,201711130car,mia,DrakKe00,pass_cmp,0,,,,,
player,201711130car,mia,DrakKe00,pass_att,0,,,,,
player,201711130car,mia,DrakKe00,pass_yds,0,,,,,
player,201711130car,mia,DrakKe00,pass_td,0,,,,,
player,201711130car,mia,DrakKe00,pass_int,0,,,,,
player,201711130car,mia,DrakKe00,pass_sacked,0,,,,,
player,201711130car,mia,DrakKe00,pass_sacked_yds,0,,,,,
player,201711130car,mia,DrakKe00,pass_long,0,,,,,
player,201711130car,mia,DrakKe00,pass_rating,,,,,,
player,201711130car,mia,DrakKe00,rush_att,7,,,,,
player,201711130car,mia,DrakKe00,rush_yds,82,,,,,
player,201711130car,mia,DrakKe00,rush_td,1,,,,,
player,201711130car,mia,DrakKe00,rush_long,66,,,,,
player,201711130car,mia,DrakKe00,targets,2,,,,,
player,201711130car,mia,DrakKe00,rec,2,,,,,
player,201711130car,mia,DrakKe00,rec_yds,10,,,,,
player,201711130car,mia,DrakKe00,rec_td,0,,,,,
player,201711130car,mia,DrakKe00,rec_long,5,,,,,
player,201711130car,mia,DrakKe00,fumbles,0,,,,,
player,201711130car,mia,DrakKe00,fumbles_lost,0,,,,,
player,201711130car,mia,WillDa05,pass_cmp,0,,,,,
player,201711130car,mia,WillDa05,pass_att,0,,,,,
player,201711130car,mia,WillDa05,pass_yds,0,,,,,
player,201711130car,mia,WillDa05,pass_td,0,,,,,
player,201711130car,mia,WillDa05,pass_int,0,,,,,
player,201711130car,mia,WillDa05,pass_sacked,0,,,,,
player,201711130car,mia,WillDa05,pass_sacked_yds,0,,,,,
player,201711130car,mia,WillDa05,pass_long,0,,,,,
player,201711130car,mia,WillDa05,pass_rating,,,,,,
player,201711130car,mia,WillDa05,rush_att,9,,,,,
player,201711130car,mia,WillDa05,rush_yds,19,,,,,
player,201711130car,mia,WillDa05,rush_td,0,,,,,
player,201711130car,mia,WillDa05,rush_long,11,,,,,
player,201711130car,mia,WillDa05,targets,3,,,,,
player,201711130car,mia,WillDa05,rec,2,,,,,
player,201711130car,mia,WillDa05,rec_yds,20,,,,,
player,201711130car,mia,WillDa05,rec_td,0,,,,,
player,201711130car,mia,WillDa05,rec_long,15,,,,,
player,201711130car,mia,WillDa05,fumbles,0,,,,,
player,201711130car,mia,WillDa05,fumbles_lost,0,,,,,
player,201711130car,mia,StilKe00,pass_cmp,0,,,,,
player,201711130car,mia,StilKe00,pass_att,0,,,,,
player,201711130car,mia,StilKe00,pass_yds,0,,,,,
player,201711130car,mia,StilKe00,pass_td,0,,,,,
player,201711130car,mia,StilKe00,pass_int,0,,,,,
player,201711130car,mia,StilKe00,pass_sacked,0,,,,,
player,201711130car,mia,StilKe00,pass_sacked_yds,0,,,,,
player,201711130car,mia,StilKe00,pass_long,0,,,,,
player,201711130car,mia,StilKe00,pass_rating,,,,,,
player,201711130car,mia,StilKe00,rush_att,0,,,,,
player,201711130car,mia,StilKe00,rush_yds,0,,,,,
player,201711130car,mia,StilKe00,rush_td,0,,,,,
player,201711130car,mia,StilKe00,rush_long,0,,,,,
player,201711130car,mia,StilKe00,targets,8,,,,,
player,201711130car,mia,StilKe00,rec,5,,,,,
player,201711130car,mia,StilKe00,rec_yds,67,,,,,
player,201711130car,mia,StilKe00,rec_td,0,,,,,
player,201711130car,mia,StilKe00,rec_long,21,,,,,
player,201711130car,mia,StilKe00,fumbles,0,,,,,
player,201711130car,mia,StilKe00,fumbles_lost,0,,,,,
player,201711130car,mia,ParkDe01,pass_cmp,0,,,,,
player,201711130car,mia,ParkDe01,pass_att,0,,,,,
player,201711130car,mia,ParkDe01,pass_yds,0,,,,,
player,201711130car,mia,ParkDe01,pass_td,0,,,,,
player,201711130car,mia,ParkDe01,pass_int,0,,,,,
player,201711130car,mia,ParkDe01,pass_sacked,0,,,,,
player,201711130car,mia,ParkDe01,pass_sacked_yds,0,,,,,
player,201711130car,mia,ParkDe01,pass_long,0,,,,,
player,201711130car,mia,ParkDe01,pass_rating,,,,,,
player,201711130car,mia,ParkDe01,rush_att,0,,,,,
player,201711130car,mia,ParkDe01,rush_yds,0,,,,,
player,201711130car,mia,ParkDe01,rush_td,0,,,,,
player,201711130car,mia,ParkDe01,rush_long,0,,,,,
player,201711130car,mia,ParkDe01,targets,9,,,,,
player,201711130car,mia,ParkDe01,rec,6,,,,,
player,201711130car,mia,ParkDe01,rec_yds,66,,,,,
player,201711130car,mia,ParkDe01,rec_td,0,,,,,
player,201711130car,mia,ParkDe01,rec_long,24,,,,,
player,201711130car,mia,ParkDe01,fumbles,0,,,,,
player,201711130car,mia,ParkDe01,fumbles_lost,0,,,,,
player,201711130car,mia,LandJa00,pass_cmp,0,,,,,
player,201711130car,mia,LandJa00,pass_att,0,,,,,
player,201711130car,mia,LandJa00,pass_yds,0,,,,,
player,201711130car,mia,LandJa00,pass_td,0,,,,,
player,201711130car,mia,LandJa00,pass_int,0,,,,,
player,201711130car,mia,LandJa00,pass_sacked,0,,,,,
player,201711130car,mia,LandJa00,pass_sacked_yds,0,,,,,
player,201711130car,mia,LandJa00,pass_long,0,,,,,
player,201711130car,mia,LandJa00,pass_rating,,,,,,
player,201711130car,mia,LandJa00,rush_att,0,,,,,
player,201711130car,mia,LandJa00,rush_yds,0,,,,,
player,201711130car,mia,LandJa00,rush_td,0,,,,,
player,201711130car,mia,LandJa00,rush_long,0,,,,,
player,201711130car,mia,LandJa00,targets,10,,,,,
player,201711130car,mia,LandJa00,rec,5,,,,,
player,201711130car,mia,LandJa00,rec_yds,42,,,,,
player,201711130car,mia,LandJa00,rec_td,1,,,,,
player,201711130car,mia,LandJa00,rec_long,19,,,,,
player,201711130car,mia,LandJa00,fumbles,0,,,,,
player,201711130car,mia,LandJa00,fumbles_lost,0,,,,,
player,201711130car,mia,ThomJu00,pass_cmp,0,,,,,
player,201711130car,mia,ThomJu00,pass_att,0,,,,,
player,201711130car,mia,ThomJu00,pass_yds,0,,,,,
player,201711130car,mia,ThomJu00,pass_td,0,,,,,
player,201711130car,mia,ThomJu00,pass_int,0,,,,,
player,201711130car,mia,ThomJu00,pass_sacked,0,,,,,
player,201711130car,mia,ThomJu00,pass_sacked_yds,0,,,,,
player,201711130car,mia,ThomJu00,pass_long,0,,,,,
player,201711130car,mia,ThomJu00,pass_rating,,,,,,
player,201711130car,mia,ThomJu00,rush_att,0,,,,,
player,201711130car,mia,ThomJu00,rush_yds,0,,,,,
player,201711130car,mia,ThomJu00,rush_td,0,,,,,
player,201711130car,mia,ThomJu00,rush_long,0,,,,,
player,201711130car,mia,ThomJu00,targets,5,,,,,
player,201711130car,mia,ThomJu00,rec,2,,,,,
player,201711130car,mia,ThomJu00,rec_yds,8,,,,,
player,201711130car,mia,ThomJu00,rec_td,1,,,,,
player,201711130car,mia,ThomJu00,rec_long,6,,,,,
player,201711130car,mia,ThomJu00,fumbles,0,,,,,
player,201711130car,mia,ThomJu00,fumbles_lost,0,,,,,
player,201711130car,car,NewtCa00,pass_cmp,21,,,,,
player,201711130car,car,NewtCa00,pass_att,35,,,,,
player,201711130car,car,NewtCa00,pass_yds,254,,,,,
player,201711130car,car,NewtCa00,pass_td,4,,,,,
player,201711130car,car,NewtCa00,pass_int,0,,,,,
player,201711130car,car,NewtCa00,pass_sacked,0,,,,,
player,201711130car,car,NewtCa00,pass_sacked_yds,0,,,,,
player,201711130car,car,NewtCa00,pass_long,32,,,,,
