game,2017,17,20171231,201712310phi,dal,"Dallas Cowboys",6,phi,"Philadelphia Eagles",0
team,201712310phi,dal,First Downs,16,,,,,,
team,201712310phi,phi,First Downs,12,,,,,,
team,201712310phi,dal,Rush-Yds-TDs,32-129-0,,,,,,
team,201712310phi,phi,Rush-Yds-TDs,18-70-0,,,,,,
team,201712310phi,dal,Cmp-Att-Yd-TD-INT,17-30-179-1-0,,,,,,
team,201712310phi,phi,Cmp-Att-Yd-TD-INT,23-34-173-0-1,,,,,,
team,201712310phi,dal,Sacked-Yards,1-7,,,,,,
team,201712310phi,phi,Sacked-Yards,3-24,,,,,,
team,201712310phi,dal,Net Pass Yards,172,,,,,,
team,201712310phi,phi,Net Pass Yards,149,,,,,,
team,201712310phi,dal,Total Yards,301,,,,,,
team,201712310phi,phi,Total Yards,219,,,,,,
team,201712310phi,dal,Fumbles-Lost,1-1,,,,,,
team,201712310phi,phi,Fumbles-Lost,3-1,,,,,,
team,201712310phi,dal,Turnovers,1,,,,,,
team,201712310phi,phi,Turnovers,2,,,,,,
team,201712310phi,dal,Penalties-Yards,7-64,,,,,,
team,201712310phi,phi,Penalties-Yards,7-49,,,,,,
team,201712310phi,dal,Third Down Conv.,5-15,,,,,,
team,201712310phi,phi,Third Down Conv.,2-11,,,,,,
team,201712310phi,dal,Fourth Down Conv.,0-1,,,,,,
team,201712310phi,phi,Fourth Down Conv.,0-2,,,,,,
team,201712310phi,dal,Time of Possession,30:05,,,,,,
team,201712310phi,phi,Time of Possession,29:55,,,,,,
player,201712310phi,dal,PresDa01,pass_cmp,17,,,,,
player,201712310phi,dal,PresDa01,pass_att,30,,,,,
player,201712310phi,dal,PresDa01,pass_yds,179,,,,,
player,201712310phi,dal,PresDa01,pass_td,1,,,,,
player,201712310phi,dal,PresDa01,pass_int,0,,,,,
player,201712310phi,dal,PresDa01,pass_sacked,1,,,,,
player,201712310phi,dal,PresDa01,pass_sacked_yds,7,,,,,
player,201712310phi,dal,PresDa01,pass_long,30,,,,,
player,201712310phi,dal,PresDa01,pass_rating,85.3,,,,,
player,201712310phi,dal,PresDa01,rush_att,2,,,,,
player,201712310phi,dal,PresDa01,rush_yds,16,,,,,
player,201712310phi,dal,PresDa01,rush_td,0,,,,,
player,201712310phi,dal,PresDa01,rush_long,10,,,,,
player,201712310phi,dal,PresDa01,targets,0,,,,,
player,201712310phi,dal,PresDa01,rec,0,,,,,
player,201712310phi,dal,PresDa01,rec_yds,0,,,,,
player,201712310phi,dal,PresDa01,rec_td,0,,,,,
player,201712310phi,dal,PresDa01,rec_long,0,,,,,
player,201712310phi,dal,PresDa01,fumbles,0,,,,,
player,201712310phi,dal,PresDa01,fumbles_lost,0,,,,,
player,201712310phi,dal,ElliEz00,pass_cmp,0,,,,,
player,201712310phi,dal,ElliEz00,pass_att,0,,,,,
player,201712310phi,dal,ElliEz00,pass_yds,0,,,,,
player,201712310phi,dal,ElliEz00,pass_td,0,,,,,
player,201712310phi,dal,ElliEz00,pass_int,0,,,,,
player,201712310phi,dal,ElliEz00,pass_sacked,0,,,,,
player,201712310phi,dal,ElliEz00,pass_sacked_yds,0,,,,,
player,201712310phi,dal,ElliEz00,pass_long,0,,,,,
player,201712310phi,dal,ElliEz00,pass_rating,,,,,,
player,201712310phi,dal,ElliEz00,rush_att,27,,,,,
player,201712310phi,dal,ElliEz00,rush_yds,103,,,,,
player,201712310phi,dal,ElliEz00,rush_td,0,,,,,
player,201712310phi,dal,ElliEz00,rush_long,25,,,,,
player,201712310phi,dal,ElliEz00,targets,5,,,,,
player,201712310phi,dal,ElliEz00,rec,3,,,,,
player,201712310phi,dal,ElliEz00,rec_yds,38,,,,,
player,201712310phi,dal,ElliEz00,rec_td,0,,,,,
player,201712310phi,dal,ElliEz00,rec_long,22,,,,,
player,201712310phi,dal,ElliEz00,fumbles,0,,,,,
player,201712310phi,dal,ElliEz00,fumbles_lost,0,,,,,
player,201712310phi,dal,WillTe01,pass_cmp,0,,,,,
player,201712310phi,dal,WillTe01,pass_att,0,,,,,
player,201712310phi,dal,WillTe01,pass_yds,0,,,,,
player,201712310phi,dal,WillTe01,pass_td,0,,,,,
player,201712310phi,dal,WillTe01,pass_int,0,,,,,
player,201712310phi,dal,WillTe01,pass_sacked,0,,,,,
player,201712310phi,dal,WillTe01,pass_sacked_yds,0,,,,,
player,201712310phi,dal,WillTe01,pass_long,0,,,,,
player,201712310phi,dal,WillTe01,pass_rating,,,,,,
player,201712310phi,dal,WillTe01,rush_att,1,,,,,
player,201712310phi,dal,WillTe01,rush_yds,9,,,,,
player,201712310phi,dal,WillTe01,rush_td,0,,,,,
player,201712310phi,dal,WillTe01,rush_long,9,,,,,
player,201712310phi,dal,WillTe01,targets,4,,,,,
player,201712310phi,dal,WillTe01,rec,2,,,,,
player,201712310phi,dal,WillTe01,rec_yds,5,,,,,
player,201712310phi,dal,WillTe01,rec_td,0,,,,,
player,201712310phi,dal,WillTe01,rec_long,3,,,,,
player,201712310phi,dal,WillTe01,fumbles,0,,,,,
player,201712310phi,dal,WillTe01,fumbles_lost,0,,,,,
player,201712310phi,dal,MorrAl00,pass_cmp,0,,,,,
player,201712310phi,dal,MorrAl00,pass_att,0,,,,,
player,201712310phi,dal,MorrAl00,pass_yds,0,,,,,
player,201712310phi,dal,MorrAl00,pass_td,0,,,,,
player,201712310phi,dal,MorrAl00,pass_int,0,,,,,
player,201712310phi,dal,MorrAl00,pass_sacked,0,,,,,
player,201712310phi,dal,MorrAl00,pass_sacked_yds,0,,,,,
player,201712310phi,dal,MorrAl00,pass_long,0,,,,,
player,201712310phi,dal,MorrAl00,pass_rating,,,,,,
player,201712310phi,dal,MorrAl00,rush_att,2,,,,,
player,201712310phi,dal,MorrAl00,rush_yds,1,,,,,
player,201712310phi,dal,MorrAl00,rush_td,0,,,,,
player,201712310phi,dal,MorrAl00,rush_long,4,,,,,
player,201712310phi,dal,MorrAl00,targets,0,,,,,
player,201712310phi,dal,MorrAl00,rec,0,,,,,
player,201712310phi,dal,MorrAl00,rec_yds,0,,,,,
player,201712310phi,dal,MorrAl00,rec_td,0,,,,,
player,201712310phi,dal,MorrAl00,rec_long,0,,,,,
player,201712310phi,dal,MorrAl00,fumbles,0,,,,,
player,201712310phi,dal,MorrAl00,fumbles_lost,0,,,,,
player,201712310phi,dal,ButlBr00,pass_cmp,0,,,,,
player,201712310phi,dal,ButlBr00,pass_att,0,,,,,
player,201712310phi,dal,ButlBr00,pass_yds,0,,,,,
player,201712310phi,dal,ButlBr00,pass_td,0,,,,,
player,201712310phi,dal,ButlBr00,pass_int,0,,,,,
player,201712310phi,dal,ButlBr00,pass_sacked,0,,,,,
player,201712310phi,dal,ButlBr00,pass_sacked_yds,0,,,,,
player,201712310phi,dal,ButlBr00,pass_long,0,,,,,
player,201712310phi,dal,ButlBr00,pass_rating,,,,,,
player,201712310phi,dal,ButlBr00,rush_att,0,,,,,
player,201712310phi,dal,ButlBr00,rush_yds,0,,,,,
player,201712310phi,dal,ButlBr00,rush_td,0,,,,,
player,201712310phi,dal,ButlBr00,rush_long,0,,,,,
player,201712310phi,dal,ButlBr00,targets,2,,,,,
player,201712310phi,dal,ButlBr00,rec,2,,,,,
player,201712310phi,dal,ButlBr00,rec_yds,50,,,,,
player,201712310phi,dal,ButlBr00,rec_td,1,,,,,
