game,2017,13,20171203,201712030atl,min,"Minnesota Vikings",14,atl,"Atlanta Falcons",9
player,201712030atl,min,DiggSt00,pass_rating,,,,,,
player,201712030atl,min,DiggSt00,rush_att,1,,,,,
player,201712030atl,min,DiggSt00,rush_yds,5,,,,,
player,201712030atl,min,DiggSt00,rush_td,0,,,,,
player,201712030atl,min,DiggSt00,rush_long,5,,,,,
player,201712030atl,min,DiggSt00,targets,5,,,,,
player,201712030atl,min,DiggSt00,rec,2,,,,,
player,201712030atl,min,DiggSt00,rec_yds,32,,,,,
player,201712030atl,min,DiggSt00,rec_td,0,,,,,
player,201712030atl,min,DiggSt00,rec_long,19,,,,,
player,201712030atl,min,DiggSt00,fumbles,0,,,,,
player,201712030atl,min,DiggSt00,fumbles_lost,0,,,,,
player,201712030atl,min,HamxC.00,pass_cmp,0,,,,,
player,201712030atl,min,HamxC.00,pass_att,0,,,,,
player,201712030atl,min,HamxC.00,pass_yds,0,,,,,
player,201712030atl,min,HamxC.00,pass_td,0,,,,,
player,201712030atl,min,HamxC.00,pass_int,0,,,,,
player,201712030atl,min,HamxC.00,pass_sacked,0,,,,,
player,201712030atl,min,HamxC.00,pass_sacked_yds,0,,,,,
player,201712030atl,min,HamxC.00,pass_long,0,,,,,
player,201712030atl,min,HamxC.00,pass_rating,,,,,,
player,201712030atl,min,HamxC.00,rush_att,1,,,,,
player,201712030atl,min,HamxC.00,rush_yds,1,,,,,
player,201712030atl,min,HamxC.00,rush_td,0,,,,,
player,201712030atl,min,HamxC.00,rush_long,1,,,,,
player,201712030atl,min,HamxC.00,targets,1,,,,,
player,201712030atl,min,HamxC.00,rec,1,,,,,
player,201712030atl,min,HamxC.00,rec_yds,12,,,,,
player,201712030atl,min,HamxC.00,rec_td,0,,,,,
player,201712030atl,min,HamxC.00,rec_long,12,,,,,
player,201712030atl,min,HamxC.00,fumbles,0,,,,,
player,201712030atl,min,HamxC.00,fumbles_lost,0,,,,,
player,201712030atl,min,ThieAd00,pass_cmp,0,,,,,
player,201712030atl,min,ThieAd00,pass_att,0,,,,,
player,201712030atl,min,ThieAd00,pass_yds,0,,,,,
player,201712030atl,min,ThieAd00,pass_td,0,,,,,
player,201712030atl,min,ThieAd00,pass_int,0,,,,,
player,201712030atl,min,ThieAd00,pass_sacked,0,,,,,
player,201712030atl,min,ThieAd00,pass_sacked_yds,0,,,,,
player,201712030atl,min,ThieAd00,pass_long,0,,,,,
player,201712030atl,min,ThieAd00,pass_rating,,,,,,
player,201712030atl,min,ThieAd00,rush_att,0,,,,,
player,201712030atl,min,ThieAd00,rush_yds,0,,,,,
player,201712030atl,min,ThieAd00,rush_td,0,,,,,
player,201712030atl,min,ThieAd00,rush_long,0,,,,,
player,201712030atl,min,ThieAd00,targets,5,,,,,
player,201712030atl,min,ThieAd00,rec,4,,,,,
player,201712030atl,min,ThieAd00,rec_yds,51,,,,,
player,201712030atl,min,ThieAd00,rec_td,0,,,,,
player,201712030atl,min,ThieAd00,rec_long,22,,,,,
player,201712030atl,min,ThieAd00,fumbles,0,,,,,
player,201712030atl,min,ThieAd00,fumbles_lost,0,,,,,
player,201712030atl,min,RudoKy00,pass_cmp,0,,,,,
player,201712030atl,min,RudoKy00,pass_att,0,,,,,
player,201712030atl,min,RudoKy00,pass_yds,0,,,,,
player,201712030atl,min,RudoKy00,pass_td,0,,,,,
player,201712030atl,min,RudoKy00,pass_int,0,,,,,
player,201712030atl,min,RudoKy00,pass_sacked,0,,,,,
player,201712030atl,min,RudoKy00,pass_sacked_yds,0,,,,,
player,201712030atl,min,RudoKy00,pass_long,0,,,,,
player,201712030atl,min,RudoKy00,pass_rating,,,,,,
player,201712030atl,min,RudoKy00,rush_att,0,,,,,
player,201712030atl,min,RudoKy00,rush_yds,0,,,,,
player,201712030atl,min,RudoKy00,rush_td,0,,,,,
player,201712030atl,min,RudoKy00,rush_long,0,,,,,
player,201712030atl,min,RudoKy00,targets,5,,,,,
player,201712030atl,min,RudoKy00,rec,4,,,,,
player,201712030atl,min,RudoKy00,rec_yds,36,,,,,
player,201712030atl,min,RudoKy00,rec_td,1,,,,,
player,201712030atl,min,RudoKy00,rec_long,16,,,,,
player,201712030atl,min,RudoKy00,fumbles,0,,,,,
player,201712030atl,min,RudoKy00,fumbles_lost,0,,,,,
player,201712030atl,min,FloyMi00,pass_cmp,0,,,,,
player,201712030atl,min,FloyMi00,pass_att,0,,,,,
player,201712030atl,min,FloyMi00,pass_yds,0,,,,,
player,201712030atl,min,FloyMi00,pass_td,0,,,,,
player,201712030atl,min,FloyMi00,pass_int,0,,,,,
player,201712030atl,min,FloyMi00,pass_sacked,0,,,,,
player,201712030atl,min,FloyMi00,pass_sacked_yds,0,,,,,
player,201712030atl,min,FloyMi00,pass_long,0,,,,,
player,201712030atl,min,FloyMi00,pass_rating,,,,,,
player,201712030atl,min,FloyMi00,rush_att,0,,,,,
player,201712030atl,min,FloyMi00,rush_yds,0,,,,,
player,201712030atl,min,FloyMi00,rush_td,0,,,,,
player,201712030atl,min,FloyMi00,rush_long,0,,,,,
player,201712030atl,min,FloyMi00,targets,2,,,,,
player,201712030atl,min,FloyMi00,rec,2,,,,,
player,201712030atl,min,FloyMi00,rec_yds,20,,,,,
player,201712030atl,min,FloyMi00,rec_td,0,,,,,
player,201712030atl,min,FloyMi00,rec_long,15,,,,,
player,201712030atl,min,FloyMi00,fumbles,0,,,,,
player,201712030atl,min,FloyMi00,fumbles_lost,0,,,,,
player,201712030atl,min,WrigJa02,pass_cmp,0,,,,,
player,201712030atl,min,WrigJa02,pass_att,0,,,,,
player,201712030atl,min,WrigJa02,pass_yds,0,,,,,
player,201712030atl,min,WrigJa02,pass_td,0,,,,,
player,201712030atl,min,WrigJa02,pass_int,0,,,,,
player,201712030atl,min,WrigJa02,pass_sacked,0,,,,,
player,201712030atl,min,WrigJa02,pass_sacked_yds,0,,,,,
player,201712030atl,min,WrigJa02,pass_long,0,,,,,
player,201712030atl,min,WrigJa02,pass_rating,,,,,,
player,201712030atl,min,WrigJa02,rush_att,0,,,,,
player,201712030atl,min,WrigJa02,rush_yds,0,,,,,
player,201712030atl,min,WrigJa02,rush_td,0,,,,,
player,201712030atl,min,WrigJa02,rush_long,0,,,,,
player,201712030atl,min,WrigJa02,targets,3,,,,,
player,201712030atl,min,WrigJa02,rec,3,,,,,
player,201712030atl,min,WrigJa02,rec_yds,18,,,,,
player,201712030atl,min,WrigJa02,rec_td,0,,,,,
player,201712030atl,min,WrigJa02,rec_long,13,,,,,
player,201712030atl,min,WrigJa02,fumbles,0,,,,,
player,201712030atl,min,WrigJa02,fumbles_lost,0,,,,,
player,201712030atl,min,TreaLa00,pass_cmp,0,,,,,
player,201712030atl,min,TreaLa00,pass_att,0,,,,,
player,201712030atl,min,TreaLa00,pass_yds,0,,,,,
player,201712030atl,min,TreaLa00,pass_td,0,,,,,
player,201712030atl,min,TreaLa00,pass_int,0,,,,,
player,201712030atl,min,TreaLa00,pass_sacked,0,,,,,
player,201712030atl,min,TreaLa00,pass_sacked_yds,0,,,,,
player,201712030atl,min,TreaLa00,pass_long,0,,,,,
player,201712030atl,min,TreaLa00,pass_rating,,,,,,
player,201712030atl,min,TreaLa00,rush_att,0,,,,,
player,201712030atl,min,TreaLa00,rush_yds,0,,,,,
player,201712030atl,min,TreaLa00,rush_td,0,,,,,
player,201712030atl,min,TreaLa00,rush_long,0,,,,,
player,201712030atl,min,TreaLa00,targets,1,,,,,
player,201712030atl,min,TreaLa00,rec,1,,,,,
player,201712030atl,min,TreaLa00,rec_yds,9,,,,,
player,201712030atl,min,TreaLa00,rec_td,0,,,,,
