game,2017,2,20170917,201709170sdg,mia,"Miami Dolphins",19,sdg,"Los Angeles Chargers",17
player,201709170sdg,mia,ThomJu00,pass_td,0,,,,,
player,201709170sdg,mia,ThomJu00,pass_int,0,,,,,
player,201709170sdg,mia,ThomJu00,pass_sacked,0,,,,,
player,201709170sdg,mia,ThomJu00,pass_sacked_yds,0,,,,,
player,201709170sdg,mia,ThomJu00,pass_long,0,,,,,
player,201709170sdg,mia,ThomJu00,pass_rating,,,,,,
player,201709170sdg,mia,ThomJu00,rush_att,0,,,,,
player,201709170sdg,mia,ThomJu00,rush_yds,0,,,,,
player,201709170sdg,mia,ThomJu00,rush_td,0,,,,,
player,201709170sdg,mia,ThomJu00,rush_long,0,,,,,
player,201709170sdg,mia,ThomJu00,targets,3,,,,,
player,201709170sdg,mia,ThomJu00,rec,3,,,,,
player,201709170sdg,mia,ThomJu00,rec_yds,26,,,,,
player,201709170sdg,mia,ThomJu00,rec_td,0,,,,,
player,201709170sdg,mia,ThomJu00,rec_long,11,,,,,
player,201709170sdg,mia,ThomJu00,fumbles,0,,,,,
player,201709170sdg,mia,ThomJu00,fumbles_lost,0,,,,,
player,201709170sdg,mia,DrakKe00,pass_cmp,0,,,,,
player,201709170sdg,mia,DrakKe00,pass_att,0,,,,,
player,201709170sdg,mia,DrakKe00,pass_yds,0,,,,,
player,201709170sdg,mia,DrakKe00,pass_td,0,,,,,
player,201709170sdg,mia,DrakKe00,pass_int,0,,,,,
player,201709170sdg,mia,DrakKe00,pass_sacked,0,,,,,
player,201709170sdg,mia,DrakKe00,pass_sacked_yds,0,,,,,
player,201709170sdg,mia,DrakKe00,pass_long,0,,,,,
player,201709170sdg,mia,DrakKe00,pass_rating,,,,,,
player,201709170sdg,mia,DrakKe00,rush_att,1,,,,,
player,201709170sdg,mia,DrakKe00,rush_yds,-3,,,,,
player,201709170sdg,mia,DrakKe00,rush_td,0,,,,,
player,201709170sdg,mia,DrakKe00,rush_long,-3,,,,,
player,201709170sdg,mia,DrakKe00,targets,0,,,,,
player,201709170sdg,mia,DrakKe00,rec,0,,,,,
player,201709170sdg,mia,DrakKe00,rec_yds,0,,,,,
