game,2017,2,20170917,201709170rav,cle,"Cleveland Browns",10,rav,"Baltimore Ravens",24
team,201709170rav,cle,First Downs,20,,,,,,
team,201709170rav,rav,First Downs,24,,,,,,
team,201709170rav,cle,Rush-Yds-TDs,21-93-0,,,,,,
team,201709170rav,rav,Rush-Yds-TDs,32-136-1,,,,,,
team,201709170rav,cle,Cmp-Att-Yd-TD-INT,20-42-300-1-4,,,,,,
team,201709170rav,rav,Cmp-Att-Yd-TD-INT,25-34-217-2-1,,,,,,
team,201709170rav,cle,Sacked-Yards,3-7,,,,,,
team,201709170rav,rav,Sacked-Yards,2-16,,,,,,
team,201709170rav,cle,Net Pass Yards,293,,,,,,
team,201709170rav,rav,Net Pass Yards,201,,,,,,
team,201709170rav,cle,Total Yards,386,,,,,,
team,201709170rav,rav,Total Yards,337,,,,,,
team,201709170rav,cle,Fumbles-Lost,2-1,,,,,,
team,201709170rav,rav,Fumbles-Lost,1-1,,,,,,
team,201709170rav,cle,Turnovers,5,,,,,,
team,201709170rav,rav,Turnovers,2,,,,,,
team,201709170rav,cle,Penalties-Yards,11-65,,,,,,
team,201709170rav,rav,Penalties-Yards,7-45,,,,,,
team,201709170rav,cle,Third Down Conv.,2-12,,,,,,
team,201709170rav,rav,Third Down Conv.,4-11,,,,,,
team,201709170rav,cle,Fourth Down Conv.,1-2,,,,,,
team,201709170rav,rav,Fourth Down Conv.,0-0,,,,,,
team,201709170rav,cle,Time of Possession,26:36,,,,,,
team,201709170rav,rav,Time of Possession,33:24,,,,,,
player,201709170rav,cle,KizeDe00,pass_cmp,15,,,,,
player,201709170rav,cle,KizeDe00,pass_att,31,,,,,
player,201709170rav,cle,KizeDe00,pass_yds,182,,,,,
player,201709170rav,cle,KizeDe00,pass_td,0,,,,,
player,201709170rav,cle,KizeDe00,pass_int,3,,,,,
player,201709170rav,cle,KizeDe00,pass_sacked,2,,,,,
player,201709170rav,cle,KizeDe00,pass_sacked_yds,5,,,,,
player,201709170rav,cle,KizeDe00,pass_long,35,,,,,
player,201709170rav,cle,KizeDe00,pass_rating,27.3,,,,,
player,201709170rav,cle,KizeDe00,rush_att,5,,,,,
player,201709170rav,cle,KizeDe00,rush_yds,26,,,,,
player,201709170rav,cle,KizeDe00,rush_td,0,,,,,
player,201709170rav,cle,KizeDe00,rush_long,13,,,,,
player,201709170rav,cle,KizeDe00,targets,0,,,,,
player,201709170rav,cle,KizeDe00,rec,0,,,,,
player,201709170rav,cle,KizeDe00,rec_yds,0,,,,,
player,201709170rav,cle,KizeDe00,rec_td,0,,,,,
player,201709170rav,cle,KizeDe00,rec_long,0,,,,,
player,201709170rav,cle,KizeDe00,fumbles,1,,,,,
player,201709170rav,cle,KizeDe00,fumbles_lost,1,,,,,
player,201709170rav,cle,HogaKe00,pass_cmp,5,,,,,
player,201709170rav,cle,HogaKe00,pass_att,11,,,,,
player,201709170rav,cle,HogaKe00,pass_yds,118,,,,,
player,201709170rav,cle,HogaKe00,pass_td,1,,,,,
player,201709170rav,cle,HogaKe00,pass_int,1,,,,,
player,201709170rav,cle,HogaKe00,pass_sacked,1,,,,,
player,201709170rav,cle,HogaKe00,pass_sacked_yds,2,,,,,
player,201709170rav,cle,HogaKe00,pass_long,49,,,,,
player,201709170rav,cle,HogaKe00,pass_rating,77.1,,,,,
player,201709170rav,cle,HogaKe00,rush_att,1,,,,,
player,201709170rav,cle,HogaKe00,rush_yds,5,,,,,
player,201709170rav,cle,HogaKe00,rush_td,0,,,,,
player,201709170rav,cle,HogaKe00,rush_long,5,,,,,
player,201709170rav,cle,HogaKe00,targets,0,,,,,
player,201709170rav,cle,HogaKe00,rec,0,,,,,
player,201709170rav,cle,HogaKe00,rec_yds,0,,,,,
player,201709170rav,cle,HogaKe00,rec_td,0,,,,,
player,201709170rav,cle,HogaKe00,rec_long,0,,,,,
player,201709170rav,cle,HogaKe00,fumbles,0,,,,,
player,201709170rav,cle,HogaKe00,fumbles_lost,0,,,,,
player,201709170rav,cle,CrowIs00,pass_cmp,0,,,,,
player,201709170rav,cle,CrowIs00,pass_att,0,,,,,
player,201709170rav,cle,CrowIs00,pass_yds,0,,,,,
player,201709170rav,cle,CrowIs00,pass_td,0,,,,,
player,201709170rav,cle,CrowIs00,pass_int,0,,,,,
player,201709170rav,cle,CrowIs00,pass_sacked,0,,,,,
player,201709170rav,cle,CrowIs00,pass_sacked_yds,0,,,,,
player,201709170rav,cle,CrowIs00,pass_long,0,,,,,
player,201709170rav,cle,CrowIs00,pass_rating,,,,,,
player,201709170rav,cle,CrowIs00,rush_att,10,,,,,
player,201709170rav,cle,CrowIs00,rush_yds,37,,,,,
player,201709170rav,cle,CrowIs00,rush_td,0,,,,,
player,201709170rav,cle,CrowIs00,rush_long,17,,,,,
player,201709170rav,cle,CrowIs00,targets,1,,,,,
player,201709170rav,cle,CrowIs00,rec,0,,,,,
player,201709170rav,cle,CrowIs00,rec_yds,0,,,,,
player,201709170rav,cle,CrowIs00,rec_td,0,,,,,
player,201709170rav,cle,CrowIs00,rec_long,0,,,,,
player,201709170rav,cle,CrowIs00,fumbles,0,,,,,
player,201709170rav,cle,CrowIs00,fumbles_lost,0,,,,,
player,201709170rav,cle,JohnDu00,pass_cmp,0,,,,,
player,201709170rav,cle,JohnDu00,pass_att,0,,,,,
player,201709170rav,cle,JohnDu00,pass_yds,0,,,,,
player,201709170rav,cle,JohnDu00,pass_td,0,,,,,
player,201709170rav,cle,JohnDu00,pass_int,0,,,,,
player,201709170rav,cle,JohnDu00,pass_sacked,0,,,,,
player,201709170rav,cle,JohnDu00,pass_sacked_yds,0,,,,,
player,201709170rav,cle,JohnDu00,pass_long,0,,,,,
player,201709170rav,cle,JohnDu00,pass_rating,,,,,,
player,201709170rav,cle,JohnDu00,rush_att,4,,,,,
player,201709170rav,cle,JohnDu00,rush_yds,21,,,,,
player,201709170rav,cle,JohnDu00,rush_td,0,,,,,
player,201709170rav,cle,JohnDu00,rush_long,16,,,,,
player,201709170rav,cle,JohnDu00,targets,6,,,,,
player,201709170rav,cle,JohnDu00,rec,3,,,,,
player,201709170rav,cle,JohnDu00,rec_yds,59,,,,,
player,201709170rav,cle,JohnDu00,rec_td,0,,,,,
player,201709170rav,cle,JohnDu00,rec_long,34,,,,,
player,201709170rav,cle,JohnDu00,fumbles,0,,,,,
player,201709170rav,cle,JohnDu00,fumbles_lost,0,,,,,
player,201709170rav,cle,HiggRa00,pass_cmp,0,,,,,
player,201709170rav,cle,HiggRa00,pass_att,0,,,,,
player,201709170rav,cle,HiggRa00,pass_yds,0,,,,,
player,201709170rav,cle,HiggRa00,pass_td,0,,,,,
player,201709170rav,cle,HiggRa00,pass_int,0,,,,,
player,201709170rav,cle,HiggRa00,pass_sacked,0,,,,,
player,201709170rav,cle,HiggRa00,pass_sacked_yds,0,,,,,
player,201709170rav,cle,HiggRa00,pass_long,0,,,,,
player,201709170rav,cle,HiggRa00,pass_rating,,,,,,
player,201709170rav,cle,HiggRa00,rush_att,1,,,,,
player,201709170rav,cle,HiggRa00,rush_yds,4,,,,,
player,201709170rav,cle,HiggRa00,rush_td,0,,,,,
player,201709170rav,cle,HiggRa00,rush_long,4,,,,,
player,201709170rav,cle,HiggRa00,targets,11,,,,,
player,201709170rav,cle,HiggRa00,rec,7,,,,,
player,201709170rav,cle,HiggRa00,rec_yds,95,,,,,
player,201709170rav,cle,HiggRa00,rec_td,0,,,,,
player,201709170rav,cle,HiggRa00,rec_long,35,,,,,
player,201709170rav,cle,HiggRa00,fumbles,0,,,,,
player,201709170rav,cle,HiggRa00,fumbles_lost,0,,,,,
player,201709170rav,cle,DevaSe00,pass_cmp,0,,,,,
player,201709170rav,cle,DevaSe00,pass_att,0,,,,,
player,201709170rav,cle,DevaSe00,pass_yds,0,,,,,
player,201709170rav,cle,DevaSe00,pass_td,0,,,,,
player,201709170rav,cle,DevaSe00,pass_int,0,,,,,
player,201709170rav,cle,DevaSe00,pass_sacked,0,,,,,
player,201709170rav,cle,DevaSe00,pass_sacked_yds,0,,,,,
player,201709170rav,cle,DevaSe00,pass_long,0,,,,,
player,201709170rav,cle,DevaSe00,pass_rating,,,,,,
player,201709170rav,cle,DevaSe00,rush_att,0,,,,,
player,201709170rav,cle,DevaSe00,rush_yds,0,,,,,
