game,2017,8,20171029,201710290cle,min,"Minnesota Vikings",33,cle,"Cleveland Browns",16
team,201710290cle,min,First Downs,26,,,,,,
team,201710290cle,cle,First Downs,16,,,,,,
team,201710290cle,min,Rush-Yds-TDs,34-88-1,,,,,,
team,201710290cle,cle,Rush-Yds-TDs,22-115-2,,,,,,
team,201710290cle,min,Cmp-Att-Yd-TD-INT,27-43-288-2-1,,,,,,
team,201710290cle,cle,Cmp-Att-Yd-TD-INT,18-34-179-0-0,,,,,,
team,201710290cle,min,Sacked-Yards,1-1,,,,,,
team,201710290cle,cle,Sacked-Yards,3-18,,,,,,
team,201710290cle,min,Net Pass Yards,287,,,,,,
team,201710290cle,cle,Net Pass Yards,161,,,,,,
team,201710290cle,min,Total Yards,375,,,,,,
team,201710290cle,cle,Total Yards,276,,,,,,
team,201710290cle,min,Fumbles-Lost,1-0,,,,,,
team,201710290cle,cle,Fumbles-Lost,2-2,,,,,,
team,201710290cle,min,Turnovers,1,,,,,,
team,201710290cle,cle,Turnovers,2,,,,,,
team,201710290cle,min,Penalties-Yards,5-58,,,,,,
team,201710290cle,cle,Penalties-Yards,5-74,,,,,,
team,201710290cle,min,Third Down Conv.,6-16,,,,,,
team,201710290cle,cle,Third Down Conv.,4-13,,,,,,
team,201710290cle,min,Fourth Down Conv.,0-0,,,,,,
team,201710290cle,cle,Fourth Down Conv.,0-1,,,,,,
team,201710290cle,min,Time of Possession,37:52,,,,,,
team,201710290cle,cle,Time of Possession,22:08,,,,,,
player,201710290cle,min,KeenCa00,pass_cmp,27,,,,,
player,201710290cle,min,KeenCa00,pass_att,43,,,,,
player,201710290cle,min,KeenCa00,pass_yds,288,,,,,
player,201710290cle,min,KeenCa00,pass_td,2,,,,,
player,201710290cle,min,KeenCa00,pass_int,1,,,,,
player,201710290cle,min,KeenCa00,pass_sacked,1,,,,,
player,201710290cle,min,KeenCa00,pass_sacked_yds,1,,,,,
player,201710290cle,min,KeenCa00,pass_long,25,,,,,
player,201710290cle,min,KeenCa00,pass_rating,88.1,,,,,
player,201710290cle,min,KeenCa00,rush_att,0,,,,,
player,201710290cle,min,KeenCa00,rush_yds,0,,,,,
player,201710290cle,min,KeenCa00,rush_td,0,,,,,
player,201710290cle,min,KeenCa00,rush_long,0,,,,,
player,201710290cle,min,KeenCa00,targets,0,,,,,
player,201710290cle,min,KeenCa00,rec,0,,,,,
player,201710290cle,min,KeenCa00,rec_yds,0,,,,,
player,201710290cle,min,KeenCa00,rec_td,0,,,,,
player,201710290cle,min,KeenCa00,rec_long,0,,,,,
player,201710290cle,min,KeenCa00,fumbles,0,,,,,
player,201710290cle,min,KeenCa00,fumbles_lost,0,,,,,
player,201710290cle,min,McKiJe00,pass_cmp,0,,,,,
player,201710290cle,min,McKiJe00,pass_att,0,,,,,
player,201710290cle,min,McKiJe00,pass_yds,0,,,,,
player,201710290cle,min,McKiJe00,pass_td,0,,,,,
player,201710290cle,min,McKiJe00,pass_int,0,,,,,
player,201710290cle,min,McKiJe00,pass_sacked,0,,,,,
player,201710290cle,min,McKiJe00,pass_sacked_yds,0,,,,,
player,201710290cle,min,McKiJe00,pass_long,0,,,,,
player,201710290cle,min,McKiJe00,pass_rating,,,,,,
player,201710290cle,min,McKiJe00,rush_att,14,,,,,
player,201710290cle,min,McKiJe00,rush_yds,50,,,,,
player,201710290cle,min,McKiJe00,rush_td,1,,,,,
player,201710290cle,min,McKiJe00,rush_long,10,,,,,
player,201710290cle,min,McKiJe00,targets,10,,,,,
player,201710290cle,min,McKiJe00,rec,6,,,,,
player,201710290cle,min,McKiJe00,rec_yds,72,,,,,
player,201710290cle,min,McKiJe00,rec_td,0,,,,,
player,201710290cle,min,McKiJe00,rec_long,20,,,,,
player,201710290cle,min,McKiJe00,fumbles,0,,,,,
player,201710290cle,min,McKiJe00,fumbles_lost,0,,,,,
