game,2017,5,20171008,201710080htx,kan,"Kansas City Chiefs",42,htx,"Houston Texans",34
team,201710080htx,kan,First Downs,29,,,,,,
team,201710080htx,htx,First Downs,20,,,,,,
team,201710080htx,kan,Rush-Yds-TDs,35-127-0,,,,,,
team,201710080htx,htx,Rush-Yds-TDs,23-144-0,,,,,,
team,201710080htx,kan,Cmp-Att-Yd-TD-INT,29-37-324-3-0,,,,,,
team,201710080htx,htx,Cmp-Att-Yd-TD-INT,16-31-261-5-0,,,,,,
team,201710080htx,kan,Sacked-Yards,1-1,,,,,,
team,201710080htx,htx,Sacked-Yards,3-13,,,,,,
team,201710080htx,kan,Net Pass Yards,323,,,,,,
team,201710080htx,htx,Net Pass Yards,248,,,,,,
team,201710080htx,kan,Total Yards,450,,,,,,
team,201710080htx,htx,Total Yards,392,,,,,,
team,201710080htx,kan,Fumbles-Lost,1-0,,,,,,
team,201710080htx,htx,Fumbles-Lost,1-1,,,,,,
team,201710080htx,kan,Turnovers,0,,,,,,
team,201710080htx,htx,Turnovers,1,,,,,,
team,201710080htx,kan,Penalties-Yards,6-64,,,,,,
team,201710080htx,htx,Penalties-Yards,7-59,,,,,,
team,201710080htx,kan,Third Down Conv.,9-16,,,,,,
team,201710080htx,htx,Third Down Conv.,3-10,,,,,,
team,201710080htx,kan,Fourth Down Conv.,0-0,,,,,,
team,201710080htx,htx,Fourth Down Conv.,1-1,,,,,,
team,201710080htx,kan,Time of Possession,38:17,,,,,,
team,201710080htx,htx,Time of Possession,21:43,,,,,,
player,201710080htx,kan,SmitAl03,pass_cmp,29,,,,,
player,201710080htx,kan,SmitAl03,pass_att,37,,,,,
player,201710080htx,kan,SmitAl03,pass_yds,324,,,,,
player,201710080htx,kan,SmitAl03,pass_td,3,,,,,
player,201710080htx,kan,SmitAl03,pass_int,0,,,,,
player,201710080htx,kan,SmitAl03,pass_sacked,1,,,,,
player,201710080htx,kan,SmitAl03,pass_sacked_yds,1,,,,,
player,201710080htx,kan,SmitAl03,pass_long,38,,,,,
player,201710080htx,kan,SmitAl03,pass_rating,130.2,,,,,
player,201710080htx,kan,SmitAl03,rush_att,5,,,,,
player,201710080htx,kan,SmitAl03,rush_yds,19,,,,,
player,201710080htx,kan,SmitAl03,rush_td,0,,,,,
player,201710080htx,kan,SmitAl03,rush_long,7,,,,,
player,201710080htx,kan,SmitAl03,targets,0,,,,,
player,201710080htx,kan,SmitAl03,rec,0,,,,,
player,201710080htx,kan,SmitAl03,rec_yds,0,,,,,
player,201710080htx,kan,SmitAl03,rec_td,0,,,,,
player,201710080htx,kan,SmitAl03,rec_long,0,,,,,
player,201710080htx,kan,SmitAl03,fumbles,0,,,,,
player,201710080htx,kan,SmitAl03,fumbles_lost,0,,,,,
player,201710080htx,kan,HuntKa00,pass_cmp,0,,,,,
player,201710080htx,kan,HuntKa00,pass_att,0,,,,,
player,201710080htx,kan,HuntKa00,pass_yds,0,,,,,
player,201710080htx,kan,HuntKa00,pass_td,0,,,,,
player,201710080htx,kan,HuntKa00,pass_int,0,,,,,
player,201710080htx,kan,HuntKa00,pass_sacked,0,,,,,
player,201710080htx,kan,HuntKa00,pass_sacked_yds,0,,,,,
player,201710080htx,kan,HuntKa00,pass_long,0,,,,,
player,201710080htx,kan,HuntKa00,pass_rating,,,,,,
player,201710080htx,kan,HuntKa00,rush_att,29,,,,,
player,201710080htx,kan,HuntKa00,rush_yds,107,,,,,
player,201710080htx,kan,HuntKa00,rush_td,0,,,,,
player,201710080htx,kan,HuntKa00,rush_long,23,,,,,
player,201710080htx,kan,HuntKa00,targets,4,,,,,
player,201710080htx,kan,HuntKa00,rec,3,,,,,
player,201710080htx,kan,HuntKa00,rec_yds,9,,,,,
player,201710080htx,kan,HuntKa00,rec_td,0,,,,,
player,201710080htx,kan,HuntKa00,rec_long,10,,,,,
player,201710080htx,kan,HuntKa00,fumbles,0,,,,,
player,201710080htx,kan,HuntKa00,fumbles_lost,0,,,,,
player,201710080htx,kan,WestCh01,pass_cmp,0,,,,,
player,201710080htx,kan,WestCh01,pass_att,0,,,,,
player,201710080htx,kan,WestCh01,pass_yds,0,,,,,
player,201710080htx,kan,WestCh01,pass_td,0,,,,,
player,201710080htx,kan,WestCh01,pass_int,0,,,,,
player,201710080htx,kan,WestCh01,pass_sacked,0,,,,,
player,201710080htx,kan,WestCh01,pass_sacked_yds,0,,,,,
player,201710080htx,kan,WestCh01,pass_long,0,,,,,
player,201710080htx,kan,WestCh01,pass_rating,,,,,,
player,201710080htx,kan,WestCh01,rush_att,1,,,,,
player,201710080htx,kan,WestCh01,rush_yds,1,,,,,
player,201710080htx,kan,WestCh01,rush_td,0,,,,,
player,201710080htx,kan,WestCh01,rush_long,1,,,,,
player,201710080htx,kan,WestCh01,targets,2,,,,,
player,201710080htx,kan,WestCh01,rec,2,,,,,
player,201710080htx,kan,WestCh01,rec_yds,12,,,,,
player,201710080htx,kan,WestCh01,rec_td,2,,,,,
player,201710080htx,kan,WestCh01,rec_long,8,,,,,
player,201710080htx,kan,WestCh01,fumbles,0,,,,,
player,201710080htx,kan,WestCh01,fumbles_lost,0,,,,,
player,201710080htx,kan,KelcTr00,pass_cmp,0,,,,,
player,201710080htx,kan,KelcTr00,pass_att,0,,,,,
player,201710080htx,kan,KelcTr00,pass_yds,0,,,,,
