game,2017,6,20171015,201710150kan,pit,"Pittsburgh Steelers",19,kan,"Kansas City Chiefs",13
team,201710150kan,pit,First Downs,23,,,,,,
team,201710150kan,kan,First Downs,12,,,,,,
team,201710150kan,pit,Rush-Yds-TDs,37-194-1,,,,,,
team,201710150kan,kan,Rush-Yds-TDs,15-28-0,,,,,,
team,201710150kan,pit,Cmp-Att-Yd-TD-INT,17-25-252-1-1,,,,,,
team,201710150kan,kan,Cmp-Att-Yd-TD-INT,19-34-246-1-0,,,,,,
team,201710150kan,pit,Sacked-Yards,1-7,,,,,,
team,201710150kan,kan,Sacked-Yards,3-23,,,,,,
team,201710150kan,pit,Net Pass Yards,245,,,,,,
team,201710150kan,kan,Net Pass Yards,223,,,,,,
team,201710150kan,pit,Total Yards,439,,,,,,
team,201710150kan,kan,Total Yards,251,,,,,,
team,201710150kan,pit,Fumbles-Lost,1-0,,,,,,
team,201710150kan,kan,Fumbles-Lost,1-0,,,,,,
team,201710150kan,pit,Turnovers,1,,,,,,
team,201710150kan,kan,Turnovers,0,,,,,,
team,201710150kan,pit,Penalties-Yards,6-57,,,,,,
team,201710150kan,kan,Penalties-Yards,7-48,,,,,,
team,201710150kan,pit,Third Down Conv.,4-11,,,,,,
team,201710150kan,kan,Third Down Conv.,3-11,,,,,,
team,201710150kan,pit,Fourth Down Conv.,0-0,,,,,,
team,201710150kan,kan,Fourth Down Conv.,0-2,,,,,,
team,201710150kan,pit,Time of Possession,36:39,,,,,,
team,201710150kan,kan,Time of Possession,23:21,,,,,,
player,201710150kan,pit,RoetBe00,pass_cmp,17,,,,,
player,201710150kan,pit,RoetBe00,pass_att,25,,,,,
player,201710150kan,pit,RoetBe00,pass_yds,252,,,,,
player,201710150kan,pit,RoetBe00,pass_td,1,,,,,
player,201710150kan,pit,RoetBe00,pass_int,1,,,,,
player,201710150kan,pit,RoetBe00,pass_sacked,1,,,,,
player,201710150kan,pit,RoetBe00,pass_sacked_yds,7,,,,,
player,201710150kan,pit,RoetBe00,pass_long,51,,,,,
player,201710150kan,pit,RoetBe00,pass_rating,97.4,,,,,
player,201710150kan,pit,RoetBe00,rush_att,2,,,,,
player,201710150kan,pit,RoetBe00,rush_yds,-2,,,,,
player,201710150kan,pit,RoetBe00,rush_td,0,,,,,
player,201710150kan,pit,RoetBe00,rush_long,-1,,,,,
player,201710150kan,pit,RoetBe00,targets,0,,,,,
player,201710150kan,pit,RoetBe00,rec,0,,,,,
player,201710150kan,pit,RoetBe00,rec_yds,0,,,,,
player,201710150kan,pit,RoetBe00,rec_td,0,,,,,
player,201710150kan,pit,RoetBe00,rec_long,0,,,,,
player,201710150kan,pit,RoetBe00,fumbles,0,,,,,
player,201710150kan,pit,RoetBe00,fumbles_lost,0,,,,,
player,201710150kan,pit,BellLe00,pass_cmp,0,,,,,
