game,2017,3,20170924,201709240nwe,htx,"Houston Texans",33,nwe,"New England Patriots",36
team,201709240nwe,htx,First Downs,23,,,,,,
team,201709240nwe,nwe,First Downs,21,,,,,,
team,201709240nwe,htx,Rush-Yds-TDs,32-125-0,,,,,,
team,201709240nwe,nwe,Rush-Yds-TDs,20-59-0,,,,,,
team,201709240nwe,htx,Cmp-Att-Yd-TD-INT,22-33-301-2-2,,,,,,
team,201709240nwe,nwe,Cmp-Att-Yd-TD-INT,25-35-378-5-0,,,,,,
team,201709240nwe,htx,Sacked-Yards,2-9,,,,,,
team,201709240nwe,nwe,Sacked-Yards,5-41,,,,,,
team,201709240nwe,htx,Net Pass Yards,292,,,,,,
team,201709240nwe,nwe,Net Pass Yards,337,,,,,,
team,201709240nwe,htx,Total Yards,417,,,,,,
team,201709240nwe,nwe,Total Yards,396,,,,,,
team,201709240nwe,htx,Fumbles-Lost,2-0,,,,,,
team,201709240nwe,nwe,Fumbles-Lost,4-1,,,,,,
team,201709240nwe,htx,Turnovers,2,,,,,,
team,201709240nwe,nwe,Turnovers,1,,,,,,
team,201709240nwe,htx,Penalties-Yards,10-60,,,,,,
team,201709240nwe,nwe,Penalties-Yards,5-69,,,,,,
team,201709240nwe,htx,Third Down Conv.,6-14,,,,,,
team,201709240nwe,nwe,Third Down Conv.,6-13,,,,,,
team,201709240nwe,htx,Fourth Down Conv.,0-0,,,,,,
team,201709240nwe,nwe,Fourth Down Conv.,0-0,,,,,,
team,201709240nwe,htx,Time of Possession,33:38,,,,,,
team,201709240nwe,nwe,Time of Possession,26:22,,,,,,
player,201709240nwe,htx,WatsDe00,pass_cmp,22,,,,,
player,201709240nwe,htx,WatsDe00,pass_att,33,,,,,
player,201709240nwe,htx,WatsDe00,pass_yds,301,,,,,
player,201709240nwe,htx,WatsDe00,pass_td,2,,,,,
player,201709240nwe,htx,WatsDe00,pass_int,2,,,,,
player,201709240nwe,htx,WatsDe00,pass_sacked,2,,,,,
player,201709240nwe,htx,WatsDe00,pass_sacked_yds,9,,,,,
player,201709240nwe,htx,WatsDe00,pass_long,35,,,,,
player,201709240nwe,htx,WatsDe00,pass_rating,90.6,,,,,
player,201709240nwe,htx,WatsDe00,rush_att,8,,,,,
player,201709240nwe,htx,WatsDe00,rush_yds,41,,,,,
player,201709240nwe,htx,WatsDe00,rush_td,0,,,,,
player,201709240nwe,htx,WatsDe00,rush_long,7,,,,,
player,201709240nwe,htx,WatsDe00,targets,0,,,,,
player,201709240nwe,htx,WatsDe00,rec,0,,,,,
player,201709240nwe,htx,WatsDe00,rec_yds,0,,,,,
player,201709240nwe,htx,WatsDe00,rec_td,0,,,,,
player,201709240nwe,htx,WatsDe00,rec_long,0,,,,,
player,201709240nwe,htx,WatsDe00,fumbles,2,,,,,
player,201709240nwe,htx,WatsDe00,fumbles_lost,0,,,,,
player,201709240nwe,htx,MillLa01,pass_cmp,0,,,,,
player,201709240nwe,htx,MillLa01,pass_att,0,,,,,
player,201709240nwe,htx,MillLa01,pass_yds,0,,,,,
player,201709240nwe,htx,MillLa01,pass_td,0,,,,,
player,201709240nwe,htx,MillLa01,pass_int,0,,,,,
player,201709240nwe,htx,MillLa01,pass_sacked,0,,,,,
player,201709240nwe,htx,MillLa01,pass_sacked_yds,0,,,,,
player,201709240nwe,htx,MillLa01,pass_long,0,,,,,
player,201709240nwe,htx,MillLa01,pass_rating,,,,,,
player,201709240nwe,htx,MillLa01,rush_att,14,,,,,
player,201709240nwe,htx,MillLa01,rush_yds,56,,,,,
player,201709240nwe,htx,MillLa01,rush_td,0,,,,,
player,201709240nwe,htx,MillLa01,rush_long,12,,,,,
player,201709240nwe,htx,MillLa01,targets,1,,,,,
player,201709240nwe,htx,MillLa01,rec,1,,,,,
player,201709240nwe,htx,MillLa01,rec_yds,7,,,,,
player,201709240nwe,htx,MillLa01,rec_td,0,,,,,
player,201709240nwe,htx,MillLa01,rec_long,7,,,,,
player,201709240nwe,htx,MillLa01,fumbles,0,,,,,
player,201709240nwe,htx,MillLa01,fumbles_lost,0,,,,,
player,201709240nwe,htx,ForeDO00,pass_cmp,0,,,,,
player,201709240nwe,htx,ForeDO00,pass_att,0,,,,,
player,201709240nwe,htx,ForeDO00,pass_yds,0,,,,,
player,201709240nwe,htx,ForeDO00,pass_td,0,,,,,
player,201709240nwe,htx,ForeDO00,pass_int,0,,,,,
player,201709240nwe,htx,ForeDO00,pass_sacked,0,,,,,
player,201709240nwe,htx,ForeDO00,pass_sacked_yds,0,,,,,
player,201709240nwe,htx,ForeDO00,pass_long,0,,,,,
player,201709240nwe,htx,ForeDO00,pass_rating,,,,,,
player,201709240nwe,htx,ForeDO00,rush_att,8,,,,,
player,201709240nwe,htx,ForeDO00,rush_yds,25,,,,,
player,201709240nwe,htx,ForeDO00,rush_td,0,,,,,
player,201709240nwe,htx,ForeDO00,rush_long,5,,,,,
player,201709240nwe,htx,ForeDO00,targets,3,,,,,
player,201709240nwe,htx,ForeDO00,rec,2,,,,,
player,201709240nwe,htx,ForeDO00,rec_yds,65,,,,,
player,201709240nwe,htx,ForeDO00,rec_td,0,,,,,
player,201709240nwe,htx,ForeDO00,rec_long,34,,,,,
player,201709240nwe,htx,ForeDO00,fumbles,0,,,,,
player,201709240nwe,htx,ForeDO00,fumbles_lost,0,,,,,
player,201709240nwe,htx,ErviTy00,pass_cmp,0,,,,,
player,201709240nwe,htx,ErviTy00,pass_att,0,,,,,
player,201709240nwe,htx,ErviTy00,pass_yds,0,,,,,
player,201709240nwe,htx,ErviTy00,pass_td,0,,,,,
player,201709240nwe,htx,ErviTy00,pass_int,0,,,,,
player,201709240nwe,htx,ErviTy00,pass_sacked,0,,,,,
player,201709240nwe,htx,ErviTy00,pass_sacked_yds,0,,,,,
player,201709240nwe,htx,ErviTy00,pass_long,0,,,,,
player,201709240nwe,htx,ErviTy00,pass_rating,,,,,,
player,201709240nwe,htx,ErviTy00,rush_att,1,,,,,
player,201709240nwe,htx,ErviTy00,rush_yds,4,,,,,
player,201709240nwe,htx,ErviTy00,rush_td,0,,,,,
player,201709240nwe,htx,ErviTy00,rush_long,4,,,,,
player,201709240nwe,htx,ErviTy00,targets,1,,,,,
player,201709240nwe,htx,ErviTy00,rec,1,,,,,
player,201709240nwe,htx,ErviTy00,rec_yds,4,,,,,
player,201709240nwe,htx,ErviTy00,rec_td,0,,,,,
player,201709240nwe,htx,ErviTy00,rec_long,4,,,,,
player,201709240nwe,htx,ErviTy00,fumbles,0,,,,,
player,201709240nwe,htx,ErviTy00,fumbles_lost,0,,,,,
player,201709240nwe,htx,HopkDe00,pass_cmp,0,,,,,
player,201709240nwe,htx,HopkDe00,pass_att,0,,,,,
player,201709240nwe,htx,HopkDe00,pass_yds,0,,,,,
player,201709240nwe,htx,HopkDe00,pass_td,0,,,,,
player,201709240nwe,htx,HopkDe00,pass_int,0,,,,,
player,201709240nwe,htx,HopkDe00,pass_sacked,0,,,,,
player,201709240nwe,htx,HopkDe00,pass_sacked_yds,0,,,,,
player,201709240nwe,htx,HopkDe00,pass_long,0,,,,,
player,201709240nwe,htx,HopkDe00,pass_rating,,,,,,
player,201709240nwe,htx,HopkDe00,rush_att,0,,,,,
player,201709240nwe,htx,HopkDe00,rush_yds,0,,,,,
player,201709240nwe,htx,HopkDe00,rush_td,0,,,,,
player,201709240nwe,htx,HopkDe00,rush_long,0,,,,,
player,201709240nwe,htx,HopkDe00,targets,8,,,,,
player,201709240nwe,htx,HopkDe00,rec,7,,,,,
player,201709240nwe,htx,HopkDe00,rec_yds,76,,,,,
player,201709240nwe,htx,HopkDe00,rec_td,0,,,,,
player,201709240nwe,htx,HopkDe00,rec_long,21,,,,,
player,201709240nwe,htx,HopkDe00,fumbles,0,,,,,
player,201709240nwe,htx,HopkDe00,fumbles_lost,0,,,,,
player,201709240nwe,htx,GrifRy00,pass_cmp,0,,,,,
player,201709240nwe,htx,GrifRy00,pass_att,0,,,,,
player,201709240nwe,htx,GrifRy00,pass_yds,0,,,,,
player,201709240nwe,htx,GrifRy00,pass_td,0,,,,,
player,201709240nwe,htx,GrifRy00,pass_int,0,,,,,
player,201709240nwe,htx,GrifRy00,pass_sacked,0,,,,,
player,201709240nwe,htx,GrifRy00,pass_sacked_yds,0,,,,,
player,201709240nwe,htx,GrifRy00,pass_long,0,,,,,
player,201709240nwe,htx,GrifRy00,pass_rating,,,,,,
player,201709240nwe,htx,GrifRy00,rush_att,0,,,,,
player,201709240nwe,htx,GrifRy00,rush_yds,0,,,,,
player,201709240nwe,htx,GrifRy00,rush_td,0,,,,,
player,201709240nwe,htx,GrifRy00,rush_long,0,,,,,
player,201709240nwe,htx,GrifRy00,targets,6,,,,,
player,201709240nwe,htx,GrifRy00,rec,5,,,,,
player,201709240nwe,htx,GrifRy00,rec_yds,61,,,,,
player,201709240nwe,htx,GrifRy00,rec_td,1,,,,,
player,201709240nwe,htx,GrifRy00,rec_long,35,,,,,
player,201709240nwe,htx,GrifRy00,fumbles,0,,,,,
player,201709240nwe,htx,GrifRy00,fumbles_lost,0,,,,,
player,201709240nwe,htx,MillBr03,pass_cmp,0,,,,,
player,201709240nwe,htx,MillBr03,pass_att,0,,,,,
player,201709240nwe,htx,MillBr03,pass_yds,0,,,,,
player,201709240nwe,htx,MillBr03,pass_td,0,,,,,
player,201709240nwe,htx,MillBr03,pass_int,0,,,,,
player,201709240nwe,htx,MillBr03,pass_sacked,0,,,,,
player,201709240nwe,htx,MillBr03,pass_sacked_yds,0,,,,,
player,201709240nwe,htx,MillBr03,pass_long,0,,,,,
player,201709240nwe,htx,MillBr03,pass_rating,,,,,,
player,201709240nwe,htx,MillBr03,rush_att,0,,,,,
player,201709240nwe,htx,MillBr03,rush_yds,0,,,,,
player,201709240nwe,htx,MillBr03,rush_td,0,,,,,
player,201709240nwe,htx,MillBr03,rush_long,0,,,,,
player,201709240nwe,htx,MillBr03,targets,4,,,,,
player,201709240nwe,htx,MillBr03,rec,1,,,,,
player,201709240nwe,htx,MillBr03,rec_yds,15,,,,,
player,201709240nwe,htx,MillBr03,rec_td,0,,,,,
player,201709240nwe,htx,MillBr03,rec_long,15,,,,,
player,201709240nwe,htx,MillBr03,fumbles,0,,,,,
player,201709240nwe,htx,MillBr03,fumbles_lost,0,,,,,
player,201709240nwe,htx,AndeSt01,pass_cmp,0,,,,,
player,201709240nwe,htx,AndeSt01,pass_att,0,,,,,
player,201709240nwe,htx,AndeSt01,pass_yds,0,,,,,
player,201709240nwe,htx,AndeSt01,pass_td,0,,,,,
player,201709240nwe,htx,AndeSt01,pass_int,0,,,,,
player,201709240nwe,htx,AndeSt01,pass_sacked,0,,,,,
player,201709240nwe,htx,AndeSt01,pass_sacked_yds,0,,,,,
player,201709240nwe,htx,AndeSt01,pass_long,0,,,,,
player,201709240nwe,htx,AndeSt01,pass_rating,,,,,,
player,201709240nwe,htx,AndeSt01,rush_att,0,,,,,
player,201709240nwe,htx,AndeSt01,rush_yds,0,,,,,
player,201709240nwe,htx,AndeSt01,rush_td,0,,,,,
player,201709240nwe,htx,AndeSt01,rush_long,0,,,,,
player,201709240nwe,htx,AndeSt01,targets,3,,,,,
player,201709240nwe,htx,AndeSt01,rec,1,,,,,
player,201709240nwe,htx,AndeSt01,rec_yds,14,,,,,
player,201709240nwe,htx,AndeSt01,rec_td,0,,,,,
player,201709240nwe,htx,AndeSt01,rec_long,14,,,,,
player,201709240nwe,htx,AndeSt01,fumbles,0,,,,,
player,201709240nwe,htx,AndeSt01,fumbles_lost,0,,,,,
player,201709240nwe,htx,ElliBr00,pass_cmp,0,,,,,
player,201709240nwe,htx,ElliBr00,pass_att,0,,,,,
player,201709240nwe,htx,ElliBr00,pass_yds,0,,,,,
player,201709240nwe,htx,ElliBr00,pass_td,0,,,,,
player,201709240nwe,htx,ElliBr00,pass_int,0,,,,,
player,201709240nwe,htx,ElliBr00,pass_sacked,0,,,,,
player,201709240nwe,htx,ElliBr00,pass_sacked_yds,0,,,,,
player,201709240nwe,htx,ElliBr00,pass_long,0,,,,,
player,201709240nwe,htx,ElliBr00,pass_rating,,,,,,
player,201709240nwe,htx,ElliBr00,rush_att,1,,,,,
player,201709240nwe,htx,ElliBr00,rush_yds,-1,,,,,
player,201709240nwe,htx,ElliBr00,rush_td,0,,,,,
player,201709240nwe,htx,ElliBr00,rush_long,-1,,,,,
player,201709240nwe,htx,ElliBr00,targets,7,,,,,
player,201709240nwe,htx,ElliBr00,rec,4,,,,,
player,201709240nwe,htx,ElliBr00,rec_yds,59,,,,,
player,201709240nwe,htx,ElliBr00,rec_td,1,,,,,
player,201709240nwe,htx,ElliBr00,rec_long,29,,,,,
player,201709240nwe,htx,ElliBr00,fumbles,0,,,,,
player,201709240nwe,htx,ElliBr00,fumbles_lost,0,,,,,
player,201709240nwe,nwe,BradTo00,pass_cmp,25,,,,,
player,201709240nwe,nwe,BradTo00,pass_att,35,,,,,
player,201709240nwe,nwe,BradTo00,pass_yds,378,,,,,
player,201709240nwe,nwe,BradTo00,pass_td,5,,,,,
player,201709240nwe,nwe,BradTo00,pass_int,0,,,,,
player,201709240nwe,nwe,BradTo00,pass_sacked,5,,,,,
player,201709240nwe,nwe,BradTo00,pass_sacked_yds,41,,,,,
player,201709240nwe,nwe,BradTo00,pass_long,47,,,,,
player,201709240nwe,nwe,BradTo00,pass_rating,146.2,,,,,
player,201709240nwe,nwe,BradTo00,rush_att,1,,,,,
player,201709240nwe,nwe,BradTo00,rush_yds,6,,,,,
player,201709240nwe,nwe,BradTo00,rush_td,0,,,,,
player,201709240nwe,nwe,BradTo00,rush_long,6,,,,,
player,201709240nwe,nwe,BradTo00,targets,0,,,,,
player,201709240nwe,nwe,BradTo00,rec,0,,,,,
player,201709240nwe,nwe,BradTo00,rec_yds,0,,,,,
player,201709240nwe,nwe,BradTo00,rec_td,0,,,,,
player,201709240nwe,nwe,BradTo00,rec_long,0,,,,,
player,201709240nwe,nwe,BradTo00,fumbles,3,,,,,
player,201709240nwe,nwe,BradTo00,fumbles_lost,1,,,,,
player,201709240nwe,nwe,GillMi00,pass_cmp,0,,,,,
player,201709240nwe,nwe,GillMi00,pass_att,0,,,,,
player,201709240nwe,nwe,GillMi00,pass_yds,0,,,,,
player,201709240nwe,nwe,GillMi00,pass_td,0,,,,,
player,201709240nwe,nwe,GillMi00,pass_int,0,,,,,
player,201709240nwe,nwe,GillMi00,pass_sacked,0,,,,,
player,201709240nwe,nwe,GillMi00,pass_sacked_yds,0,,,,,
player,201709240nwe,nwe,GillMi00,pass_long,0,,,,,
player,201709240nwe,nwe,GillMi00,pass_rating,,,,,,
