game,2017,2,20170918,201709180nyg,det,"Detroit Lions",24,nyg,"New York Giants",10
team,201709180nyg,det,First Downs,12,,,,,,
team,201709180nyg,nyg,First Downs,14,,,,,,
team,201709180nyg,det,Rush-Yds-TDs,32-138-0,,,,,,
team,201709180nyg,nyg,Rush-Yds-TDs,18-62-0,,,,,,
team,201709180nyg,det,Cmp-Att-Yd-TD-INT,15-21-122-2-0,,,,,,
team,201709180nyg,nyg,Cmp-Att-Yd-TD-INT,22-32-239-1-1,,,,,,
team,201709180nyg,det,Sacked-Yards,3-3,,,,,,
team,201709180nyg,nyg,Sacked-Yards,5-31,,,,,,
team,201709180nyg,det,Net Pass Yards,119,,,,,,
team,201709180nyg,nyg,Net Pass Yards,208,,,,,,
team,201709180nyg,det,Total Yards,257,,,,,,
team,201709180nyg,nyg,Total Yards,270,,,,,,
team,201709180nyg,det,Fumbles-Lost,1-1,,,,,,
team,201709180nyg,nyg,Fumbles-Lost,1-0,,,,,,
team,201709180nyg,det,Turnovers,1,,,,,,
team,201709180nyg,nyg,Turnovers,1,,,,,,
team,201709180nyg,det,Penalties-Yards,6-50,,,,,,
team,201709180nyg,nyg,Penalties-Yards,7-50,,,,,,
team,201709180nyg,det,Third Down Conv.,7-15,,,,,,
team,201709180nyg,nyg,Third Down Conv.,4-12,,,,,,
team,201709180nyg,det,Fourth Down Conv.,0-1,,,,,,
team,201709180nyg,nyg,Fourth Down Conv.,0-2,,,,,,
team,201709180nyg,det,Time of Possession,32:47,,,,,,
team,201709180nyg,nyg,Time of Possession,27:13,,,,,,
player,201709180nyg,det,StafMa00,pass_cmp,15,,,,,
player,201709180nyg,det,StafMa00,pass_att,21,,,,,
player,201709180nyg,det,StafMa00,pass_yds,122,,,,,
player,201709180nyg,det,StafMa00,pass_td,2,,,,,
player,201709180nyg,det,StafMa00,pass_int,0,,,,,
player,201709180nyg,det,StafMa00,pass_sacked,3,,,,,
player,201709180nyg,det,StafMa00,pass_sacked_yds,3,,,,,
player,201709180nyg,det,StafMa00,pass_long,27,,,,,
player,201709180nyg,det,StafMa00,pass_rating,117.6,,,,,
player,201709180nyg,det,StafMa00,rush_att,3,,,,,
player,201709180nyg,det,StafMa00,rush_yds,23,,,,,
player,201709180nyg,det,StafMa00,rush_td,0,,,,,
player,201709180nyg,det,StafMa00,rush_long,13,,,,,
player,201709180nyg,det,StafMa00,targets,0,,,,,
player,201709180nyg,det,StafMa00,rec,0,,,,,
player,201709180nyg,det,StafMa00,rec_yds,0,,,,,
player,201709180nyg,det,StafMa00,rec_td,0,,,,,
player,201709180nyg,det,StafMa00,rec_long,0,,,,,
player,201709180nyg,det,StafMa00,fumbles,1,,,,,
player,201709180nyg,det,StafMa00,fumbles_lost,1,,,,,
player,201709180nyg,det,AbduAm00,pass_cmp,0,,,,,
player,201709180nyg,det,AbduAm00,pass_att,0,,,,,
player,201709180nyg,det,AbduAm00,pass_yds,0,,,,,
player,201709180nyg,det,AbduAm00,pass_td,0,,,,,
player,201709180nyg,det,AbduAm00,pass_int,0,,,,,
player,201709180nyg,det,AbduAm00,pass_sacked,0,,,,,
player,201709180nyg,det,AbduAm00,pass_sacked_yds,0,,,,,
player,201709180nyg,det,AbduAm00,pass_long,0,,,,,
player,201709180nyg,det,AbduAm00,pass_rating,,,,,,
player,201709180nyg,det,AbduAm00,rush_att,17,,,,,
player,201709180nyg,det,AbduAm00,rush_yds,86,,,,,
player,201709180nyg,det,AbduAm00,rush_td,0,,,,,
player,201709180nyg,det,AbduAm00,rush_long,34,,,,,
player,201709180nyg,det,AbduAm00,targets,0,,,,,
player,201709180nyg,det,AbduAm00,rec,0,,,,,
player,201709180nyg,det,AbduAm00,rec_yds,0,,,,,
player,201709180nyg,det,AbduAm00,rec_td,0,,,,,
player,201709180nyg,det,AbduAm00,rec_long,0,,,,,
player,201709180nyg,det,AbduAm00,fumbles,0,,,,,
player,201709180nyg,det,AbduAm00,fumbles_lost,0,,,,,
player,201709180nyg,det,RiddTh00,pass_cmp,0,,,,,
player,201709180nyg,det,RiddTh00,pass_att,0,,,,,
player,201709180nyg,det,RiddTh00,pass_yds,0,,,,,
player,201709180nyg,det,RiddTh00,pass_td,0,,,,,
player,201709180nyg,det,RiddTh00,pass_int,0,,,,,
player,201709180nyg,det,RiddTh00,pass_sacked,0,,,,,
player,201709180nyg,det,RiddTh00,pass_sacked_yds,0,,,,,
player,201709180nyg,det,RiddTh00,pass_long,0,,,,,
player,201709180nyg,det,RiddTh00,pass_rating,,,,,,
player,201709180nyg,det,RiddTh00,rush_att,9,,,,,
player,201709180nyg,det,RiddTh00,rush_yds,20,,,,,
player,201709180nyg,det,RiddTh00,rush_td,0,,,,,
player,201709180nyg,det,RiddTh00,rush_long,11,,,,,
player,201709180nyg,det,RiddTh00,targets,3,,,,,
player,201709180nyg,det,RiddTh00,rec,3,,,,,
player,201709180nyg,det,RiddTh00,rec_yds,17,,,,,
player,201709180nyg,det,RiddTh00,rec_td,0,,,,,
player,201709180nyg,det,RiddTh00,rec_long,7,,,,,
player,201709180nyg,det,RiddTh00,fumbles,0,,,,,
player,201709180nyg,det,RiddTh00,fumbles_lost,0,,,,,
player,201709180nyg,det,WashDw00,pass_cmp,0,,,,,
player,201709180nyg,det,WashDw00,pass_att,0,,,,,
player,201709180nyg,det,WashDw00,pass_yds,0,,,,,
player,201709180nyg,det,WashDw00,pass_td,0,,,,,
player,201709180nyg,det,WashDw00,pass_int,0,,,,,
player,201709180nyg,det,WashDw00,pass_sacked,0,,,,,
player,201709180nyg,det,WashDw00,pass_sacked_yds,0,,,,,
player,201709180nyg,det,WashDw00,pass_long,0,,,,,
player,201709180nyg,det,WashDw00,pass_rating,,,,,,
player,201709180nyg,det,WashDw00,rush_att,3,,,,,
player,201709180nyg,det,WashDw00,rush_yds,9,,,,,
player,201709180nyg,det,WashDw00,rush_td,0,,,,,
player,201709180nyg,det,WashDw00,rush_long,5,,,,,
player,201709180nyg,det,WashDw00,targets,0,,,,,
player,201709180nyg,det,WashDw00,rec,0,,,,,
player,201709180nyg,det,WashDw00,rec_yds,0,,,,,
player,201709180nyg,det,WashDw00,rec_td,0,,,,,
player,201709180nyg,det,WashDw00,rec_long,0,,,,,
player,201709180nyg,det,WashDw00,fumbles,0,,,,,
player,201709180nyg,det,WashDw00,fumbles_lost,0,,,,,
player,201709180nyg,det,EbroEr00,pass_cmp,0,,,,,
player,201709180nyg,det,EbroEr00,pass_att,0,,,,,
player,201709180nyg,det,EbroEr00,pass_yds,0,,,,,
player,201709180nyg,det,EbroEr00,pass_td,0,,,,,
player,201709180nyg,det,EbroEr00,pass_int,0,,,,,
player,201709180nyg,det,EbroEr00,pass_sacked,0,,,,,
player,201709180nyg,det,EbroEr00,pass_sacked_yds,0,,,,,
player,201709180nyg,det,EbroEr00,pass_long,0,,,,,
