game,2017,2,20170917,201709170kan,phi,"Philadelphia Eagles",20,kan,"Kansas City Chiefs",27
player,201709170kan,phi,WentCa00,rec_long,0,,,,,
player,201709170kan,phi,WentCa00,fumbles,2,,,,,
player,201709170kan,phi,WentCa00,fumbles_lost,0,,,,,
player,201709170kan,phi,SproDa00,pass_cmp,0,,,,,
player,201709170kan,phi,SproDa00,pass_att,0,,,,,
player,201709170kan,phi,SproDa00,pass_yds,0,,,,,
player,201709170kan,phi,SproDa00,pass_td,0,,,,,
player,201709170kan,phi,SproDa00,pass_int,0,,,,,
player,201709170kan,phi,SproDa00,pass_sacked,0,,,,,
player,201709170kan,phi,SproDa00,pass_sacked_yds,0,,,,,
player,201709170kan,phi,SproDa00,pass_long,0,,,,,
player,201709170kan,phi,SproDa00,pass_rating,,,,,,
player,201709170kan,phi,SproDa00,rush_att,10,,,,,
player,201709170kan,phi,SproDa00,rush_yds,48,,,,,
player,201709170kan,phi,SproDa00,rush_td,0,,,,,
player,201709170kan,phi,SproDa00,rush_long,12,,,,,
player,201709170kan,phi,SproDa00,targets,4,,,,,
player,201709170kan,phi,SproDa00,rec,2,,,,,
player,201709170kan,phi,SproDa00,rec_yds,30,,,,,
player,201709170kan,phi,SproDa00,rec_td,0,,,,,
player,201709170kan,phi,SproDa00,rec_long,16,,,,,
player,201709170kan,phi,SproDa00,fumbles,1,,,,,
player,201709170kan,phi,SproDa00,fumbles_lost,1,,,,,
player,201709170kan,phi,SmalWe00,pass_cmp,0,,,,,
player,201709170kan,phi,SmalWe00,pass_att,0,,,,,
player,201709170kan,phi,SmalWe00,pass_yds,0,,,,,
player,201709170kan,phi,SmalWe00,pass_td,0,,,,,
player,201709170kan,phi,SmalWe00,pass_int,0,,,,,
player,201709170kan,phi,SmalWe00,pass_sacked,0,,,,,
player,201709170kan,phi,SmalWe00,pass_sacked_yds,0,,,,,
player,201709170kan,phi,SmalWe00,pass_long,0,,,,,
player,201709170kan,phi,SmalWe00,pass_rating,,,,,,
player,201709170kan,phi,SmalWe00,rush_att,3,,,,,
player,201709170kan,phi,SmalWe00,rush_yds,4,,,,,
player,201709170kan,phi,SmalWe00,rush_td,0,,,,,
player,201709170kan,phi,SmalWe00,rush_long,8,,,,,
player,201709170kan,phi,SmalWe00,targets,2,,,,,
player,201709170kan,phi,SmalWe00,rec,1,,,,,
player,201709170kan,phi,SmalWe00,rec_yds,-3,,,,,
player,201709170kan,phi,SmalWe00,rec_td,0,,,,,
player,201709170kan,phi,SmalWe00,rec_long,-3,,,,,
player,201709170kan,phi,SmalWe00,fumbles,0,,,,,
player,201709170kan,phi,SmalWe00,fumbles_lost,0,,,,,
player,201709170kan,phi,ErtzZa00,pass_cmp,0,,,,,
player,201709170kan,phi,ErtzZa00,pass_att,0,,,,,
player,201709170kan,phi,ErtzZa00,pass_yds,0,,,,,
player,201709170kan,phi,ErtzZa00,pass_td,0,,,,,
player,201709170kan,phi,ErtzZa00,pass_int,0,,,,,
player,201709170kan,phi,ErtzZa00,pass_sacked,0,,,,,
player,201709170kan,phi,ErtzZa00,pass_sacked_yds,0,,,,,
player,201709170kan,phi,ErtzZa00,pass_long,0,,,,,
player,201709170kan,phi,ErtzZa00,pass_rating,,,,,,
player,201709170kan,phi,ErtzZa00,rush_att,0,,,,,
player,201709170kan,phi,ErtzZa00,rush_yds,0,,,,,
player,201709170kan,phi,ErtzZa00,rush_td,0,,,,,
player,201709170kan,phi,ErtzZa00,rush_long,0,,,,,
player,201709170kan,phi,ErtzZa00,targets,10,,,,,
player,201709170kan,phi,ErtzZa00,rec,5,,,,,
player,201709170kan,phi,ErtzZa00,rec_yds,97,,,,,
player,201709170kan,phi,ErtzZa00,rec_td,0,,,,,
player,201709170kan,phi,ErtzZa00,rec_long,53,,,,,
player,201709170kan,phi,ErtzZa00,fumbles,0,,,,,
player,201709170kan,phi,ErtzZa00,fumbles_lost,0,,,,,
player,201709170kan,phi,JeffAl00,pass_cmp,0,,,,,
player,201709170kan,phi,JeffAl00,pass_att,0,,,,,
player,201709170kan,phi,JeffAl00,pass_yds,0,,,,,
player,201709170kan,phi,JeffAl00,pass_td,0,,,,,
player,201709170kan,phi,JeffAl00,pass_int,0,,,,,
player,201709170kan,phi,JeffAl00,pass_sacked,0,,,,,
player,201709170kan,phi,JeffAl00,pass_sacked_yds,0,,,,,
player,201709170kan,phi,JeffAl00,pass_long,0,,,,,
player,201709170kan,phi,JeffAl00,pass_rating,,,,,,
player,201709170kan,phi,JeffAl00,rush_att,0,,,,,
player,201709170kan,phi,JeffAl00,rush_yds,0,,,,,
player,201709170kan,phi,JeffAl00,rush_td,0,,,,,
player,201709170kan,phi,JeffAl00,rush_long,0,,,,,
player,201709170kan,phi,JeffAl00,targets,13,,,,,
player,201709170kan,phi,JeffAl00,rec,7,,,,,
player,201709170kan,phi,JeffAl00,rec_yds,92,,,,,
player,201709170kan,phi,JeffAl00,rec_td,1,,,,,
player,201709170kan,phi,JeffAl00,rec_long,18,,,,,
player,201709170kan,phi,JeffAl00,fumbles,0,,,,,
player,201709170kan,phi,JeffAl00,fumbles_lost,0,,,,,
player,201709170kan,phi,SmitTo02,pass_cmp,0,,,,,
player,201709170kan,phi,SmitTo02,pass_att,0,,,,,
player,201709170kan,phi,SmitTo02,pass_yds,0,,,,,
player,201709170kan,phi,SmitTo02,pass_td,0,,,,,
player,201709170kan,phi,SmitTo02,pass_int,0,,,,,
player,201709170kan,phi,SmitTo02,pass_sacked,0,,,,,
player,201709170kan,phi,SmitTo02,pass_sacked_yds,0,,,,,
player,201709170kan,phi,SmitTo02,pass_long,0,,,,,
player,201709170kan,phi,SmitTo02,pass_rating,,,,,,
player,201709170kan,phi,SmitTo02,rush_att,0,,,,,
player,201709170kan,phi,SmitTo02,rush_yds,0,,,,,
player,201709170kan,phi,SmitTo02,rush_td,0,,,,,
player,201709170kan,phi,SmitTo02,rush_long,0,,,,,
player,201709170kan,phi,SmitTo02,targets,8,,,,,
player,201709170kan,phi,SmitTo02,rec,4,,,,,
player,201709170kan,phi,SmitTo02,rec_yds,66,,,,,
player,201709170kan,phi,SmitTo02,rec_td,0,,,,,
player,201709170kan,phi,SmitTo02,rec_long,24,,,,,
player,201709170kan,phi,SmitTo02,fumbles,0,,,,,
player,201709170kan,phi,SmitTo02,fumbles_lost,0,,,,,
player,201709170kan,phi,HollMa00,pass_cmp,0,,,,,
player,201709170kan,phi,HollMa00,pass_att,0,,,,,
player,201709170kan,phi,HollMa00,pass_yds,0,,,,,
player,201709170kan,phi,HollMa00,pass_td,0,,,,,
player,201709170kan,phi,HollMa00,pass_int,0,,,,,
player,201709170kan,phi,HollMa00,pass_sacked,0,,,,,
player,201709170kan,phi,HollMa00,pass_sacked_yds,0,,,,,
player,201709170kan,phi,HollMa00,pass_long,0,,,,,
player,201709170kan,phi,HollMa00,pass_rating,,,,,,
player,201709170kan,phi,HollMa00,rush_att,0,,,,,
player,201709170kan,phi,HollMa00,rush_yds,0,,,,,
player,201709170kan,phi,HollMa00,rush_td,0,,,,,
player,201709170kan,phi,HollMa00,rush_long,0,,,,,
player,201709170kan,phi,HollMa00,targets,3,,,,,
player,201709170kan,phi,HollMa00,rec,3,,,,,
player,201709170kan,phi,HollMa00,rec_yds,32,,,,,
player,201709170kan,phi,HollMa00,rec_td,0,,,,,
player,201709170kan,phi,HollMa00,rec_long,13,,,,,
player,201709170kan,phi,HollMa00,fumbles,0,,,,,
player,201709170kan,phi,HollMa00,fumbles_lost,0,,,,,
player,201709170kan,phi,BurtTr01,pass_cmp,0,,,,,
player,201709170kan,phi,BurtTr01,pass_att,0,,,,,
player,201709170kan,phi,BurtTr01,pass_yds,0,,,,,
player,201709170kan,phi,BurtTr01,pass_td,0,,,,,
player,201709170kan,phi,BurtTr01,pass_int,0,,,,,
player,201709170kan,phi,BurtTr01,pass_sacked,0,,,,,
player,201709170kan,phi,BurtTr01,pass_sacked_yds,0,,,,,
player,201709170kan,phi,BurtTr01,pass_long,0,,,,,
player,201709170kan,phi,BurtTr01,pass_rating,,,,,,
player,201709170kan,phi,BurtTr01,rush_att,0,,,,,
player,201709170kan,phi,BurtTr01,rush_yds,0,,,,,
player,201709170kan,phi,BurtTr01,rush_td,0,,,,,
player,201709170kan,phi,BurtTr01,rush_long,0,,,,,
player,201709170kan,phi,BurtTr01,targets,1,,,,,
player,201709170kan,phi,BurtTr01,rec,1,,,,,
player,201709170kan,phi,BurtTr01,rec_yds,10,,,,,
player,201709170kan,phi,BurtTr01,rec_td,0,,,,,
player,201709170kan,phi,BurtTr01,rec_long,10,,,,,
player,201709170kan,phi,BurtTr01,fumbles,0,,,,,
player,201709170kan,phi,BurtTr01,fumbles_lost,0,,,,,
player,201709170kan,phi,AghoNe00,pass_cmp,0,,,,,
player,201709170kan,phi,AghoNe00,pass_att,0,,,,,
player,201709170kan,phi,AghoNe00,pass_yds,0,,,,,
player,201709170kan,phi,AghoNe00,pass_td,0,,,,,
player,201709170kan,phi,AghoNe00,pass_int,0,,,,,
player,201709170kan,phi,AghoNe00,pass_sacked,0,,,,,
player,201709170kan,phi,AghoNe00,pass_sacked_yds,0,,,,,
player,201709170kan,phi,AghoNe00,pass_long,0,,,,,
player,201709170kan,phi,AghoNe00,pass_rating,,,,,,
player,201709170kan,phi,AghoNe00,rush_att,0,,,,,
player,201709170kan,phi,AghoNe00,rush_yds,0,,,,,
player,201709170kan,phi,AghoNe00,rush_td,0,,,,,
player,201709170kan,phi,AghoNe00,rush_long,0,,,,,
player,201709170kan,phi,AghoNe00,targets,3,,,,,
player,201709170kan,phi,AghoNe00,rec,1,,,,,
player,201709170kan,phi,AghoNe00,rec_yds,9,,,,,
player,201709170kan,phi,AghoNe00,rec_td,1,,,,,
player,201709170kan,phi,AghoNe00,rec_long,9,,,,,
player,201709170kan,phi,AghoNe00,fumbles,0,,,,,
player,201709170kan,phi,AghoNe00,fumbles_lost,0,,,,,
player,201709170kan,phi,BlouLe00,pass_cmp,0,,,,,
player,201709170kan,phi,BlouLe00,pass_att,0,,,,,
player,201709170kan,phi,BlouLe00,pass_yds,0,,,,,
player,201709170kan,phi,BlouLe00,pass_td,0,,,,,
player,201709170kan,phi,BlouLe00,pass_int,0,,,,,
player,201709170kan,phi,BlouLe00,pass_sacked,0,,,,,
player,201709170kan,phi,BlouLe00,pass_sacked_yds,0,,,,,
player,201709170kan,phi,BlouLe00,pass_long,0,,,,,
player,201709170kan,phi,BlouLe00,pass_rating,,,,,,
player,201709170kan,phi,BlouLe00,rush_att,0,,,,,
player,201709170kan,phi,BlouLe00,rush_yds,0,,,,,
player,201709170kan,phi,BlouLe00,rush_td,0,,,,,
player,201709170kan,phi,BlouLe00,rush_long,0,,,,,
player,201709170kan,phi,BlouLe00,targets,1,,,,,
player,201709170kan,phi,BlouLe00,rec,1,,,,,
player,201709170kan,phi,BlouLe00,rec_yds,0,,,,,
player,201709170kan,phi,BlouLe00,rec_td,0,,,,,
player,201709170kan,phi,BlouLe00,rec_long,0,,,,,
player,201709170kan,phi,BlouLe00,fumbles,0,,,,,
player,201709170kan,phi,BlouLe00,fumbles_lost,0,,,,,
player,201709170kan,kan,SmitAl03,pass_cmp,21,,,,,
player,201709170kan,kan,SmitAl03,pass_att,28,,,,,
player,201709170kan,kan,SmitAl03,pass_yds,251,,,,,
player,201709170kan,kan,SmitAl03,pass_td,1,,,,,
player,201709170kan,kan,SmitAl03,pass_int,0,,,,,
player,201709170kan,kan,SmitAl03,pass_sacked,4,,,,,
