game,2017,12,20171126,201711260rai,den,"Denver Broncos",14,rai,"Oakland Raiders",21
team,201711260rai,den,First Downs,12,,,,,,
team,201711260rai,rai,First Downs,21,,,,,,
team,201711260rai,den,Rush-Yds-TDs,17-56-0,,,,,,
team,201711260rai,rai,Rush-Yds-TDs,37-104-1,,,,,,
team,201711260rai,den,Cmp-Att-Yd-TD-INT,20-35-190-2-1,,,,,,
team,201711260rai,rai,Cmp-Att-Yd-TD-INT,18-24-253-2-0,,,,,,
team,201711260rai,den,Sacked-Yards,5-30,,,,,,
team,201711260rai,rai,Sacked-Yards,2-9,,,,,,
team,201711260rai,den,Net Pass Yards,160,,,,,,
team,201711260rai,rai,Net Pass Yards,244,,,,,,
team,201711260rai,den,Total Yards,216,,,,,,
team,201711260rai,rai,Total Yards,348,,,,,,
team,201711260rai,den,Fumbles-Lost,1-0,,,,,,
team,201711260rai,rai,Fumbles-Lost,1-1,,,,,,
team,201711260rai,den,Turnovers,1,,,,,,
team,201711260rai,rai,Turnovers,1,,,,,,
team,201711260rai,den,Penalties-Yards,9-75,,,,,,
team,201711260rai,rai,Penalties-Yards,7-68,,,,,,
team,201711260rai,den,Third Down Conv.,5-14,,,,,,
team,201711260rai,rai,Third Down Conv.,5-13,,,,,,
team,201711260rai,den,Fourth Down Conv.,1-1,,,,,,
team,201711260rai,rai,Fourth Down Conv.,0-0,,,,,,
team,201711260rai,den,Time of Possession,24:06,,,,,,
team,201711260rai,rai,Time of Possession,35:54,,,,,,
player,201711260rai,den,SiemTr00,pass_cmp,11,,,,,
player,201711260rai,den,SiemTr00,pass_att,21,,,,,
player,201711260rai,den,SiemTr00,pass_yds,149,,,,,
player,201711260rai,den,SiemTr00,pass_td,2,,,,,
player,201711260rai,den,SiemTr00,pass_int,0,,,,,
player,201711260rai,den,SiemTr00,pass_sacked,1,,,,,
player,201711260rai,den,SiemTr00,pass_sacked_yds,7,,,,,
player,201711260rai,den,SiemTr00,pass_long,34,,,,,
player,201711260rai,den,SiemTr00,pass_rating,107.0,,,,,
player,201711260rai,den,SiemTr00,rush_att,2,,,,,
player,201711260rai,den,SiemTr00,rush_yds,9,,,,,
player,201711260rai,den,SiemTr00,rush_td,0,,,,,
player,201711260rai,den,SiemTr00,rush_long,5,,,,,
player,201711260rai,den,SiemTr00,targets,0,,,,,
player,201711260rai,den,SiemTr00,rec,0,,,,,
player,201711260rai,den,SiemTr00,rec_yds,0,,,,,
player,201711260rai,den,SiemTr00,rec_td,0,,,,,
player,201711260rai,den,SiemTr00,rec_long,0,,,,,
player,201711260rai,den,SiemTr00,fumbles,0,,,,,
player,201711260rai,den,SiemTr00,fumbles_lost,0,,,,,
player,201711260rai,den,LyncPa00,pass_cmp,9,,,,,
player,201711260rai,den,LyncPa00,pass_att,14,,,,,
player,201711260rai,den,LyncPa00,pass_yds,41,,,,,
player,201711260rai,den,LyncPa00,pass_td,0,,,,,
player,201711260rai,den,LyncPa00,pass_int,1,,,,,
player,201711260rai,den,LyncPa00,pass_sacked,4,,,,,
player,201711260rai,den,LyncPa00,pass_sacked_yds,23,,,,,
player,201711260rai,den,LyncPa00,pass_long,19,,,,,
player,201711260rai,den,LyncPa00,pass_rating,38.4,,,,,
player,201711260rai,den,LyncPa00,rush_att,2,,,,,
player,201711260rai,den,LyncPa00,rush_yds,17,,,,,
player,201711260rai,den,LyncPa00,rush_td,0,,,,,
player,201711260rai,den,LyncPa00,rush_long,11,,,,,
player,201711260rai,den,LyncPa00,targets,0,,,,,
player,201711260rai,den,LyncPa00,rec,0,,,,,
player,201711260rai,den,LyncPa00,rec_yds,0,,,,,
player,201711260rai,den,LyncPa00,rec_td,0,,,,,
player,201711260rai,den,LyncPa00,rec_long,0,,,,,
player,201711260rai,den,LyncPa00,fumbles,1,,,,,
player,201711260rai,den,LyncPa00,fumbles_lost,0,,,,,
player,201711260rai,den,AndeC.00,pass_cmp,0,,,,,
player,201711260rai,den,AndeC.00,pass_att,0,,,,,
player,201711260rai,den,AndeC.00,pass_yds,0,,,,,
player,201711260rai,den,AndeC.00,pass_td,0,,,,,
player,201711260rai,den,AndeC.00,pass_int,0,,,,,
player,201711260rai,den,AndeC.00,pass_sacked,0,,,,,
player,201711260rai,den,AndeC.00,pass_sacked_yds,0,,,,,
player,201711260rai,den,AndeC.00,pass_long,0,,,,,
player,201711260rai,den,AndeC.00,pass_rating,,,,,,
player,201711260rai,den,AndeC.00,rush_att,5,,,,,
player,201711260rai,den,AndeC.00,rush_yds,12,,,,,
player,201711260rai,den,AndeC.00,rush_td,0,,,,,
player,201711260rai,den,AndeC.00,rush_long,4,,,,,
player,201711260rai,den,AndeC.00,targets,0,,,,,
player,201711260rai,den,AndeC.00,rec,0,,,,,
player,201711260rai,den,AndeC.00,rec_yds,0,,,,,
player,201711260rai,den,AndeC.00,rec_td,0,,,,,
player,201711260rai,den,AndeC.00,rec_long,0,,,,,
player,201711260rai,den,AndeC.00,fumbles,0,,,,,
player,201711260rai,den,AndeC.00,fumbles_lost,0,,,,,
player,201711260rai,den,BookDe00,pass_cmp,0,,,,,
player,201711260rai,den,BookDe00,pass_att,0,,,,,
player,201711260rai,den,BookDe00,pass_yds,0,,,,,
player,201711260rai,den,BookDe00,pass_td,0,,,,,
player,201711260rai,den,BookDe00,pass_int,0,,,,,
player,201711260rai,den,BookDe00,pass_sacked,0,,,,,
player,201711260rai,den,BookDe00,pass_sacked_yds,0,,,,,
player,201711260rai,den,BookDe00,pass_long,0,,,,,
player,201711260rai,den,BookDe00,pass_rating,,,,,,
player,201711260rai,den,BookDe00,rush_att,6,,,,,
player,201711260rai,den,BookDe00,rush_yds,11,,,,,
player,201711260rai,den,BookDe00,rush_td,0,,,,,
player,201711260rai,den,BookDe00,rush_long,4,,,,,
player,201711260rai,den,BookDe00,targets,2,,,,,
player,201711260rai,den,BookDe00,rec,2,,,,,
player,201711260rai,den,BookDe00,rec_yds,22,,,,,
player,201711260rai,den,BookDe00,rec_td,0,,,,,
player,201711260rai,den,BookDe00,rec_long,19,,,,,
player,201711260rai,den,BookDe00,fumbles,0,,,,,
player,201711260rai,den,BookDe00,fumbles_lost,0,,,,,
player,201711260rai,den,JanoAn00,pass_cmp,0,,,,,
player,201711260rai,den,JanoAn00,pass_att,0,,,,,
player,201711260rai,den,JanoAn00,pass_yds,0,,,,,
player,201711260rai,den,JanoAn00,pass_td,0,,,,,
player,201711260rai,den,JanoAn00,pass_int,0,,,,,
player,201711260rai,den,JanoAn00,pass_sacked,0,,,,,
player,201711260rai,den,JanoAn00,pass_sacked_yds,0,,,,,
player,201711260rai,den,JanoAn00,pass_long,0,,,,,
player,201711260rai,den,JanoAn00,pass_rating,,,,,,
player,201711260rai,den,JanoAn00,rush_att,1,,,,,
player,201711260rai,den,JanoAn00,rush_yds,4,,,,,
player,201711260rai,den,JanoAn00,rush_td,0,,,,,
player,201711260rai,den,JanoAn00,rush_long,4,,,,,
player,201711260rai,den,JanoAn00,targets,0,,,,,
player,201711260rai,den,JanoAn00,rec,0,,,,,
player,201711260rai,den,JanoAn00,rec_yds,0,,,,,
player,201711260rai,den,JanoAn00,rec_td,0,,,,,
player,201711260rai,den,JanoAn00,rec_long,0,,,,,
player,201711260rai,den,JanoAn00,fumbles,0,,,,,
player,201711260rai,den,JanoAn00,fumbles_lost,0,,,,,
player,201711260rai,den,CharJa00,pass_cmp,0,,,,,
player,201711260rai,den,CharJa00,pass_att,0,,,,,
player,201711260rai,den,CharJa00,pass_yds,0,,,,,
player,201711260rai,den,CharJa00,pass_td,0,,,,,
player,201711260rai,den,CharJa00,pass_int,0,,,,,
player,201711260rai,den,CharJa00,pass_sacked,0,,,,,
player,201711260rai,den,CharJa00,pass_sacked_yds,0,,,,,
player,201711260rai,den,CharJa00,pass_long,0,,,,,
player,201711260rai,den,CharJa00,pass_rating,,,,,,
player,201711260rai,den,CharJa00,rush_att,1,,,,,
player,201711260rai,den,CharJa00,rush_yds,3,,,,,
player,201711260rai,den,CharJa00,rush_td,0,,,,,
player,201711260rai,den,CharJa00,rush_long,3,,,,,
player,201711260rai,den,CharJa00,targets,3,,,,,
player,201711260rai,den,CharJa00,rec,2,,,,,
player,201711260rai,den,CharJa00,rec_yds,7,,,,,
player,201711260rai,den,CharJa00,rec_td,0,,,,,
player,201711260rai,den,CharJa00,rec_long,11,,,,,
player,201711260rai,den,CharJa00,fumbles,0,,,,,
player,201711260rai,den,CharJa00,fumbles_lost,0,,,,,
player,201711260rai,den,LatiCo00,pass_cmp,0,,,,,
player,201711260rai,den,LatiCo00,pass_att,0,,,,,
player,201711260rai,den,LatiCo00,pass_yds,0,,,,,
player,201711260rai,den,LatiCo00,pass_td,0,,,,,
player,201711260rai,den,LatiCo00,pass_int,0,,,,,
player,201711260rai,den,LatiCo00,pass_sacked,0,,,,,
player,201711260rai,den,LatiCo00,pass_sacked_yds,0,,,,,
player,201711260rai,den,LatiCo00,pass_long,0,,,,,
player,201711260rai,den,LatiCo00,pass_rating,,,,,,
player,201711260rai,den,LatiCo00,rush_att,0,,,,,
player,201711260rai,den,LatiCo00,rush_yds,0,,,,,
player,201711260rai,den,LatiCo00,rush_td,0,,,,,
player,201711260rai,den,LatiCo00,rush_long,0,,,,,
player,201711260rai,den,LatiCo00,targets,4,,,,,
player,201711260rai,den,LatiCo00,rec,3,,,,,
player,201711260rai,den,LatiCo00,rec_yds,48,,,,,
player,201711260rai,den,LatiCo00,rec_td,1,,,,,
player,201711260rai,den,LatiCo00,rec_long,25,,,,,
player,201711260rai,den,LatiCo00,fumbles,0,,,,,
player,201711260rai,den,LatiCo00,fumbles_lost,0,,,,,
player,201711260rai,den,TrayAu00,pass_cmp,0,,,,,
player,201711260rai,den,TrayAu00,pass_att,0,,,,,
player,201711260rai,den,TrayAu00,pass_yds,0,,,,,
player,201711260rai,den,TrayAu00,pass_td,0,,,,,
player,201711260rai,den,TrayAu00,pass_int,0,,,,,
player,201711260rai,den,TrayAu00,pass_sacked,0,,,,,
player,201711260rai,den,TrayAu00,pass_sacked_yds,0,,,,,
player,201711260rai,den,TrayAu00,pass_long,0,,,,,
player,201711260rai,den,TrayAu00,pass_rating,,,,,,
player,201711260rai,den,TrayAu00,rush_att,0,,,,,
player,201711260rai,den,TrayAu00,rush_yds,0,,,,,
player,201711260rai,den,TrayAu00,rush_td,0,,,,,
player,201711260rai,den,TrayAu00,rush_long,0,,,,,
player,201711260rai,den,TrayAu00,targets,4,,,,,
player,201711260rai,den,TrayAu00,rec,1,,,,,
player,201711260rai,den,TrayAu00,rec_yds,34,,,,,
player,201711260rai,den,TrayAu00,rec_td,0,,,,,
player,201711260rai,den,TrayAu00,rec_long,34,,,,,
player,201711260rai,den,TrayAu00,fumbles,0,,,,,
player,201711260rai,den,TrayAu00,fumbles_lost,0,,,,,
player,201711260rai,den,FowlBe00,pass_cmp,0,,,,,
player,201711260rai,den,FowlBe00,pass_att,0,,,,,
player,201711260rai,den,FowlBe00,pass_yds,0,,,,,
player,201711260rai,den,FowlBe00,pass_td,0,,,,,
player,201711260rai,den,FowlBe00,pass_int,0,,,,,
player,201711260rai,den,FowlBe00,pass_sacked,0,,,,,
player,201711260rai,den,FowlBe00,pass_sacked_yds,0,,,,,
player,201711260rai,den,FowlBe00,pass_long,0,,,,,
player,201711260rai,den,FowlBe00,pass_rating,,,,,,
