game,2017,12,20171123,201711230dal,sdg,"Los Angeles Chargers",28,dal,"Dallas Cowboys",6
team,201711230dal,sdg,First Downs,25,,,,,,
team,201711230dal,dal,First Downs,14,,,,,,
team,201711230dal,sdg,Rush-Yds-TDs,33-81-0,,,,,,
team,201711230dal,dal,Rush-Yds-TDs,20-79-1,,,,,,
team,201711230dal,sdg,Cmp-Att-Yd-TD-INT,27-33-434-3-0,,,,,,
team,201711230dal,dal,Cmp-Att-Yd-TD-INT,20-27-179-0-2,,,,,,
team,201711230dal,sdg,Sacked-Yards,0-0,,,,,,
team,201711230dal,dal,Sacked-Yards,2-11,,,,,,
team,201711230dal,sdg,Net Pass Yards,434,,,,,,
team,201711230dal,dal,Net Pass Yards,168,,,,,,
team,201711230dal,sdg,Total Yards,515,,,,,,
team,201711230dal,dal,Total Yards,247,,,,,,
team,201711230dal,sdg,Fumbles-Lost,1-0,,,,,,
team,201711230dal,dal,Fumbles-Lost,1-0,,,,,,
team,201711230dal,sdg,Turnovers,0,,,,,,
team,201711230dal,dal,Turnovers,2,,,,,,
team,201711230dal,sdg,Penalties-Yards,5-56,,,,,,
team,201711230dal,dal,Penalties-Yards,7-60,,,,,,
team,201711230dal,sdg,Third Down Conv.,9-14,,,,,,
team,201711230dal,dal,Third Down Conv.,6-11,,,,,,
team,201711230dal,sdg,Fourth Down Conv.,0-1,,,,,,
team,201711230dal,dal,Fourth Down Conv.,0-0,,,,,,
team,201711230dal,sdg,Time of Possession,36:05,,,,,,
team,201711230dal,dal,Time of Possession,23:55,,,,,,
player,201711230dal,sdg,RivePh00,pass_cmp,27,,,,,
player,201711230dal,sdg,RivePh00,pass_att,33,,,,,
player,201711230dal,sdg,RivePh00,pass_yds,434,,,,,
player,201711230dal,sdg,RivePh00,pass_td,3,,,,,
player,201711230dal,sdg,RivePh00,pass_int,0,,,,,
player,201711230dal,sdg,RivePh00,pass_sacked,0,,,,,
player,201711230dal,sdg,RivePh00,pass_sacked_yds,0,,,,,
player,201711230dal,sdg,RivePh00,pass_long,46,,,,,
player,201711230dal,sdg,RivePh00,pass_rating,149.1,,,,,
player,201711230dal,sdg,RivePh00,rush_att,5,,,,,
player,201711230dal,sdg,RivePh00,rush_yds,-5,,,,,
player,201711230dal,sdg,RivePh00,rush_td,0,,,,,
