game,2017,14,20171210,201712100cle,gnb,"Green Bay Packers",27,cle,"Cleveland Browns",21
player,201712100cle,cle,DevaSe00,fumbles,0,,,,,
player,201712100cle,cle,DevaSe00,fumbles_lost,0,,,,,
player,201712100cle,cle,TelfRa00,pass_cmp,0,,,,,
player,201712100cle,cle,TelfRa00,pass_att,0,,,,,
player,201712100cle,cle,TelfRa00,pass_yds,0,,,,,
player,201712100cle,cle,TelfRa00,pass_td,0,,,,,
player,201712100cle,cle,TelfRa00,pass_int,0,,,,,
player,201712100cle,cle,TelfRa00,pass_sacked,0,,,,,
player,201712100cle,cle,TelfRa00,pass_sacked_yds,0,,,,,
player,201712100cle,cle,TelfRa00,pass_long,0,,,,,
player,201712100cle,cle,TelfRa00,pass_rating,,,,,,
player,201712100cle,cle,TelfRa00,rush_att,0,,,,,
player,201712100cle,cle,TelfRa00,rush_yds,0,,,,,
player,201712100cle,cle,TelfRa00,rush_td,0,,,,,
player,201712100cle,cle,TelfRa00,rush_long,0,,,,,
player,201712100cle,cle,TelfRa00,targets,2,,,,,
player,201712100cle,cle,TelfRa00,rec,1,,,,,
player,201712100cle,cle,TelfRa00,rec_yds,12,,,,,
player,201712100cle,cle,TelfRa00,rec_td,0,,,,,
player,201712100cle,cle,TelfRa00,rec_long,12,,,,,
player,201712100cle,cle,TelfRa00,fumbles,0,,,,,
player,201712100cle,cle,TelfRa00,fumbles_lost,0,,,,,
player,201712100cle,cle,NjokDa00,pass_cmp,0,,,,,
player,201712100cle,cle,NjokDa00,pass_att,0,,,,,
player,201712100cle,cle,NjokDa00,pass_yds,0,,,,,
player,201712100cle,cle,NjokDa00,pass_td,0,,,,,
player,201712100cle,cle,NjokDa00,pass_int,0,,,,,
player,201712100cle,cle,NjokDa00,pass_sacked,0,,,,,
player,201712100cle,cle,NjokDa00,pass_sacked_yds,0,,,,,
player,201712100cle,cle,NjokDa00,pass_long,0,,,,,
player,201712100cle,cle,NjokDa00,pass_rating,,,,,,
player,201712100cle,cle,NjokDa00,rush_att,0,,,,,
player,201712100cle,cle,NjokDa00,rush_yds,0,,,,,
player,201712100cle,cle,NjokDa00,rush_td,0,,,,,
player,201712100cle,cle,NjokDa00,rush_long,0,,,,,
player,201712100cle,cle,NjokDa00,targets,2,,,,,
player,201712100cle,cle,NjokDa00,rec,1,,,,,
player,201712100cle,cle,NjokDa00,rec_yds,3,,,,,
player,201712100cle,cle,NjokDa00,rec_td,0,,,,,
player,201712100cle,cle,NjokDa00,rec_long,3,,,,,
player,201712100cle,cle,NjokDa00,fumbles,0,,,,,
player,201712100cle,cle,NjokDa00,fumbles_lost,0,,,,,
player,201712100cle,cle,VitaDa00,pass_cmp,0,,,,,
player,201712100cle,cle,VitaDa00,pass_att,0,,,,,
player,201712100cle,cle,VitaDa00,pass_yds,0,,,,,
player,201712100cle,cle,VitaDa00,pass_td,0,,,,,
player,201712100cle,cle,VitaDa00,pass_int,0,,,,,
player,201712100cle,cle,VitaDa00,pass_sacked,0,,,,,
player,201712100cle,cle,VitaDa00,pass_sacked_yds,0,,,,,
player,201712100cle,cle,VitaDa00,pass_long,0,,,,,
player,201712100cle,cle,VitaDa00,pass_rating,,,,,,
player,201712100cle,cle,VitaDa00,rush_att,0,,,,,
player,201712100cle,cle,VitaDa00,rush_yds,0,,,,,
player,201712100cle,cle,VitaDa00,rush_td,0,,,,,
player,201712100cle,cle,VitaDa00,rush_long,0,,,,,
player,201712100cle,cle,VitaDa00,targets,1,,,,,
player,201712100cle,cle,VitaDa00,rec,1,,,,,
player,201712100cle,cle,VitaDa00,rec_yds,1,,,,,
player,201712100cle,cle,VitaDa00,rec_td,0,,,,,
player,201712100cle,cle,VitaDa00,rec_long,1,,,,,
player,201712100cle,cle,VitaDa00,fumbles,0,,,,,
player,201712100cle,cle,VitaDa00,fumbles_lost,0,,,,,
player,201712100cle,cle,HiggRa00,pass_cmp,0,,,,,
player,201712100cle,cle,HiggRa00,pass_att,0,,,,,
player,201712100cle,cle,HiggRa00,pass_yds,0,,,,,
player,201712100cle,cle,HiggRa00,pass_td,0,,,,,
player,201712100cle,cle,HiggRa00,pass_int,0,,,,,
