game,2017,5,20171009,201710090chi,min,"Minnesota Vikings",20,chi,"Chicago Bears",17
player,201710090chi,min,ThieAd00,pass_td,0,,,,,
player,201710090chi,min,ThieAd00,pass_int,0,,,,,
player,201710090chi,min,ThieAd00,pass_sacked,0,,,,,
player,201710090chi,min,ThieAd00,pass_sacked_yds,0,,,,,
player,201710090chi,min,ThieAd00,pass_long,0,,,,,
player,201710090chi,min,ThieAd00,pass_rating,,,,,,
player,201710090chi,min,ThieAd00,rush_att,1,,,,,
player,201710090chi,min,ThieAd00,rush_yds,11,,,,,
player,201710090chi,min,ThieAd00,rush_td,0,,,,,
player,201710090chi,min,ThieAd00,rush_long,11,,,,,
player,201710090chi,min,ThieAd00,targets,8,,,,,
player,201710090chi,min,ThieAd00,rec,5,,,,,
player,201710090chi,min,ThieAd00,rec_yds,34,,,,,
player,201710090chi,min,ThieAd00,rec_td,0,,,,,
player,201710090chi,min,ThieAd00,rec_long,14,,,,,
player,201710090chi,min,ThieAd00,fumbles,0,,,,,
player,201710090chi,min,ThieAd00,fumbles_lost,0,,,,,
player,201710090chi,min,RudoKy00,pass_cmp,0,,,,,
player,201710090chi,min,RudoKy00,pass_att,0,,,,,
player,201710090chi,min,RudoKy00,pass_yds,0,,,,,
player,201710090chi,min,RudoKy00,pass_td,0,,,,,
player,201710090chi,min,RudoKy00,pass_int,0,,,,,
player,201710090chi,min,RudoKy00,pass_sacked,0,,,,,
player,201710090chi,min,RudoKy00,pass_sacked_yds,0,,,,,
player,201710090chi,min,RudoKy00,pass_long,0,,,,,
player,201710090chi,min,RudoKy00,pass_rating,,,,,,
player,201710090chi,min,RudoKy00,rush_att,0,,,,,
player,201710090chi,min,RudoKy00,rush_yds,0,,,,,
player,201710090chi,min,RudoKy00,rush_td,0,,,,,
player,201710090chi,min,RudoKy00,rush_long,0,,,,,
player,201710090chi,min,RudoKy00,targets,9,,,,,
player,201710090chi,min,RudoKy00,rec,6,,,,,
player,201710090chi,min,RudoKy00,rec_yds,45,,,,,
player,201710090chi,min,RudoKy00,rec_td,1,,,,,
player,201710090chi,min,RudoKy00,rec_long,13,,,,,
player,201710090chi,min,RudoKy00,fumbles,0,,,,,
player,201710090chi,min,RudoKy00,fumbles_lost,0,,,,,
player,201710090chi,min,FloyMi00,pass_cmp,0,,,,,
player,201710090chi,min,FloyMi00,pass_att,0,,,,,
player,201710090chi,min,FloyMi00,pass_yds,0,,,,,
player,201710090chi,min,FloyMi00,pass_td,0,,,,,
player,201710090chi,min,FloyMi00,pass_int,0,,,,,
player,201710090chi,min,FloyMi00,pass_sacked,0,,,,,
player,201710090chi,min,FloyMi00,pass_sacked_yds,0,,,,,
player,201710090chi,min,FloyMi00,pass_long,0,,,,,
player,201710090chi,min,FloyMi00,pass_rating,,,,,,
player,201710090chi,min,FloyMi00,rush_att,0,,,,,
player,201710090chi,min,FloyMi00,rush_yds,0,,,,,
player,201710090chi,min,FloyMi00,rush_td,0,,,,,
player,201710090chi,min,FloyMi00,rush_long,0,,,,,
player,201710090chi,min,FloyMi00,targets,1,,,,,
player,201710090chi,min,FloyMi00,rec,1,,,,,
player,201710090chi,min,FloyMi00,rec_yds,19,,,,,
player,201710090chi,min,FloyMi00,rec_td,0,,,,,
player,201710090chi,min,FloyMi00,rec_long,19,,,,,
player,201710090chi,min,FloyMi00,fumbles,0,,,,,
player,201710090chi,min,FloyMi00,fumbles_lost,0,,,,,
player,201710090chi,min,HamxC.00,pass_cmp,0,,,,,
player,201710090chi,min,HamxC.00,pass_att,0,,,,,
player,201710090chi,min,HamxC.00,pass_yds,0,,,,,
player,201710090chi,min,HamxC.00,pass_td,0,,,,,
player,201710090chi,min,HamxC.00,pass_int,0,,,,,
player,201710090chi,min,HamxC.00,pass_sacked,0,,,,,
player,201710090chi,min,HamxC.00,pass_sacked_yds,0,,,,,
player,201710090chi,min,HamxC.00,pass_long,0,,,,,
player,201710090chi,min,HamxC.00,pass_rating,,,,,,
player,201710090chi,min,HamxC.00,rush_att,1,,,,,
player,201710090chi,min,HamxC.00,rush_yds,0,,,,,
player,201710090chi,min,HamxC.00,rush_td,0,,,,,
player,201710090chi,min,HamxC.00,rush_long,0,,,,,
player,201710090chi,min,HamxC.00,targets,2,,,,,
player,201710090chi,min,HamxC.00,rec,1,,,,,
player,201710090chi,min,HamxC.00,rec_yds,11,,,,,
player,201710090chi,min,HamxC.00,rec_td,0,,,,,
player,201710090chi,min,HamxC.00,rec_long,11,,,,,
player,201710090chi,min,HamxC.00,fumbles,0,,,,,
player,201710090chi,min,HamxC.00,fumbles_lost,0,,,,,
player,201710090chi,min,DiggSt00,pass_cmp,0,,,,,
player,201710090chi,min,DiggSt00,pass_att,0,,,,,
player,201710090chi,min,DiggSt00,pass_yds,0,,,,,
player,201710090chi,min,DiggSt00,pass_td,0,,,,,
player,201710090chi,min,DiggSt00,pass_int,0,,,,,
player,201710090chi,min,DiggSt00,pass_sacked,0,,,,,
player,201710090chi,min,DiggSt00,pass_sacked_yds,0,,,,,
player,201710090chi,min,DiggSt00,pass_long,0,,,,,
player,201710090chi,min,DiggSt00,pass_rating,,,,,,
player,201710090chi,min,DiggSt00,rush_att,0,,,,,
player,201710090chi,min,DiggSt00,rush_yds,0,,,,,
player,201710090chi,min,DiggSt00,rush_td,0,,,,,
player,201710090chi,min,DiggSt00,rush_long,0,,,,,
player,201710090chi,min,DiggSt00,targets,4,,,,,
player,201710090chi,min,DiggSt00,rec,1,,,,,
player,201710090chi,min,DiggSt00,rec_yds,4,,,,,
player,201710090chi,min,DiggSt00,rec_td,0,,,,,
player,201710090chi,min,DiggSt00,rec_long,4,,,,,
player,201710090chi,min,DiggSt00,fumbles,0,,,,,
player,201710090chi,min,DiggSt00,fumbles_lost,0,,,,,
player,201710090chi,chi,TrubMi00,pass_cmp,12,,,,,
player,201710090chi,chi,TrubMi00,pass_att,25,,,,,
player,201710090chi,chi,TrubMi00,pass_yds,128,,,,,
player,201710090chi,chi,TrubMi00,pass_td,1,,,,,
player,201710090chi,chi,TrubMi00,pass_int,1,,,,,
player,201710090chi,chi,TrubMi00,pass_sacked,1,,,,,
