game,2017,16,20171225,201712250phi,rai,"Oakland Raiders",10,phi,"Philadelphia Eagles",19
team,201712250phi,rai,First Downs,13,,,,,,
team,201712250phi,phi,First Downs,12,,,,,,
team,201712250phi,rai,Rush-Yds-TDs,33-137-0,,,,,,
team,201712250phi,phi,Rush-Yds-TDs,21-78-0,,,,,,
team,201712250phi,rai,Cmp-Att-Yd-TD-INT,15-29-140-1-2,,,,,,
team,201712250phi,phi,Cmp-Att-Yd-TD-INT,19-38-163-1-1,,,,,,
team,201712250phi,rai,Sacked-Yards,1-3,,,,,,
team,201712250phi,phi,Sacked-Yards,2-25,,,,,,
team,201712250phi,rai,Net Pass Yards,137,,,,,,
team,201712250phi,phi,Net Pass Yards,138,,,,,,
team,201712250phi,rai,Total Yards,274,,,,,,
team,201712250phi,phi,Total Yards,216,,,,,,
team,201712250phi,rai,Fumbles-Lost,4-3,,,,,,
team,201712250phi,phi,Fumbles-Lost,3-1,,,,,,
team,201712250phi,rai,Turnovers,5,,,,,,
team,201712250phi,phi,Turnovers,2,,,,,,
team,201712250phi,rai,Penalties-Yards,7-50,,,,,,
team,201712250phi,phi,Penalties-Yards,8-60,,,,,,
team,201712250phi,rai,Third Down Conv.,3-13,,,,,,
team,201712250phi,phi,Third Down Conv.,1-14,,,,,,
team,201712250phi,rai,Fourth Down Conv.,0-2,,,,,,
team,201712250phi,phi,Fourth Down Conv.,2-2,,,,,,
team,201712250phi,rai,Time of Possession,34:21,,,,,,
team,201712250phi,phi,Time of Possession,25:39,,,,,,
player,201712250phi,rai,CarrDe02,pass_cmp,15,,,,,
player,201712250phi,rai,CarrDe02,pass_att,29,,,,,
player,201712250phi,rai,CarrDe02,pass_yds,140,,,,,
player,201712250phi,rai,CarrDe02,pass_td,1,,,,,
player,201712250phi,rai,CarrDe02,pass_int,2,,,,,
player,201712250phi,rai,CarrDe02,pass_sacked,1,,,,,
player,201712250phi,rai,CarrDe02,pass_sacked_yds,3,,,,,
player,201712250phi,rai,CarrDe02,pass_long,63,,,,,
player,201712250phi,rai,CarrDe02,pass_rating,48.1,,,,,
player,201712250phi,rai,CarrDe02,rush_att,3,,,,,
player,201712250phi,rai,CarrDe02,rush_yds,3,,,,,
player,201712250phi,rai,CarrDe02,rush_td,0,,,,,
player,201712250phi,rai,CarrDe02,rush_long,3,,,,,
player,201712250phi,rai,CarrDe02,targets,0,,,,,
player,201712250phi,rai,CarrDe02,rec,0,,,,,
