game,2017,13,20171203,201712030rav,det,"Detroit Lions",20,rav,"Baltimore Ravens",44
player,201712030rav,det,ZennZa00,pass_td,0,,,,,
player,201712030rav,det,ZennZa00,pass_int,0,,,,,
player,201712030rav,det,ZennZa00,pass_sacked,0,,,,,
player,201712030rav,det,ZennZa00,pass_sacked_yds,0,,,,,
player,201712030rav,det,ZennZa00,pass_long,0,,,,,
player,201712030rav,det,ZennZa00,pass_rating,,,,,,
player,201712030rav,det,ZennZa00,rush_att,1,,,,,
player,201712030rav,det,ZennZa00,rush_yds,4,,,,,
player,201712030rav,det,ZennZa00,rush_td,0,,,,,
player,201712030rav,det,ZennZa00,rush_long,4,,,,,
player,201712030rav,det,ZennZa00,targets,0,,,,,
player,201712030rav,det,ZennZa00,rec,0,,,,,
player,201712030rav,det,ZennZa00,rec_yds,0,,,,,
player,201712030rav,det,ZennZa00,rec_td,0,,,,,
player,201712030rav,det,ZennZa00,rec_long,0,,,,,
player,201712030rav,det,ZennZa00,fumbles,0,,,,,
player,201712030rav,det,ZennZa00,fumbles_lost,0,,,,,
player,201712030rav,det,JoneMa02,pass_cmp,0,,,,,
player,201712030rav,det,JoneMa02,pass_att,0,,,,,
player,201712030rav,det,JoneMa02,pass_yds,0,,,,,
player,201712030rav,det,JoneMa02,pass_td,0,,,,,
player,201712030rav,det,JoneMa02,pass_int,0,,,,,
player,201712030rav,det,JoneMa02,pass_sacked,0,,,,,
player,201712030rav,det,JoneMa02,pass_sacked_yds,0,,,,,
player,201712030rav,det,JoneMa02,pass_long,0,,,,,
player,201712030rav,det,JoneMa02,pass_rating,,,,,,
player,201712030rav,det,JoneMa02,rush_att,0,,,,,
player,201712030rav,det,JoneMa02,rush_yds,0,,,,,
player,201712030rav,det,JoneMa02,rush_td,0,,,,,
player,201712030rav,det,JoneMa02,rush_long,0,,,,,
player,201712030rav,det,JoneMa02,targets,8,,,,,
player,201712030rav,det,JoneMa02,rec,4,,,,,
player,201712030rav,det,JoneMa02,rec_yds,90,,,,,
player,201712030rav,det,JoneMa02,rec_td,0,,,,,
player,201712030rav,det,JoneMa02,rec_long,46,,,,,
player,201712030rav,det,JoneMa02,fumbles,0,,,,,
player,201712030rav,det,JoneMa02,fumbles_lost,0,,,,,
player,201712030rav,det,TateGo00,pass_cmp,0,,,,,
player,201712030rav,det,TateGo00,pass_att,0,,,,,
player,201712030rav,det,TateGo00,pass_yds,0,,,,,
player,201712030rav,det,TateGo00,pass_td,0,,,,,
player,201712030rav,det,TateGo00,pass_int,0,,,,,
player,201712030rav,det,TateGo00,pass_sacked,0,,,,,
player,201712030rav,det,TateGo00,pass_sacked_yds,0,,,,,
player,201712030rav,det,TateGo00,pass_long,0,,,,,
player,201712030rav,det,TateGo00,pass_rating,,,,,,
player,201712030rav,det,TateGo00,rush_att,0,,,,,
player,201712030rav,det,TateGo00,rush_yds,0,,,,,
player,201712030rav,det,TateGo00,rush_td,0,,,,,
player,201712030rav,det,TateGo00,rush_long,0,,,,,
player,201712030rav,det,TateGo00,targets,10,,,,,
player,201712030rav,det,TateGo00,rec,8,,,,,
player,201712030rav,det,TateGo00,rec_yds,69,,,,,
player,201712030rav,det,TateGo00,rec_td,0,,,,,
player,201712030rav,det,TateGo00,rec_long,24,,,,,
