game,2017,5,20171008,201710080det,car,"Carolina Panthers",27,det,"Detroit Lions",24
team,201710080det,car,First Downs,16,,,,,,
team,201710080det,det,First Downs,19,,,,,,
team,201710080det,car,Rush-Yds-TDs,28-28-0,,,,,,
team,201710080det,det,Rush-Yds-TDs,15-50-1,,,,,,
team,201710080det,car,Cmp-Att-Yd-TD-INT,26-33-355-3-0,,,,,,
team,201710080det,det,Cmp-Att-Yd-TD-INT,23-35-229-2-0,,,,,,
team,201710080det,car,Sacked-Yards,3-21,,,,,,
team,201710080det,det,Sacked-Yards,6-37,,,,,,
team,201710080det,car,Net Pass Yards,334,,,,,,
team,201710080det,det,Net Pass Yards,192,,,,,,
team,201710080det,car,Total Yards,362,,,,,,
team,201710080det,det,Total Yards,242,,,,,,
team,201710080det,car,Fumbles-Lost,1-0,,,,,,
team,201710080det,det,Fumbles-Lost,2-1,,,,,,
team,201710080det,car,Turnovers,0,,,,,,
team,201710080det,det,Turnovers,1,,,,,,
team,201710080det,car,Penalties-Yards,11-100,,,,,,
team,201710080det,det,Penalties-Yards,1-10,,,,,,
team,201710080det,car,Third Down Conv.,7-16,,,,,,
team,201710080det,det,Third Down Conv.,5-13,,,,,,
team,201710080det,car,Fourth Down Conv.,0-0,,,,,,
team,201710080det,det,Fourth Down Conv.,0-1,,,,,,
team,201710080det,car,Time of Possession,35:23,,,,,,
team,201710080det,det,Time of Possession,24:37,,,,,,
player,201710080det,car,NewtCa00,pass_cmp,26,,,,,
player,201710080det,car,NewtCa00,pass_att,33,,,,,
player,201710080det,car,NewtCa00,pass_yds,355,,,,,
player,201710080det,car,NewtCa00,pass_td,3,,,,,
player,201710080det,car,NewtCa00,pass_int,0,,,,,
player,201710080det,car,NewtCa00,pass_sacked,3,,,,,
player,201710080det,car,NewtCa00,pass_sacked_yds,21,,,,,
player,201710080det,car,NewtCa00,pass_long,64,,,,,
player,201710080det,car,NewtCa00,pass_rating,141.8,,,,,
player,201710080det,car,NewtCa00,rush_att,7,,,,,
player,201710080det,car,NewtCa00,rush_yds,0,,,,,
player,201710080det,car,NewtCa00,rush_td,0,,,,,
player,201710080det,car,NewtCa00,rush_long,5,,,,,
player,201710080det,car,NewtCa00,targets,0,,,,,
player,201710080det,car,NewtCa00,rec,0,,,,,
player,201710080det,car,NewtCa00,rec_yds,0,,,,,
player,201710080det,car,NewtCa00,rec_td,0,,,,,
player,201710080det,car,NewtCa00,rec_long,0,,,,,
player,201710080det,car,NewtCa00,fumbles,1,,,,,
player,201710080det,car,NewtCa00,fumbles_lost,0,,,,,
player,201710080det,car,StewJo00,pass_cmp,0,,,,,
player,201710080det,car,StewJo00,pass_att,0,,,,,
player,201710080det,car,StewJo00,pass_yds,0,,,,,
player,201710080det,car,StewJo00,pass_td,0,,,,,
player,201710080det,car,StewJo00,pass_int,0,,,,,
player,201710080det,car,StewJo00,pass_sacked,0,,,,,
player,201710080det,car,StewJo00,pass_sacked_yds,0,,,,,
player,201710080det,car,StewJo00,pass_long,0,,,,,
player,201710080det,car,StewJo00,pass_rating,,,,,,
