game,2017,10,20171112,201711120sfo,nyg,"New York Giants",21,sfo,"San Francisco 49ers",31
team,201711120sfo,nyg,First Downs,19,,,,,,
team,201711120sfo,sfo,First Downs,21,,,,,,
team,201711120sfo,nyg,Rush-Yds-TDs,23-114-0,,,,,,
team,201711120sfo,sfo,Rush-Yds-TDs,33-186-2,,,,,,
team,201711120sfo,nyg,Cmp-Att-Yd-TD-INT,28-37-273-2-0,,,,,,
team,201711120sfo,sfo,Cmp-Att-Yd-TD-INT,19-25-288-2-1,,,,,,
team,201711120sfo,nyg,Sacked-Yards,3-13,,,,,,
team,201711120sfo,sfo,Sacked-Yards,0-0,,,,,,
team,201711120sfo,nyg,Net Pass Yards,260,,,,,,
team,201711120sfo,sfo,Net Pass Yards,288,,,,,,
team,201711120sfo,nyg,Total Yards,374,,,,,,
team,201711120sfo,sfo,Total Yards,474,,,,,,
team,201711120sfo,nyg,Fumbles-Lost,1-1,,,,,,
team,201711120sfo,sfo,Fumbles-Lost,1-1,,,,,,
team,201711120sfo,nyg,Turnovers,1,,,,,,
team,201711120sfo,sfo,Turnovers,2,,,,,,
team,201711120sfo,nyg,Penalties-Yards,4-35,,,,,,
team,201711120sfo,sfo,Penalties-Yards,6-44,,,,,,
team,201711120sfo,nyg,Third Down Conv.,5-14,,,,,,
team,201711120sfo,sfo,Third Down Conv.,8-12,,,,,,
team,201711120sfo,nyg,Fourth Down Conv.,3-3,,,,,,
team,201711120sfo,sfo,Fourth Down Conv.,0-1,,,,,,
team,201711120sfo,nyg,Time of Possession,31:00,,,,,,
team,201711120sfo,sfo,Time of Possession,29:00,,,,,,
player,201711120sfo,nyg,MannEl00,pass_cmp,28,,,,,
player,201711120sfo,nyg,MannEl00,pass_att,37,,,,,
player,201711120sfo,nyg,MannEl00,pass_yds,273,,,,,
player,201711120sfo,nyg,MannEl00,pass_td,2,,,,,
player,201711120sfo,nyg,MannEl00,pass_int,0,,,,,
player,201711120sfo,nyg,MannEl00,pass_sacked,3,,,,,
player,201711120sfo,nyg,MannEl00,pass_sacked_yds,13,,,,,
player,201711120sfo,nyg,MannEl00,pass_long,26,,,,,
player,201711120sfo,nyg,MannEl00,pass_rating,113.9,,,,,
player,201711120sfo,nyg,MannEl00,rush_att,0,,,,,
player,201711120sfo,nyg,MannEl00,rush_yds,0,,,,,
player,201711120sfo,nyg,MannEl00,rush_td,0,,,,,
player,201711120sfo,nyg,MannEl00,rush_long,0,,,,,
player,201711120sfo,nyg,MannEl00,targets,0,,,,,
player,201711120sfo,nyg,MannEl00,rec,0,,,,,
player,201711120sfo,nyg,MannEl00,rec_yds,0,,,,,
player,201711120sfo,nyg,MannEl00,rec_td,0,,,,,
player,201711120sfo,nyg,MannEl00,rec_long,0,,,,,
player,201711120sfo,nyg,MannEl00,fumbles,1,,,,,
player,201711120sfo,nyg,MannEl00,fumbles_lost,1,,,,,
player,201711120sfo,nyg,DarkOr00,pass_cmp,0,,,,,
player,201711120sfo,nyg,DarkOr00,pass_att,0,,,,,
player,201711120sfo,nyg,DarkOr00,pass_yds,0,,,,,
player,201711120sfo,nyg,DarkOr00,pass_td,0,,,,,
player,201711120sfo,nyg,DarkOr00,pass_int,0,,,,,
player,201711120sfo,nyg,DarkOr00,pass_sacked,0,,,,,
player,201711120sfo,nyg,DarkOr00,pass_sacked_yds,0,,,,,
player,201711120sfo,nyg,DarkOr00,pass_long,0,,,,,
player,201711120sfo,nyg,DarkOr00,pass_rating,,,,,,
player,201711120sfo,nyg,DarkOr00,rush_att,14,,,,,
player,201711120sfo,nyg,DarkOr00,rush_yds,70,,,,,
player,201711120sfo,nyg,DarkOr00,rush_td,0,,,,,
player,201711120sfo,nyg,DarkOr00,rush_long,20,,,,,
player,201711120sfo,nyg,DarkOr00,targets,2,,,,,
player,201711120sfo,nyg,DarkOr00,rec,2,,,,,
player,201711120sfo,nyg,DarkOr00,rec_yds,18,,,,,
player,201711120sfo,nyg,DarkOr00,rec_td,0,,,,,
player,201711120sfo,nyg,DarkOr00,rec_long,10,,,,,
player,201711120sfo,nyg,DarkOr00,fumbles,0,,,,,
player,201711120sfo,nyg,DarkOr00,fumbles_lost,0,,,,,
player,201711120sfo,nyg,GallWa00,pass_cmp,0,,,,,
player,201711120sfo,nyg,GallWa00,pass_att,0,,,,,
player,201711120sfo,nyg,GallWa00,pass_yds,0,,,,,
player,201711120sfo,nyg,GallWa00,pass_td,0,,,,,
player,201711120sfo,nyg,GallWa00,pass_int,0,,,,,
player,201711120sfo,nyg,GallWa00,pass_sacked,0,,,,,
player,201711120sfo,nyg,GallWa00,pass_sacked_yds,0,,,,,
player,201711120sfo,nyg,GallWa00,pass_long,0,,,,,
player,201711120sfo,nyg,GallWa00,pass_rating,,,,,,
player,201711120sfo,nyg,GallWa00,rush_att,3,,,,,
player,201711120sfo,nyg,GallWa00,rush_yds,22,,,,,
player,201711120sfo,nyg,GallWa00,rush_td,0,,,,,
player,201711120sfo,nyg,GallWa00,rush_long,13,,,,,
player,201711120sfo,nyg,GallWa00,targets,1,,,,,
player,201711120sfo,nyg,GallWa00,rec,0,,,,,
player,201711120sfo,nyg,GallWa00,rec_yds,0,,,,,
player,201711120sfo,nyg,GallWa00,rec_td,0,,,,,
player,201711120sfo,nyg,GallWa00,rec_long,0,,,,,
player,201711120sfo,nyg,GallWa00,fumbles,0,,,,,
player,201711120sfo,nyg,GallWa00,fumbles_lost,0,,,,,
player,201711120sfo,nyg,VereSh00,pass_cmp,0,,,,,
player,201711120sfo,nyg,VereSh00,pass_att,0,,,,,
player,201711120sfo,nyg,VereSh00,pass_yds,0,,,,,
player,201711120sfo,nyg,VereSh00,pass_td,0,,,,,
player,201711120sfo,nyg,VereSh00,pass_int,0,,,,,
player,201711120sfo,nyg,VereSh00,pass_sacked,0,,,,,
player,201711120sfo,nyg,VereSh00,pass_sacked_yds,0,,,,,
player,201711120sfo,nyg,VereSh00,pass_long,0,,,,,
player,201711120sfo,nyg,VereSh00,pass_rating,,,,,,
player,201711120sfo,nyg,VereSh00,rush_att,5,,,,,
player,201711120sfo,nyg,VereSh00,rush_yds,11,,,,,
player,201711120sfo,nyg,VereSh00,rush_td,0,,,,,
player,201711120sfo,nyg,VereSh00,rush_long,6,,,,,
player,201711120sfo,nyg,VereSh00,targets,4,,,,,
player,201711120sfo,nyg,VereSh00,rec,4,,,,,
player,201711120sfo,nyg,VereSh00,rec_yds,27,,,,,
player,201711120sfo,nyg,VereSh00,rec_td,0,,,,,
player,201711120sfo,nyg,VereSh00,rec_long,14,,,,,
player,201711120sfo,nyg,VereSh00,fumbles,0,,,,,
player,201711120sfo,nyg,VereSh00,fumbles_lost,0,,,,,
player,201711120sfo,nyg,KingTa00,pass_cmp,0,,,,,
player,201711120sfo,nyg,KingTa00,pass_att,0,,,,,
player,201711120sfo,nyg,KingTa00,pass_yds,0,,,,,
player,201711120sfo,nyg,KingTa00,pass_td,0,,,,,
player,201711120sfo,nyg,KingTa00,pass_int,0,,,,,
player,201711120sfo,nyg,KingTa00,pass_sacked,0,,,,,
player,201711120sfo,nyg,KingTa00,pass_sacked_yds,0,,,,,
player,201711120sfo,nyg,KingTa00,pass_long,0,,,,,
player,201711120sfo,nyg,KingTa00,pass_rating,,,,,,
player,201711120sfo,nyg,KingTa00,rush_att,1,,,,,
player,201711120sfo,nyg,KingTa00,rush_yds,11,,,,,
player,201711120sfo,nyg,KingTa00,rush_td,0,,,,,
player,201711120sfo,nyg,KingTa00,rush_long,11,,,,,
player,201711120sfo,nyg,KingTa00,targets,4,,,,,
player,201711120sfo,nyg,KingTa00,rec,2,,,,,
player,201711120sfo,nyg,KingTa00,rec_yds,22,,,,,
player,201711120sfo,nyg,KingTa00,rec_td,0,,,,,
player,201711120sfo,nyg,KingTa00,rec_long,15,,,,,
player,201711120sfo,nyg,KingTa00,fumbles,0,,,,,
player,201711120sfo,nyg,KingTa00,fumbles_lost,0,,,,,
player,201711120sfo,nyg,ShepSt00,pass_cmp,0,,,,,
