game,2017,7,20171022,201710220sfo,dal,"Dallas Cowboys",40,sfo,"San Francisco 49ers",10
team,201710220sfo,dal,First Downs,27,,,,,,
team,201710220sfo,sfo,First Downs,23,,,,,,
team,201710220sfo,dal,Rush-Yds-TDs,43-265-3,,,,,,
team,201710220sfo,sfo,Rush-Yds-TDs,22-103-1,,,,,,
team,201710220sfo,dal,Cmp-Att-Yd-TD-INT,17-27-236-3-0,,,,,,
team,201710220sfo,sfo,Cmp-Att-Yd-TD-INT,22-38-235-0-0,,,,,,
team,201710220sfo,dal,Sacked-Yards,0-0,,,,,,
team,201710220sfo,sfo,Sacked-Yards,5-48,,,,,,
team,201710220sfo,dal,Net Pass Yards,236,,,,,,
team,201710220sfo,sfo,Net Pass Yards,187,,,,,,
team,201710220sfo,dal,Total Yards,501,,,,,,
team,201710220sfo,sfo,Total Yards,290,,,,,,
team,201710220sfo,dal,Fumbles-Lost,0-0,,,,,,
team,201710220sfo,sfo,Fumbles-Lost,4-3,,,,,,
team,201710220sfo,dal,Turnovers,0,,,,,,
team,201710220sfo,sfo,Turnovers,3,,,,,,
team,201710220sfo,dal,Penalties-Yards,5-36,,,,,,
team,201710220sfo,sfo,Penalties-Yards,2-22,,,,,,
team,201710220sfo,dal,Third Down Conv.,7-11,,,,,,
team,201710220sfo,sfo,Third Down Conv.,6-13,,,,,,
team,201710220sfo,dal,Fourth Down Conv.,0-1,,,,,,
team,201710220sfo,sfo,Fourth Down Conv.,0-2,,,,,,
team,201710220sfo,dal,Time of Possession,32:50,,,,,,
team,201710220sfo,sfo,Time of Possession,27:10,,,,,,
player,201710220sfo,dal,PresDa01,pass_cmp,16,,,,,
player,201710220sfo,dal,PresDa01,pass_att,25,,,,,
player,201710220sfo,dal,PresDa01,pass_yds,234,,,,,
player,201710220sfo,dal,PresDa01,pass_td,3,,,,,
player,201710220sfo,dal,PresDa01,pass_int,0,,,,,
player,201710220sfo,dal,PresDa01,pass_sacked,0,,,,,
player,201710220sfo,dal,PresDa01,pass_sacked_yds,0,,,,,
player,201710220sfo,dal,PresDa01,pass_long,72,,,,,
player,201710220sfo,dal,PresDa01,pass_rating,134.0,,,,,
player,201710220sfo,dal,PresDa01,rush_att,4,,,,,
player,201710220sfo,dal,PresDa01,rush_yds,26,,,,,
player,201710220sfo,dal,PresDa01,rush_td,1,,,,,
player,201710220sfo,dal,PresDa01,rush_long,13,,,,,
player,201710220sfo,dal,PresDa01,targets,0,,,,,
player,201710220sfo,dal,PresDa01,rec,0,,,,,
player,201710220sfo,dal,PresDa01,rec_yds,0,,,,,
player,201710220sfo,dal,PresDa01,rec_td,0,,,,,
player,201710220sfo,dal,PresDa01,rec_long,0,,,,,
player,201710220sfo,dal,PresDa01,fumbles,0,,,,,
player,201710220sfo,dal,PresDa01,fumbles_lost,0,,,,,
player,201710220sfo,dal,RushCo00,pass_cmp,1,,,,,
player,201710220sfo,dal,RushCo00,pass_att,2,,,,,
player,201710220sfo,dal,RushCo00,pass_yds,2,,,,,
player,201710220sfo,dal,RushCo00,pass_td,0,,,,,
player,201710220sfo,dal,RushCo00,pass_int,0,,,,,
player,201710220sfo,dal,RushCo00,pass_sacked,0,,,,,
player,201710220sfo,dal,RushCo00,pass_sacked_yds,0,,,,,
player,201710220sfo,dal,RushCo00,pass_long,2,,,,,
player,201710220sfo,dal,RushCo00,pass_rating,56.2,,,,,
player,201710220sfo,dal,RushCo00,rush_att,2,,,,,
player,201710220sfo,dal,RushCo00,rush_yds,13,,,,,
player,201710220sfo,dal,RushCo00,rush_td,0,,,,,
player,201710220sfo,dal,RushCo00,rush_long,15,,,,,
player,201710220sfo,dal,RushCo00,targets,0,,,,,
player,201710220sfo,dal,RushCo00,rec,0,,,,,
player,201710220sfo,dal,RushCo00,rec_yds,0,,,,,
player,201710220sfo,dal,RushCo00,rec_td,0,,,,,
player,201710220sfo,dal,RushCo00,rec_long,0,,,,,
player,201710220sfo,dal,RushCo00,fumbles,0,,,,,
player,201710220sfo,dal,RushCo00,fumbles_lost,0,,,,,
player,201710220sfo,dal,ElliEz00,pass_cmp,0,,,,,
player,201710220sfo,dal,ElliEz00,pass_att,0,,,,,
player,201710220sfo,dal,ElliEz00,pass_yds,0,,,,,
player,201710220sfo,dal,ElliEz00,pass_td,0,,,,,
player,201710220sfo,dal,ElliEz00,pass_int,0,,,,,
player,201710220sfo,dal,ElliEz00,pass_sacked,0,,,,,
player,201710220sfo,dal,ElliEz00,pass_sacked_yds,0,,,,,
player,201710220sfo,dal,ElliEz00,pass_long,0,,,,,
player,201710220sfo,dal,ElliEz00,pass_rating,,,,,,
player,201710220sfo,dal,ElliEz00,rush_att,26,,,,,
player,201710220sfo,dal,ElliEz00,rush_yds,147,,,,,
player,201710220sfo,dal,ElliEz00,rush_td,2,,,,,
player,201710220sfo,dal,ElliEz00,rush_long,25,,,,,
player,201710220sfo,dal,ElliEz00,targets,3,,,,,
player,201710220sfo,dal,ElliEz00,rec,1,,,,,
player,201710220sfo,dal,ElliEz00,rec_yds,72,,,,,
player,201710220sfo,dal,ElliEz00,rec_td,1,,,,,
player,201710220sfo,dal,ElliEz00,rec_long,72,,,,,
player,201710220sfo,dal,ElliEz00,fumbles,0,,,,,
player,201710220sfo,dal,ElliEz00,fumbles_lost,0,,,,,
player,201710220sfo,dal,SmitRo06,pass_cmp,0,,,,,
player,201710220sfo,dal,SmitRo06,pass_att,0,,,,,
player,201710220sfo,dal,SmitRo06,pass_yds,0,,,,,
player,201710220sfo,dal,SmitRo06,pass_td,0,,,,,
player,201710220sfo,dal,SmitRo06,pass_int,0,,,,,
player,201710220sfo,dal,SmitRo06,pass_sacked,0,,,,,
player,201710220sfo,dal,SmitRo06,pass_sacked_yds,0,,,,,
player,201710220sfo,dal,SmitRo06,pass_long,0,,,,,
player,201710220sfo,dal,SmitRo06,pass_rating,,,,,,
player,201710220sfo,dal,SmitRo06,rush_att,8,,,,,
player,201710220sfo,dal,SmitRo06,rush_yds,61,,,,,
player,201710220sfo,dal,SmitRo06,rush_td,0,,,,,
player,201710220sfo,dal,SmitRo06,rush_long,45,,,,,
player,201710220sfo,dal,SmitRo06,targets,2,,,,,
player,201710220sfo,dal,SmitRo06,rec,1,,,,,
player,201710220sfo,dal,SmitRo06,rec_yds,5,,,,,
player,201710220sfo,dal,SmitRo06,rec_td,0,,,,,
player,201710220sfo,dal,SmitRo06,rec_long,5,,,,,
player,201710220sfo,dal,SmitRo06,fumbles,0,,,,,
player,201710220sfo,dal,SmitRo06,fumbles_lost,0,,,,,
player,201710220sfo,dal,MorrAl00,pass_cmp,0,,,,,
player,201710220sfo,dal,MorrAl00,pass_att,0,,,,,
player,201710220sfo,dal,MorrAl00,pass_yds,0,,,,,
player,201710220sfo,dal,MorrAl00,pass_td,0,,,,,
player,201710220sfo,dal,MorrAl00,pass_int,0,,,,,
player,201710220sfo,dal,MorrAl00,pass_sacked,0,,,,,
player,201710220sfo,dal,MorrAl00,pass_sacked_yds,0,,,,,
player,201710220sfo,dal,MorrAl00,pass_long,0,,,,,
player,201710220sfo,dal,MorrAl00,pass_rating,,,,,,
player,201710220sfo,dal,MorrAl00,rush_att,2,,,,,
player,201710220sfo,dal,MorrAl00,rush_yds,15,,,,,
player,201710220sfo,dal,MorrAl00,rush_td,0,,,,,
player,201710220sfo,dal,MorrAl00,rush_long,14,,,,,
player,201710220sfo,dal,MorrAl00,targets,1,,,,,
player,201710220sfo,dal,MorrAl00,rec,1,,,,,
player,201710220sfo,dal,MorrAl00,rec_yds,9,,,,,
player,201710220sfo,dal,MorrAl00,rec_td,0,,,,,
player,201710220sfo,dal,MorrAl00,rec_long,9,,,,,
player,201710220sfo,dal,MorrAl00,fumbles,0,,,,,
player,201710220sfo,dal,MorrAl00,fumbles_lost,0,,,,,
player,201710220sfo,dal,SwitRy00,pass_cmp,0,,,,,
player,201710220sfo,dal,SwitRy00,pass_att,0,,,,,
player,201710220sfo,dal,SwitRy00,pass_yds,0,,,,,
player,201710220sfo,dal,SwitRy00,pass_td,0,,,,,
player,201710220sfo,dal,SwitRy00,pass_int,0,,,,,
player,201710220sfo,dal,SwitRy00,pass_sacked,0,,,,,
player,201710220sfo,dal,SwitRy00,pass_sacked_yds,0,,,,,
player,201710220sfo,dal,SwitRy00,pass_long,0,,,,,
player,201710220sfo,dal,SwitRy00,pass_rating,,,,,,
player,201710220sfo,dal,SwitRy00,rush_att,1,,,,,
player,201710220sfo,dal,SwitRy00,rush_yds,3,,,,,
player,201710220sfo,dal,SwitRy00,rush_td,0,,,,,
player,201710220sfo,dal,SwitRy00,rush_long,3,,,,,
player,201710220sfo,dal,SwitRy00,targets,1,,,,,
player,201710220sfo,dal,SwitRy00,rec,1,,,,,
player,201710220sfo,dal,SwitRy00,rec_yds,2,,,,,
player,201710220sfo,dal,SwitRy00,rec_td,0,,,,,
player,201710220sfo,dal,SwitRy00,rec_long,2,,,,,
player,201710220sfo,dal,SwitRy00,fumbles,0,,,,,
player,201710220sfo,dal,SwitRy00,fumbles_lost,0,,,,,
player,201710220sfo,dal,BryaDe01,pass_cmp,0,,,,,
player,201710220sfo,dal,BryaDe01,pass_att,0,,,,,
player,201710220sfo,dal,BryaDe01,pass_yds,0,,,,,
player,201710220sfo,dal,BryaDe01,pass_td,0,,,,,
player,201710220sfo,dal,BryaDe01,pass_int,0,,,,,
player,201710220sfo,dal,BryaDe01,pass_sacked,0,,,,,
player,201710220sfo,dal,BryaDe01,pass_sacked_yds,0,,,,,
player,201710220sfo,dal,BryaDe01,pass_long,0,,,,,
player,201710220sfo,dal,BryaDe01,pass_rating,,,,,,
player,201710220sfo,dal,BryaDe01,rush_att,0,,,,,
player,201710220sfo,dal,BryaDe01,rush_yds,0,,,,,
player,201710220sfo,dal,BryaDe01,rush_td,0,,,,,
player,201710220sfo,dal,BryaDe01,rush_long,0,,,,,
player,201710220sfo,dal,BryaDe01,targets,10,,,,,
player,201710220sfo,dal,BryaDe01,rec,7,,,,,
player,201710220sfo,dal,BryaDe01,rec_yds,63,,,,,
player,201710220sfo,dal,BryaDe01,rec_td,1,,,,,
player,201710220sfo,dal,BryaDe01,rec_long,27,,,,,
player,201710220sfo,dal,BryaDe01,fumbles,0,,,,,
player,201710220sfo,dal,BryaDe01,fumbles_lost,0,,,,,
player,201710220sfo,dal,WittJa00,pass_cmp,0,,,,,
player,201710220sfo,dal,WittJa00,pass_att,0,,,,,
player,201710220sfo,dal,WittJa00,pass_yds,0,,,,,
player,201710220sfo,dal,WittJa00,pass_td,0,,,,,
player,201710220sfo,dal,WittJa00,pass_int,0,,,,,
player,201710220sfo,dal,WittJa00,pass_sacked,0,,,,,
player,201710220sfo,dal,WittJa00,pass_sacked_yds,0,,,,,
player,201710220sfo,dal,WittJa00,pass_long,0,,,,,
player,201710220sfo,dal,WittJa00,pass_rating,,,,,,
player,201710220sfo,dal,WittJa00,rush_att,0,,,,,
player,201710220sfo,dal,WittJa00,rush_yds,0,,,,,
player,201710220sfo,dal,WittJa00,rush_td,0,,,,,
player,201710220sfo,dal,WittJa00,rush_long,0,,,,,
player,201710220sfo,dal,WittJa00,targets,4,,,,,
player,201710220sfo,dal,WittJa00,rec,4,,,,,
player,201710220sfo,dal,WittJa00,rec_yds,54,,,,,
player,201710220sfo,dal,WittJa00,rec_td,1,,,,,
player,201710220sfo,dal,WittJa00,rec_long,18,,,,,
player,201710220sfo,dal,WittJa00,fumbles,0,,,,,
player,201710220sfo,dal,WittJa00,fumbles_lost,0,,,,,
player,201710220sfo,dal,BeasCo00,pass_cmp,0,,,,,
player,201710220sfo,dal,BeasCo00,pass_att,0,,,,,
player,201710220sfo,dal,BeasCo00,pass_yds,0,,,,,
player,201710220sfo,dal,BeasCo00,pass_td,0,,,,,
player,201710220sfo,dal,BeasCo00,pass_int,0,,,,,
player,201710220sfo,dal,BeasCo00,pass_sacked,0,,,,,
player,201710220sfo,dal,BeasCo00,pass_sacked_yds,0,,,,,
player,201710220sfo,dal,BeasCo00,pass_long,0,,,,,
player,201710220sfo,dal,BeasCo00,pass_rating,,,,,,
player,201710220sfo,dal,BeasCo00,rush_att,0,,,,,
player,201710220sfo,dal,BeasCo00,rush_yds,0,,,,,
player,201710220sfo,dal,BeasCo00,rush_td,0,,,,,
player,201710220sfo,dal,BeasCo00,rush_long,0,,,,,
