game,2017,14,20171210,201712100nyg,dal,"Dallas Cowboys",30,nyg,"New York Giants",10
team,201712100nyg,dal,First Downs,19,,,,,,
team,201712100nyg,nyg,First Downs,21,,,,,,
team,201712100nyg,dal,Rush-Yds-TDs,31-122-1,,,,,,
team,201712100nyg,nyg,Rush-Yds-TDs,29-102-0,,,,,,
team,201712100nyg,dal,Cmp-Att-Yd-TD-INT,20-30-332-3-0,,,,,,
team,201712100nyg,nyg,Cmp-Att-Yd-TD-INT,31-46-228-1-2,,,,,,
team,201712100nyg,dal,Sacked-Yards,0-0,,,,,,
team,201712100nyg,nyg,Sacked-Yards,0-0,,,,,,
team,201712100nyg,dal,Net Pass Yards,332,,,,,,
team,201712100nyg,nyg,Net Pass Yards,228,,,,,,
team,201712100nyg,dal,Total Yards,454,,,,,,
team,201712100nyg,nyg,Total Yards,330,,,,,,
team,201712100nyg,dal,Fumbles-Lost,0-0,,,,,,
team,201712100nyg,nyg,Fumbles-Lost,1-0,,,,,,
team,201712100nyg,dal,Turnovers,0,,,,,,
team,201712100nyg,nyg,Turnovers,2,,,,,,
team,201712100nyg,dal,Penalties-Yards,8-51,,,,,,
team,201712100nyg,nyg,Penalties-Yards,7-69,,,,,,
team,201712100nyg,dal,Third Down Conv.,7-14,,,,,,
team,201712100nyg,nyg,Third Down Conv.,6-16,,,,,,
team,201712100nyg,dal,Fourth Down Conv.,0-0,,,,,,
team,201712100nyg,nyg,Fourth Down Conv.,0-0,,,,,,
team,201712100nyg,dal,Time of Possession,27:07,,,,,,
team,201712100nyg,nyg,Time of Possession,32:53,,,,,,
player,201712100nyg,dal,PresDa01,pass_cmp,20,,,,,
player,201712100nyg,dal,PresDa01,pass_att,30,,,,,
player,201712100nyg,dal,PresDa01,pass_yds,332,,,,,
player,201712100nyg,dal,PresDa01,pass_td,3,,,,,
player,201712100nyg,dal,PresDa01,pass_int,0,,,,,
player,201712100nyg,dal,PresDa01,pass_sacked,0,,,,,
player,201712100nyg,dal,PresDa01,pass_sacked_yds,0,,,,,
player,201712100nyg,dal,PresDa01,pass_long,81,,,,,
player,201712100nyg,dal,PresDa01,pass_rating,137.1,,,,,
player,201712100nyg,dal,PresDa01,rush_att,6,,,,,
player,201712100nyg,dal,PresDa01,rush_yds,13,,,,,
player,201712100nyg,dal,PresDa01,rush_td,0,,,,,
player,201712100nyg,dal,PresDa01,rush_long,8,,,,,
player,201712100nyg,dal,PresDa01,targets,0,,,,,
player,201712100nyg,dal,PresDa01,rec,0,,,,,
player,201712100nyg,dal,PresDa01,rec_yds,0,,,,,
player,201712100nyg,dal,PresDa01,rec_td,0,,,,,
player,201712100nyg,dal,PresDa01,rec_long,0,,,,,
player,201712100nyg,dal,PresDa01,fumbles,0,,,,,
player,201712100nyg,dal,PresDa01,fumbles_lost,0,,,,,
player,201712100nyg,dal,MorrAl00,pass_cmp,0,,,,,
player,201712100nyg,dal,MorrAl00,pass_att,0,,,,,
player,201712100nyg,dal,MorrAl00,pass_yds,0,,,,,
player,201712100nyg,dal,MorrAl00,pass_td,0,,,,,
player,201712100nyg,dal,MorrAl00,pass_int,0,,,,,
player,201712100nyg,dal,MorrAl00,pass_sacked,0,,,,,
player,201712100nyg,dal,MorrAl00,pass_sacked_yds,0,,,,,
player,201712100nyg,dal,MorrAl00,pass_long,0,,,,,
player,201712100nyg,dal,MorrAl00,pass_rating,,,,,,
player,201712100nyg,dal,MorrAl00,rush_att,19,,,,,
player,201712100nyg,dal,MorrAl00,rush_yds,62,,,,,
player,201712100nyg,dal,MorrAl00,rush_td,0,,,,,
player,201712100nyg,dal,MorrAl00,rush_long,9,,,,,
player,201712100nyg,dal,MorrAl00,targets,3,,,,,
player,201712100nyg,dal,MorrAl00,rec,3,,,,,
player,201712100nyg,dal,MorrAl00,rec_yds,23,,,,,
player,201712100nyg,dal,MorrAl00,rec_td,0,,,,,
player,201712100nyg,dal,MorrAl00,rec_long,11,,,,,
player,201712100nyg,dal,MorrAl00,fumbles,0,,,,,
player,201712100nyg,dal,MorrAl00,fumbles_lost,0,,,,,
player,201712100nyg,dal,SmitRo06,pass_cmp,0,,,,,
player,201712100nyg,dal,SmitRo06,pass_att,0,,,,,
player,201712100nyg,dal,SmitRo06,pass_yds,0,,,,,
player,201712100nyg,dal,SmitRo06,pass_td,0,,,,,
player,201712100nyg,dal,SmitRo06,pass_int,0,,,,,
