game,2017,12,20171123,201711230was,nyg,"New York Giants",10,was,"Washington Redskins",20
team,201711230was,nyg,First Downs,7,,,,,,
team,201711230was,was,First Downs,17,,,,,,
team,201711230was,nyg,Rush-Yds-TDs,24-84-0,,,,,,
team,201711230was,was,Rush-Yds-TDs,31-122-0,,,,,,
team,201711230was,nyg,Cmp-Att-Yd-TD-INT,13-27-113-0-1,,,,,,
team,201711230was,was,Cmp-Att-Yd-TD-INT,19-31-242-2-1,,,,,,
team,201711230was,nyg,Sacked-Yards,4-27,,,,,,
team,201711230was,was,Sacked-Yards,6-41,,,,,,
team,201711230was,nyg,Net Pass Yards,86,,,,,,
team,201711230was,was,Net Pass Yards,201,,,,,,
team,201711230was,nyg,Total Yards,170,,,,,,
team,201711230was,was,Total Yards,323,,,,,,
team,201711230was,nyg,Fumbles-Lost,1-0,,,,,,
team,201711230was,was,Fumbles-Lost,0-0,,,,,,
team,201711230was,nyg,Turnovers,1,,,,,,
team,201711230was,was,Turnovers,1,,,,,,
team,201711230was,nyg,Penalties-Yards,6-79,,,,,,
team,201711230was,was,Penalties-Yards,8-55,,,,,,
team,201711230was,nyg,Third Down Conv.,2-14,,,,,,
team,201711230was,was,Third Down Conv.,4-15,,,,,,
team,201711230was,nyg,Fourth Down Conv.,1-2,,,,,,
team,201711230was,was,Fourth Down Conv.,0-1,,,,,,
team,201711230was,nyg,Time of Possession,25:23,,,,,,
team,201711230was,was,Time of Possession,34:37,,,,,,
player,201711230was,nyg,MannEl00,pass_cmp,13,,,,,
player,201711230was,nyg,MannEl00,pass_att,27,,,,,
player,201711230was,nyg,MannEl00,pass_yds,113,,,,,
player,201711230was,nyg,MannEl00,pass_td,0,,,,,
player,201711230was,nyg,MannEl00,pass_int,1,,,,,
player,201711230was,nyg,MannEl00,pass_sacked,4,,,,,
player,201711230was,nyg,MannEl00,pass_sacked_yds,27,,,,,
player,201711230was,nyg,MannEl00,pass_long,27,,,,,
player,201711230was,nyg,MannEl00,pass_rating,44.2,,,,,
player,201711230was,nyg,MannEl00,rush_att,1,,,,,
player,201711230was,nyg,MannEl00,rush_yds,-1,,,,,
player,201711230was,nyg,MannEl00,rush_td,0,,,,,
player,201711230was,nyg,MannEl00,rush_long,-1,,,,,
player,201711230was,nyg,MannEl00,targets,0,,,,,
player,201711230was,nyg,MannEl00,rec,0,,,,,
player,201711230was,nyg,MannEl00,rec_yds,0,,,,,
player,201711230was,nyg,MannEl00,rec_td,0,,,,,
player,201711230was,nyg,MannEl00,rec_long,0,,,,,
player,201711230was,nyg,MannEl00,fumbles,1,,,,,
player,201711230was,nyg,MannEl00,fumbles_lost,0,,,,,
player,201711230was,nyg,GallWa00,pass_cmp,0,,,,,
player,201711230was,nyg,GallWa00,pass_att,0,,,,,
player,201711230was,nyg,GallWa00,pass_yds,0,,,,,
player,201711230was,nyg,GallWa00,pass_td,0,,,,,
player,201711230was,nyg,GallWa00,pass_int,0,,,,,
player,201711230was,nyg,GallWa00,pass_sacked,0,,,,,
player,201711230was,nyg,GallWa00,pass_sacked_yds,0,,,,,
player,201711230was,nyg,GallWa00,pass_long,0,,,,,
player,201711230was,nyg,GallWa00,pass_rating,,,,,,
player,201711230was,nyg,GallWa00,rush_att,9,,,,,
player,201711230was,nyg,GallWa00,rush_yds,37,,,,,
player,201711230was,nyg,GallWa00,rush_td,0,,,,,
player,201711230was,nyg,GallWa00,rush_long,9,,,,,
player,201711230was,nyg,GallWa00,targets,2,,,,,
