game,2017,7,20171022,201710220chi,car,"Carolina Panthers",3,chi,"Chicago Bears",17
team,201710220chi,car,First Downs,20,,,,,,
team,201710220chi,chi,First Downs,5,,,,,,
team,201710220chi,car,Rush-Yds-TDs,30-108-0,,,,,,
team,201710220chi,chi,Rush-Yds-TDs,26-68-0,,,,,,
team,201710220chi,car,Cmp-Att-Yd-TD-INT,21-34-211-0-2,,,,,,
team,201710220chi,chi,Cmp-Att-Yd-TD-INT,4-7-107-0-0,,,,,,
team,201710220chi,car,Sacked-Yards,5-26,,,,,,
team,201710220chi,chi,Sacked-Yards,4-22,,,,,,
team,201710220chi,car,Net Pass Yards,185,,,,,,
team,201710220chi,chi,Net Pass Yards,85,,,,,,
team,201710220chi,car,Total Yards,293,,,,,,
team,201710220chi,chi,Total Yards,153,,,,,,
team,201710220chi,car,Fumbles-Lost,1-1,,,,,,
team,201710220chi,chi,Fumbles-Lost,0-0,,,,,,
team,201710220chi,car,Turnovers,3,,,,,,
team,201710220chi,chi,Turnovers,0,,,,,,
team,201710220chi,car,Penalties-Yards,4-35,,,,,,
team,201710220chi,chi,Penalties-Yards,5-40,,,,,,
team,201710220chi,car,Third Down Conv.,6-15,,,,,,
team,201710220chi,chi,Third Down Conv.,2-11,,,,,,
team,201710220chi,car,Fourth Down Conv.,0-1,,,,,,
team,201710220chi,chi,Fourth Down Conv.,0-0,,,,,,
team,201710220chi,car,Time of Possession,38:35,,,,,,
team,201710220chi,chi,Time of Possession,21:25,,,,,,
player,201710220chi,car,NewtCa00,pass_cmp,21,,,,,
player,201710220chi,car,NewtCa00,pass_att,34,,,,,
player,201710220chi,car,NewtCa00,pass_yds,211,,,,,
player,201710220chi,car,NewtCa00,pass_td,0,,,,,
player,201710220chi,car,NewtCa00,pass_int,2,,,,,
player,201710220chi,car,NewtCa00,pass_sacked,5,,,,,
player,201710220chi,car,NewtCa00,pass_sacked_yds,26,,,,,
player,201710220chi,car,NewtCa00,pass_long,37,,,,,
player,201710220chi,car,NewtCa00,pass_rating,54.9,,,,,
player,201710220chi,car,NewtCa00,rush_att,9,,,,,
player,201710220chi,car,NewtCa00,rush_yds,50,,,,,
player,201710220chi,car,NewtCa00,rush_td,0,,,,,
player,201710220chi,car,NewtCa00,rush_long,14,,,,,
player,201710220chi,car,NewtCa00,targets,0,,,,,
player,201710220chi,car,NewtCa00,rec,0,,,,,
player,201710220chi,car,NewtCa00,rec_yds,0,,,,,
player,201710220chi,car,NewtCa00,rec_td,0,,,,,
player,201710220chi,car,NewtCa00,rec_long,0,,,,,
player,201710220chi,car,NewtCa00,fumbles,1,,,,,
player,201710220chi,car,NewtCa00,fumbles_lost,1,,,,,
player,201710220chi,car,StewJo00,pass_cmp,0,,,,,
player,201710220chi,car,StewJo00,pass_att,0,,,,,
