game,2017,1,20170910,201709100ram,clt,"Indianapolis Colts",9,ram,"Los Angeles Rams",46
team,201709100ram,clt,First Downs,10,,,,,,
team,201709100ram,ram,First Downs,19,,,,,,
team,201709100ram,clt,Rush-Yds-TDs,24-75-1,,,,,,
team,201709100ram,ram,Rush-Yds-TDs,33-63-2,,,,,,
team,201709100ram,clt,Cmp-Att-Yd-TD-INT,11-21-179-0-2,,,,,,
team,201709100ram,ram,Cmp-Att-Yd-TD-INT,22-30-318-1-0,,,,,,
team,201709100ram,clt,Sacked-Yards,4-29,,,,,,
team,201709100ram,ram,Sacked-Yards,1-8,,,,,,
team,201709100ram,clt,Net Pass Yards,150,,,,,,
team,201709100ram,ram,Net Pass Yards,310,,,,,,
team,201709100ram,clt,Total Yards,225,,,,,,
team,201709100ram,ram,Total Yards,373,,,,,,
team,201709100ram,clt,Fumbles-Lost,3-1,,,,,,
team,201709100ram,ram,Fumbles-Lost,2-1,,,,,,
team,201709100ram,clt,Turnovers,3,,,,,,
team,201709100ram,ram,Turnovers,1,,,,,,
team,201709100ram,clt,Penalties-Yards,4-20,,,,,,
team,201709100ram,ram,Penalties-Yards,7-50,,,,,,
team,201709100ram,clt,Third Down Conv.,0-10,,,,,,
team,201709100ram,ram,Third Down Conv.,5-14,,,,,,
team,201709100ram,clt,Fourth Down Conv.,0-1,,,,,,
team,201709100ram,ram,Fourth Down Conv.,0-0,,,,,,
team,201709100ram,clt,Time of Possession,25:35,,,,,,
team,201709100ram,ram,Time of Possession,34:25,,,,,,
player,201709100ram,clt,TolzSc00,pass_cmp,9,,,,,
player,201709100ram,clt,TolzSc00,pass_att,18,,,,,
player,201709100ram,clt,TolzSc00,pass_yds,128,,,,,
player,201709100ram,clt,TolzSc00,pass_td,0,,,,,
player,201709100ram,clt,TolzSc00,pass_int,2,,,,,
player,201709100ram,clt,TolzSc00,pass_sacked,4,,,,,
player,201709100ram,clt,TolzSc00,pass_sacked_yds,29,,,,,
player,201709100ram,clt,TolzSc00,pass_long,32,,,,,
player,201709100ram,clt,TolzSc00,pass_rating,33.8,,,,,
player,201709100ram,clt,TolzSc00,rush_att,2,,,,,
player,201709100ram,clt,TolzSc00,rush_yds,2,,,,,
player,201709100ram,clt,TolzSc00,rush_td,0,,,,,
player,201709100ram,clt,TolzSc00,rush_long,3,,,,,
player,201709100ram,clt,TolzSc00,targets,0,,,,,
player,201709100ram,clt,TolzSc00,rec,0,,,,,
player,201709100ram,clt,TolzSc00,rec_yds,0,,,,,
player,201709100ram,clt,TolzSc00,rec_td,0,,,,,
player,201709100ram,clt,TolzSc00,rec_long,0,,,,,
player,201709100ram,clt,TolzSc00,fumbles,1,,,,,
player,201709100ram,clt,TolzSc00,fumbles_lost,0,,,,,
player,201709100ram,clt,BrisJa00,pass_cmp,2,,,,,
player,201709100ram,clt,BrisJa00,pass_att,3,,,,,
player,201709100ram,clt,BrisJa00,pass_yds,51,,,,,
player,201709100ram,clt,BrisJa00,pass_td,0,,,,,
player,201709100ram,clt,BrisJa00,pass_int,0,,,,,
player,201709100ram,clt,BrisJa00,pass_sacked,0,,,,,
player,201709100ram,clt,BrisJa00,pass_sacked_yds,0,,,,,
player,201709100ram,clt,BrisJa00,pass_long,50,,,,,
player,201709100ram,clt,BrisJa00,pass_rating,109.7,,,,,
player,201709100ram,clt,BrisJa00,rush_att,0,,,,,
player,201709100ram,clt,BrisJa00,rush_yds,0,,,,,
player,201709100ram,clt,BrisJa00,rush_td,0,,,,,
player,201709100ram,clt,BrisJa00,rush_long,0,,,,,
player,201709100ram,clt,BrisJa00,targets,0,,,,,
player,201709100ram,clt,BrisJa00,rec,0,,,,,
player,201709100ram,clt,BrisJa00,rec_yds,0,,,,,
player,201709100ram,clt,BrisJa00,rec_td,0,,,,,
player,201709100ram,clt,BrisJa00,rec_long,0,,,,,
player,201709100ram,clt,BrisJa00,fumbles,0,,,,,
player,201709100ram,clt,BrisJa00,fumbles_lost,0,,,,,
player,201709100ram,clt,GoreFr00,pass_cmp,0,,,,,
player,201709100ram,clt,GoreFr00,pass_att,0,,,,,
player,201709100ram,clt,GoreFr00,pass_yds,0,,,,,
player,201709100ram,clt,GoreFr00,pass_td,0,,,,,
player,201709100ram,clt,GoreFr00,pass_int,0,,,,,
player,201709100ram,clt,GoreFr00,pass_sacked,0,,,,,
player,201709100ram,clt,GoreFr00,pass_sacked_yds,0,,,,,
player,201709100ram,clt,GoreFr00,pass_long,0,,,,,
player,201709100ram,clt,GoreFr00,pass_rating,,,,,,
player,201709100ram,clt,GoreFr00,rush_att,10,,,,,
player,201709100ram,clt,GoreFr00,rush_yds,42,,,,,
player,201709100ram,clt,GoreFr00,rush_td,0,,,,,
player,201709100ram,clt,GoreFr00,rush_long,16,,,,,
player,201709100ram,clt,GoreFr00,targets,1,,,,,
player,201709100ram,clt,GoreFr00,rec,1,,,,,
player,201709100ram,clt,GoreFr00,rec_yds,10,,,,,
player,201709100ram,clt,GoreFr00,rec_td,0,,,,,
player,201709100ram,clt,GoreFr00,rec_long,10,,,,,
player,201709100ram,clt,GoreFr00,fumbles,0,,,,,
player,201709100ram,clt,GoreFr00,fumbles_lost,0,,,,,
player,201709100ram,clt,MackMa00,pass_cmp,0,,,,,
player,201709100ram,clt,MackMa00,pass_att,0,,,,,
player,201709100ram,clt,MackMa00,pass_yds,0,,,,,
player,201709100ram,clt,MackMa00,pass_td,0,,,,,
player,201709100ram,clt,MackMa00,pass_int,0,,,,,
player,201709100ram,clt,MackMa00,pass_sacked,0,,,,,
player,201709100ram,clt,MackMa00,pass_sacked_yds,0,,,,,
player,201709100ram,clt,MackMa00,pass_long,0,,,,,
player,201709100ram,clt,MackMa00,pass_rating,,,,,,
player,201709100ram,clt,MackMa00,rush_att,10,,,,,
player,201709100ram,clt,MackMa00,rush_yds,24,,,,,
player,201709100ram,clt,MackMa00,rush_td,1,,,,,
player,201709100ram,clt,MackMa00,rush_long,24,,,,,
player,201709100ram,clt,MackMa00,targets,1,,,,,
player,201709100ram,clt,MackMa00,rec,1,,,,,
player,201709100ram,clt,MackMa00,rec_yds,21,,,,,
player,201709100ram,clt,MackMa00,rec_td,0,,,,,
player,201709100ram,clt,MackMa00,rec_long,21,,,,,
player,201709100ram,clt,MackMa00,fumbles,1,,,,,
player,201709100ram,clt,MackMa00,fumbles_lost,0,,,,,
player,201709100ram,clt,TurbRo00,pass_cmp,0,,,,,
