game,2017,3,20170924,201709240chi,pit,"Pittsburgh Steelers",17,chi,"Chicago Bears",23
player,201709240chi,pit,BellLe00,rush_att,15,,,,,
player,201709240chi,pit,BellLe00,rush_yds,61,,,,,
player,201709240chi,pit,BellLe00,rush_td,1,,,,,
player,201709240chi,pit,BellLe00,rush_long,13,,,,,
player,201709240chi,pit,BellLe00,targets,7,,,,,
player,201709240chi,pit,BellLe00,rec,6,,,,,
player,201709240chi,pit,BellLe00,rec_yds,37,,,,,
player,201709240chi,pit,BellLe00,rec_td,0,,,,,
player,201709240chi,pit,BellLe00,rec_long,12,,,,,
player,201709240chi,pit,BellLe00,fumbles,0,,,,,
player,201709240chi,pit,BellLe00,fumbles_lost,0,,,,,
player,201709240chi,pit,WatsTe00,pass_cmp,0,,,,,
player,201709240chi,pit,WatsTe00,pass_att,0,,,,,
player,201709240chi,pit,WatsTe00,pass_yds,0,,,,,
player,201709240chi,pit,WatsTe00,pass_td,0,,,,,
player,201709240chi,pit,WatsTe00,pass_int,0,,,,,
player,201709240chi,pit,WatsTe00,pass_sacked,0,,,,,
player,201709240chi,pit,WatsTe00,pass_sacked_yds,0,,,,,
player,201709240chi,pit,WatsTe00,pass_long,0,,,,,
player,201709240chi,pit,WatsTe00,pass_rating,,,,,,
player,201709240chi,pit,WatsTe00,rush_att,1,,,,,
player,201709240chi,pit,WatsTe00,rush_yds,3,,,,,
player,201709240chi,pit,WatsTe00,rush_td,0,,,,,
player,201709240chi,pit,WatsTe00,rush_long,3,,,,,
player,201709240chi,pit,WatsTe00,targets,0,,,,,
player,201709240chi,pit,WatsTe00,rec,0,,,,,
player,201709240chi,pit,WatsTe00,rec_yds,0,,,,,
player,201709240chi,pit,WatsTe00,rec_td,0,,,,,
player,201709240chi,pit,WatsTe00,rec_long,0,,,,,
player,201709240chi,pit,WatsTe00,fumbles,0,,,,,
player,201709240chi,pit,WatsTe00,fumbles_lost,0,,,,,
player,201709240chi,pit,BrowAn04,pass_cmp,0,,,,,
player,201709240chi,pit,BrowAn04,pass_att,0,,,,,
player,201709240chi,pit,BrowAn04,pass_yds,0,,,,,
player,201709240chi,pit,BrowAn04,pass_td,0,,,,,
player,201709240chi,pit,BrowAn04,pass_int,0,,,,,
player,201709240chi,pit,BrowAn04,pass_sacked,0,,,,,
player,201709240chi,pit,BrowAn04,pass_sacked_yds,0,,,,,
player,201709240chi,pit,BrowAn04,pass_long,0,,,,,
player,201709240chi,pit,BrowAn04,pass_rating,,,,,,
player,201709240chi,pit,BrowAn04,rush_att,0,,,,,
