game,2017,12,20171126,201711260phi,chi,"Chicago Bears",3,phi,"Philadelphia Eagles",31
team,201711260phi,chi,First Downs,8,,,,,,
team,201711260phi,phi,First Downs,24,,,,,,
team,201711260phi,chi,Rush-Yds-TDs,14-6-0,,,,,,
team,201711260phi,phi,Rush-Yds-TDs,33-176-0,,,,,,
team,201711260phi,chi,Cmp-Att-Yd-TD-INT,17-33-147-0-2,,,,,,
team,201711260phi,phi,Cmp-Att-Yd-TD-INT,26-39-248-3-0,,,,,,
team,201711260phi,chi,Sacked-Yards,2-13,,,,,,
team,201711260phi,phi,Sacked-Yards,1-4,,,,,,
team,201711260phi,chi,Net Pass Yards,134,,,,,,
team,201711260phi,phi,Net Pass Yards,244,,,,,,
team,201711260phi,chi,Total Yards,140,,,,,,
team,201711260phi,phi,Total Yards,420,,,,,,
team,201711260phi,chi,Fumbles-Lost,2-0,,,,,,
team,201711260phi,phi,Fumbles-Lost,4-3,,,,,,
team,201711260phi,chi,Turnovers,2,,,,,,
team,201711260phi,phi,Turnovers,3,,,,,,
team,201711260phi,chi,Penalties-Yards,9-56,,,,,,
team,201711260phi,phi,Penalties-Yards,11-70,,,,,,
team,201711260phi,chi,Third Down Conv.,3-13,,,,,,
team,201711260phi,phi,Third Down Conv.,7-16,,,,,,
team,201711260phi,chi,Fourth Down Conv.,0-2,,,,,,
team,201711260phi,phi,Fourth Down Conv.,3-4,,,,,,
team,201711260phi,chi,Time of Possession,22:52,,,,,,
team,201711260phi,phi,Time of Possession,37:08,,,,,,
player,201711260phi,chi,TrubMi00,pass_cmp,17,,,,,
player,201711260phi,chi,TrubMi00,pass_att,33,,,,,
player,201711260phi,chi,TrubMi00,pass_yds,147,,,,,
player,201711260phi,chi,TrubMi00,pass_td,0,,,,,
player,201711260phi,chi,TrubMi00,pass_int,2,,,,,
player,201711260phi,chi,TrubMi00,pass_sacked,2,,,,,
player,201711260phi,chi,TrubMi00,pass_sacked_yds,13,,,,,
player,201711260phi,chi,TrubMi00,pass_long,19,,,,,
player,201711260phi,chi,TrubMi00,pass_rating,38.3,,,,,
player,201711260phi,chi,TrubMi00,rush_att,4,,,,,
player,201711260phi,chi,TrubMi00,rush_yds,12,,,,,
player,201711260phi,chi,TrubMi00,rush_td,0,,,,,
player,201711260phi,chi,TrubMi00,rush_long,11,,,,,
player,201711260phi,chi,TrubMi00,targets,0,,,,,
player,201711260phi,chi,TrubMi00,rec,0,,,,,
player,201711260phi,chi,TrubMi00,rec_yds,0,,,,,
player,201711260phi,chi,TrubMi00,rec_td,0,,,,,
player,201711260phi,chi,TrubMi00,rec_long,0,,,,,
player,201711260phi,chi,TrubMi00,fumbles,2,,,,,
player,201711260phi,chi,TrubMi00,fumbles_lost,0,,,,,
player,201711260phi,chi,HowaJo00,pass_cmp,0,,,,,
player,201711260phi,chi,HowaJo00,pass_att,0,,,,,
player,201711260phi,chi,HowaJo00,pass_yds,0,,,,,
player,201711260phi,chi,HowaJo00,pass_td,0,,,,,
player,201711260phi,chi,HowaJo00,pass_int,0,,,,,
player,201711260phi,chi,HowaJo00,pass_sacked,0,,,,,
player,201711260phi,chi,HowaJo00,pass_sacked_yds,0,,,,,
player,201711260phi,chi,HowaJo00,pass_long,0,,,,,
player,201711260phi,chi,HowaJo00,pass_rating,,,,,,
player,201711260phi,chi,HowaJo00,rush_att,7,,,,,
player,201711260phi,chi,HowaJo00,rush_yds,6,,,,,
player,201711260phi,chi,HowaJo00,rush_td,0,,,,,
player,201711260phi,chi,HowaJo00,rush_long,4,,,,,
player,201711260phi,chi,HowaJo00,targets,2,,,,,
player,201711260phi,chi,HowaJo00,rec,2,,,,,
player,201711260phi,chi,HowaJo00,rec_yds,13,,,,,
player,201711260phi,chi,HowaJo00,rec_td,0,,,,,
player,201711260phi,chi,HowaJo00,rec_long,9,,,,,
player,201711260phi,chi,HowaJo00,fumbles,0,,,,,
player,201711260phi,chi,HowaJo00,fumbles_lost,0,,,,,
player,201711260phi,chi,InmaDo00,pass_cmp,0,,,,,
player,201711260phi,chi,InmaDo00,pass_att,0,,,,,
player,201711260phi,chi,InmaDo00,pass_yds,0,,,,,
player,201711260phi,chi,InmaDo00,pass_td,0,,,,,
player,201711260phi,chi,InmaDo00,pass_int,0,,,,,
player,201711260phi,chi,InmaDo00,pass_sacked,0,,,,,
player,201711260phi,chi,InmaDo00,pass_sacked_yds,0,,,,,
player,201711260phi,chi,InmaDo00,pass_long,0,,,,,
player,201711260phi,chi,InmaDo00,pass_rating,,,,,,
player,201711260phi,chi,InmaDo00,rush_att,0,,,,,
player,201711260phi,chi,InmaDo00,rush_yds,0,,,,,
player,201711260phi,chi,InmaDo00,rush_td,0,,,,,
player,201711260phi,chi,InmaDo00,rush_long,0,,,,,
player,201711260phi,chi,InmaDo00,targets,9,,,,,
player,201711260phi,chi,InmaDo00,rec,4,,,,,
player,201711260phi,chi,InmaDo00,rec_yds,64,,,,,
player,201711260phi,chi,InmaDo00,rec_td,0,,,,,
player,201711260phi,chi,InmaDo00,rec_long,19,,,,,
player,201711260phi,chi,InmaDo00,fumbles,0,,,,,
player,201711260phi,chi,InmaDo00,fumbles_lost,0,,,,,
player,201711260phi,chi,McBrTr00,pass_cmp,0,,,,,
player,201711260phi,chi,McBrTr00,pass_att,0,,,,,
player,201711260phi,chi,McBrTr00,pass_yds,0,,,,,
player,201711260phi,chi,McBrTr00,pass_td,0,,,,,
player,201711260phi,chi,McBrTr00,pass_int,0,,,,,
player,201711260phi,chi,McBrTr00,pass_sacked,0,,,,,
player,201711260phi,chi,McBrTr00,pass_sacked_yds,0,,,,,
player,201711260phi,chi,McBrTr00,pass_long,0,,,,,
player,201711260phi,chi,McBrTr00,pass_rating,,,,,,
player,201711260phi,chi,McBrTr00,rush_att,0,,,,,
player,201711260phi,chi,McBrTr00,rush_yds,0,,,,,
player,201711260phi,chi,McBrTr00,rush_td,0,,,,,
player,201711260phi,chi,McBrTr00,rush_long,0,,,,,
player,201711260phi,chi,McBrTr00,targets,6,,,,,
player,201711260phi,chi,McBrTr00,rec,2,,,,,
player,201711260phi,chi,McBrTr00,rec_yds,20,,,,,
player,201711260phi,chi,McBrTr00,rec_td,0,,,,,
player,201711260phi,chi,McBrTr00,rec_long,11,,,,,
player,201711260phi,chi,McBrTr00,fumbles,0,,,,,
player,201711260phi,chi,McBrTr00,fumbles_lost,0,,,,,
player,201711260phi,chi,BrowDa04,pass_cmp,0,,,,,
player,201711260phi,chi,BrowDa04,pass_att,0,,,,,
player,201711260phi,chi,BrowDa04,pass_yds,0,,,,,
player,201711260phi,chi,BrowDa04,pass_td,0,,,,,
player,201711260phi,chi,BrowDa04,pass_int,0,,,,,
player,201711260phi,chi,BrowDa04,pass_sacked,0,,,,,
player,201711260phi,chi,BrowDa04,pass_sacked_yds,0,,,,,
player,201711260phi,chi,BrowDa04,pass_long,0,,,,,
player,201711260phi,chi,BrowDa04,pass_rating,,,,,,
player,201711260phi,chi,BrowDa04,rush_att,0,,,,,
player,201711260phi,chi,BrowDa04,rush_yds,0,,,,,
player,201711260phi,chi,BrowDa04,rush_td,0,,,,,
player,201711260phi,chi,BrowDa04,rush_long,0,,,,,
player,201711260phi,chi,BrowDa04,targets,3,,,,,
player,201711260phi,chi,BrowDa04,rec,2,,,,,
player,201711260phi,chi,BrowDa04,rec_yds,20,,,,,
player,201711260phi,chi,BrowDa04,rec_td,0,,,,,
