game,2017,5,20171008,201710080ram,sea,"Seattle Seahawks",16,ram,"Los Angeles Rams",10
team,201710080ram,sea,First Downs,15,,,,,,
team,201710080ram,ram,First Downs,21,,,,,,
team,201710080ram,sea,Rush-Yds-TDs,25-62-0,,,,,,
team,201710080ram,ram,Rush-Yds-TDs,22-100-1,,,,,,
team,201710080ram,sea,Cmp-Att-Yd-TD-INT,24-38-198-1-2,,,,,,
team,201710080ram,ram,Cmp-Att-Yd-TD-INT,22-47-288-0-2,,,,,,
team,201710080ram,sea,Sacked-Yards,3-19,,,,,,
team,201710080ram,ram,Sacked-Yards,2-13,,,,,,
team,201710080ram,sea,Net Pass Yards,179,,,,,,
team,201710080ram,ram,Net Pass Yards,275,,,,,,
team,201710080ram,sea,Total Yards,241,,,,,,
team,201710080ram,ram,Total Yards,375,,,,,,
team,201710080ram,sea,Fumbles-Lost,0-0,,,,,,
team,201710080ram,ram,Fumbles-Lost,4-3,,,,,,
team,201710080ram,sea,Turnovers,2,,,,,,
team,201710080ram,ram,Turnovers,5,,,,,,
team,201710080ram,sea,Penalties-Yards,7-40,,,,,,
team,201710080ram,ram,Penalties-Yards,5-45,,,,,,
team,201710080ram,sea,Third Down Conv.,8-17,,,,,,
team,201710080ram,ram,Third Down Conv.,8-15,,,,,,
team,201710080ram,sea,Fourth Down Conv.,0-0,,,,,,
team,201710080ram,ram,Fourth Down Conv.,0-1,,,,,,
team,201710080ram,sea,Time of Possession,31:16,,,,,,
team,201710080ram,ram,Time of Possession,28:44,,,,,,
player,201710080ram,sea,WilsRu00,pass_cmp,24,,,,,
player,201710080ram,sea,WilsRu00,pass_att,37,,,,,
player,201710080ram,sea,WilsRu00,pass_yds,198,,,,,
player,201710080ram,sea,WilsRu00,pass_td,1,,,,,
player,201710080ram,sea,WilsRu00,pass_int,1,,,,,
player,201710080ram,sea,WilsRu00,pass_sacked,3,,,,,
player,201710080ram,sea,WilsRu00,pass_sacked_yds,19,,,,,
player,201710080ram,sea,WilsRu00,pass_long,21,,,,,
player,201710080ram,sea,WilsRu00,pass_rating,76.2,,,,,
player,201710080ram,sea,WilsRu00,rush_att,5,,,,,
player,201710080ram,sea,WilsRu00,rush_yds,16,,,,,
player,201710080ram,sea,WilsRu00,rush_td,0,,,,,
player,201710080ram,sea,WilsRu00,rush_long,9,,,,,
player,201710080ram,sea,WilsRu00,targets,0,,,,,
player,201710080ram,sea,WilsRu00,rec,0,,,,,
player,201710080ram,sea,WilsRu00,rec_yds,0,,,,,
player,201710080ram,sea,WilsRu00,rec_td,0,,,,,
player,201710080ram,sea,WilsRu00,rec_long,0,,,,,
player,201710080ram,sea,WilsRu00,fumbles,0,,,,,
player,201710080ram,sea,WilsRu00,fumbles_lost,0,,,,,
player,201710080ram,sea,McEvTa01,pass_cmp,0,,,,,
player,201710080ram,sea,McEvTa01,pass_att,1,,,,,
player,201710080ram,sea,McEvTa01,pass_yds,0,,,,,
player,201710080ram,sea,McEvTa01,pass_td,0,,,,,
player,201710080ram,sea,McEvTa01,pass_int,1,,,,,
player,201710080ram,sea,McEvTa01,pass_sacked,0,,,,,
player,201710080ram,sea,McEvTa01,pass_sacked_yds,0,,,,,
player,201710080ram,sea,McEvTa01,pass_long,0,,,,,
player,201710080ram,sea,McEvTa01,pass_rating,0.0,,,,,
player,201710080ram,sea,McEvTa01,rush_att,0,,,,,
player,201710080ram,sea,McEvTa01,rush_yds,0,,,,,
player,201710080ram,sea,McEvTa01,rush_td,0,,,,,
player,201710080ram,sea,McEvTa01,rush_long,0,,,,,
player,201710080ram,sea,McEvTa01,targets,0,,,,,
player,201710080ram,sea,McEvTa01,rec,0,,,,,
player,201710080ram,sea,McEvTa01,rec_yds,0,,,,,
player,201710080ram,sea,McEvTa01,rec_td,0,,,,,
player,201710080ram,sea,McEvTa01,rec_long,0,,,,,
player,201710080ram,sea,McEvTa01,fumbles,0,,,,,
player,201710080ram,sea,McEvTa01,fumbles_lost,0,,,,,
player,201710080ram,sea,RawlTh00,pass_cmp,0,,,,,
player,201710080ram,sea,RawlTh00,pass_att,0,,,,,
player,201710080ram,sea,RawlTh00,pass_yds,0,,,,,
player,201710080ram,sea,RawlTh00,pass_td,0,,,,,
player,201710080ram,sea,RawlTh00,pass_int,0,,,,,
player,201710080ram,sea,RawlTh00,pass_sacked,0,,,,,
player,201710080ram,sea,RawlTh00,pass_sacked_yds,0,,,,,
player,201710080ram,sea,RawlTh00,pass_long,0,,,,,
player,201710080ram,sea,RawlTh00,pass_rating,,,,,,
player,201710080ram,sea,RawlTh00,rush_att,8,,,,,
player,201710080ram,sea,RawlTh00,rush_yds,20,,,,,
player,201710080ram,sea,RawlTh00,rush_td,0,,,,,
player,201710080ram,sea,RawlTh00,rush_long,7,,,,,
player,201710080ram,sea,RawlTh00,targets,3,,,,,
player,201710080ram,sea,RawlTh00,rec,2,,,,,
player,201710080ram,sea,RawlTh00,rec_yds,15,,,,,
player,201710080ram,sea,RawlTh00,rec_td,0,,,,,
player,201710080ram,sea,RawlTh00,rec_long,14,,,,,
player,201710080ram,sea,RawlTh00,fumbles,0,,,,,
player,201710080ram,sea,RawlTh00,fumbles_lost,0,,,,,
player,201710080ram,sea,LacyEd00,pass_cmp,0,,,,,
player,201710080ram,sea,LacyEd00,pass_att,0,,,,,
player,201710080ram,sea,LacyEd00,pass_yds,0,,,,,
player,201710080ram,sea,LacyEd00,pass_td,0,,,,,
player,201710080ram,sea,LacyEd00,pass_int,0,,,,,
player,201710080ram,sea,LacyEd00,pass_sacked,0,,,,,
player,201710080ram,sea,LacyEd00,pass_sacked_yds,0,,,,,
player,201710080ram,sea,LacyEd00,pass_long,0,,,,,
player,201710080ram,sea,LacyEd00,pass_rating,,,,,,
player,201710080ram,sea,LacyEd00,rush_att,9,,,,,
player,201710080ram,sea,LacyEd00,rush_yds,19,,,,,
player,201710080ram,sea,LacyEd00,rush_td,0,,,,,
player,201710080ram,sea,LacyEd00,rush_long,6,,,,,
player,201710080ram,sea,LacyEd00,targets,1,,,,,
player,201710080ram,sea,LacyEd00,rec,1,,,,,
player,201710080ram,sea,LacyEd00,rec_yds,9,,,,,
player,201710080ram,sea,LacyEd00,rec_td,0,,,,,
player,201710080ram,sea,LacyEd00,rec_long,9,,,,,
player,201710080ram,sea,LacyEd00,fumbles,0,,,,,
player,201710080ram,sea,LacyEd00,fumbles_lost,0,,,,,
player,201710080ram,sea,LockTy00,pass_cmp,0,,,,,
player,201710080ram,sea,LockTy00,pass_att,0,,,,,
player,201710080ram,sea,LockTy00,pass_yds,0,,,,,
player,201710080ram,sea,LockTy00,pass_td,0,,,,,
player,201710080ram,sea,LockTy00,pass_int,0,,,,,
player,201710080ram,sea,LockTy00,pass_sacked,0,,,,,
player,201710080ram,sea,LockTy00,pass_sacked_yds,0,,,,,
player,201710080ram,sea,LockTy00,pass_long,0,,,,,
player,201710080ram,sea,LockTy00,pass_rating,,,,,,
player,201710080ram,sea,LockTy00,rush_att,1,,,,,
player,201710080ram,sea,LockTy00,rush_yds,7,,,,,
player,201710080ram,sea,LockTy00,rush_td,0,,,,,
player,201710080ram,sea,LockTy00,rush_long,7,,,,,
player,201710080ram,sea,LockTy00,targets,4,,,,,
player,201710080ram,sea,LockTy00,rec,3,,,,,
player,201710080ram,sea,LockTy00,rec_yds,26,,,,,
player,201710080ram,sea,LockTy00,rec_td,0,,,,,
player,201710080ram,sea,LockTy00,rec_long,12,,,,,
player,201710080ram,sea,LockTy00,fumbles,0,,,,,
player,201710080ram,sea,LockTy00,fumbles_lost,0,,,,,
player,201710080ram,sea,BaldDo00,pass_cmp,0,,,,,
player,201710080ram,sea,BaldDo00,pass_att,0,,,,,
player,201710080ram,sea,BaldDo00,pass_yds,0,,,,,
player,201710080ram,sea,BaldDo00,pass_td,0,,,,,
player,201710080ram,sea,BaldDo00,pass_int,0,,,,,
player,201710080ram,sea,BaldDo00,pass_sacked,0,,,,,
player,201710080ram,sea,BaldDo00,pass_sacked_yds,0,,,,,
player,201710080ram,sea,BaldDo00,pass_long,0,,,,,
player,201710080ram,sea,BaldDo00,pass_rating,,,,,,
player,201710080ram,sea,BaldDo00,rush_att,0,,,,,
player,201710080ram,sea,BaldDo00,rush_yds,0,,,,,
player,201710080ram,sea,BaldDo00,rush_td,0,,,,,
player,201710080ram,sea,BaldDo00,rush_long,0,,,,,
player,201710080ram,sea,BaldDo00,targets,8,,,,,
player,201710080ram,sea,BaldDo00,rec,4,,,,,
player,201710080ram,sea,BaldDo00,rec_yds,37,,,,,
player,201710080ram,sea,BaldDo00,rec_td,0,,,,,
player,201710080ram,sea,BaldDo00,rec_long,15,,,,,
player,201710080ram,sea,BaldDo00,fumbles,0,,,,,
player,201710080ram,sea,BaldDo00,fumbles_lost,0,,,,,
player,201710080ram,sea,GrahJi00,pass_cmp,0,,,,,
player,201710080ram,sea,GrahJi00,pass_att,0,,,,,
player,201710080ram,sea,GrahJi00,pass_yds,0,,,,,
player,201710080ram,sea,GrahJi00,pass_td,0,,,,,
player,201710080ram,sea,GrahJi00,pass_int,0,,,,,
player,201710080ram,sea,GrahJi00,pass_sacked,0,,,,,
player,201710080ram,sea,GrahJi00,pass_sacked_yds,0,,,,,
player,201710080ram,sea,GrahJi00,pass_long,0,,,,,
player,201710080ram,sea,GrahJi00,pass_rating,,,,,,
player,201710080ram,sea,GrahJi00,rush_att,0,,,,,
player,201710080ram,sea,GrahJi00,rush_yds,0,,,,,
player,201710080ram,sea,GrahJi00,rush_td,0,,,,,
player,201710080ram,sea,GrahJi00,rush_long,0,,,,,
player,201710080ram,sea,GrahJi00,targets,8,,,,,
player,201710080ram,sea,GrahJi00,rec,6,,,,,
player,201710080ram,sea,GrahJi00,rec_yds,37,,,,,
player,201710080ram,sea,GrahJi00,rec_td,1,,,,,
player,201710080ram,sea,GrahJi00,rec_long,9,,,,,
player,201710080ram,sea,GrahJi00,fumbles,0,,,,,
player,201710080ram,sea,GrahJi00,fumbles_lost,0,,,,,
player,201710080ram,sea,McKiJ.00,pass_cmp,0,,,,,
player,201710080ram,sea,McKiJ.00,pass_att,0,,,,,
player,201710080ram,sea,McKiJ.00,pass_yds,0,,,,,
player,201710080ram,sea,McKiJ.00,pass_td,0,,,,,
player,201710080ram,sea,McKiJ.00,pass_int,0,,,,,
player,201710080ram,sea,McKiJ.00,pass_sacked,0,,,,,
player,201710080ram,sea,McKiJ.00,pass_sacked_yds,0,,,,,
player,201710080ram,sea,McKiJ.00,pass_long,0,,,,,
player,201710080ram,sea,McKiJ.00,pass_rating,,,,,,
player,201710080ram,sea,McKiJ.00,rush_att,2,,,,,
player,201710080ram,sea,McKiJ.00,rush_yds,0,,,,,
player,201710080ram,sea,McKiJ.00,rush_td,0,,,,,
player,201710080ram,sea,McKiJ.00,rush_long,3,,,,,
player,201710080ram,sea,McKiJ.00,targets,5,,,,,
player,201710080ram,sea,McKiJ.00,rec,3,,,,,
player,201710080ram,sea,McKiJ.00,rec_yds,36,,,,,
