game,2017,1,20170910,201709100was,phi,"Philadelphia Eagles",30,was,"Washington Redskins",17
team,201709100was,phi,First Downs,19,,,,,,
team,201709100was,was,First Downs,16,,,,,,
team,201709100was,phi,Rush-Yds-TDs,24-58-0,,,,,,
team,201709100was,was,Rush-Yds-TDs,17-64-0,,,,,,
team,201709100was,phi,Cmp-Att-Yd-TD-INT,26-39-307-2-1,,,,,,
team,201709100was,was,Cmp-Att-Yd-TD-INT,23-40-240-1-1,,,,,,
team,201709100was,phi,Sacked-Yards,2-9,,,,,,
team,201709100was,was,Sacked-Yards,4-40,,,,,,
team,201709100was,phi,Net Pass Yards,298,,,,,,
team,201709100was,was,Net Pass Yards,200,,,,,,
team,201709100was,phi,Total Yards,356,,,,,,
team,201709100was,was,Total Yards,264,,,,,,
team,201709100was,phi,Fumbles-Lost,1-1,,,,,,
team,201709100was,was,Fumbles-Lost,3-3,,,,,,
team,201709100was,phi,Turnovers,2,,,,,,
team,201709100was,was,Turnovers,4,,,,,,
team,201709100was,phi,Penalties-Yards,8-76,,,,,,
team,201709100was,was,Penalties-Yards,2-15,,,,,,
team,201709100was,phi,Third Down Conv.,8-14,,,,,,
team,201709100was,was,Third Down Conv.,3-11,,,,,,
team,201709100was,phi,Fourth Down Conv.,0-0,,,,,,
team,201709100was,was,Fourth Down Conv.,0-1,,,,,,
team,201709100was,phi,Time of Possession,34:16,,,,,,
team,201709100was,was,Time of Possession,25:44,,,,,,
player,201709100was,phi,WentCa00,pass_cmp,26,,,,,
player,201709100was,phi,WentCa00,pass_att,39,,,,,
player,201709100was,phi,WentCa00,pass_yds,307,,,,,
player,201709100was,phi,WentCa00,pass_td,2,,,,,
player,201709100was,phi,WentCa00,pass_int,1,,,,,
player,201709100was,phi,WentCa00,pass_sacked,2,,,,,
player,201709100was,phi,WentCa00,pass_sacked_yds,9,,,,,
player,201709100was,phi,WentCa00,pass_long,58,,,,,
player,201709100was,phi,WentCa00,pass_rating,96.8,,,,,
player,201709100was,phi,WentCa00,rush_att,4,,,,,
player,201709100was,phi,WentCa00,rush_yds,6,,,,,
player,201709100was,phi,WentCa00,rush_td,0,,,,,
player,201709100was,phi,WentCa00,rush_long,4,,,,,
player,201709100was,phi,WentCa00,targets,0,,,,,
player,201709100was,phi,WentCa00,rec,0,,,,,
player,201709100was,phi,WentCa00,rec_yds,0,,,,,
player,201709100was,phi,WentCa00,rec_td,0,,,,,
player,201709100was,phi,WentCa00,rec_long,0,,,,,
player,201709100was,phi,WentCa00,fumbles,1,,,,,
player,201709100was,phi,WentCa00,fumbles_lost,1,,,,,
player,201709100was,phi,BlouLe00,pass_cmp,0,,,,,
player,201709100was,phi,BlouLe00,pass_att,0,,,,,
player,201709100was,phi,BlouLe00,pass_yds,0,,,,,
player,201709100was,phi,BlouLe00,pass_td,0,,,,,
