game,2017,3,20170925,201709250crd,dal,"Dallas Cowboys",28,crd,"Arizona Cardinals",17
team,201709250crd,dal,First Downs,15,,,,,,
team,201709250crd,crd,First Downs,22,,,,,,
team,201709250crd,dal,Rush-Yds-TDs,26-99-2,,,,,,
team,201709250crd,crd,Rush-Yds-TDs,21-49-0,,,,,,
team,201709250crd,dal,Cmp-Att-Yd-TD-INT,13-18-183-2-0,,,,,,
team,201709250crd,crd,Cmp-Att-Yd-TD-INT,29-48-325-2-0,,,,,,
team,201709250crd,dal,Sacked-Yards,1-9,,,,,,
team,201709250crd,crd,Sacked-Yards,6-42,,,,,,
team,201709250crd,dal,Net Pass Yards,174,,,,,,
team,201709250crd,crd,Net Pass Yards,283,,,,,,
team,201709250crd,dal,Total Yards,273,,,,,,
team,201709250crd,crd,Total Yards,332,,,,,,
team,201709250crd,dal,Fumbles-Lost,0-0,,,,,,
team,201709250crd,crd,Fumbles-Lost,0-0,,,,,,
team,201709250crd,dal,Turnovers,0,,,,,,
team,201709250crd,crd,Turnovers,0,,,,,,
team,201709250crd,dal,Penalties-Yards,9-76,,,,,,
team,201709250crd,crd,Penalties-Yards,6-50,,,,,,
team,201709250crd,dal,Third Down Conv.,2-9,,,,,,
team,201709250crd,crd,Third Down Conv.,8-18,,,,,,
team,201709250crd,dal,Fourth Down Conv.,0-0,,,,,,
team,201709250crd,crd,Fourth Down Conv.,0-1,,,,,,
team,201709250crd,dal,Time of Possession,23:45,,,,,,
team,201709250crd,crd,Time of Possession,36:15,,,,,,
player,201709250crd,dal,PresDa01,pass_cmp,13,,,,,
player,201709250crd,dal,PresDa01,pass_att,18,,,,,
player,201709250crd,dal,PresDa01,pass_yds,183,,,,,
player,201709250crd,dal,PresDa01,pass_td,2,,,,,
player,201709250crd,dal,PresDa01,pass_int,0,,,,,
player,201709250crd,dal,PresDa01,pass_sacked,1,,,,,
player,201709250crd,dal,PresDa01,pass_sacked_yds,9,,,,,
player,201709250crd,dal,PresDa01,pass_long,53,,,,,
player,201709250crd,dal,PresDa01,pass_rating,141.7,,,,,
player,201709250crd,dal,PresDa01,rush_att,3,,,,,
player,201709250crd,dal,PresDa01,rush_yds,16,,,,,
player,201709250crd,dal,PresDa01,rush_td,1,,,,,
player,201709250crd,dal,PresDa01,rush_long,10,,,,,
player,201709250crd,dal,PresDa01,targets,0,,,,,
player,201709250crd,dal,PresDa01,rec,0,,,,,
player,201709250crd,dal,PresDa01,rec_yds,0,,,,,
player,201709250crd,dal,PresDa01,rec_td,0,,,,,
player,201709250crd,dal,PresDa01,rec_long,0,,,,,
player,201709250crd,dal,PresDa01,fumbles,0,,,,,
player,201709250crd,dal,PresDa01,fumbles_lost,0,,,,,
player,201709250crd,dal,ElliEz00,pass_cmp,0,,,,,
player,201709250crd,dal,ElliEz00,pass_att,0,,,,,
player,201709250crd,dal,ElliEz00,pass_yds,0,,,,,
player,201709250crd,dal,ElliEz00,pass_td,0,,,,,
player,201709250crd,dal,ElliEz00,pass_int,0,,,,,
player,201709250crd,dal,ElliEz00,pass_sacked,0,,,,,
player,201709250crd,dal,ElliEz00,pass_sacked_yds,0,,,,,
player,201709250crd,dal,ElliEz00,pass_long,0,,,,,
player,201709250crd,dal,ElliEz00,pass_rating,,,,,,
player,201709250crd,dal,ElliEz00,rush_att,22,,,,,
player,201709250crd,dal,ElliEz00,rush_yds,80,,,,,
player,201709250crd,dal,ElliEz00,rush_td,1,,,,,
player,201709250crd,dal,ElliEz00,rush_long,30,,,,,
player,201709250crd,dal,ElliEz00,targets,4,,,,,
player,201709250crd,dal,ElliEz00,rec,3,,,,,
player,201709250crd,dal,ElliEz00,rec_yds,14,,,,,
player,201709250crd,dal,ElliEz00,rec_td,0,,,,,
player,201709250crd,dal,ElliEz00,rec_long,10,,,,,
player,201709250crd,dal,ElliEz00,fumbles,0,,,,,
player,201709250crd,dal,ElliEz00,fumbles_lost,0,,,,,
player,201709250crd,dal,SwitRy00,pass_cmp,0,,,,,
player,201709250crd,dal,SwitRy00,pass_att,0,,,,,
player,201709250crd,dal,SwitRy00,pass_yds,0,,,,,
player,201709250crd,dal,SwitRy00,pass_td,0,,,,,
player,201709250crd,dal,SwitRy00,pass_int,0,,,,,
player,201709250crd,dal,SwitRy00,pass_sacked,0,,,,,
player,201709250crd,dal,SwitRy00,pass_sacked_yds,0,,,,,
player,201709250crd,dal,SwitRy00,pass_long,0,,,,,
player,201709250crd,dal,SwitRy00,pass_rating,,,,,,
player,201709250crd,dal,SwitRy00,rush_att,1,,,,,
player,201709250crd,dal,SwitRy00,rush_yds,3,,,,,
player,201709250crd,dal,SwitRy00,rush_td,0,,,,,
player,201709250crd,dal,SwitRy00,rush_long,3,,,,,
player,201709250crd,dal,SwitRy00,targets,0,,,,,
player,201709250crd,dal,SwitRy00,rec,0,,,,,
player,201709250crd,dal,SwitRy00,rec_yds,0,,,,,
player,201709250crd,dal,SwitRy00,rec_td,0,,,,,
player,201709250crd,dal,SwitRy00,rec_long,0,,,,,
player,201709250crd,dal,SwitRy00,fumbles,0,,,,,
player,201709250crd,dal,SwitRy00,fumbles_lost,0,,,,,
player,201709250crd,dal,ButlBr00,pass_cmp,0,,,,,
player,201709250crd,dal,ButlBr00,pass_att,0,,,,,
player,201709250crd,dal,ButlBr00,pass_yds,0,,,,,
player,201709250crd,dal,ButlBr00,pass_td,0,,,,,
player,201709250crd,dal,ButlBr00,pass_int,0,,,,,
player,201709250crd,dal,ButlBr00,pass_sacked,0,,,,,
player,201709250crd,dal,ButlBr00,pass_sacked_yds,0,,,,,
player,201709250crd,dal,ButlBr00,pass_long,0,,,,,
player,201709250crd,dal,ButlBr00,pass_rating,,,,,,
player,201709250crd,dal,ButlBr00,rush_att,0,,,,,
player,201709250crd,dal,ButlBr00,rush_yds,0,,,,,
player,201709250crd,dal,ButlBr00,rush_td,0,,,,,
