game,2017,4,20171001,201710010tam,nyg,"New York Giants",23,tam,"Tampa Bay Buccaneers",25
team,201710010tam,nyg,First Downs,24,,,,,,
team,201710010tam,tam,First Downs,20,,,,,,
team,201710010tam,nyg,Rush-Yds-TDs,28-91-1,,,,,,
team,201710010tam,tam,Rush-Yds-TDs,23-111-0,,,,,,
team,201710010tam,nyg,Cmp-Att-Yd-TD-INT,30-49-288-2-0,,,,,,
team,201710010tam,tam,Cmp-Att-Yd-TD-INT,22-38-332-3-0,,,,,,
team,201710010tam,nyg,Sacked-Yards,0-0,,,,,,
team,201710010tam,tam,Sacked-Yards,1-9,,,,,,
team,201710010tam,nyg,Net Pass Yards,288,,,,,,
team,201710010tam,tam,Net Pass Yards,323,,,,,,
team,201710010tam,nyg,Total Yards,379,,,,,,
team,201710010tam,tam,Total Yards,434,,,,,,
team,201710010tam,nyg,Fumbles-Lost,1-0,,,,,,
team,201710010tam,tam,Fumbles-Lost,1-0,,,,,,
team,201710010tam,nyg,Turnovers,0,,,,,,
team,201710010tam,tam,Turnovers,0,,,,,,
team,201710010tam,nyg,Penalties-Yards,1-0,,,,,,
team,201710010tam,tam,Penalties-Yards,4-19,,,,,,
team,201710010tam,nyg,Third Down Conv.,8-17,,,,,,
team,201710010tam,tam,Third Down Conv.,3-11,,,,,,
team,201710010tam,nyg,Fourth Down Conv.,0-1,,,,,,
team,201710010tam,tam,Fourth Down Conv.,0-1,,,,,,
team,201710010tam,nyg,Time of Possession,34:13,,,,,,
team,201710010tam,tam,Time of Possession,25:47,,,,,,
player,201710010tam,nyg,MannEl00,pass_cmp,30,,,,,
player,201710010tam,nyg,MannEl00,pass_att,49,,,,,
player,201710010tam,nyg,MannEl00,pass_yds,288,,,,,
player,201710010tam,nyg,MannEl00,pass_td,2,,,,,
player,201710010tam,nyg,MannEl00,pass_int,0,,,,,
player,201710010tam,nyg,MannEl00,pass_sacked,0,,,,,
player,201710010tam,nyg,MannEl00,pass_sacked_yds,0,,,,,
player,201710010tam,nyg,MannEl00,pass_long,42,,,,,
player,201710010tam,nyg,MannEl00,pass_rating,91.2,,,,,
player,201710010tam,nyg,MannEl00,rush_att,3,,,,,
player,201710010tam,nyg,MannEl00,rush_yds,22,,,,,
player,201710010tam,nyg,MannEl00,rush_td,1,,,,,
player,201710010tam,nyg,MannEl00,rush_long,14,,,,,
player,201710010tam,nyg,MannEl00,targets,0,,,,,
player,201710010tam,nyg,MannEl00,rec,0,,,,,
player,201710010tam,nyg,MannEl00,rec_yds,0,,,,,
player,201710010tam,nyg,MannEl00,rec_td,0,,,,,
player,201710010tam,nyg,MannEl00,rec_long,0,,,,,
player,201710010tam,nyg,MannEl00,fumbles,0,,,,,
player,201710010tam,nyg,MannEl00,fumbles_lost,0,,,,,
player,201710010tam,nyg,GallWa00,pass_cmp,0,,,,,
player,201710010tam,nyg,GallWa00,pass_att,0,,,,,
player,201710010tam,nyg,GallWa00,pass_yds,0,,,,,
player,201710010tam,nyg,GallWa00,pass_td,0,,,,,
player,201710010tam,nyg,GallWa00,pass_int,0,,,,,
player,201710010tam,nyg,GallWa00,pass_sacked,0,,,,,
player,201710010tam,nyg,GallWa00,pass_sacked_yds,0,,,,,
player,201710010tam,nyg,GallWa00,pass_long,0,,,,,
player,201710010tam,nyg,GallWa00,pass_rating,,,,,,
player,201710010tam,nyg,GallWa00,rush_att,11,,,,,
player,201710010tam,nyg,GallWa00,rush_yds,42,,,,,
player,201710010tam,nyg,GallWa00,rush_td,0,,,,,
player,201710010tam,nyg,GallWa00,rush_long,13,,,,,
player,201710010tam,nyg,GallWa00,targets,2,,,,,
player,201710010tam,nyg,GallWa00,rec,2,,,,,
player,201710010tam,nyg,GallWa00,rec_yds,8,,,,,
player,201710010tam,nyg,GallWa00,rec_td,1,,,,,
player,201710010tam,nyg,GallWa00,rec_long,4,,,,,
player,201710010tam,nyg,GallWa00,fumbles,1,,,,,
player,201710010tam,nyg,GallWa00,fumbles_lost,0,,,,,
player,201710010tam,nyg,VereSh00,pass_cmp,0,,,,,
player,201710010tam,nyg,VereSh00,pass_att,0,,,,,
player,201710010tam,nyg,VereSh00,pass_yds,0,,,,,
