game,2017,3,20170924,201709240oti,sea,"Seattle Seahawks",27,oti,"Tennessee Titans",33
team,201709240oti,sea,First Downs,24,,,,,,
team,201709240oti,oti,First Downs,21,,,,,,
team,201709240oti,sea,Rush-Yds-TDs,22-69-0,,,,,,
team,201709240oti,oti,Rush-Yds-TDs,35-195-1,,,,,,
team,201709240oti,sea,Cmp-Att-Yd-TD-INT,29-49-373-4-0,,,,,,
team,201709240oti,oti,Cmp-Att-Yd-TD-INT,20-32-225-2-0,,,,,,
team,201709240oti,sea,Sacked-Yards,1-9,,,,,,
team,201709240oti,oti,Sacked-Yards,0-0,,,,,,
team,201709240oti,sea,Net Pass Yards,364,,,,,,
team,201709240oti,oti,Net Pass Yards,225,,,,,,
team,201709240oti,sea,Total Yards,433,,,,,,
team,201709240oti,oti,Total Yards,420,,,,,,
team,201709240oti,sea,Fumbles-Lost,3-0,,,,,,
team,201709240oti,oti,Fumbles-Lost,0-0,,,,,,
team,201709240oti,sea,Turnovers,0,,,,,,
team,201709240oti,oti,Turnovers,0,,,,,,
team,201709240oti,sea,Penalties-Yards,11-98,,,,,,
team,201709240oti,oti,Penalties-Yards,5-45,,,,,,
team,201709240oti,sea,Third Down Conv.,4-14,,,,,,
team,201709240oti,oti,Third Down Conv.,4-14,,,,,,
team,201709240oti,sea,Fourth Down Conv.,1-2,,,,,,
team,201709240oti,oti,Fourth Down Conv.,0-0,,,,,,
team,201709240oti,sea,Time of Possession,27:19,,,,,,
team,201709240oti,oti,Time of Possession,32:41,,,,,,
player,201709240oti,sea,WilsRu00,pass_cmp,29,,,,,
player,201709240oti,sea,WilsRu00,pass_att,49,,,,,
player,201709240oti,sea,WilsRu00,pass_yds,373,,,,,
player,201709240oti,sea,WilsRu00,pass_td,4,,,,,
player,201709240oti,sea,WilsRu00,pass_int,0,,,,,
player,201709240oti,sea,WilsRu00,pass_sacked,1,,,,,
player,201709240oti,sea,WilsRu00,pass_sacked_yds,9,,,,,
player,201709240oti,sea,WilsRu00,pass_long,46,,,,,
player,201709240oti,sea,WilsRu00,pass_rating,110.3,,,,,
player,201709240oti,sea,WilsRu00,rush_att,7,,,,,
player,201709240oti,sea,WilsRu00,rush_yds,26,,,,,
player,201709240oti,sea,WilsRu00,rush_td,0,,,,,
player,201709240oti,sea,WilsRu00,rush_long,11,,,,,
player,201709240oti,sea,WilsRu00,targets,0,,,,,
player,201709240oti,sea,WilsRu00,rec,0,,,,,
player,201709240oti,sea,WilsRu00,rec_yds,0,,,,,
