game,2017,10,20171112,201711120clt,pit,"Pittsburgh Steelers",20,clt,"Indianapolis Colts",17
team,201711120clt,pit,First Downs,18,,,,,,
team,201711120clt,clt,First Downs,13,,,,,,
team,201711120clt,pit,Rush-Yds-TDs,30-88-0,,,,,,
team,201711120clt,clt,Rush-Yds-TDs,29-71-0,,,,,,
team,201711120clt,pit,Cmp-Att-Yd-TD-INT,19-31-236-2-1,,,,,,
team,201711120clt,clt,Cmp-Att-Yd-TD-INT,14-24-222-2-1,,,,,,
team,201711120clt,pit,Sacked-Yards,1-8,,,,,,
team,201711120clt,clt,Sacked-Yards,3-26,,,,,,
team,201711120clt,pit,Net Pass Yards,228,,,,,,
team,201711120clt,clt,Net Pass Yards,196,,,,,,
team,201711120clt,pit,Total Yards,316,,,,,,
team,201711120clt,clt,Total Yards,267,,,,,,
team,201711120clt,pit,Fumbles-Lost,1-0,,,,,,
team,201711120clt,clt,Fumbles-Lost,0-0,,,,,,
team,201711120clt,pit,Turnovers,1,,,,,,
team,201711120clt,clt,Turnovers,1,,,,,,
team,201711120clt,pit,Penalties-Yards,9-70,,,,,,
team,201711120clt,clt,Penalties-Yards,9-82,,,,,,
team,201711120clt,pit,Third Down Conv.,5-13,,,,,,
team,201711120clt,clt,Third Down Conv.,6-15,,,,,,
team,201711120clt,pit,Fourth Down Conv.,0-0,,,,,,
team,201711120clt,clt,Fourth Down Conv.,0-0,,,,,,
team,201711120clt,pit,Time of Possession,29:58,,,,,,
team,201711120clt,clt,Time of Possession,30:02,,,,,,
player,201711120clt,pit,RoetBe00,pass_cmp,19,,,,,
player,201711120clt,pit,RoetBe00,pass_att,31,,,,,
player,201711120clt,pit,RoetBe00,pass_yds,236,,,,,
player,201711120clt,pit,RoetBe00,pass_td,2,,,,,
player,201711120clt,pit,RoetBe00,pass_int,1,,,,,
player,201711120clt,pit,RoetBe00,pass_sacked,1,,,,,
player,201711120clt,pit,RoetBe00,pass_sacked_yds,8,,,,,
player,201711120clt,pit,RoetBe00,pass_long,44,,,,,
player,201711120clt,pit,RoetBe00,pass_rating,92.9,,,,,
player,201711120clt,pit,RoetBe00,rush_att,2,,,,,
player,201711120clt,pit,RoetBe00,rush_yds,5,,,,,
player,201711120clt,pit,RoetBe00,rush_td,0,,,,,
player,201711120clt,pit,RoetBe00,rush_long,5,,,,,
player,201711120clt,pit,RoetBe00,targets,0,,,,,
player,201711120clt,pit,RoetBe00,rec,0,,,,,
player,201711120clt,pit,RoetBe00,rec_yds,0,,,,,
player,201711120clt,pit,RoetBe00,rec_td,0,,,,,
