game,2017,6,20171015,201710150atl,mia,"Miami Dolphins",20,atl,"Atlanta Falcons",17
team,201710150atl,mia,First Downs,20,,,,,,
team,201710150atl,atl,First Downs,19,,,,,,
team,201710150atl,mia,Rush-Yds-TDs,31-138-0,,,,,,
team,201710150atl,atl,Rush-Yds-TDs,19-100-1,,,,,,
team,201710150atl,mia,Cmp-Att-Yd-TD-INT,19-33-151-2-1,,,,,,
team,201710150atl,atl,Cmp-Att-Yd-TD-INT,24-35-248-1-1,,,,,,
team,201710150atl,mia,Sacked-Yards,0-0,,,,,,
team,201710150atl,atl,Sacked-Yards,2-9,,,,,,
team,201710150atl,mia,Net Pass Yards,151,,,,,,
team,201710150atl,atl,Net Pass Yards,239,,,,,,
team,201710150atl,mia,Total Yards,289,,,,,,
team,201710150atl,atl,Total Yards,339,,,,,,
team,201710150atl,mia,Fumbles-Lost,0-0,,,,,,
team,201710150atl,atl,Fumbles-Lost,1-0,,,,,,
team,201710150atl,mia,Turnovers,1,,,,,,
team,201710150atl,atl,Turnovers,1,,,,,,
team,201710150atl,mia,Penalties-Yards,4-42,,,,,,
team,201710150atl,atl,Penalties-Yards,6-73,,,,,,
team,201710150atl,mia,Third Down Conv.,5-12,,,,,,
team,201710150atl,atl,Third Down Conv.,6-11,,,,,,
team,201710150atl,mia,Fourth Down Conv.,2-3,,,,,,
team,201710150atl,atl,Fourth Down Conv.,0-1,,,,,,
team,201710150atl,mia,Time of Possession,34:24,,,,,,
team,201710150atl,atl,Time of Possession,25:36,,,,,,
player,201710150atl,mia,CutlJa00,pass_cmp,19,,,,,
player,201710150atl,mia,CutlJa00,pass_att,33,,,,,
player,201710150atl,mia,CutlJa00,pass_yds,151,,,,,
player,201710150atl,mia,CutlJa00,pass_td,2,,,,,
player,201710150atl,mia,CutlJa00,pass_int,1,,,,,
player,201710150atl,mia,CutlJa00,pass_sacked,0,,,,,
player,201710150atl,mia,CutlJa00,pass_sacked_yds,0,,,,,
player,201710150atl,mia,CutlJa00,pass_long,18,,,,,
player,201710150atl,mia,CutlJa00,pass_rating,76.7,,,,,
player,201710150atl,mia,CutlJa00,rush_att,1,,,,,
