game,2017,3,20170924,201709240clt,cle,"Cleveland Browns",28,clt,"Indianapolis Colts",31
player,201709240clt,cle,BritKe00,fumbles_lost,0,,,,,
player,201709240clt,cle,DevaSe00,pass_cmp,0,,,,,
player,201709240clt,cle,DevaSe00,pass_att,0,,,,,
player,201709240clt,cle,DevaSe00,pass_yds,0,,,,,
player,201709240clt,cle,DevaSe00,pass_td,0,,,,,
player,201709240clt,cle,DevaSe00,pass_int,0,,,,,
player,201709240clt,cle,DevaSe00,pass_sacked,0,,,,,
player,201709240clt,cle,DevaSe00,pass_sacked_yds,0,,,,,
player,201709240clt,cle,DevaSe00,pass_long,0,,,,,
player,201709240clt,cle,DevaSe00,pass_rating,,,,,,
player,201709240clt,cle,DevaSe00,rush_att,0,,,,,
player,201709240clt,cle,DevaSe00,rush_yds,0,,,,,
player,201709240clt,cle,DevaSe00,rush_td,0,,,,,
player,201709240clt,cle,DevaSe00,rush_long,0,,,,,
player,201709240clt,cle,DevaSe00,targets,5,,,,,
player,201709240clt,cle,DevaSe00,rec,2,,,,,
player,201709240clt,cle,DevaSe00,rec_yds,29,,,,,
player,201709240clt,cle,DevaSe00,rec_td,0,,,,,
player,201709240clt,cle,DevaSe00,rec_long,20,,,,,
player,201709240clt,cle,DevaSe00,fumbles,0,,,,,
player,201709240clt,cle,DevaSe00,fumbles_lost,0,,,,,
player,201709240clt,cle,LeslJo00,pass_cmp,0,,,,,
player,201709240clt,cle,LeslJo00,pass_att,0,,,,,
player,201709240clt,cle,LeslJo00,pass_yds,0,,,,,
player,201709240clt,cle,LeslJo00,pass_td,0,,,,,
player,201709240clt,cle,LeslJo00,pass_int,0,,,,,
player,201709240clt,cle,LeslJo00,pass_sacked,0,,,,,
player,201709240clt,cle,LeslJo00,pass_sacked_yds,0,,,,,
player,201709240clt,cle,LeslJo00,pass_long,0,,,,,
player,201709240clt,cle,LeslJo00,pass_rating,,,,,,
player,201709240clt,cle,LeslJo00,rush_att,0,,,,,
player,201709240clt,cle,LeslJo00,rush_yds,0,,,,,
player,201709240clt,cle,LeslJo00,rush_td,0,,,,,
player,201709240clt,cle,LeslJo00,rush_long,0,,,,,
player,201709240clt,cle,LeslJo00,targets,1,,,,,
player,201709240clt,cle,LeslJo00,rec,1,,,,,
player,201709240clt,cle,LeslJo00,rec_yds,26,,,,,
player,201709240clt,cle,LeslJo00,rec_td,0,,,,,
player,201709240clt,cle,LeslJo00,rec_long,26,,,,,
player,201709240clt,cle,LeslJo00,fumbles,0,,,,,
player,201709240clt,cle,LeslJo00,fumbles_lost,0,,,,,
player,201709240clt,cle,NjokDa00,pass_cmp,0,,,,,
player,201709240clt,cle,NjokDa00,pass_att,0,,,,,
player,201709240clt,cle,NjokDa00,pass_yds,0,,,,,
player,201709240clt,cle,NjokDa00,pass_td,0,,,,,
player,201709240clt,cle,NjokDa00,pass_int,0,,,,,
player,201709240clt,cle,NjokDa00,pass_sacked,0,,,,,
player,201709240clt,cle,NjokDa00,pass_sacked_yds,0,,,,,
player,201709240clt,cle,NjokDa00,pass_long,0,,,,,
player,201709240clt,cle,NjokDa00,pass_rating,,,,,,
player,201709240clt,cle,NjokDa00,rush_att,0,,,,,
player,201709240clt,cle,NjokDa00,rush_yds,0,,,,,
player,201709240clt,cle,NjokDa00,rush_td,0,,,,,
player,201709240clt,cle,NjokDa00,rush_long,0,,,,,
player,201709240clt,cle,NjokDa00,targets,4,,,,,
player,201709240clt,cle,NjokDa00,rec,2,,,,,
player,201709240clt,cle,NjokDa00,rec_yds,12,,,,,
player,201709240clt,cle,NjokDa00,rec_td,1,,,,,
player,201709240clt,cle,NjokDa00,rec_long,11,,,,,
player,201709240clt,cle,NjokDa00,fumbles,0,,,,,
player,201709240clt,cle,NjokDa00,fumbles_lost,0,,,,,
player,201709240clt,cle,WillKa02,pass_cmp,0,,,,,
player,201709240clt,cle,WillKa02,pass_att,0,,,,,
player,201709240clt,cle,WillKa02,pass_yds,0,,,,,
player,201709240clt,cle,WillKa02,pass_td,0,,,,,
player,201709240clt,cle,WillKa02,pass_int,0,,,,,
player,201709240clt,cle,WillKa02,pass_sacked,0,,,,,
player,201709240clt,cle,WillKa02,pass_sacked_yds,0,,,,,
player,201709240clt,cle,WillKa02,pass_long,0,,,,,
player,201709240clt,cle,WillKa02,pass_rating,,,,,,
player,201709240clt,cle,WillKa02,rush_att,0,,,,,
player,201709240clt,cle,WillKa02,rush_yds,0,,,,,
player,201709240clt,cle,WillKa02,rush_td,0,,,,,
player,201709240clt,cle,WillKa02,rush_long,0,,,,,
player,201709240clt,cle,WillKa02,targets,2,,,,,
player,201709240clt,cle,WillKa02,rec,1,,,,,
player,201709240clt,cle,WillKa02,rec_yds,10,,,,,
player,201709240clt,cle,WillKa02,rec_td,0,,,,,
player,201709240clt,cle,WillKa02,rec_long,10,,,,,
player,201709240clt,cle,WillKa02,fumbles,0,,,,,
player,201709240clt,cle,WillKa02,fumbles_lost,0,,,,,
player,201709240clt,cle,LouiRi00,pass_cmp,0,,,,,
player,201709240clt,cle,LouiRi00,pass_att,0,,,,,
player,201709240clt,cle,LouiRi00,pass_yds,0,,,,,
player,201709240clt,cle,LouiRi00,pass_td,0,,,,,
player,201709240clt,cle,LouiRi00,pass_int,0,,,,,
player,201709240clt,cle,LouiRi00,pass_sacked,0,,,,,
player,201709240clt,cle,LouiRi00,pass_sacked_yds,0,,,,,
player,201709240clt,cle,LouiRi00,pass_long,0,,,,,
player,201709240clt,cle,LouiRi00,pass_rating,,,,,,
player,201709240clt,cle,LouiRi00,rush_att,0,,,,,
player,201709240clt,cle,LouiRi00,rush_yds,0,,,,,
player,201709240clt,cle,LouiRi00,rush_td,0,,,,,
player,201709240clt,cle,LouiRi00,rush_long,0,,,,,
player,201709240clt,cle,LouiRi00,targets,6,,,,,
player,201709240clt,cle,LouiRi00,rec,1,,,,,
player,201709240clt,cle,LouiRi00,rec_yds,10,,,,,
player,201709240clt,cle,LouiRi00,rec_td,0,,,,,
player,201709240clt,cle,LouiRi00,rec_long,10,,,,,
player,201709240clt,cle,LouiRi00,fumbles,0,,,,,
player,201709240clt,cle,LouiRi00,fumbles_lost,0,,,,,
player,201709240clt,cle,HiggRa00,pass_cmp,0,,,,,
player,201709240clt,cle,HiggRa00,pass_att,0,,,,,
player,201709240clt,cle,HiggRa00,pass_yds,0,,,,,
player,201709240clt,cle,HiggRa00,pass_td,0,,,,,
player,201709240clt,cle,HiggRa00,pass_int,0,,,,,
player,201709240clt,cle,HiggRa00,pass_sacked,0,,,,,
player,201709240clt,cle,HiggRa00,pass_sacked_yds,0,,,,,
player,201709240clt,cle,HiggRa00,pass_long,0,,,,,
player,201709240clt,cle,HiggRa00,pass_rating,,,,,,
player,201709240clt,cle,HiggRa00,rush_att,0,,,,,
player,201709240clt,cle,HiggRa00,rush_yds,0,,,,,
player,201709240clt,cle,HiggRa00,rush_td,0,,,,,
player,201709240clt,cle,HiggRa00,rush_long,0,,,,,
player,201709240clt,cle,HiggRa00,targets,6,,,,,
player,201709240clt,cle,HiggRa00,rec,2,,,,,
player,201709240clt,cle,HiggRa00,rec_yds,10,,,,,
player,201709240clt,cle,HiggRa00,rec_td,0,,,,,
player,201709240clt,cle,HiggRa00,rec_long,9,,,,,
player,201709240clt,cle,HiggRa00,fumbles,0,,,,,
player,201709240clt,cle,HiggRa00,fumbles_lost,0,,,,,
player,201709240clt,cle,TelfRa00,pass_cmp,0,,,,,
player,201709240clt,cle,TelfRa00,pass_att,0,,,,,
player,201709240clt,cle,TelfRa00,pass_yds,0,,,,,
player,201709240clt,cle,TelfRa00,pass_td,0,,,,,
player,201709240clt,cle,TelfRa00,pass_int,0,,,,,
player,201709240clt,cle,TelfRa00,pass_sacked,0,,,,,
player,201709240clt,cle,TelfRa00,pass_sacked_yds,0,,,,,
player,201709240clt,cle,TelfRa00,pass_long,0,,,,,
player,201709240clt,cle,TelfRa00,pass_rating,,,,,,
player,201709240clt,cle,TelfRa00,rush_att,0,,,,,
player,201709240clt,cle,TelfRa00,rush_yds,0,,,,,
player,201709240clt,cle,TelfRa00,rush_td,0,,,,,
player,201709240clt,cle,TelfRa00,rush_long,0,,,,,
player,201709240clt,cle,TelfRa00,targets,1,,,,,
player,201709240clt,cle,TelfRa00,rec,1,,,,,
player,201709240clt,cle,TelfRa00,rec_yds,4,,,,,
player,201709240clt,cle,TelfRa00,rec_td,0,,,,,
player,201709240clt,cle,TelfRa00,rec_long,4,,,,,
player,201709240clt,cle,TelfRa00,fumbles,0,,,,,
player,201709240clt,cle,TelfRa00,fumbles_lost,0,,,,,
player,201709240clt,cle,ZeitKe00,pass_cmp,0,,,,,
player,201709240clt,cle,ZeitKe00,pass_att,0,,,,,
player,201709240clt,cle,ZeitKe00,pass_yds,0,,,,,
player,201709240clt,cle,ZeitKe00,pass_td,0,,,,,
player,201709240clt,cle,ZeitKe00,pass_int,0,,,,,
player,201709240clt,cle,ZeitKe00,pass_sacked,0,,,,,
player,201709240clt,cle,ZeitKe00,pass_sacked_yds,0,,,,,
player,201709240clt,cle,ZeitKe00,pass_long,0,,,,,
player,201709240clt,cle,ZeitKe00,pass_rating,,,,,,
player,201709240clt,cle,ZeitKe00,rush_att,0,,,,,
player,201709240clt,cle,ZeitKe00,rush_yds,0,,,,,
player,201709240clt,cle,ZeitKe00,rush_td,0,,,,,
player,201709240clt,cle,ZeitKe00,rush_long,0,,,,,
player,201709240clt,cle,ZeitKe00,targets,1,,,,,
player,201709240clt,cle,ZeitKe00,rec,1,,,,,
player,201709240clt,cle,ZeitKe00,rec_yds,-4,,,,,
player,201709240clt,cle,ZeitKe00,rec_td,0,,,,,
player,201709240clt,cle,ZeitKe00,rec_long,-4,,,,,
player,201709240clt,cle,ZeitKe00,fumbles,0,,,,,
player,201709240clt,cle,ZeitKe00,fumbles_lost,0,,,,,
player,201709240clt,clt,BrisJa00,pass_cmp,17,,,,,
player,201709240clt,clt,BrisJa00,pass_att,24,,,,,
player,201709240clt,clt,BrisJa00,pass_yds,259,,,,,
player,201709240clt,clt,BrisJa00,pass_td,1,,,,,
player,201709240clt,clt,BrisJa00,pass_int,0,,,,,
player,201709240clt,clt,BrisJa00,pass_sacked,3,,,,,
player,201709240clt,clt,BrisJa00,pass_sacked_yds,16,,,,,
player,201709240clt,clt,BrisJa00,pass_long,61,,,,,
player,201709240clt,clt,BrisJa00,pass_rating,120.0,,,,,
player,201709240clt,clt,BrisJa00,rush_att,5,,,,,
player,201709240clt,clt,BrisJa00,rush_yds,14,,,,,
player,201709240clt,clt,BrisJa00,rush_td,2,,,,,
player,201709240clt,clt,BrisJa00,rush_long,8,,,,,
player,201709240clt,clt,BrisJa00,targets,0,,,,,
player,201709240clt,clt,BrisJa00,rec,0,,,,,
player,201709240clt,clt,BrisJa00,rec_yds,0,,,,,
player,201709240clt,clt,BrisJa00,rec_td,0,,,,,
player,201709240clt,clt,BrisJa00,rec_long,0,,,,,
player,201709240clt,clt,BrisJa00,fumbles,0,,,,,
player,201709240clt,clt,BrisJa00,fumbles_lost,0,,,,,
player,201709240clt,clt,GoreFr00,pass_cmp,0,,,,,
player,201709240clt,clt,GoreFr00,pass_att,0,,,,,
player,201709240clt,clt,GoreFr00,pass_yds,0,,,,,
player,201709240clt,clt,GoreFr00,pass_td,0,,,,,
player,201709240clt,clt,GoreFr00,pass_int,0,,,,,
player,201709240clt,clt,GoreFr00,pass_sacked,0,,,,,
player,201709240clt,clt,GoreFr00,pass_sacked_yds,0,,,,,
player,201709240clt,clt,GoreFr00,pass_long,0,,,,,
player,201709240clt,clt,GoreFr00,pass_rating,,,,,,
player,201709240clt,clt,GoreFr00,rush_att,25,,,,,
player,201709240clt,clt,GoreFr00,rush_yds,57,,,,,
player,201709240clt,clt,GoreFr00,rush_td,1,,,,,
player,201709240clt,clt,GoreFr00,rush_long,21,,,,,
player,201709240clt,clt,GoreFr00,targets,1,,,,,
player,201709240clt,clt,GoreFr00,rec,1,,,,,
player,201709240clt,clt,GoreFr00,rec_yds,0,,,,,
player,201709240clt,clt,GoreFr00,rec_td,0,,,,,
player,201709240clt,clt,GoreFr00,rec_long,0,,,,,
player,201709240clt,clt,GoreFr00,fumbles,0,,,,,
player,201709240clt,clt,GoreFr00,fumbles_lost,0,,,,,
player,201709240clt,clt,TurbRo00,pass_cmp,0,,,,,
player,201709240clt,clt,TurbRo00,pass_att,0,,,,,
player,201709240clt,clt,TurbRo00,pass_yds,0,,,,,
player,201709240clt,clt,TurbRo00,pass_td,0,,,,,
player,201709240clt,clt,TurbRo00,pass_int,0,,,,,
player,201709240clt,clt,TurbRo00,pass_sacked,0,,,,,
player,201709240clt,clt,TurbRo00,pass_sacked_yds,0,,,,,
player,201709240clt,clt,TurbRo00,pass_long,0,,,,,
player,201709240clt,clt,TurbRo00,pass_rating,,,,,,
player,201709240clt,clt,TurbRo00,rush_att,5,,,,,
player,201709240clt,clt,TurbRo00,rush_yds,18,,,,,
player,201709240clt,clt,TurbRo00,rush_td,0,,,,,
player,201709240clt,clt,TurbRo00,rush_long,7,,,,,
player,201709240clt,clt,TurbRo00,targets,2,,,,,
player,201709240clt,clt,TurbRo00,rec,1,,,,,
player,201709240clt,clt,TurbRo00,rec_yds,2,,,,,
player,201709240clt,clt,TurbRo00,rec_td,0,,,,,
player,201709240clt,clt,TurbRo00,rec_long,2,,,,,
player,201709240clt,clt,TurbRo00,fumbles,0,,,,,
player,201709240clt,clt,TurbRo00,fumbles_lost,0,,,,,
player,201709240clt,clt,JoneMa04,pass_cmp,0,,,,,
player,201709240clt,clt,JoneMa04,pass_att,0,,,,,
player,201709240clt,clt,JoneMa04,pass_yds,0,,,,,
player,201709240clt,clt,JoneMa04,pass_td,0,,,,,
player,201709240clt,clt,JoneMa04,pass_int,0,,,,,
player,201709240clt,clt,JoneMa04,pass_sacked,0,,,,,
player,201709240clt,clt,JoneMa04,pass_sacked_yds,0,,,,,
player,201709240clt,clt,JoneMa04,pass_long,0,,,,,
player,201709240clt,clt,JoneMa04,pass_rating,,,,,,
player,201709240clt,clt,JoneMa04,rush_att,1,,,,,
player,201709240clt,clt,JoneMa04,rush_yds,3,,,,,
player,201709240clt,clt,JoneMa04,rush_td,0,,,,,
player,201709240clt,clt,JoneMa04,rush_long,3,,,,,
player,201709240clt,clt,JoneMa04,targets,0,,,,,
player,201709240clt,clt,JoneMa04,rec,0,,,,,
player,201709240clt,clt,JoneMa04,rec_yds,0,,,,,
player,201709240clt,clt,JoneMa04,rec_td,0,,,,,
player,201709240clt,clt,JoneMa04,rec_long,0,,,,,
player,201709240clt,clt,JoneMa04,fumbles,0,,,,,
player,201709240clt,clt,JoneMa04,fumbles_lost,0,,,,,
player,201709240clt,clt,HiltT.00,pass_cmp,0,,,,,
player,201709240clt,clt,HiltT.00,pass_att,0,,,,,
player,201709240clt,clt,HiltT.00,pass_yds,0,,,,,
player,201709240clt,clt,HiltT.00,pass_td,0,,,,,
player,201709240clt,clt,HiltT.00,pass_int,0,,,,,
player,201709240clt,clt,HiltT.00,pass_sacked,0,,,,,
player,201709240clt,clt,HiltT.00,pass_sacked_yds,0,,,,,
player,201709240clt,clt,HiltT.00,pass_long,0,,,,,
player,201709240clt,clt,HiltT.00,pass_rating,,,,,,
player,201709240clt,clt,HiltT.00,rush_att,0,,,,,
player,201709240clt,clt,HiltT.00,rush_yds,0,,,,,
player,201709240clt,clt,HiltT.00,rush_td,0,,,,,
player,201709240clt,clt,HiltT.00,rush_long,0,,,,,
player,201709240clt,clt,HiltT.00,targets,9,,,,,
player,201709240clt,clt,HiltT.00,rec,7,,,,,
player,201709240clt,clt,HiltT.00,rec_yds,153,,,,,
player,201709240clt,clt,HiltT.00,rec_td,1,,,,,
player,201709240clt,clt,HiltT.00,rec_long,61,,,,,
player,201709240clt,clt,HiltT.00,fumbles,0,,,,,
player,201709240clt,clt,HiltT.00,fumbles_lost,0,,,,,
player,201709240clt,clt,MoncDo00,pass_cmp,0,,,,,
player,201709240clt,clt,MoncDo00,pass_att,0,,,,,
player,201709240clt,clt,MoncDo00,pass_yds,0,,,,,
player,201709240clt,clt,MoncDo00,pass_td,0,,,,,
player,201709240clt,clt,MoncDo00,pass_int,0,,,,,
player,201709240clt,clt,MoncDo00,pass_sacked,0,,,,,
player,201709240clt,clt,MoncDo00,pass_sacked_yds,0,,,,,
player,201709240clt,clt,MoncDo00,pass_long,0,,,,,
player,201709240clt,clt,MoncDo00,pass_rating,,,,,,
player,201709240clt,clt,MoncDo00,rush_att,0,,,,,
player,201709240clt,clt,MoncDo00,rush_yds,0,,,,,
player,201709240clt,clt,MoncDo00,rush_td,0,,,,,
player,201709240clt,clt,MoncDo00,rush_long,0,,,,,
player,201709240clt,clt,MoncDo00,targets,3,,,,,
player,201709240clt,clt,MoncDo00,rec,2,,,,,
player,201709240clt,clt,MoncDo00,rec_yds,44,,,,,
player,201709240clt,clt,MoncDo00,rec_td,0,,,,,
player,201709240clt,clt,MoncDo00,rec_long,34,,,,,
player,201709240clt,clt,MoncDo00,fumbles,0,,,,,
player,201709240clt,clt,MoncDo00,fumbles_lost,0,,,,,
player,201709240clt,clt,BrayQu00,pass_cmp,0,,,,,
player,201709240clt,clt,BrayQu00,pass_att,0,,,,,
player,201709240clt,clt,BrayQu00,pass_yds,0,,,,,
player,201709240clt,clt,BrayQu00,pass_td,0,,,,,
player,201709240clt,clt,BrayQu00,pass_int,0,,,,,
