game,2017,7,20171022,201710220nyg,sea,"Seattle Seahawks",24,nyg,"New York Giants",7
team,201710220nyg,sea,First Downs,26,,,,,,
team,201710220nyg,nyg,First Downs,14,,,,,,
team,201710220nyg,sea,Rush-Yds-TDs,31-104-0,,,,,,
team,201710220nyg,nyg,Rush-Yds-TDs,17-46-0,,,,,,
team,201710220nyg,sea,Cmp-Att-Yd-TD-INT,27-39-334-3-0,,,,,,
team,201710220nyg,nyg,Cmp-Att-Yd-TD-INT,19-39-134-1-0,,,,,,
team,201710220nyg,sea,Sacked-Yards,1-13,,,,,,
team,201710220nyg,nyg,Sacked-Yards,1-3,,,,,,
team,201710220nyg,sea,Net Pass Yards,321,,,,,,
team,201710220nyg,nyg,Net Pass Yards,131,,,,,,
team,201710220nyg,sea,Total Yards,425,,,,,,
team,201710220nyg,nyg,Total Yards,177,,,,,,
team,201710220nyg,sea,Fumbles-Lost,1-1,,,,,,
team,201710220nyg,nyg,Fumbles-Lost,1-1,,,,,,
team,201710220nyg,sea,Turnovers,1,,,,,,
team,201710220nyg,nyg,Turnovers,1,,,,,,
team,201710220nyg,sea,Penalties-Yards,15-110,,,,,,
team,201710220nyg,nyg,Penalties-Yards,7-28,,,,,,
team,201710220nyg,sea,Third Down Conv.,6-13,,,,,,
team,201710220nyg,nyg,Third Down Conv.,2-12,,,,,,
team,201710220nyg,sea,Fourth Down Conv.,0-1,,,,,,
team,201710220nyg,nyg,Fourth Down Conv.,0-1,,,,,,
team,201710220nyg,sea,Time of Possession,35:26,,,,,,
team,201710220nyg,nyg,Time of Possession,24:34,,,,,,
player,201710220nyg,sea,WilsRu00,pass_cmp,27,,,,,
player,201710220nyg,sea,WilsRu00,pass_att,39,,,,,
player,201710220nyg,sea,WilsRu00,pass_yds,334,,,,,
player,201710220nyg,sea,WilsRu00,pass_td,3,,,,,
player,201710220nyg,sea,WilsRu00,pass_int,0,,,,,
player,201710220nyg,sea,WilsRu00,pass_sacked,1,,,,,
player,201710220nyg,sea,WilsRu00,pass_sacked_yds,13,,,,,
player,201710220nyg,sea,WilsRu00,pass_long,38,,,,,
player,201710220nyg,sea,WilsRu00,pass_rating,121.1,,,,,
player,201710220nyg,sea,WilsRu00,rush_att,2,,,,,
player,201710220nyg,sea,WilsRu00,rush_yds,10,,,,,
player,201710220nyg,sea,WilsRu00,rush_td,0,,,,,
player,201710220nyg,sea,WilsRu00,rush_long,7,,,,,
player,201710220nyg,sea,WilsRu00,targets,0,,,,,
player,201710220nyg,sea,WilsRu00,rec,0,,,,,
player,201710220nyg,sea,WilsRu00,rec_yds,0,,,,,
player,201710220nyg,sea,WilsRu00,rec_td,0,,,,,
player,201710220nyg,sea,WilsRu00,rec_long,0,,,,,
player,201710220nyg,sea,WilsRu00,fumbles,0,,,,,
player,201710220nyg,sea,WilsRu00,fumbles_lost,0,,,,,
player,201710220nyg,sea,RawlTh00,pass_cmp,0,,,,,
