game,2017,11,20171119,201711190gnb,rav,"Baltimore Ravens",23,gnb,"Green Bay Packers",0
player,201711190gnb,rav,CollAl00,rush_yds,49,,,,,
player,201711190gnb,rav,CollAl00,rush_td,1,,,,,
player,201711190gnb,rav,CollAl00,rush_long,9,,,,,
player,201711190gnb,rav,CollAl00,targets,7,,,,,
player,201711190gnb,rav,CollAl00,rec,4,,,,,
player,201711190gnb,rav,CollAl00,rec_yds,22,,,,,
player,201711190gnb,rav,CollAl00,rec_td,0,,,,,
player,201711190gnb,rav,CollAl00,rec_long,21,,,,,
player,201711190gnb,rav,CollAl00,fumbles,0,,,,,
player,201711190gnb,rav,CollAl00,fumbles_lost,0,,,,,
player,201711190gnb,rav,AlleJa01,pass_cmp,0,,,,,
player,201711190gnb,rav,AlleJa01,pass_att,0,,,,,
player,201711190gnb,rav,AlleJa01,pass_yds,0,,,,,
player,201711190gnb,rav,AlleJa01,pass_td,0,,,,,
player,201711190gnb,rav,AlleJa01,pass_int,0,,,,,
player,201711190gnb,rav,AlleJa01,pass_sacked,0,,,,,
player,201711190gnb,rav,AlleJa01,pass_sacked_yds,0,,,,,
player,201711190gnb,rav,AlleJa01,pass_long,0,,,,,
player,201711190gnb,rav,AlleJa01,pass_rating,,,,,,
player,201711190gnb,rav,AlleJa01,rush_att,3,,,,,
player,201711190gnb,rav,AlleJa01,rush_yds,8,,,,,
player,201711190gnb,rav,AlleJa01,rush_td,0,,,,,
player,201711190gnb,rav,AlleJa01,rush_long,5,,,,,
player,201711190gnb,rav,AlleJa01,targets,1,,,,,
player,201711190gnb,rav,AlleJa01,rec,1,,,,,
player,201711190gnb,rav,AlleJa01,rec_yds,9,,,,,
player,201711190gnb,rav,AlleJa01,rec_td,0,,,,,
player,201711190gnb,rav,AlleJa01,rec_long,9,,,,,
player,201711190gnb,rav,AlleJa01,fumbles,0,,,,,
player,201711190gnb,rav,AlleJa01,fumbles_lost,0,,,,,
player,201711190gnb,rav,WoodDa02,pass_cmp,0,,,,,
player,201711190gnb,rav,WoodDa02,pass_att,0,,,,,
player,201711190gnb,rav,WoodDa02,pass_yds,0,,,,,
player,201711190gnb,rav,WoodDa02,pass_td,0,,,,,
player,201711190gnb,rav,WoodDa02,pass_int,0,,,,,
player,201711190gnb,rav,WoodDa02,pass_sacked,0,,,,,
player,201711190gnb,rav,WoodDa02,pass_sacked_yds,0,,,,,
player,201711190gnb,rav,WoodDa02,pass_long,0,,,,,
player,201711190gnb,rav,WoodDa02,pass_rating,,,,,,
player,201711190gnb,rav,WoodDa02,rush_att,1,,,,,
player,201711190gnb,rav,WoodDa02,rush_yds,2,,,,,
player,201711190gnb,rav,WoodDa02,rush_td,0,,,,,
player,201711190gnb,rav,WoodDa02,rush_long,2,,,,,
player,201711190gnb,rav,WoodDa02,targets,6,,,,,
player,201711190gnb,rav,WoodDa02,rec,5,,,,,
player,201711190gnb,rav,WoodDa02,rec_yds,21,,,,,
player,201711190gnb,rav,WoodDa02,rec_td,0,,,,,
player,201711190gnb,rav,WoodDa02,rec_long,7,,,,,
player,201711190gnb,rav,WoodDa02,fumbles,0,,,,,
player,201711190gnb,rav,WoodDa02,fumbles_lost,0,,,,,
player,201711190gnb,rav,WallMi00,pass_cmp,0,,,,,
player,201711190gnb,rav,WallMi00,pass_att,0,,,,,
player,201711190gnb,rav,WallMi00,pass_yds,0,,,,,
player,201711190gnb,rav,WallMi00,pass_td,0,,,,,
player,201711190gnb,rav,WallMi00,pass_int,0,,,,,
player,201711190gnb,rav,WallMi00,pass_sacked,0,,,,,
player,201711190gnb,rav,WallMi00,pass_sacked_yds,0,,,,,
player,201711190gnb,rav,WallMi00,pass_long,0,,,,,
player,201711190gnb,rav,WallMi00,pass_rating,,,,,,
player,201711190gnb,rav,WallMi00,rush_att,0,,,,,
player,201711190gnb,rav,WallMi00,rush_yds,0,,,,,
player,201711190gnb,rav,WallMi00,rush_td,0,,,,,
player,201711190gnb,rav,WallMi00,rush_long,0,,,,,
player,201711190gnb,rav,WallMi00,targets,4,,,,,
player,201711190gnb,rav,WallMi00,rec,4,,,,,
player,201711190gnb,rav,WallMi00,rec_yds,56,,,,,
player,201711190gnb,rav,WallMi00,rec_td,1,,,,,
player,201711190gnb,rav,WallMi00,rec_long,21,,,,,
player,201711190gnb,rav,WallMi00,fumbles,0,,,,,
player,201711190gnb,rav,WallMi00,fumbles_lost,0,,,,,
player,201711190gnb,rav,MaclJe00,pass_cmp,0,,,,,
player,201711190gnb,rav,MaclJe00,pass_att,0,,,,,
player,201711190gnb,rav,MaclJe00,pass_yds,0,,,,,
player,201711190gnb,rav,MaclJe00,pass_td,0,,,,,
player,201711190gnb,rav,MaclJe00,pass_int,0,,,,,
player,201711190gnb,rav,MaclJe00,pass_sacked,0,,,,,
player,201711190gnb,rav,MaclJe00,pass_sacked_yds,0,,,,,
player,201711190gnb,rav,MaclJe00,pass_long,0,,,,,
player,201711190gnb,rav,MaclJe00,pass_rating,,,,,,
player,201711190gnb,rav,MaclJe00,rush_att,0,,,,,
player,201711190gnb,rav,MaclJe00,rush_yds,0,,,,,
player,201711190gnb,rav,MaclJe00,rush_td,0,,,,,
player,201711190gnb,rav,MaclJe00,rush_long,0,,,,,
player,201711190gnb,rav,MaclJe00,targets,5,,,,,
player,201711190gnb,rav,MaclJe00,rec,4,,,,,
player,201711190gnb,rav,MaclJe00,rec_yds,34,,,,,
player,201711190gnb,rav,MaclJe00,rec_td,0,,,,,
player,201711190gnb,rav,MaclJe00,rec_long,14,,,,,
player,201711190gnb,rav,MaclJe00,fumbles,0,,,,,
player,201711190gnb,rav,MaclJe00,fumbles_lost,0,,,,,
player,201711190gnb,rav,WatsBe00,pass_cmp,0,,,,,
player,201711190gnb,rav,WatsBe00,pass_att,0,,,,,
player,201711190gnb,rav,WatsBe00,pass_yds,0,,,,,
player,201711190gnb,rav,WatsBe00,pass_td,0,,,,,
