game,2017,16,20171224,201712240crd,nyg,"New York Giants",0,crd,"Arizona Cardinals",23
team,201712240crd,nyg,First Downs,12,,,,,,
team,201712240crd,crd,First Downs,19,,,,,,
team,201712240crd,nyg,Rush-Yds-TDs,20-43-0,,,,,,
team,201712240crd,crd,Rush-Yds-TDs,27-74-0,,,,,,
team,201712240crd,nyg,Cmp-Att-Yd-TD-INT,27-45-263-0-2,,,,,,
team,201712240crd,crd,Cmp-Att-Yd-TD-INT,21-35-230-2-2,,,,,,
team,201712240crd,nyg,Sacked-Yards,2-13,,,,,,
team,201712240crd,crd,Sacked-Yards,2-15,,,,,,
team,201712240crd,nyg,Net Pass Yards,250,,,,,,
team,201712240crd,crd,Net Pass Yards,215,,,,,,
team,201712240crd,nyg,Total Yards,293,,,,,,
team,201712240crd,crd,Total Yards,289,,,,,,
team,201712240crd,nyg,Fumbles-Lost,2-1,,,,,,
team,201712240crd,crd,Fumbles-Lost,1-0,,,,,,
team,201712240crd,nyg,Turnovers,3,,,,,,
team,201712240crd,crd,Turnovers,2,,,,,,
team,201712240crd,nyg,Penalties-Yards,10-101,,,,,,
team,201712240crd,crd,Penalties-Yards,6-45,,,,,,
team,201712240crd,nyg,Third Down Conv.,1-14,,,,,,
team,201712240crd,crd,Third Down Conv.,5-14,,,,,,
team,201712240crd,nyg,Fourth Down Conv.,1-4,,,,,,
team,201712240crd,crd,Fourth Down Conv.,0-0,,,,,,
team,201712240crd,nyg,Time of Possession,26:47,,,,,,
team,201712240crd,crd,Time of Possession,33:13,,,,,,
player,201712240crd,nyg,MannEl00,pass_cmp,27,,,,,
player,201712240crd,nyg,MannEl00,pass_att,45,,,,,
player,201712240crd,nyg,MannEl00,pass_yds,263,,,,,
player,201712240crd,nyg,MannEl00,pass_td,0,,,,,
player,201712240crd,nyg,MannEl00,pass_int,2,,,,,
player,201712240crd,nyg,MannEl00,pass_sacked,2,,,,,
player,201712240crd,nyg,MannEl00,pass_sacked_yds,13,,,,,
player,201712240crd,nyg,MannEl00,pass_long,27,,,,,
player,201712240crd,nyg,MannEl00,pass_rating,57.9,,,,,
player,201712240crd,nyg,MannEl00,rush_att,1,,,,,
player,201712240crd,nyg,MannEl00,rush_yds,5,,,,,
player,201712240crd,nyg,MannEl00,rush_td,0,,,,,
player,201712240crd,nyg,MannEl00,rush_long,5,,,,,
player,201712240crd,nyg,MannEl00,targets,0,,,,,
player,201712240crd,nyg,MannEl00,rec,0,,,,,
player,201712240crd,nyg,MannEl00,rec_yds,0,,,,,
player,201712240crd,nyg,MannEl00,rec_td,0,,,,,
player,201712240crd,nyg,MannEl00,rec_long,0,,,,,
player,201712240crd,nyg,MannEl00,fumbles,2,,,,,
player,201712240crd,nyg,MannEl00,fumbles_lost,1,,,,,
player,201712240crd,nyg,GallWa00,pass_cmp,0,,,,,
player,201712240crd,nyg,GallWa00,pass_att,0,,,,,
player,201712240crd,nyg,GallWa00,pass_yds,0,,,,,
player,201712240crd,nyg,GallWa00,pass_td,0,,,,,
player,201712240crd,nyg,GallWa00,pass_int,0,,,,,
player,201712240crd,nyg,GallWa00,pass_sacked,0,,,,,
player,201712240crd,nyg,GallWa00,pass_sacked_yds,0,,,,,
player,201712240crd,nyg,GallWa00,pass_long,0,,,,,
player,201712240crd,nyg,GallWa00,pass_rating,,,,,,
player,201712240crd,nyg,GallWa00,rush_att,10,,,,,
player,201712240crd,nyg,GallWa00,rush_yds,18,,,,,
player,201712240crd,nyg,GallWa00,rush_td,0,,,,,
player,201712240crd,nyg,GallWa00,rush_long,7,,,,,
player,201712240crd,nyg,GallWa00,targets,8,,,,,
player,201712240crd,nyg,GallWa00,rec,6,,,,,
player,201712240crd,nyg,GallWa00,rec_yds,44,,,,,
player,201712240crd,nyg,GallWa00,rec_td,0,,,,,
player,201712240crd,nyg,GallWa00,rec_long,11,,,,,
player,201712240crd,nyg,GallWa00,fumbles,0,,,,,
player,201712240crd,nyg,GallWa00,fumbles_lost,0,,,,,
player,201712240crd,nyg,PerkPa00,pass_cmp,0,,,,,
player,201712240crd,nyg,PerkPa00,pass_att,0,,,,,
player,201712240crd,nyg,PerkPa00,pass_yds,0,,,,,
player,201712240crd,nyg,PerkPa00,pass_td,0,,,,,
player,201712240crd,nyg,PerkPa00,pass_int,0,,,,,
player,201712240crd,nyg,PerkPa00,pass_sacked,0,,,,,
player,201712240crd,nyg,PerkPa00,pass_sacked_yds,0,,,,,
player,201712240crd,nyg,PerkPa00,pass_long,0,,,,,
player,201712240crd,nyg,PerkPa00,pass_rating,,,,,,
player,201712240crd,nyg,PerkPa00,rush_att,3,,,,,
player,201712240crd,nyg,PerkPa00,rush_yds,10,,,,,
player,201712240crd,nyg,PerkPa00,rush_td,0,,,,,
player,201712240crd,nyg,PerkPa00,rush_long,5,,,,,
player,201712240crd,nyg,PerkPa00,targets,0,,,,,
player,201712240crd,nyg,PerkPa00,rec,0,,,,,
player,201712240crd,nyg,PerkPa00,rec_yds,0,,,,,
player,201712240crd,nyg,PerkPa00,rec_td,0,,,,,
player,201712240crd,nyg,PerkPa00,rec_long,0,,,,,
player,201712240crd,nyg,PerkPa00,fumbles,0,,,,,
player,201712240crd,nyg,PerkPa00,fumbles_lost,0,,,,,
player,201712240crd,nyg,DarkOr00,pass_cmp,0,,,,,
player,201712240crd,nyg,DarkOr00,pass_att,0,,,,,
player,201712240crd,nyg,DarkOr00,pass_yds,0,,,,,
player,201712240crd,nyg,DarkOr00,pass_td,0,,,,,
player,201712240crd,nyg,DarkOr00,pass_int,0,,,,,
player,201712240crd,nyg,DarkOr00,pass_sacked,0,,,,,
player,201712240crd,nyg,DarkOr00,pass_sacked_yds,0,,,,,
player,201712240crd,nyg,DarkOr00,pass_long,0,,,,,
player,201712240crd,nyg,DarkOr00,pass_rating,,,,,,
player,201712240crd,nyg,DarkOr00,rush_att,6,,,,,
player,201712240crd,nyg,DarkOr00,rush_yds,10,,,,,
player,201712240crd,nyg,DarkOr00,rush_td,0,,,,,
player,201712240crd,nyg,DarkOr00,rush_long,5,,,,,
player,201712240crd,nyg,DarkOr00,targets,0,,,,,
player,201712240crd,nyg,DarkOr00,rec,0,,,,,
player,201712240crd,nyg,DarkOr00,rec_yds,0,,,,,
player,201712240crd,nyg,DarkOr00,rec_td,0,,,,,
player,201712240crd,nyg,DarkOr00,rec_long,0,,,,,
player,201712240crd,nyg,DarkOr00,fumbles,0,,,,,
player,201712240crd,nyg,DarkOr00,fumbles_lost,0,,,,,
player,201712240crd,nyg,ElliRh00,pass_cmp,0,,,,,
player,201712240crd,nyg,ElliRh00,pass_att,0,,,,,
player,201712240crd,nyg,ElliRh00,pass_yds,0,,,,,
player,201712240crd,nyg,ElliRh00,pass_td,0,,,,,
player,201712240crd,nyg,ElliRh00,pass_int,0,,,,,
player,201712240crd,nyg,ElliRh00,pass_sacked,0,,,,,
player,201712240crd,nyg,ElliRh00,pass_sacked_yds,0,,,,,
player,201712240crd,nyg,ElliRh00,pass_long,0,,,,,
player,201712240crd,nyg,ElliRh00,pass_rating,,,,,,
player,201712240crd,nyg,ElliRh00,rush_att,0,,,,,
player,201712240crd,nyg,ElliRh00,rush_yds,0,,,,,
player,201712240crd,nyg,ElliRh00,rush_td,0,,,,,
player,201712240crd,nyg,ElliRh00,rush_long,0,,,,,
player,201712240crd,nyg,ElliRh00,targets,7,,,,,
player,201712240crd,nyg,ElliRh00,rec,4,,,,,
player,201712240crd,nyg,ElliRh00,rec_yds,60,,,,,
player,201712240crd,nyg,ElliRh00,rec_td,0,,,,,
player,201712240crd,nyg,ElliRh00,rec_long,27,,,,,
player,201712240crd,nyg,ElliRh00,fumbles,0,,,,,
player,201712240crd,nyg,ElliRh00,fumbles_lost,0,,,,,
player,201712240crd,nyg,ShepSt00,pass_cmp,0,,,,,
player,201712240crd,nyg,ShepSt00,pass_att,0,,,,,
player,201712240crd,nyg,ShepSt00,pass_yds,0,,,,,
player,201712240crd,nyg,ShepSt00,pass_td,0,,,,,
player,201712240crd,nyg,ShepSt00,pass_int,0,,,,,
player,201712240crd,nyg,ShepSt00,pass_sacked,0,,,,,
player,201712240crd,nyg,ShepSt00,pass_sacked_yds,0,,,,,
player,201712240crd,nyg,ShepSt00,pass_long,0,,,,,
player,201712240crd,nyg,ShepSt00,pass_rating,,,,,,
player,201712240crd,nyg,ShepSt00,rush_att,0,,,,,
player,201712240crd,nyg,ShepSt00,rush_yds,0,,,,,
player,201712240crd,nyg,ShepSt00,rush_td,0,,,,,
player,201712240crd,nyg,ShepSt00,rush_long,0,,,,,
player,201712240crd,nyg,ShepSt00,targets,8,,,,,
player,201712240crd,nyg,ShepSt00,rec,5,,,,,
player,201712240crd,nyg,ShepSt00,rec_yds,45,,,,,
player,201712240crd,nyg,ShepSt00,rec_td,0,,,,,
player,201712240crd,nyg,ShepSt00,rec_long,10,,,,,
player,201712240crd,nyg,ShepSt00,fumbles,0,,,,,
player,201712240crd,nyg,ShepSt00,fumbles_lost,0,,,,,
player,201712240crd,nyg,LewiRo03,pass_cmp,0,,,,,
player,201712240crd,nyg,LewiRo03,pass_att,0,,,,,
player,201712240crd,nyg,LewiRo03,pass_yds,0,,,,,
player,201712240crd,nyg,LewiRo03,pass_td,0,,,,,
player,201712240crd,nyg,LewiRo03,pass_int,0,,,,,
player,201712240crd,nyg,LewiRo03,pass_sacked,0,,,,,
player,201712240crd,nyg,LewiRo03,pass_sacked_yds,0,,,,,
player,201712240crd,nyg,LewiRo03,pass_long,0,,,,,
player,201712240crd,nyg,LewiRo03,pass_rating,,,,,,
player,201712240crd,nyg,LewiRo03,rush_att,0,,,,,
player,201712240crd,nyg,LewiRo03,rush_yds,0,,,,,
player,201712240crd,nyg,LewiRo03,rush_td,0,,,,,
player,201712240crd,nyg,LewiRo03,rush_long,0,,,,,
player,201712240crd,nyg,LewiRo03,targets,11,,,,,
player,201712240crd,nyg,LewiRo03,rec,4,,,,,
player,201712240crd,nyg,LewiRo03,rec_yds,40,,,,,
player,201712240crd,nyg,LewiRo03,rec_td,0,,,,,
player,201712240crd,nyg,LewiRo03,rec_long,21,,,,,
player,201712240crd,nyg,LewiRo03,fumbles,0,,,,,
player,201712240crd,nyg,LewiRo03,fumbles_lost,0,,,,,
player,201712240crd,nyg,AdamJe01,pass_cmp,0,,,,,
player,201712240crd,nyg,AdamJe01,pass_att,0,,,,,
player,201712240crd,nyg,AdamJe01,pass_yds,0,,,,,
player,201712240crd,nyg,AdamJe01,pass_td,0,,,,,
player,201712240crd,nyg,AdamJe01,pass_int,0,,,,,
player,201712240crd,nyg,AdamJe01,pass_sacked,0,,,,,
player,201712240crd,nyg,AdamJe01,pass_sacked_yds,0,,,,,
player,201712240crd,nyg,AdamJe01,pass_long,0,,,,,
player,201712240crd,nyg,AdamJe01,pass_rating,,,,,,
player,201712240crd,nyg,AdamJe01,rush_att,0,,,,,
player,201712240crd,nyg,AdamJe01,rush_yds,0,,,,,
player,201712240crd,nyg,AdamJe01,rush_td,0,,,,,
player,201712240crd,nyg,AdamJe01,rush_long,0,,,,,
player,201712240crd,nyg,AdamJe01,targets,4,,,,,
player,201712240crd,nyg,AdamJe01,rec,4,,,,,
player,201712240crd,nyg,AdamJe01,rec_yds,31,,,,,
player,201712240crd,nyg,AdamJe01,rec_td,0,,,,,
player,201712240crd,nyg,AdamJe01,rec_long,11,,,,,
player,201712240crd,nyg,AdamJe01,fumbles,0,,,,,
