game,2017,9,20171105,201711050sea,was,"Washington Redskins",17,sea,"Seattle Seahawks",14
team,201711050sea,was,First Downs,16,,,,,,
team,201711050sea,sea,First Downs,22,,,,,,
team,201711050sea,was,Rush-Yds-TDs,23-51-2,,,,,,
team,201711050sea,sea,Rush-Yds-TDs,28-148-0,,,,,,
team,201711050sea,was,Cmp-Att-Yd-TD-INT,21-31-247-0-0,,,,,,
team,201711050sea,sea,Cmp-Att-Yd-TD-INT,24-45-297-2-2,,,,,,
team,201711050sea,was,Sacked-Yards,6-54,,,,,,
team,201711050sea,sea,Sacked-Yards,2-8,,,,,,
team,201711050sea,was,Net Pass Yards,193,,,,,,
team,201711050sea,sea,Net Pass Yards,289,,,,,,
team,201711050sea,was,Total Yards,244,,,,,,
team,201711050sea,sea,Total Yards,437,,,,,,
team,201711050sea,was,Fumbles-Lost,2-1,,,,,,
team,201711050sea,sea,Fumbles-Lost,1-0,,,,,,
team,201711050sea,was,Turnovers,1,,,,,,
team,201711050sea,sea,Turnovers,2,,,,,,
team,201711050sea,was,Penalties-Yards,7-62,,,,,,
team,201711050sea,sea,Penalties-Yards,16-138,,,,,,
team,201711050sea,was,Third Down Conv.,4-13,,,,,,
team,201711050sea,sea,Third Down Conv.,5-14,,,,,,
team,201711050sea,was,Fourth Down Conv.,0-0,,,,,,
team,201711050sea,sea,Fourth Down Conv.,0-0,,,,,,
team,201711050sea,was,Time of Possession,27:41,,,,,,
team,201711050sea,sea,Time of Possession,32:19,,,,,,
player,201711050sea,was,CousKi00,pass_cmp,21,,,,,
player,201711050sea,was,CousKi00,pass_att,31,,,,,
player,201711050sea,was,CousKi00,pass_yds,247,,,,,
player,201711050sea,was,CousKi00,pass_td,0,,,,,
player,201711050sea,was,CousKi00,pass_int,0,,,,,
player,201711050sea,was,CousKi00,pass_sacked,6,,,,,
player,201711050sea,was,CousKi00,pass_sacked_yds,54,,,,,
player,201711050sea,was,CousKi00,pass_long,38,,,,,
player,201711050sea,was,CousKi00,pass_rating,91.7,,,,,
player,201711050sea,was,CousKi00,rush_att,3,,,,,
player,201711050sea,was,CousKi00,rush_yds,4,,,,,
player,201711050sea,was,CousKi00,rush_td,0,,,,,
player,201711050sea,was,CousKi00,rush_long,4,,,,,
player,201711050sea,was,CousKi00,targets,0,,,,,
player,201711050sea,was,CousKi00,rec,0,,,,,
player,201711050sea,was,CousKi00,rec_yds,0,,,,,
player,201711050sea,was,CousKi00,rec_td,0,,,,,
player,201711050sea,was,CousKi00,rec_long,0,,,,,
player,201711050sea,was,CousKi00,fumbles,2,,,,,
player,201711050sea,was,CousKi00,fumbles_lost,1,,,,,
player,201711050sea,was,ThomCh03,pass_cmp,0,,,,,
player,201711050sea,was,ThomCh03,pass_att,0,,,,,
player,201711050sea,was,ThomCh03,pass_yds,0,,,,,
player,201711050sea,was,ThomCh03,pass_td,0,,,,,
player,201711050sea,was,ThomCh03,pass_int,0,,,,,
player,201711050sea,was,ThomCh03,pass_sacked,0,,,,,
player,201711050sea,was,ThomCh03,pass_sacked_yds,0,,,,,
player,201711050sea,was,ThomCh03,pass_long,0,,,,,
player,201711050sea,was,ThomCh03,pass_rating,,,,,,
player,201711050sea,was,ThomCh03,rush_att,4,,,,,
player,201711050sea,was,ThomCh03,rush_yds,20,,,,,
player,201711050sea,was,ThomCh03,rush_td,0,,,,,
player,201711050sea,was,ThomCh03,rush_long,11,,,,,
player,201711050sea,was,ThomCh03,targets,6,,,,,
player,201711050sea,was,ThomCh03,rec,4,,,,,
player,201711050sea,was,ThomCh03,rec_yds,11,,,,,
player,201711050sea,was,ThomCh03,rec_td,0,,,,,
player,201711050sea,was,ThomCh03,rec_long,6,,,,,
player,201711050sea,was,ThomCh03,fumbles,0,,,,,
player,201711050sea,was,ThomCh03,fumbles_lost,0,,,,,
player,201711050sea,was,KellRo00,pass_cmp,0,,,,,
player,201711050sea,was,KellRo00,pass_att,0,,,,,
player,201711050sea,was,KellRo00,pass_yds,0,,,,,
player,201711050sea,was,KellRo00,pass_td,0,,,,,
player,201711050sea,was,KellRo00,pass_int,0,,,,,
player,201711050sea,was,KellRo00,pass_sacked,0,,,,,
player,201711050sea,was,KellRo00,pass_sacked_yds,0,,,,,
player,201711050sea,was,KellRo00,pass_long,0,,,,,
player,201711050sea,was,KellRo00,pass_rating,,,,,,
player,201711050sea,was,KellRo00,rush_att,14,,,,,
player,201711050sea,was,KellRo00,rush_yds,18,,,,,
player,201711050sea,was,KellRo00,rush_td,2,,,,,
player,201711050sea,was,KellRo00,rush_long,5,,,,,
player,201711050sea,was,KellRo00,targets,0,,,,,
player,201711050sea,was,KellRo00,rec,0,,,,,
player,201711050sea,was,KellRo00,rec_yds,0,,,,,
player,201711050sea,was,KellRo00,rec_td,0,,,,,
player,201711050sea,was,KellRo00,rec_long,0,,,,,
player,201711050sea,was,KellRo00,fumbles,0,,,,,
player,201711050sea,was,KellRo00,fumbles_lost,0,,,,,
player,201711050sea,was,PeriSa00,pass_cmp,0,,,,,
player,201711050sea,was,PeriSa00,pass_att,0,,,,,
player,201711050sea,was,PeriSa00,pass_yds,0,,,,,
player,201711050sea,was,PeriSa00,pass_td,0,,,,,
player,201711050sea,was,PeriSa00,pass_int,0,,,,,
player,201711050sea,was,PeriSa00,pass_sacked,0,,,,,
player,201711050sea,was,PeriSa00,pass_sacked_yds,0,,,,,
player,201711050sea,was,PeriSa00,pass_long,0,,,,,
player,201711050sea,was,PeriSa00,pass_rating,,,,,,
player,201711050sea,was,PeriSa00,rush_att,2,,,,,
player,201711050sea,was,PeriSa00,rush_yds,9,,,,,
player,201711050sea,was,PeriSa00,rush_td,0,,,,,
player,201711050sea,was,PeriSa00,rush_long,8,,,,,
player,201711050sea,was,PeriSa00,targets,0,,,,,
player,201711050sea,was,PeriSa00,rec,0,,,,,
player,201711050sea,was,PeriSa00,rec_yds,0,,,,,
player,201711050sea,was,PeriSa00,rec_td,0,,,,,
player,201711050sea,was,PeriSa00,rec_long,0,,,,,
