game,2017,4,20171002,201710020kan,was,"Washington Redskins",20,kan,"Kansas City Chiefs",29
team,201710020kan,was,First Downs,15,,,,,,
team,201710020kan,kan,First Downs,29,,,,,,
team,201710020kan,was,Rush-Yds-TDs,26-111-0,,,,,,
team,201710020kan,kan,Rush-Yds-TDs,31-168-1,,,,,,
team,201710020kan,was,Cmp-Att-Yd-TD-INT,14-24-220-2-0,,,,,,
team,201710020kan,kan,Cmp-Att-Yd-TD-INT,27-37-293-1-0,,,,,,
team,201710020kan,was,Sacked-Yards,0-0,,,,,,
team,201710020kan,kan,Sacked-Yards,4-32,,,,,,
team,201710020kan,was,Net Pass Yards,220,,,,,,
team,201710020kan,kan,Net Pass Yards,261,,,,,,
team,201710020kan,was,Total Yards,331,,,,,,
team,201710020kan,kan,Total Yards,429,,,,,,
team,201710020kan,was,Fumbles-Lost,3-1,,,,,,
team,201710020kan,kan,Fumbles-Lost,2-0,,,,,,
team,201710020kan,was,Turnovers,1,,,,,,
team,201710020kan,kan,Turnovers,0,,,,,,
team,201710020kan,was,Penalties-Yards,7-44,,,,,,
team,201710020kan,kan,Penalties-Yards,3-15,,,,,,
team,201710020kan,was,Third Down Conv.,4-11,,,,,,
team,201710020kan,kan,Third Down Conv.,8-13,,,,,,
team,201710020kan,was,Fourth Down Conv.,1-1,,,,,,
team,201710020kan,kan,Fourth Down Conv.,0-0,,,,,,
team,201710020kan,was,Time of Possession,22:51,,,,,,
team,201710020kan,kan,Time of Possession,37:09,,,,,,
player,201710020kan,was,CousKi00,pass_cmp,14,,,,,
player,201710020kan,was,CousKi00,pass_att,24,,,,,
player,201710020kan,was,CousKi00,pass_yds,220,,,,,
player,201710020kan,was,CousKi00,pass_td,2,,,,,
player,201710020kan,was,CousKi00,pass_int,0,,,,,
player,201710020kan,was,CousKi00,pass_sacked,0,,,,,
player,201710020kan,was,CousKi00,pass_sacked_yds,0,,,,,
player,201710020kan,was,CousKi00,pass_long,69,,,,,
player,201710020kan,was,CousKi00,pass_rating,116.7,,,,,
player,201710020kan,was,CousKi00,rush_att,7,,,,,
player,201710020kan,was,CousKi00,rush_yds,38,,,,,
player,201710020kan,was,CousKi00,rush_td,0,,,,,
player,201710020kan,was,CousKi00,rush_long,15,,,,,
player,201710020kan,was,CousKi00,targets,0,,,,,
player,201710020kan,was,CousKi00,rec,0,,,,,
player,201710020kan,was,CousKi00,rec_yds,0,,,,,
player,201710020kan,was,CousKi00,rec_td,0,,,,,
player,201710020kan,was,CousKi00,rec_long,0,,,,,
player,201710020kan,was,CousKi00,fumbles,1,,,,,
player,201710020kan,was,CousKi00,fumbles_lost,0,,,,,
player,201710020kan,was,PeriSa00,pass_cmp,0,,,,,
player,201710020kan,was,PeriSa00,pass_att,0,,,,,
