game,2017,14,20171210,201712100tam,det,"Detroit Lions",24,tam,"Tampa Bay Buccaneers",21
team,201712100tam,det,First Downs,21,,,,,,
team,201712100tam,tam,First Downs,28,,,,,,
team,201712100tam,det,Rush-Yds-TDs,18-53-2,,,,,,
team,201712100tam,tam,Rush-Yds-TDs,28-133-1,,,,,,
team,201712100tam,det,Cmp-Att-Yd-TD-INT,36-44-381-1-2,,,,,,
team,201712100tam,tam,Cmp-Att-Yd-TD-INT,26-38-285-2-2,,,,,,
team,201712100tam,det,Sacked-Yards,0-0,,,,,,
team,201712100tam,tam,Sacked-Yards,3-18,,,,,,
team,201712100tam,det,Net Pass Yards,381,,,,,,
team,201712100tam,tam,Net Pass Yards,267,,,,,,
team,201712100tam,det,Total Yards,434,,,,,,
team,201712100tam,tam,Total Yards,400,,,,,,
team,201712100tam,det,Fumbles-Lost,2-1,,,,,,
team,201712100tam,tam,Fumbles-Lost,3-3,,,,,,
team,201712100tam,det,Turnovers,3,,,,,,
team,201712100tam,tam,Turnovers,5,,,,,,
team,201712100tam,det,Penalties-Yards,8-105,,,,,,
team,201712100tam,tam,Penalties-Yards,7-65,,,,,,
team,201712100tam,det,Third Down Conv.,5-11,,,,,,
team,201712100tam,tam,Third Down Conv.,4-8,,,,,,
team,201712100tam,det,Fourth Down Conv.,0-0,,,,,,
team,201712100tam,tam,Fourth Down Conv.,0-0,,,,,,
team,201712100tam,det,Time of Possession,29:47,,,,,,
team,201712100tam,tam,Time of Possession,30:13,,,,,,
player,201712100tam,det,StafMa00,pass_cmp,36,,,,,
player,201712100tam,det,StafMa00,pass_att,44,,,,,
player,201712100tam,det,StafMa00,pass_yds,381,,,,,
player,201712100tam,det,StafMa00,pass_td,1,,,,,
player,201712100tam,det,StafMa00,pass_int,2,,,,,
player,201712100tam,det,StafMa00,pass_sacked,0,,,,,
player,201712100tam,det,StafMa00,pass_sacked_yds,0,,,,,
player,201712100tam,det,StafMa00,pass_long,38,,,,,
player,201712100tam,det,StafMa00,pass_rating,91.4,,,,,
player,201712100tam,det,StafMa00,rush_att,0,,,,,
player,201712100tam,det,StafMa00,rush_yds,0,,,,,
player,201712100tam,det,StafMa00,rush_td,0,,,,,
player,201712100tam,det,StafMa00,rush_long,0,,,,,
player,201712100tam,det,StafMa00,targets,0,,,,,
player,201712100tam,det,StafMa00,rec,0,,,,,
player,201712100tam,det,StafMa00,rec_yds,0,,,,,
player,201712100tam,det,StafMa00,rec_td,0,,,,,
player,201712100tam,det,StafMa00,rec_long,0,,,,,
player,201712100tam,det,StafMa00,fumbles,0,,,,,
player,201712100tam,det,StafMa00,fumbles_lost,0,,,,,
player,201712100tam,det,RiddTh00,pass_cmp,0,,,,,
player,201712100tam,det,RiddTh00,pass_att,0,,,,,
player,201712100tam,det,RiddTh00,pass_yds,0,,,,,
player,201712100tam,det,RiddTh00,pass_td,0,,,,,
player,201712100tam,det,RiddTh00,pass_int,0,,,,,
player,201712100tam,det,RiddTh00,pass_sacked,0,,,,,
player,201712100tam,det,RiddTh00,pass_sacked_yds,0,,,,,
player,201712100tam,det,RiddTh00,pass_long,0,,,,,
