game,2017,1,20170910,201709100chi,atl,"Atlanta Falcons",23,chi,"Chicago Bears",17
team,201709100chi,atl,First Downs,18,,,,,,
team,201709100chi,chi,First Downs,20,,,,,,
team,201709100chi,atl,Rush-Yds-TDs,23-64-1,,,,,,
team,201709100chi,chi,Rush-Yds-TDs,19-125-1,,,,,,
team,201709100chi,atl,Cmp-Att-Yd-TD-INT,21-30-321-1-0,,,,,,
team,201709100chi,chi,Cmp-Att-Yd-TD-INT,26-40-213-1-0,,,,,,
team,201709100chi,atl,Sacked-Yards,2-13,,,,,,
team,201709100chi,chi,Sacked-Yards,4-37,,,,,,
team,201709100chi,atl,Net Pass Yards,308,,,,,,
team,201709100chi,chi,Net Pass Yards,176,,,,,,
team,201709100chi,atl,Total Yards,372,,,,,,
team,201709100chi,chi,Total Yards,301,,,,,,
team,201709100chi,atl,Fumbles-Lost,0-0,,,,,,
team,201709100chi,chi,Fumbles-Lost,2-0,,,,,,
team,201709100chi,atl,Turnovers,0,,,,,,
team,201709100chi,chi,Turnovers,0,,,,,,
team,201709100chi,atl,Penalties-Yards,8-73,,,,,,
team,201709100chi,chi,Penalties-Yards,4-40,,,,,,
team,201709100chi,atl,Third Down Conv.,5-11,,,,,,
team,201709100chi,chi,Third Down Conv.,5-13,,,,,,
team,201709100chi,atl,Fourth Down Conv.,0-0,,,,,,
team,201709100chi,chi,Fourth Down Conv.,1-2,,,,,,
team,201709100chi,atl,Time of Possession,30:34,,,,,,
team,201709100chi,chi,Time of Possession,29:26,,,,,,
player,201709100chi,atl,RyanMa00,pass_cmp,21,,,,,
player,201709100chi,atl,RyanMa00,pass_att,30,,,,,
player,201709100chi,atl,RyanMa00,pass_yds,321,,,,,
player,201709100chi,atl,RyanMa00,pass_td,1,,,,,
player,201709100chi,atl,RyanMa00,pass_int,0,,,,,
player,201709100chi,atl,RyanMa00,pass_sacked,2,,,,,
player,201709100chi,atl,RyanMa00,pass_sacked_yds,13,,,,,
player,201709100chi,atl,RyanMa00,pass_long,88,,,,,
player,201709100chi,atl,RyanMa00,pass_rating,116.1,,,,,
player,201709100chi,atl,RyanMa00,rush_att,3,,,,,
player,201709100chi,atl,RyanMa00,rush_yds,11,,,,,
player,201709100chi,atl,RyanMa00,rush_td,0,,,,,
player,201709100chi,atl,RyanMa00,rush_long,13,,,,,
player,201709100chi,atl,RyanMa00,targets,0,,,,,
player,201709100chi,atl,RyanMa00,rec,0,,,,,
player,201709100chi,atl,RyanMa00,rec_yds,0,,,,,
player,201709100chi,atl,RyanMa00,rec_td,0,,,,,
player,201709100chi,atl,RyanMa00,rec_long,0,,,,,
player,201709100chi,atl,RyanMa00,fumbles,0,,,,,
player,201709100chi,atl,RyanMa00,fumbles_lost,0,,,,,
player,201709100chi,atl,FreeDe00,pass_cmp,0,,,,,
player,201709100chi,atl,FreeDe00,pass_att,0,,,,,
player,201709100chi,atl,FreeDe00,pass_yds,0,,,,,
player,201709100chi,atl,FreeDe00,pass_td,0,,,,,
player,201709100chi,atl,FreeDe00,pass_int,0,,,,,
player,201709100chi,atl,FreeDe00,pass_sacked,0,,,,,
player,201709100chi,atl,FreeDe00,pass_sacked_yds,0,,,,,
player,201709100chi,atl,FreeDe00,pass_long,0,,,,,
player,201709100chi,atl,FreeDe00,pass_rating,,,,,,
player,201709100chi,atl,FreeDe00,rush_att,12,,,,,
player,201709100chi,atl,FreeDe00,rush_yds,37,,,,,
player,201709100chi,atl,FreeDe00,rush_td,1,,,,,
player,201709100chi,atl,FreeDe00,rush_long,6,,,,,
player,201709100chi,atl,FreeDe00,targets,2,,,,,
player,201709100chi,atl,FreeDe00,rec,2,,,,,
player,201709100chi,atl,FreeDe00,rec_yds,2,,,,,
player,201709100chi,atl,FreeDe00,rec_td,0,,,,,
player,201709100chi,atl,FreeDe00,rec_long,2,,,,,
player,201709100chi,atl,FreeDe00,fumbles,0,,,,,
player,201709100chi,atl,FreeDe00,fumbles_lost,0,,,,,
player,201709100chi,atl,ColeTe01,pass_cmp,0,,,,,
player,201709100chi,atl,ColeTe01,pass_att,0,,,,,
player,201709100chi,atl,ColeTe01,pass_yds,0,,,,,
player,201709100chi,atl,ColeTe01,pass_td,0,,,,,
player,201709100chi,atl,ColeTe01,pass_int,0,,,,,
player,201709100chi,atl,ColeTe01,pass_sacked,0,,,,,
player,201709100chi,atl,ColeTe01,pass_sacked_yds,0,,,,,
player,201709100chi,atl,ColeTe01,pass_long,0,,,,,
player,201709100chi,atl,ColeTe01,pass_rating,,,,,,
player,201709100chi,atl,ColeTe01,rush_att,8,,,,,
player,201709100chi,atl,ColeTe01,rush_yds,16,,,,,
player,201709100chi,atl,ColeTe01,rush_td,0,,,,,
player,201709100chi,atl,ColeTe01,rush_long,7,,,,,
player,201709100chi,atl,ColeTe01,targets,6,,,,,
player,201709100chi,atl,ColeTe01,rec,4,,,,,
player,201709100chi,atl,ColeTe01,rec_yds,42,,,,,
player,201709100chi,atl,ColeTe01,rec_td,0,,,,,
player,201709100chi,atl,ColeTe01,rec_long,20,,,,,
player,201709100chi,atl,ColeTe01,fumbles,0,,,,,
player,201709100chi,atl,ColeTe01,fumbles_lost,0,,,,,
player,201709100chi,atl,HoopAu00,pass_cmp,0,,,,,
player,201709100chi,atl,HoopAu00,pass_att,0,,,,,
player,201709100chi,atl,HoopAu00,pass_yds,0,,,,,
player,201709100chi,atl,HoopAu00,pass_td,0,,,,,
player,201709100chi,atl,HoopAu00,pass_int,0,,,,,
player,201709100chi,atl,HoopAu00,pass_sacked,0,,,,,
player,201709100chi,atl,HoopAu00,pass_sacked_yds,0,,,,,
player,201709100chi,atl,HoopAu00,pass_long,0,,,,,
player,201709100chi,atl,HoopAu00,pass_rating,,,,,,
player,201709100chi,atl,HoopAu00,rush_att,0,,,,,
player,201709100chi,atl,HoopAu00,rush_yds,0,,,,,
player,201709100chi,atl,HoopAu00,rush_td,0,,,,,
player,201709100chi,atl,HoopAu00,rush_long,0,,,,,
player,201709100chi,atl,HoopAu00,targets,2,,,,,
player,201709100chi,atl,HoopAu00,rec,2,,,,,
player,201709100chi,atl,HoopAu00,rec_yds,128,,,,,
player,201709100chi,atl,HoopAu00,rec_td,1,,,,,
player,201709100chi,atl,HoopAu00,rec_long,88,,,,,
player,201709100chi,atl,HoopAu00,fumbles,0,,,,,
player,201709100chi,atl,HoopAu00,fumbles_lost,0,,,,,
player,201709100chi,atl,JoneJu02,pass_cmp,0,,,,,
player,201709100chi,atl,JoneJu02,pass_att,0,,,,,
player,201709100chi,atl,JoneJu02,pass_yds,0,,,,,
player,201709100chi,atl,JoneJu02,pass_td,0,,,,,
player,201709100chi,atl,JoneJu02,pass_int,0,,,,,
player,201709100chi,atl,JoneJu02,pass_sacked,0,,,,,
player,201709100chi,atl,JoneJu02,pass_sacked_yds,0,,,,,
player,201709100chi,atl,JoneJu02,pass_long,0,,,,,
player,201709100chi,atl,JoneJu02,pass_rating,,,,,,
player,201709100chi,atl,JoneJu02,rush_att,0,,,,,
player,201709100chi,atl,JoneJu02,rush_yds,0,,,,,
player,201709100chi,atl,JoneJu02,rush_td,0,,,,,
player,201709100chi,atl,JoneJu02,rush_long,0,,,,,
player,201709100chi,atl,JoneJu02,targets,5,,,,,
player,201709100chi,atl,JoneJu02,rec,4,,,,,
player,201709100chi,atl,JoneJu02,rec_yds,66,,,,,
player,201709100chi,atl,JoneJu02,rec_td,0,,,,,
player,201709100chi,atl,JoneJu02,rec_long,25,,,,,
player,201709100chi,atl,JoneJu02,fumbles,0,,,,,
player,201709100chi,atl,JoneJu02,fumbles_lost,0,,,,,
