game,2017,15,20171217,201712170sfo,oti,"Tennessee Titans",23,sfo,"San Francisco 49ers",25
team,201712170sfo,oti,First Downs,23,,,,,,
team,201712170sfo,sfo,First Downs,23,,,,,,
team,201712170sfo,oti,Rush-Yds-TDs,28-90-0,,,,,,
team,201712170sfo,sfo,Rush-Yds-TDs,22-51-0,,,,,,
team,201712170sfo,oti,Cmp-Att-Yd-TD-INT,23-33-241-2-0,,,,,,
team,201712170sfo,sfo,Cmp-Att-Yd-TD-INT,31-43-381-1-0,,,,,,
team,201712170sfo,oti,Sacked-Yards,1-3,,,,,,
team,201712170sfo,sfo,Sacked-Yards,3-18,,,,,,
team,201712170sfo,oti,Net Pass Yards,238,,,,,,
team,201712170sfo,sfo,Net Pass Yards,363,,,,,,
team,201712170sfo,oti,Total Yards,328,,,,,,
team,201712170sfo,sfo,Total Yards,414,,,,,,
team,201712170sfo,oti,Fumbles-Lost,1-1,,,,,,
team,201712170sfo,sfo,Fumbles-Lost,0-0,,,,,,
team,201712170sfo,oti,Turnovers,1,,,,,,
team,201712170sfo,sfo,Turnovers,0,,,,,,
team,201712170sfo,oti,Penalties-Yards,3-22,,,,,,
team,201712170sfo,sfo,Penalties-Yards,7-70,,,,,,
team,201712170sfo,oti,Third Down Conv.,6-12,,,,,,
team,201712170sfo,sfo,Third Down Conv.,7-14,,,,,,
team,201712170sfo,oti,Fourth Down Conv.,1-1,,,,,,
team,201712170sfo,sfo,Fourth Down Conv.,0-0,,,,,,
team,201712170sfo,oti,Time of Possession,27:25,,,,,,
team,201712170sfo,sfo,Time of Possession,32:35,,,,,,
player,201712170sfo,oti,MariMa01,pass_cmp,23,,,,,
player,201712170sfo,oti,MariMa01,pass_att,33,,,,,
player,201712170sfo,oti,MariMa01,pass_yds,241,,,,,
player,201712170sfo,oti,MariMa01,pass_td,2,,,,,
player,201712170sfo,oti,MariMa01,pass_int,0,,,,,
player,201712170sfo,oti,MariMa01,pass_sacked,1,,,,,
player,201712170sfo,oti,MariMa01,pass_sacked_yds,3,,,,,
player,201712170sfo,oti,MariMa01,pass_long,25,,,,,
player,201712170sfo,oti,MariMa01,pass_rating,110.8,,,,,
player,201712170sfo,oti,MariMa01,rush_att,2,,,,,
player,201712170sfo,oti,MariMa01,rush_yds,4,,,,,
player,201712170sfo,oti,MariMa01,rush_td,0,,,,,
player,201712170sfo,oti,MariMa01,rush_long,2,,,,,
player,201712170sfo,oti,MariMa01,targets,0,,,,,
player,201712170sfo,oti,MariMa01,rec,0,,,,,
player,201712170sfo,oti,MariMa01,rec_yds,0,,,,,
player,201712170sfo,oti,MariMa01,rec_td,0,,,,,
player,201712170sfo,oti,MariMa01,rec_long,0,,,,,
player,201712170sfo,oti,MariMa01,fumbles,0,,,,,
player,201712170sfo,oti,MariMa01,fumbles_lost,0,,,,,
player,201712170sfo,oti,MurrDe00,pass_cmp,0,,,,,
player,201712170sfo,oti,MurrDe00,pass_att,0,,,,,
player,201712170sfo,oti,MurrDe00,pass_yds,0,,,,,
player,201712170sfo,oti,MurrDe00,pass_td,0,,,,,
player,201712170sfo,oti,MurrDe00,pass_int,0,,,,,
player,201712170sfo,oti,MurrDe00,pass_sacked,0,,,,,
player,201712170sfo,oti,MurrDe00,pass_sacked_yds,0,,,,,
player,201712170sfo,oti,MurrDe00,pass_long,0,,,,,
player,201712170sfo,oti,MurrDe00,pass_rating,,,,,,
player,201712170sfo,oti,MurrDe00,rush_att,18,,,,,
player,201712170sfo,oti,MurrDe00,rush_yds,59,,,,,
player,201712170sfo,oti,MurrDe00,rush_td,0,,,,,
player,201712170sfo,oti,MurrDe00,rush_long,11,,,,,
player,201712170sfo,oti,MurrDe00,targets,1,,,,,
player,201712170sfo,oti,MurrDe00,rec,1,,,,,
player,201712170sfo,oti,MurrDe00,rec_yds,4,,,,,
player,201712170sfo,oti,MurrDe00,rec_td,0,,,,,
player,201712170sfo,oti,MurrDe00,rec_long,4,,,,,
player,201712170sfo,oti,MurrDe00,fumbles,0,,,,,
player,201712170sfo,oti,MurrDe00,fumbles_lost,0,,,,,
player,201712170sfo,oti,HenrDe00,pass_cmp,0,,,,,
player,201712170sfo,oti,HenrDe00,pass_att,0,,,,,
player,201712170sfo,oti,HenrDe00,pass_yds,0,,,,,
player,201712170sfo,oti,HenrDe00,pass_td,0,,,,,
player,201712170sfo,oti,HenrDe00,pass_int,0,,,,,
player,201712170sfo,oti,HenrDe00,pass_sacked,0,,,,,
player,201712170sfo,oti,HenrDe00,pass_sacked_yds,0,,,,,
