game,2017,6,20171015,201710150rai,sdg,"Los Angeles Chargers",17,rai,"Oakland Raiders",16
team,201710150rai,sdg,First Downs,20,,,,,,
team,201710150rai,rai,First Downs,15,,,,,,
team,201710150rai,sdg,Rush-Yds-TDs,28-80-1,,,,,,
team,201710150rai,rai,Rush-Yds-TDs,22-109-1,,,,,,
team,201710150rai,sdg,Cmp-Att-Yd-TD-INT,25-36-268-1-0,,,,,,
team,201710150rai,rai,Cmp-Att-Yd-TD-INT,21-30-171-1-2,,,,,,
team,201710150rai,sdg,Sacked-Yards,1-5,,,,,,
team,201710150rai,rai,Sacked-Yards,1-6,,,,,,
team,201710150rai,sdg,Net Pass Yards,263,,,,,,
team,201710150rai,rai,Net Pass Yards,165,,,,,,
team,201710150rai,sdg,Total Yards,343,,,,,,
team,201710150rai,rai,Total Yards,274,,,,,,
team,201710150rai,sdg,Fumbles-Lost,1-1,,,,,,
team,201710150rai,rai,Fumbles-Lost,3-0,,,,,,
team,201710150rai,sdg,Turnovers,1,,,,,,
team,201710150rai,rai,Turnovers,2,,,,,,
team,201710150rai,sdg,Penalties-Yards,4-32,,,,,,
team,201710150rai,rai,Penalties-Yards,5-40,,,,,,
team,201710150rai,sdg,Third Down Conv.,6-14,,,,,,
team,201710150rai,rai,Third Down Conv.,6-12,,,,,,
team,201710150rai,sdg,Fourth Down Conv.,1-2,,,,,,
team,201710150rai,rai,Fourth Down Conv.,0-1,,,,,,
team,201710150rai,sdg,Time of Possession,32:03,,,,,,
team,201710150rai,rai,Time of Possession,27:57,,,,,,
player,201710150rai,sdg,RivePh00,pass_cmp,25,,,,,
player,201710150rai,sdg,RivePh00,pass_att,36,,,,,
player,201710150rai,sdg,RivePh00,pass_yds,268,,,,,
player,201710150rai,sdg,RivePh00,pass_td,1,,,,,
player,201710150rai,sdg,RivePh00,pass_int,0,,,,,
player,201710150rai,sdg,RivePh00,pass_sacked,1,,,,,
player,201710150rai,sdg,RivePh00,pass_sacked_yds,5,,,,,
player,201710150rai,sdg,RivePh00,pass_long,34,,,,,
player,201710150rai,sdg,RivePh00,pass_rating,100.2,,,,,
player,201710150rai,sdg,RivePh00,rush_att,2,,,,,
player,201710150rai,sdg,RivePh00,rush_yds,-4,,,,,
player,201710150rai,sdg,RivePh00,rush_td,0,,,,,
player,201710150rai,sdg,RivePh00,rush_long,-2,,,,,
player,201710150rai,sdg,RivePh00,targets,0,,,,,
player,201710150rai,sdg,RivePh00,rec,0,,,,,
player,201710150rai,sdg,RivePh00,rec_yds,0,,,,,
player,201710150rai,sdg,RivePh00,rec_td,0,,,,,
player,201710150rai,sdg,RivePh00,rec_long,0,,,,,
player,201710150rai,sdg,RivePh00,fumbles,0,,,,,
player,201710150rai,sdg,RivePh00,fumbles_lost,0,,,,,
player,201710150rai,sdg,GordMe00,pass_cmp,0,,,,,
player,201710150rai,sdg,GordMe00,pass_att,0,,,,,
player,201710150rai,sdg,GordMe00,pass_yds,0,,,,,
player,201710150rai,sdg,GordMe00,pass_td,0,,,,,
player,201710150rai,sdg,GordMe00,pass_int,0,,,,,
player,201710150rai,sdg,GordMe00,pass_sacked,0,,,,,
player,201710150rai,sdg,GordMe00,pass_sacked_yds,0,,,,,
player,201710150rai,sdg,GordMe00,pass_long,0,,,,,
player,201710150rai,sdg,GordMe00,pass_rating,,,,,,
player,201710150rai,sdg,GordMe00,rush_att,25,,,,,
player,201710150rai,sdg,GordMe00,rush_yds,83,,,,,
player,201710150rai,sdg,GordMe00,rush_td,1,,,,,
player,201710150rai,sdg,GordMe00,rush_long,18,,,,,
