game,2017,11,20171119,201711190min,ram,"Los Angeles Rams",7,min,"Minnesota Vikings",24
team,201711190min,ram,First Downs,15,,,,,,
team,201711190min,min,First Downs,27,,,,,,
team,201711190min,ram,Rush-Yds-TDs,17-45-1,,,,,,
team,201711190min,min,Rush-Yds-TDs,35-171-2,,,,,,
team,201711190min,ram,Cmp-Att-Yd-TD-INT,23-37-225-0-0,,,,,,
team,201711190min,min,Cmp-Att-Yd-TD-INT,27-38-280-1-0,,,,,,
team,201711190min,ram,Sacked-Yards,2-16,,,,,,
team,201711190min,min,Sacked-Yards,0-0,,,,,,
team,201711190min,ram,Net Pass Yards,209,,,,,,
team,201711190min,min,Net Pass Yards,280,,,,,,
team,201711190min,ram,Total Yards,254,,,,,,
team,201711190min,min,Total Yards,451,,,,,,
team,201711190min,ram,Fumbles-Lost,1-1,,,,,,
team,201711190min,min,Fumbles-Lost,0-0,,,,,,
team,201711190min,ram,Turnovers,1,,,,,,
team,201711190min,min,Turnovers,0,,,,,,
team,201711190min,ram,Penalties-Yards,8-60,,,,,,
team,201711190min,min,Penalties-Yards,7-65,,,,,,
team,201711190min,ram,Third Down Conv.,3-11,,,,,,
team,201711190min,min,Third Down Conv.,7-14,,,,,,
team,201711190min,ram,Fourth Down Conv.,0-1,,,,,,
team,201711190min,min,Fourth Down Conv.,1-1,,,,,,
team,201711190min,ram,Time of Possession,22:38,,,,,,
team,201711190min,min,Time of Possession,37:22,,,,,,
player,201711190min,ram,GoffJa00,pass_cmp,23,,,,,
player,201711190min,ram,GoffJa00,pass_att,37,,,,,
player,201711190min,ram,GoffJa00,pass_yds,225,,,,,
player,201711190min,ram,GoffJa00,pass_td,0,,,,,
player,201711190min,ram,GoffJa00,pass_int,0,,,,,
player,201711190min,ram,GoffJa00,pass_sacked,2,,,,,
player,201711190min,ram,GoffJa00,pass_sacked_yds,16,,,,,
player,201711190min,ram,GoffJa00,pass_long,23,,,,,
player,201711190min,ram,GoffJa00,pass_rating,79.2,,,,,
player,201711190min,ram,GoffJa00,rush_att,2,,,,,
player,201711190min,ram,GoffJa00,rush_yds,8,,,,,
player,201711190min,ram,GoffJa00,rush_td,0,,,,,
player,201711190min,ram,GoffJa00,rush_long,9,,,,,
player,201711190min,ram,GoffJa00,targets,0,,,,,
player,201711190min,ram,GoffJa00,rec,0,,,,,
player,201711190min,ram,GoffJa00,rec_yds,0,,,,,
player,201711190min,ram,GoffJa00,rec_td,0,,,,,
player,201711190min,ram,GoffJa00,rec_long,0,,,,,
player,201711190min,ram,GoffJa00,fumbles,0,,,,,
player,201711190min,ram,GoffJa00,fumbles_lost,0,,,,,
player,201711190min,ram,GurlTo01,pass_cmp,0,,,,,
player,201711190min,ram,GurlTo01,pass_att,0,,,,,
player,201711190min,ram,GurlTo01,pass_yds,0,,,,,
player,201711190min,ram,GurlTo01,pass_td,0,,,,,
player,201711190min,ram,GurlTo01,pass_int,0,,,,,
player,201711190min,ram,GurlTo01,pass_sacked,0,,,,,
player,201711190min,ram,GurlTo01,pass_sacked_yds,0,,,,,
player,201711190min,ram,GurlTo01,pass_long,0,,,,,
player,201711190min,ram,GurlTo01,pass_rating,,,,,,
player,201711190min,ram,GurlTo01,rush_att,15,,,,,
player,201711190min,ram,GurlTo01,rush_yds,37,,,,,
player,201711190min,ram,GurlTo01,rush_td,1,,,,,
player,201711190min,ram,GurlTo01,rush_long,8,,,,,
player,201711190min,ram,GurlTo01,targets,4,,,,,
player,201711190min,ram,GurlTo01,rec,3,,,,,
player,201711190min,ram,GurlTo01,rec_yds,19,,,,,
player,201711190min,ram,GurlTo01,rec_td,0,,,,,
player,201711190min,ram,GurlTo01,rec_long,11,,,,,
player,201711190min,ram,GurlTo01,fumbles,0,,,,,
player,201711190min,ram,GurlTo01,fumbles_lost,0,,,,,
player,201711190min,ram,WoodRo02,pass_cmp,0,,,,,
player,201711190min,ram,WoodRo02,pass_att,0,,,,,
player,201711190min,ram,WoodRo02,pass_yds,0,,,,,
player,201711190min,ram,WoodRo02,pass_td,0,,,,,
player,201711190min,ram,WoodRo02,pass_int,0,,,,,
player,201711190min,ram,WoodRo02,pass_sacked,0,,,,,
player,201711190min,ram,WoodRo02,pass_sacked_yds,0,,,,,
player,201711190min,ram,WoodRo02,pass_long,0,,,,,
player,201711190min,ram,WoodRo02,pass_rating,,,,,,
player,201711190min,ram,WoodRo02,rush_att,0,,,,,
player,201711190min,ram,WoodRo02,rush_yds,0,,,,,
player,201711190min,ram,WoodRo02,rush_td,0,,,,,
player,201711190min,ram,WoodRo02,rush_long,0,,,,,
player,201711190min,ram,WoodRo02,targets,11,,,,,
player,201711190min,ram,WoodRo02,rec,8,,,,,
player,201711190min,ram,WoodRo02,rec_yds,81,,,,,
player,201711190min,ram,WoodRo02,rec_td,0,,,,,
player,201711190min,ram,WoodRo02,rec_long,23,,,,,
player,201711190min,ram,WoodRo02,fumbles,0,,,,,
player,201711190min,ram,WoodRo02,fumbles_lost,0,,,,,
player,201711190min,ram,KuppCo00,pass_cmp,0,,,,,
player,201711190min,ram,KuppCo00,pass_att,0,,,,,
player,201711190min,ram,KuppCo00,pass_yds,0,,,,,
player,201711190min,ram,KuppCo00,pass_td,0,,,,,
player,201711190min,ram,KuppCo00,pass_int,0,,,,,
player,201711190min,ram,KuppCo00,pass_sacked,0,,,,,
player,201711190min,ram,KuppCo00,pass_sacked_yds,0,,,,,
player,201711190min,ram,KuppCo00,pass_long,0,,,,,
player,201711190min,ram,KuppCo00,pass_rating,,,,,,
player,201711190min,ram,KuppCo00,rush_att,0,,,,,
player,201711190min,ram,KuppCo00,rush_yds,0,,,,,
player,201711190min,ram,KuppCo00,rush_td,0,,,,,
player,201711190min,ram,KuppCo00,rush_long,0,,,,,
player,201711190min,ram,KuppCo00,targets,7,,,,,
player,201711190min,ram,KuppCo00,rec,6,,,,,
player,201711190min,ram,KuppCo00,rec_yds,64,,,,,
player,201711190min,ram,KuppCo00,rec_td,0,,,,,
player,201711190min,ram,KuppCo00,rec_long,23,,,,,
player,201711190min,ram,KuppCo00,fumbles,1,,,,,
player,201711190min,ram,KuppCo00,fumbles_lost,1,,,,,
player,201711190min,ram,WatkSa00,pass_cmp,0,,,,,
