game,2017,3,20170921,201709210sfo,ram,"Los Angeles Rams",41,sfo,"San Francisco 49ers",39
team,201709210sfo,ram,First Downs,26,,,,,,
team,201709210sfo,sfo,First Downs,25,,,,,,
team,201709210sfo,ram,Rush-Yds-TDs,32-126-2,,,,,,
team,201709210sfo,sfo,Rush-Yds-TDs,33-113-3,,,,,,
team,201709210sfo,ram,Cmp-Att-Yd-TD-INT,22-28-292-3-0,,,,,,
team,201709210sfo,sfo,Cmp-Att-Yd-TD-INT,23-37-332-2-1,,,,,,
team,201709210sfo,ram,Sacked-Yards,0-0,,,,,,
team,201709210sfo,sfo,Sacked-Yards,4-24,,,,,,
team,201709210sfo,ram,Net Pass Yards,292,,,,,,
team,201709210sfo,sfo,Net Pass Yards,308,,,,,,
team,201709210sfo,ram,Total Yards,418,,,,,,
team,201709210sfo,sfo,Total Yards,421,,,,,,
team,201709210sfo,ram,Fumbles-Lost,3-2,,,,,,
team,201709210sfo,sfo,Fumbles-Lost,1-1,,,,,,
team,201709210sfo,ram,Turnovers,2,,,,,,
team,201709210sfo,sfo,Turnovers,2,,,,,,
team,201709210sfo,ram,Penalties-Yards,7-52,,,,,,
team,201709210sfo,sfo,Penalties-Yards,10-55,,,,,,
team,201709210sfo,ram,Third Down Conv.,8-12,,,,,,
team,201709210sfo,sfo,Third Down Conv.,9-18,,,,,,
team,201709210sfo,ram,Fourth Down Conv.,0-0,,,,,,
team,201709210sfo,sfo,Fourth Down Conv.,2-3,,,,,,
team,201709210sfo,ram,Time of Possession,29:43,,,,,,
team,201709210sfo,sfo,Time of Possession,30:17,,,,,,
player,201709210sfo,ram,GoffJa00,pass_cmp,22,,,,,
player,201709210sfo,ram,GoffJa00,pass_att,28,,,,,
player,201709210sfo,ram,GoffJa00,pass_yds,292,,,,,
player,201709210sfo,ram,GoffJa00,pass_td,3,,,,,
player,201709210sfo,ram,GoffJa00,pass_int,0,,,,,
player,201709210sfo,ram,GoffJa00,pass_sacked,0,,,,,
player,201709210sfo,ram,GoffJa00,pass_sacked_yds,0,,,,,
player,201709210sfo,ram,GoffJa00,pass_long,47,,,,,
player,201709210sfo,ram,GoffJa00,pass_rating,145.8,,,,,
player,201709210sfo,ram,GoffJa00,rush_att,1,,,,,
player,201709210sfo,ram,GoffJa00,rush_yds,-1,,,,,
player,201709210sfo,ram,GoffJa00,rush_td,0,,,,,
player,201709210sfo,ram,GoffJa00,rush_long,-1,,,,,
player,201709210sfo,ram,GoffJa00,targets,0,,,,,
player,201709210sfo,ram,GoffJa00,rec,0,,,,,
player,201709210sfo,ram,GoffJa00,rec_yds,0,,,,,
player,201709210sfo,ram,GoffJa00,rec_td,0,,,,,
player,201709210sfo,ram,GoffJa00,rec_long,0,,,,,
player,201709210sfo,ram,GoffJa00,fumbles,0,,,,,
player,201709210sfo,ram,GoffJa00,fumbles_lost,0,,,,,
player,201709210sfo,ram,GurlTo01,pass_cmp,0,,,,,
player,201709210sfo,ram,GurlTo01,pass_att,0,,,,,
player,201709210sfo,ram,GurlTo01,pass_yds,0,,,,,
player,201709210sfo,ram,GurlTo01,pass_td,0,,,,,
player,201709210sfo,ram,GurlTo01,pass_int,0,,,,,
player,201709210sfo,ram,GurlTo01,pass_sacked,0,,,,,
player,201709210sfo,ram,GurlTo01,pass_sacked_yds,0,,,,,
player,201709210sfo,ram,GurlTo01,pass_long,0,,,,,
player,201709210sfo,ram,GurlTo01,pass_rating,,,,,,
player,201709210sfo,ram,GurlTo01,rush_att,28,,,,,
player,201709210sfo,ram,GurlTo01,rush_yds,113,,,,,
player,201709210sfo,ram,GurlTo01,rush_td,2,,,,,
player,201709210sfo,ram,GurlTo01,rush_long,29,,,,,
player,201709210sfo,ram,GurlTo01,targets,7,,,,,
player,201709210sfo,ram,GurlTo01,rec,5,,,,,
player,201709210sfo,ram,GurlTo01,rec_yds,36,,,,,
player,201709210sfo,ram,GurlTo01,rec_td,1,,,,,
player,201709210sfo,ram,GurlTo01,rec_long,27,,,,,
player,201709210sfo,ram,GurlTo01,fumbles,1,,,,,
player,201709210sfo,ram,GurlTo01,fumbles_lost,0,,,,,
player,201709210sfo,ram,AustTa00,pass_cmp,0,,,,,
player,201709210sfo,ram,AustTa00,pass_att,0,,,,,
