game,2017,4,20171001,201710010nwe,car,"Carolina Panthers",33,nwe,"New England Patriots",30
team,201710010nwe,car,First Downs,28,,,,,,
team,201710010nwe,nwe,First Downs,24,,,,,,
team,201710010nwe,car,Rush-Yds-TDs,29-140-1,,,,,,
team,201710010nwe,nwe,Rush-Yds-TDs,19-80-1,,,,,,
team,201710010nwe,car,Cmp-Att-Yd-TD-INT,22-29-316-3-1,,,,,,
team,201710010nwe,nwe,Cmp-Att-Yd-TD-INT,32-45-307-2-0,,,,,,
team,201710010nwe,car,Sacked-Yards,2-12,,,,,,
team,201710010nwe,nwe,Sacked-Yards,3-14,,,,,,
team,201710010nwe,car,Net Pass Yards,304,,,,,,
team,201710010nwe,nwe,Net Pass Yards,293,,,,,,
team,201710010nwe,car,Total Yards,444,,,,,,
team,201710010nwe,nwe,Total Yards,373,,,,,,
team,201710010nwe,car,Fumbles-Lost,1-1,,,,,,
team,201710010nwe,nwe,Fumbles-Lost,0-0,,,,,,
team,201710010nwe,car,Turnovers,2,,,,,,
team,201710010nwe,nwe,Turnovers,0,,,,,,
team,201710010nwe,car,Penalties-Yards,1-33,,,,,,
team,201710010nwe,nwe,Penalties-Yards,7-55,,,,,,
team,201710010nwe,car,Third Down Conv.,6-9,,,,,,
team,201710010nwe,nwe,Third Down Conv.,7-14,,,,,,
team,201710010nwe,car,Fourth Down Conv.,0-0,,,,,,
team,201710010nwe,nwe,Fourth Down Conv.,2-2,,,,,,
team,201710010nwe,car,Time of Possession,28:53,,,,,,
team,201710010nwe,nwe,Time of Possession,31:07,,,,,,
player,201710010nwe,car,NewtCa00,pass_cmp,22,,,,,
player,201710010nwe,car,NewtCa00,pass_att,29,,,,,
player,201710010nwe,car,NewtCa00,pass_yds,316,,,,,
player,201710010nwe,car,NewtCa00,pass_td,3,,,,,
player,201710010nwe,car,NewtCa00,pass_int,1,,,,,
player,201710010nwe,car,NewtCa00,pass_sacked,2,,,,,
player,201710010nwe,car,NewtCa00,pass_sacked_yds,12,,,,,
player,201710010nwe,car,NewtCa00,pass_long,43,,,,,
player,201710010nwe,car,NewtCa00,pass_rating,130.8,,,,,
player,201710010nwe,car,NewtCa00,rush_att,8,,,,,
player,201710010nwe,car,NewtCa00,rush_yds,44,,,,,
player,201710010nwe,car,NewtCa00,rush_td,1,,,,,
player,201710010nwe,car,NewtCa00,rush_long,13,,,,,
player,201710010nwe,car,NewtCa00,targets,0,,,,,
player,201710010nwe,car,NewtCa00,rec,0,,,,,
player,201710010nwe,car,NewtCa00,rec_yds,0,,,,,
player,201710010nwe,car,NewtCa00,rec_td,0,,,,,
player,201710010nwe,car,NewtCa00,rec_long,0,,,,,
