game,2017,15,20171217,201712170car,gnb,"Green Bay Packers",24,car,"Carolina Panthers",31
team,201712170car,gnb,First Downs,24,,,,,,
team,201712170car,car,First Downs,29,,,,,,
team,201712170car,gnb,Rush-Yds-TDs,19-120-0,,,,,,
team,201712170car,car,Rush-Yds-TDs,38-151-0,,,,,,
team,201712170car,gnb,Cmp-Att-Yd-TD-INT,26-45-290-3-3,,,,,,
team,201712170car,car,Cmp-Att-Yd-TD-INT,20-31-242-4-0,,,,,,
team,201712170car,gnb,Sacked-Yards,3-26,,,,,,
team,201712170car,car,Sacked-Yards,1-6,,,,,,
team,201712170car,gnb,Net Pass Yards,264,,,,,,
team,201712170car,car,Net Pass Yards,236,,,,,,
team,201712170car,gnb,Total Yards,384,,,,,,
team,201712170car,car,Total Yards,387,,,,,,
team,201712170car,gnb,Fumbles-Lost,1-1,,,,,,
team,201712170car,car,Fumbles-Lost,0-0,,,,,,
team,201712170car,gnb,Turnovers,4,,,,,,
team,201712170car,car,Turnovers,0,,,,,,
team,201712170car,gnb,Penalties-Yards,6-28,,,,,,
team,201712170car,car,Penalties-Yards,5-40,,,,,,
team,201712170car,gnb,Third Down Conv.,4-11,,,,,,
team,201712170car,car,Third Down Conv.,6-12,,,,,,
team,201712170car,gnb,Fourth Down Conv.,2-3,,,,,,
team,201712170car,car,Fourth Down Conv.,0-0,,,,,,
team,201712170car,gnb,Time of Possession,26:03,,,,,,
team,201712170car,car,Time of Possession,33:57,,,,,,
player,201712170car,gnb,RodgAa00,pass_cmp,26,,,,,
player,201712170car,gnb,RodgAa00,pass_att,45,,,,,
player,201712170car,gnb,RodgAa00,pass_yds,290,,,,,
player,201712170car,gnb,RodgAa00,pass_td,3,,,,,
player,201712170car,gnb,RodgAa00,pass_int,3,,,,,
player,201712170car,gnb,RodgAa00,pass_sacked,3,,,,,
player,201712170car,gnb,RodgAa00,pass_sacked_yds,26,,,,,
player,201712170car,gnb,RodgAa00,pass_long,36,,,,,
player,201712170car,gnb,RodgAa00,pass_rating,71.5,,,,,
player,201712170car,gnb,RodgAa00,rush_att,6,,,,,
player,201712170car,gnb,RodgAa00,rush_yds,43,,,,,
player,201712170car,gnb,RodgAa00,rush_td,0,,,,,
player,201712170car,gnb,RodgAa00,rush_long,12,,,,,
player,201712170car,gnb,RodgAa00,targets,0,,,,,
player,201712170car,gnb,RodgAa00,rec,0,,,,,
player,201712170car,gnb,RodgAa00,rec_yds,0,,,,,
player,201712170car,gnb,RodgAa00,rec_td,0,,,,,
player,201712170car,gnb,RodgAa00,rec_long,0,,,,,
player,201712170car,gnb,RodgAa00,fumbles,0,,,,,
player,201712170car,gnb,RodgAa00,fumbles_lost,0,,,,,
player,201712170car,gnb,JoneAa00,pass_cmp,0,,,,,
player,201712170car,gnb,JoneAa00,pass_att,0,,,,,
player,201712170car,gnb,JoneAa00,pass_yds,0,,,,,
player,201712170car,gnb,JoneAa00,pass_td,0,,,,,
player,201712170car,gnb,JoneAa00,pass_int,0,,,,,
player,201712170car,gnb,JoneAa00,pass_sacked,0,,,,,
player,201712170car,gnb,JoneAa00,pass_sacked_yds,0,,,,,
player,201712170car,gnb,JoneAa00,pass_long,0,,,,,
player,201712170car,gnb,JoneAa00,pass_rating,,,,,,
player,201712170car,gnb,JoneAa00,rush_att,3,,,,,
player,201712170car,gnb,JoneAa00,rush_yds,47,,,,,
player,201712170car,gnb,JoneAa00,rush_td,0,,,,,
player,201712170car,gnb,JoneAa00,rush_long,23,,,,,
player,201712170car,gnb,JoneAa00,targets,2,,,,,
player,201712170car,gnb,JoneAa00,rec,1,,,,,
player,201712170car,gnb,JoneAa00,rec_yds,6,,,,,
player,201712170car,gnb,JoneAa00,rec_td,0,,,,,
player,201712170car,gnb,JoneAa00,rec_long,6,,,,,
player,201712170car,gnb,JoneAa00,fumbles,0,,,,,
player,201712170car,gnb,JoneAa00,fumbles_lost,0,,,,,
player,201712170car,gnb,WillJa06,pass_cmp,0,,,,,
player,201712170car,gnb,WillJa06,pass_att,0,,,,,
player,201712170car,gnb,WillJa06,pass_yds,0,,,,,
player,201712170car,gnb,WillJa06,pass_td,0,,,,,
player,201712170car,gnb,WillJa06,pass_int,0,,,,,
player,201712170car,gnb,WillJa06,pass_sacked,0,,,,,
player,201712170car,gnb,WillJa06,pass_sacked_yds,0,,,,,
player,201712170car,gnb,WillJa06,pass_long,0,,,,,
player,201712170car,gnb,WillJa06,pass_rating,,,,,,
player,201712170car,gnb,WillJa06,rush_att,10,,,,,
player,201712170car,gnb,WillJa06,rush_yds,30,,,,,
player,201712170car,gnb,WillJa06,rush_td,0,,,,,
player,201712170car,gnb,WillJa06,rush_long,9,,,,,
player,201712170car,gnb,WillJa06,targets,0,,,,,
player,201712170car,gnb,WillJa06,rec,0,,,,,
player,201712170car,gnb,WillJa06,rec_yds,0,,,,,
player,201712170car,gnb,WillJa06,rec_td,0,,,,,
player,201712170car,gnb,WillJa06,rec_long,0,,,,,
player,201712170car,gnb,WillJa06,fumbles,0,,,,,
player,201712170car,gnb,WillJa06,fumbles_lost,0,,,,,
player,201712170car,gnb,CobbRa00,pass_cmp,0,,,,,
player,201712170car,gnb,CobbRa00,pass_att,0,,,,,
player,201712170car,gnb,CobbRa00,pass_yds,0,,,,,
