game,2017,7,20171022,201710220nwe,atl,"Atlanta Falcons",7,nwe,"New England Patriots",23
team,201710220nwe,atl,First Downs,21,,,,,,
team,201710220nwe,nwe,First Downs,25,,,,,,
team,201710220nwe,atl,Rush-Yds-TDs,22-120-0,,,,,,
team,201710220nwe,nwe,Rush-Yds-TDs,36-162-0,,,,,,
team,201710220nwe,atl,Cmp-Att-Yd-TD-INT,23-33-233-1-0,,,,,,
team,201710220nwe,nwe,Cmp-Att-Yd-TD-INT,21-29-249-2-0,,,,,,
team,201710220nwe,atl,Sacked-Yards,1-10,,,,,,
team,201710220nwe,nwe,Sacked-Yards,2-8,,,,,,
team,201710220nwe,atl,Net Pass Yards,223,,,,,,
team,201710220nwe,nwe,Net Pass Yards,241,,,,,,
team,201710220nwe,atl,Total Yards,343,,,,,,
team,201710220nwe,nwe,Total Yards,403,,,,,,
team,201710220nwe,atl,Fumbles-Lost,0-0,,,,,,
team,201710220nwe,nwe,Fumbles-Lost,1-0,,,,,,
team,201710220nwe,atl,Turnovers,0,,,,,,
team,201710220nwe,nwe,Turnovers,0,,,,,,
team,201710220nwe,atl,Penalties-Yards,6-40,,,,,,
team,201710220nwe,nwe,Penalties-Yards,8-65,,,,,,
team,201710220nwe,atl,Third Down Conv.,2-9,,,,,,
team,201710220nwe,nwe,Third Down Conv.,7-13,,,,,,
team,201710220nwe,atl,Fourth Down Conv.,1-3,,,,,,
team,201710220nwe,nwe,Fourth Down Conv.,0-0,,,,,,
team,201710220nwe,atl,Time of Possession,25:55,,,,,,
team,201710220nwe,nwe,Time of Possession,34:05,,,,,,
player,201710220nwe,atl,RyanMa00,pass_cmp,23,,,,,
player,201710220nwe,atl,RyanMa00,pass_att,33,,,,,
player,201710220nwe,atl,RyanMa00,pass_yds,233,,,,,
player,201710220nwe,atl,RyanMa00,pass_td,1,,,,,
player,201710220nwe,atl,RyanMa00,pass_int,0,,,,,
player,201710220nwe,atl,RyanMa00,pass_sacked,1,,,,,
player,201710220nwe,atl,RyanMa00,pass_sacked_yds,10,,,,,
