game,2017,15,20171217,201712170nyg,phi,"Philadelphia Eagles",34,nyg,"New York Giants",29
team,201712170nyg,phi,First Downs,22,,,,,,
team,201712170nyg,nyg,First Downs,27,,,,,,
team,201712170nyg,phi,Rush-Yds-TDs,27-108-0,,,,,,
team,201712170nyg,nyg,Rush-Yds-TDs,23-75-1,,,,,,
team,201712170nyg,phi,Cmp-Att-Yd-TD-INT,24-38-237-4-0,,,,,,
team,201712170nyg,nyg,Cmp-Att-Yd-TD-INT,37-57-434-3-1,,,,,,
team,201712170nyg,phi,Sacked-Yards,1-4,,,,,,
team,201712170nyg,nyg,Sacked-Yards,1-5,,,,,,
team,201712170nyg,phi,Net Pass Yards,233,,,,,,
team,201712170nyg,nyg,Net Pass Yards,429,,,,,,
team,201712170nyg,phi,Total Yards,341,,,,,,
team,201712170nyg,nyg,Total Yards,504,,,,,,
team,201712170nyg,phi,Fumbles-Lost,1-0,,,,,,
team,201712170nyg,nyg,Fumbles-Lost,0-0,,,,,,
team,201712170nyg,phi,Turnovers,0,,,,,,
team,201712170nyg,nyg,Turnovers,1,,,,,,
team,201712170nyg,phi,Penalties-Yards,7-44,,,,,,
team,201712170nyg,nyg,Penalties-Yards,5-67,,,,,,
team,201712170nyg,phi,Third Down Conv.,6-13,,,,,,
team,201712170nyg,nyg,Third Down Conv.,10-18,,,,,,
team,201712170nyg,phi,Fourth Down Conv.,0-1,,,,,,
team,201712170nyg,nyg,Fourth Down Conv.,0-1,,,,,,
team,201712170nyg,phi,Time of Possession,30:53,,,,,,
team,201712170nyg,nyg,Time of Possession,29:07,,,,,,
player,201712170nyg,phi,FoleNi00,pass_cmp,24,,,,,
player,201712170nyg,phi,FoleNi00,pass_att,38,,,,,
player,201712170nyg,phi,FoleNi00,pass_yds,237,,,,,
player,201712170nyg,phi,FoleNi00,pass_td,4,,,,,
player,201712170nyg,phi,FoleNi00,pass_int,0,,,,,
player,201712170nyg,phi,FoleNi00,pass_sacked,1,,,,,
player,201712170nyg,phi,FoleNi00,pass_sacked_yds,4,,,,,
player,201712170nyg,phi,FoleNi00,pass_long,32,,,,,
player,201712170nyg,phi,FoleNi00,pass_rating,115.8,,,,,
player,201712170nyg,phi,FoleNi00,rush_att,2,,,,,
player,201712170nyg,phi,FoleNi00,rush_yds,0,,,,,
player,201712170nyg,phi,FoleNi00,rush_td,0,,,,,
player,201712170nyg,phi,FoleNi00,rush_long,1,,,,,
player,201712170nyg,phi,FoleNi00,targets,0,,,,,
player,201712170nyg,phi,FoleNi00,rec,0,,,,,
player,201712170nyg,phi,FoleNi00,rec_yds,0,,,,,
player,201712170nyg,phi,FoleNi00,rec_td,0,,,,,
player,201712170nyg,phi,FoleNi00,rec_long,0,,,,,
player,201712170nyg,phi,FoleNi00,fumbles,1,,,,,
player,201712170nyg,phi,FoleNi00,fumbles_lost,0,,,,,
player,201712170nyg,phi,AjayJa00,pass_cmp,0,,,,,
player,201712170nyg,phi,AjayJa00,pass_att,0,,,,,
player,201712170nyg,phi,AjayJa00,pass_yds,0,,,,,
player,201712170nyg,phi,AjayJa00,pass_td,0,,,,,
player,201712170nyg,phi,AjayJa00,pass_int,0,,,,,
player,201712170nyg,phi,AjayJa00,pass_sacked,0,,,,,
player,201712170nyg,phi,AjayJa00,pass_sacked_yds,0,,,,,
player,201712170nyg,phi,AjayJa00,pass_long,0,,,,,
player,201712170nyg,phi,AjayJa00,pass_rating,,,,,,
player,201712170nyg,phi,AjayJa00,rush_att,12,,,,,
player,201712170nyg,phi,AjayJa00,rush_yds,49,,,,,
player,201712170nyg,phi,AjayJa00,rush_td,0,,,,,
player,201712170nyg,phi,AjayJa00,rush_long,22,,,,,
